"species","decimalLongitude","decimalLatitude","elevation"
"Abies fraseri",-81.323082,36.396362,887.422119140625
"Abies fraseri",-81.49582,36.65109,1339.99621582031
"Abies fraseri",-81.500722,36.643164,1490.33459472656
"Abies fraseri",-81.501383,36.625193,1517.40625
"Abies fraseri",-81.506057,36.640645,1485.44934082031
"Abies fraseri",-81.506369,36.644158,1428.48181152344
"Abies fraseri",-81.5077,36.639562,1480.01416015625
"Abies fraseri",-81.50774,36.639564,1480.01416015625
"Abies fraseri",-81.510848,36.640868,1470.70788574219
"Abies fraseri",-81.513127,36.638293,1507.51501464844
"Abies fraseri",-81.513903,36.638653,1517.19250488281
"Abies fraseri",-81.514958,36.639317,1522.99792480469
"Abies fraseri",-81.515011,36.639719,1519.62670898438
"Abies fraseri",-81.515033,36.643325,1525.46374511719
"Abies fraseri",-81.515065,36.645728,1566.35424804688
"Abies fraseri",-81.515067,36.64333,1525.46374511719
"Abies fraseri",-81.515428,36.640175,1520.51977539062
"Abies fraseri",-81.515503,36.640172,1521.92126464844
"Abies fraseri",-81.516075,36.64317,1531.28454589844
"Abies fraseri",-81.516242,36.648045,1623.44470214844
"Abies fraseri",-81.516525,36.643622,1541.45373535156
"Abies fraseri",-81.516525,36.650033,1622.033203125
"Abies fraseri",-81.516913,36.652837,1652.66772460938
"Abies fraseri",-81.521508,36.656247,1670.9716796875
"Abies fraseri",-81.521701,36.656103,1666.56323242188
"Abies fraseri",-81.521961,36.656767,1662.61669921875
"Abies fraseri",-81.526917,36.654562,1663.37353515625
"Abies fraseri",-81.530414,36.651542,1606.70874023438
"Abies fraseri",-81.534676,36.655991,1648.30249023438
"Abies fraseri",-81.537475,36.657592,1648.29809570312
"Abies fraseri",-81.54,36.656242,1615.12292480469
"Abies fraseri",-81.541194,36.659514,1699.80517578125
"Abies fraseri",-81.542086,36.660332,1716.41369628906
"Abies fraseri",-81.542294,36.660339,1718.85302734375
"Abies fraseri",-81.543956,36.649113,1526.076171875
"Abies fraseri",-81.544138,36.659973,1740.11291503906
"Abies fraseri",-81.544615,36.659844,1744.36401367188
"Abies fraseri",-81.544905,36.660097,1746.08740234375
"Abies fraseri",-81.55417,36.656095,1541.71313476562
"Abies fraseri",-81.594124,36.656495,1162.52819824219
"Abies fraseri",-81.65248,36.238517,1047.48193359375
"Abies fraseri",-81.67,36.2,953.955017089844
"Abies fraseri",-81.674049,36.591194,1394.15063476562
"Abies fraseri",-81.691413,36.150822,1214.94030761719
"Abies fraseri",-81.760381,36.194549,859.6298828125
"Abies fraseri",-81.760382,36.194412,858.207885742188
