species,decimalLongitude,decimalLatitude,elevation
Acer leucoderme,-94.54535,34.523671,277.3550415
Acer leucoderme,-94.540915,34.053678,147.5688324
Acer leucoderme,-94.45789,34.694542,778.6174927
Acer leucoderme,-94.41493,34.18266,168.7966309
Acer leucoderme,-94.41205,34.43286,310.4375916
Acer leucoderme,-94.410164,34.68883,782.15625
Acer leucoderme,-94.391075,34.106178,148.3309479
Acer leucoderme,-94.240294,34.324153,208.0024109
Acer leucoderme,-94.24028,34.324178,211.4328918
Acer leucoderme,-94.239655,34.586217,357.7410583
Acer leucoderme,-94.238968,34.578585,347.9026489
Acer leucoderme,-94.236984,34.379406,244.2615356
Acer leucoderme,-94.234642,34.321847,199.5278931
Acer leucoderme,-94.233628,34.381205,241.2719421
Acer leucoderme,-94.183889,30.801944,46.97511292
Acer leucoderme,-94.177387,34.295416,175.943161
Acer leucoderme,-94.1677,34.3126,200.6310883
Acer leucoderme,-94.009722,31.533333,100.452095
Acer leucoderme,-93.928333,31.520556,122.1500778
Acer leucoderme,-93.92833,31.52055,121.8686905
Acer leucoderme,-93.8833,31.0667,125.7624359
Acer leucoderme,-93.843889,31.602778,57.98175049
Acer leucoderme,-93.83611,31.58333,66.3692627
Acer leucoderme,-93.776864,34.618988,232.3315735
Acer leucoderme,-93.706761,31.551344,51.2140007
Acer leucoderme,-93.69579,31.312293,61.61347961
Acer leucoderme,-93.680191,34.4551,210.0958557
Acer leucoderme,-93.6667,34.45,230.1495667
Acer leucoderme,-93.606433,30.964167,37.13574219
Acer leucoderme,-93.37093,34.526102,186.3745575
Acer leucoderme,-93.338056,34.535184,188.7767792
Acer leucoderme,-93.26814,34.66386,179.0016327
Acer leucoderme,-93.174332,31.415732,86.88983917
Acer leucoderme,-93.150425,34.576686,140.1055603
Acer leucoderme,-93.149118,31.804258,29.16799927
Acer leucoderme,-93.136138,31.476227,42.42764282
Acer leucoderme,-93.04317,34.466753,125.6102142
Acer leucoderme,-92.913228,34.332036,106.7145309
Acer leucoderme,-92.878118,31.92066,31.9002552
Acer leucoderme,-92.734611,31.429935,35.83824158
Acer leucoderme,-92.645474,31.55636,31.63386345
Acer leucoderme,-88.69824,32.10355,99.44168091
Acer leucoderme,-88.69823,32.10355,99.44168091
Acer leucoderme,-88.69818,32.10355,99.44168091
Acer leucoderme,-88.639163,31.214225,31.47023582
Acer leucoderme,-88.591111,31.765,76.24441528
Acer leucoderme,-88.559217,31.75639,79.24764252
Acer leucoderme,-88.54642,31.747821,54.66967773
Acer leucoderme,-88.529444,31.828889,67.33365631
Acer leucoderme,-88.525925,31.741542,71.70397186
Acer leucoderme,-88.5225,31.744444,74.50035858
Acer leucoderme,-88.111278,32.67682,41.2562294
Acer leucoderme,-88.059207,32.594161,48.58935547
Acer leucoderme,-88.054667,32.591667,48.95171356
Acer leucoderme,-87.83081,31.67666,80.64998627
Acer leucoderme,-87.794634,32.262135,48.4368782
Acer leucoderme,-87.781096,32.487262,39.58528137
Acer leucoderme,-87.59,33.63,130.0916443
Acer leucoderme,-87.571945,33.359722,81.7542572
Acer leucoderme,-87.571944,33.359722,81.7542572
Acer leucoderme,-87.57,33.35,79.47181702
Acer leucoderme,-87.52503,33.28955,90.46644592
Acer leucoderme,-87.524476,31.540731,37.81949997
Acer leucoderme,-87.419139,32.92546,155.6517181
Acer leucoderme,-87.38,31.73,106.4664917
Acer leucoderme,-87.353058,32.858334,161.0377197
Acer leucoderme,-87.25,34.1333,239.6464233
Acer leucoderme,-87.214144,32.53624,41.39989853
Acer leucoderme,-87.15,33,83.38384247
Acer leucoderme,-87.147625,33.002429,86.04764557
Acer leucoderme,-87.146846,33.001676,86.79189301
Acer leucoderme,-87.146419,33.020046,98.37268829
Acer leucoderme,-87.145488,33.025405,98.55792999
Acer leucoderme,-87.145215,33.000488,72.41520691
Acer leucoderme,-87.073508,33.074581,72.46797943
Acer leucoderme,-87.072153,33.077265,76.34047699
Acer leucoderme,-87.062454,33.089443,83.56490326
Acer leucoderme,-87.062431,33.089344,81.60250854
Acer leucoderme,-87.038339,33.058856,99.25273895
Acer leucoderme,-87.038183,33.058125,84.35173798
Acer leucoderme,-87.034791,33.05955,89.39064026
Acer leucoderme,-87.034378,33.057819,79.41732788
Acer leucoderme,-87.034218,33.059181,94.11465454
Acer leucoderme,-86.89649,33.554314,174.6213989
Acer leucoderme,-86.895278,34.082222,175.6845551
Acer leucoderme,-86.86,32.75,94.03431702
Acer leucoderme,-86.76,32.65,149.0388794
Acer leucoderme,-86.711945,33.022221,172.5611877
Acer leucoderme,-86.711944,33.022222,172.5611877
Acer leucoderme,-86.709167,33.041389,149.0413818
Acer leucoderme,-86.658188,34.2198,229.121933
Acer leucoderme,-86.60201,33.9977,146.9038696
Acer leucoderme,-86.601478,33.997241,141.6343384
Acer leucoderme,-86.600938,33.997885,141.5074615
Acer leucoderme,-86.583473,33.5643,164.2322083
Acer leucoderme,-86.57,33.85,177.8006897
Acer leucoderme,-86.57,34.03,194.7108612
Acer leucoderme,-86.561472,34.025181,175.7257385
Acer leucoderme,-86.56,33.87,298.7708435
Acer leucoderme,-86.511453,33.332057,131.0638885
Acer leucoderme,-86.262994,33.95451,268.9949951
Acer leucoderme,-86.197739,32.685348,125.555275
Acer leucoderme,-86.179492,34.578125,392.793396
Acer leucoderme,-86.154403,33.316227,166.042099
Acer leucoderme,-86.04,34.08,276.073761
Acer leucoderme,-85.804141,34.459773,386.4299316
Acer leucoderme,-85.797502,32.862405,199.8285828
Acer leucoderme,-85.661832,34.334637,375.840332
Acer leucoderme,-85.62,34.39,371.0887756
Acer leucoderme,-85.61,34.04,198.6259613
Acer leucoderme,-85.603794,34.175956,169.0357056
Acer leucoderme,-85.6,34.41,424.9200439
Acer leucoderme,-85.576601,33.196877,195.6833954
Acer leucoderme,-85.541526,34.688061,254.67836
Acer leucoderme,-85.518768,33.674558,292.2502136
Acer leucoderme,-85.498848,34.073154,206.7834473
Acer leucoderme,-85.482766,32.595759,203.105072
Acer leucoderme,-85.466688,32.0335,104.9151688
Acer leucoderme,-85.466522,32.558783,148.5313263
Acer leucoderme,-85.387422,32.359579,138.2788391
Acer leucoderme,-85.2577,30.812667,46.37270355
Acer leucoderme,-85.20485,35.014,202.8081207
Acer leucoderme,-85.164771,32.246512,82.31584167
Acer leucoderme,-85.150207,34.597631,254.9524231
Acer leucoderme,-84.955421,30.572852,14.29261589
Acer leucoderme,-84.942718,30.571152,51.10382843
Acer leucoderme,-84.940486,30.568344,40.24739456
Acer leucoderme,-84.940486,30.572187,56.37944412
Acer leucoderme,-84.889068,33.891948,269.1346741
Acer leucoderme,-84.888023,33.887392,269.7417908
Acer leucoderme,-84.860017,30.671581,23.95403099
Acer leucoderme,-84.857409,30.699661,12.38713932
Acer leucoderme,-84.85727,30.66792,31.19174194
Acer leucoderme,-84.857267,30.667917,31.19174194
Acer leucoderme,-84.852761,30.698402,23.39945412
Acer leucoderme,-84.852699,30.25204,25.81832314
Acer leucoderme,-84.852246,30.698329,31.74182892
Acer leucoderme,-84.851795,30.698227,37.77027512
Acer leucoderme,-84.849842,30.699188,65.67169952
Acer leucoderme,-84.847938,30.698072,58.38549423
Acer leucoderme,-84.841309,30.685748,22.76056671
Acer leucoderme,-84.826282,30.70593,26.03367233
Acer leucoderme,-84.78161,35.00363,236.3581696
Acer leucoderme,-84.735677,34.535041,210.9223175
Acer leucoderme,-84.607608,33.391229,255.2077942
Acer leucoderme,-84.576673,33.941463,301.4776001
Acer leucoderme,-84.538572,34.236582,262.358429
Acer leucoderme,-84.538398,34.237438,255.4271545
Acer leucoderme,-84.52,33.99,326.5831909
Acer leucoderme,-84.44718,33.865387,266.491272
Acer leucoderme,-84.438693,33.885267,245.9707184
Acer leucoderme,-84.382536,33.983803,280.9384766
Acer leucoderme,-84.34381,33.7961,257.1281433
Acer leucoderme,-84.342656,34.019496,294.4079895
Acer leucoderme,-84.128289,33.791491,257.8227844
Acer leucoderme,-84.123055,33.685233,301.2242126
Acer leucoderme,-84.013966,34.245064,328.6582947
Acer leucoderme,-83.936511,34.174025,359.306488
Acer leucoderme,-83.808437,33.876036,279.6801453
Acer leucoderme,-83.80455,33.875969,294.6596985
Acer leucoderme,-83.694212,33.114627,138.1943207
Acer leucoderme,-83.522919,33.277564,128.7711945
Acer leucoderme,-83.386038,33.907649,176.4206848
Acer leucoderme,-83.379959,33.915519,215.9096832
Acer leucoderme,-83.378965,33.952053,192.2029419
Acer leucoderme,-83.374885,33.955725,230.6450195
Acer leucoderme,-83.357102,33.885298,195.6183472
Acer leucoderme,-83.334538,33.941759,215.9210663
Acer leucoderme,-83.197238,34.757786,276.4790344
Acer leucoderme,-83.118491,34.671899,265.5532532
Acer leucoderme,-83.04803,34.771563,285.6734314
Acer leucoderme,-83.046657,34.779459,302.8093262
Acer leucoderme,-82.964248,34.350898,220.7161102
Acer leucoderme,-82.867084,34.111223,210.8555145
Acer leucoderme,-82.858634,34.127877,206.6561584
Acer leucoderme,-82.847171,34.963884,274.8420715
Acer leucoderme,-82.844823,34.960397,293.6708374
Acer leucoderme,-82.831855,34.112245,154.40625
Acer leucoderme,-82.816633,34.74705,207.1625061
Acer leucoderme,-82.814167,34.7525,239.4481659
Acer leucoderme,-82.694699,34.804987,280.1803894
Acer leucoderme,-82.676187,34.187921,162.9546661
Acer leucoderme,-82.6675,34.724722,284.8728333
Acer leucoderme,-82.622467,34.073855,164.946106
Acer leucoderme,-82.600556,34.027778,144.711853
Acer leucoderme,-82.591111,34.024444,139.0897522
Acer leucoderme,-82.375753,34.181864,158.5404816
Acer leucoderme,-82.2065,34.458426,162.5196838
