species,decimalLongitude,decimalLatitude,elevation
Acer negundo,-113.4745517,36.0956445,1862.200562
Acer negundo,-113.3453,34.8001,1284.201538
Acer negundo,-113.335795,37.364415,1625.728638
Acer negundo,-113.331167,37.378667,1784.935059
Acer negundo,-113.33116,37.362,1620.471558
Acer negundo,-113.31818,37.478124,1629.398315
Acer negundo,-113.196718,37.463255,1663.296997
Acer negundo,-113.196357,37.463397,1666.004639
Acer negundo,-113.193083,37.432281,1680.584351
Acer negundo,-113.192008,37.454247,1776.677734
Acer negundo,-113.184454,37.455022,1815.746094
Acer negundo,-113.184436,37.455047,1813.898682
Acer negundo,-113.184425,37.455075,1813.898682
Acer negundo,-113.184311,37.4544,1816.983276
Acer negundo,-113.184132,37.462223,1717.141724
Acer negundo,-113.181812,37.454303,1809.798828
Acer negundo,-113.179672,37.46202,1775.030029
Acer negundo,-113.176803,37.460067,1754.763306
Acer negundo,-113.174797,37.459773,1772.98584
Acer negundo,-113.162353,37.457017,1814.010498
Acer negundo,-113.155229,37.423088,1643.58667
Acer negundo,-113.09603,37.279525,1344.917969
Acer negundo,-112.888,34.8008,1760.400391
Acer negundo,-112.848092,34.920175,1571.64917
Acer negundo,-112.833084,34.927876,1566.562378
Acer negundo,-112.695313,36.242611,1168.970581
Acer negundo,-112.629181,40.618427,1910.272461
Acer negundo,-112.605933,40.337183,1770.813965
Acer negundo,-112.60547,40.484067,2239.755127
Acer negundo,-112.597758,40.527222,1973.66394
Acer negundo,-112.59404,40.49144,2105.166504
Acer negundo,-112.58273,40.510823,2089.887695
Acer negundo,-112.579807,40.493691,1987.254761
Acer negundo,-112.579619,40.50244,2057.348877
Acer negundo,-112.578562,40.494055,1979.1698
Acer negundo,-112.574478,40.542717,1814.946899
Acer negundo,-112.55985,34.546333,1830.479858
Acer negundo,-112.557381,40.38562,2115.793457
Acer negundo,-112.5518,34.535817,1874.589844
Acer negundo,-112.550946,40.34602,1815.785156
Acer negundo,-112.550922,40.345553,1814.443359
Acer negundo,-112.550613,40.345138,1811.980103
Acer negundo,-112.550383,40.345887,1817.590332
Acer negundo,-112.55,34.62,1794.768799
Acer negundo,-112.547338,36.580845,1547.766968
Acer negundo,-112.544966,34.439,1656.796997
Acer negundo,-112.54095,34.620407,1717.968262
Acer negundo,-112.53716,34.455198,1631.792847
Acer negundo,-112.531943,36.501341,1865.410522
Acer negundo,-112.528842,34.500708,1947.973511
Acer negundo,-112.527345,34.502412,1948.658691
Acer negundo,-112.527,34.5493,1759.529053
Acer negundo,-112.501306,34.4825,1772.738281
Acer negundo,-112.490287,34.454527,1636.776611
Acer negundo,-112.478463,34.505821,1710.896851
Acer negundo,-112.478287,34.526312,1653.086792
Acer negundo,-112.478256,34.505337,1710.541748
Acer negundo,-112.47639,34.50833,1718.360229
Acer negundo,-112.475,34.50833,1722.133301
Acer negundo,-112.47297,34.443888,1835.588623
Acer negundo,-112.472511,34.540342,1627.644775
Acer negundo,-112.472467,34.539524,1627.320679
Acer negundo,-112.47066,34.545922,1620.184326
Acer negundo,-112.468,34.54,1639.714355
Acer negundo,-112.468,34.598,1586.763794
Acer negundo,-112.46778,34.54,1640.572144
Acer negundo,-112.467709,34.549481,1615.776489
Acer negundo,-112.46112,34.45613,1823.747925
Acer negundo,-112.457542,34.498045,1809.165405
Acer negundo,-112.45745,34.499347,1799.164795
Acer negundo,-112.457292,34.477762,1806.985596
Acer negundo,-112.456099,34.554985,1608.752441
Acer negundo,-112.455047,34.47798,1812.120117
Acer negundo,-112.453675,34.44312,1801.601807
Acer negundo,-112.453263,34.600573,1572.070313
Acer negundo,-112.452063,34.497925,1813.553223
Acer negundo,-112.452042,34.49817,1807.506226
Acer negundo,-112.4506,40.495,1505.088501
Acer negundo,-112.450556,40.495,1504.925049
Acer negundo,-112.45055,40.495,1504.925049
Acer negundo,-112.45043,40.495404,1499.270386
Acer negundo,-112.448953,34.475778,1846.997925
Acer negundo,-112.44885,35.880317,1604.367065
Acer negundo,-112.448789,34.476465,1844.665405
Acer negundo,-112.44857,34.476125,1847.23584
Acer negundo,-112.448442,34.476903,1847.77124
Acer negundo,-112.448363,34.476405,1846.642944
Acer negundo,-112.447708,34.602569,1568.128296
Acer negundo,-112.447212,34.60243,1566.981812
Acer negundo,-112.446986,34.483464,1868.443848
Acer negundo,-112.43591,34.56769,1584.418335
Acer negundo,-112.4302,34.603838,1549.831665
Acer negundo,-112.43,34.46,2034.893311
Acer negundo,-112.429399,34.579367,1581.570557
Acer negundo,-112.428236,34.578106,1573.776489
Acer negundo,-112.42818,34.57418,1587.616699
Acer negundo,-112.428,34.5742,1586.085815
Acer negundo,-112.427513,34.579372,1574.250244
Acer negundo,-112.427336,34.403442,1990.069336
Acer negundo,-112.424751,34.580564,1573.96228
Acer negundo,-112.42345,34.581275,1574.28064
Acer negundo,-112.423256,34.581192,1576.797607
Acer negundo,-112.418725,34.608097,1535.553467
Acer negundo,-112.41845,34.607833,1538.568604
Acer negundo,-112.417223,34.437851,2180.956055
Acer negundo,-112.417212,34.388336,1885.114258
Acer negundo,-112.416975,34.388368,1879.723145
Acer negundo,-112.41202,40.01962,1801.56311
Acer negundo,-112.388038,34.523858,1667.548218
Acer negundo,-112.382449,34.515254,1694.683105
Acer negundo,-112.38173,34.515153,1686.146362
Acer negundo,-112.381325,34.514808,1686.585449
Acer negundo,-112.380629,34.514133,1686.879395
Acer negundo,-112.380297,34.51347,1688.42981
Acer negundo,-112.374222,34.429788,1915.652222
Acer negundo,-112.37,34.56,1584.270874
Acer negundo,-112.365762,34.444533,2012.127563
Acer negundo,-112.351638,36.603958,2117.354492
Acer negundo,-112.35,36.59713,2151.500977
Acer negundo,-112.348889,36.595833,2130.310303
Acer negundo,-112.348794,36.669155,1939.359985
Acer negundo,-112.345722,34.169197,1706.550659
Acer negundo,-112.290712,40.505987,1637.697144
Acer negundo,-112.268723,41.035999,1401.030518
Acer negundo,-112.26832,40.473208,1814.866089
Acer negundo,-112.266237,35.174092,2026.773804
Acer negundo,-112.266107,35.174294,2027.108398
Acer negundo,-112.263183,40.426145,2073.522705
Acer negundo,-112.245658,40.37232,2003.450562
Acer negundo,-112.237592,41.041732,1339.834961
Acer negundo,-112.215,34.8926,1185.480103
Acer negundo,-112.205222,34.895458,1164.700806
Acer negundo,-112.203741,40.992899,1387.802612
Acer negundo,-112.194752,35.259788,2051.44751
Acer negundo,-112.181464,36.097182,735.8218994
Acer negundo,-112.180692,35.234064,2119.416504
Acer negundo,-112.170142,40.945365,1294.607178
Acer negundo,-112.167373,40.925456,1290.426147
Acer negundo,-112.167306,40.925413,1290.044556
Acer negundo,-112.167298,40.925649,1290.490356
Acer negundo,-112.166993,40.924673,1286.360718
Acer negundo,-112.166948,40.925192,1287.856079
Acer negundo,-112.166815,40.925301,1286.749512
Acer negundo,-112.166653,40.924975,1286.003418
Acer negundo,-112.166511,40.924995,1285.749512
Acer negundo,-112.166355,40.925043,1285.723755
Acer negundo,-112.166342,40.925108,1285.67749
Acer negundo,-112.160828,34.702774,2022.040649
Acer negundo,-112.160812,34.702847,2020.95105
Acer negundo,-112.154389,34.699042,2006.588013
Acer negundo,-112.13889,36.05556,2091.204834
