species,decimalLongitude,decimalLatitude,elevation
Annona glabra,-85.0738,30.7132,42.34543991
Annona glabra,-85.0667,30.7,45.93346405
Annona glabra,-82.7912,27.8397,11.36191654
Annona glabra,-82.7873,27.9095,10.22442818
Annona glabra,-82.674175,27.500139,1.329141855
Annona glabra,-82.665171,27.50985,1.554233551
Annona glabra,-82.643475,27.521692,0.467127532
Annona glabra,-82.622891,27.530375,1.129030704
Annona glabra,-82.618059,27.534481,0.744674206
Annona glabra,-82.564127,28.104046,13.01800632
Annona glabra,-82.558555,27.301547,1.410885811
Annona glabra,-82.533287,27.271366,1.065482974
Annona glabra,-82.5216,27.9295,2.046241045
Annona glabra,-82.501162,27.277253,4.16697073
Annona glabra,-82.500731,27.27759,4.738791466
Annona glabra,-82.50073,27.277526,4.738791466
Annona glabra,-82.500705,27.277539,4.738791466
Annona glabra,-82.500647,27.277572,4.738791466
Annona glabra,-82.495697,27.203175,1.842274427
Annona glabra,-82.4444,27.9936,15.02167892
Annona glabra,-82.4339,28.008,15.60546684
Annona glabra,-82.430381,27.525048,1.229792356
Annona glabra,-82.422347,27.115603,0.829419255
Annona glabra,-82.422342,27.115428,0.546679974
Annona glabra,-82.420251,27.114314,0.053660396
Annona glabra,-82.419595,27.114475,1.36676538
Annona glabra,-82.358586,27.513332,7.247292519
Annona glabra,-82.344364,28.00568,5.997606277
Annona glabra,-82.2778,27.0364,1.17745769
Annona glabra,-82.169672,26.480836,0.524705768
Annona glabra,-82.169555,26.48085,0.471337736
Annona glabra,-82.148989,26.660452,0.958950818
Annona glabra,-82.113742,26.635279,1.082554817
Annona glabra,-82.113614,26.635214,1.178034902
Annona glabra,-82.113472,26.44578,1.083022118
Annona glabra,-82.112899,26.445558,1.711089492
Annona glabra,-82.112704,26.445636,1.412876964
Annona glabra,-82.112607,26.445696,0.775458992
Annona glabra,-82.11257,26.445617,0.731397927
Annona glabra,-82.097565,26.43921,0.881830156
Annona glabra,-82.097141,26.439259,0.952099562
