species,decimalLongitude,decimalLatitude,elevation
Carya alba,-97.128889,33.096944,180.7060547
Carya alba,-97.002482,38.348349,409.8503418
Carya alba,-96.731741,32.440729,147.9158325
Carya alba,-96.7312,32.4408,143.4872589
Carya alba,-96.564372,32.639505,124.1342697
Carya alba,-96.398488,36.629189,261.2463379
Carya alba,-96.101897,36.17217,296.4433289
Carya alba,-96.092854,31.786169,117.8638382
Carya alba,-96.04547,37.23943,286.9371033
Carya alba,-95.976403,31.180647,102.2430191
Carya alba,-95.936545,33.699845,170.2790222
Carya alba,-95.899769,34.217249,143.2160034
Carya alba,-95.879757,31.937479,79.59525299
Carya alba,-95.71,37.09,258.4213562
Carya alba,-95.684297,33.812142,159.6283569
Carya alba,-95.66137,37.50944,246.4953156
Carya alba,-95.582295,32.566608,124.0105057
Carya alba,-95.5754,36.6899,202.9983063
Carya alba,-95.5508,32.398,172.3310394
Carya alba,-95.545829,32.398989,148.2252197
Carya alba,-95.536845,30.625994,88.10997009
Carya alba,-95.457345,32.327392,105.4730682
Carya alba,-95.39312,32.59371,93.22961426
Carya alba,-95.367766,31.78345,120.9304276
Carya alba,-95.358014,34.934806,214.2623291
Carya alba,-95.317545,32.560075,104.039444
Carya alba,-95.298688,32.290378,141.3483276
Carya alba,-95.297887,32.476439,139.3924255
Carya alba,-95.297791,32.471241,170.1210632
Carya alba,-95.293288,32.476253,138.0348511
Carya alba,-95.266813,33.35263,109.216568
Carya alba,-95.25729,32.636569,115.2562332
Carya alba,-95.208674,30.349974,54.56701279
Carya alba,-95.207886,35.767513,161.1283722
Carya alba,-95.1333,32.2,117.296463
Carya alba,-95.11904,36.089039,263.7780151
Carya alba,-95.11585,32.47551,104.1357727
Carya alba,-95.110393,32.26074,129.9658356
Carya alba,-95.091667,33.116667,103.9883957
Carya alba,-95.083333,33.75,133.964859
Carya alba,-95.0167,36,244.7570953
Carya alba,-95.00932,38.97787,252.8471375
Carya alba,-94.969947,32.760761,105.468483
Carya alba,-94.96944,35.57086,267.2501221
Carya alba,-94.9433,33.787,121.2730789
Carya alba,-94.92765,36.873767,231.5720673
Carya alba,-94.924821,34.325695,234.0823669
Carya alba,-94.920292,37.265905,267.8407898
Carya alba,-94.903433,35.730155,206.2755737
Carya alba,-94.890761,34.17818,196.776413
Carya alba,-94.88041,34.188906,216.2340851
Carya alba,-94.8744,38.1317,310.4420776
Carya alba,-94.861703,34.193321,201.4723053
Carya alba,-94.859112,33.577675,126.7065887
Carya alba,-94.850486,36.089472,251.1647644
Carya alba,-94.850278,30.309167,47.25331116
Carya alba,-94.846971,34.235292,248.4957581
Carya alba,-94.831465,34.21457,222.6005554
Carya alba,-94.82272,35.460366,156.9887238
Carya alba,-94.814735,30.456711,20.13636971
Carya alba,-94.808843,35.456851,166.731781
Carya alba,-94.80864,38.98062,281.5909119
Carya alba,-94.7825,30.499444,38.75109863
Carya alba,-94.781466,34.219986,257.1810608
Carya alba,-94.777451,35.966199,246.7351074
Carya alba,-94.775289,34.23343,290.3945618
Carya alba,-94.770767,36.206052,362.1318359
Carya alba,-94.760795,33.552256,141.9886475
Carya alba,-94.759825,37.418514,279.6667786
Carya alba,-94.755244,35.495353,168.7341766
Carya alba,-94.743275,32.512196,88.3629837
Carya alba,-94.739173,34.17338,217.7641144
Carya alba,-94.723452,32.528028,109.9265823
Carya alba,-94.705293,33.951687,102.0500641
Carya alba,-94.7,34.05,132.5965271
Carya alba,-94.7,36.1833,284.2079773
Carya alba,-94.7,37.1667,263.54245
Carya alba,-94.696786,34.575524,341.7691956
Carya alba,-94.696055,34.12594,175.385498
Carya alba,-94.692133,34.154852,179.8916016
Carya alba,-94.69191,34.322823,213.2005463
Carya alba,-94.689338,34.288314,221.7450104
Carya alba,-94.68703,34.572332,327.8456726
Carya alba,-94.686349,34.393016,294.6564941
Carya alba,-94.684632,34.152978,204.5041046
Carya alba,-94.6812,37.00934,261.0796204
Carya alba,-94.663292,37.03641,282.5288086
Carya alba,-94.662262,30.642597,92.6594696
Carya alba,-94.662201,35.707139,326.356781
Carya alba,-94.65488,37.03957,266.9359131
Carya alba,-94.65346,37.03948,267.1638184
Carya alba,-94.65082,37.17632,263.1124268
Carya alba,-94.649804,37.17088,270.8970947
Carya alba,-94.646522,37.183307,254.210434
Carya alba,-94.64312,37.178206,255.5951385
Carya alba,-94.64155,37.04367,255.5277863
Carya alba,-94.640972,35.881527,310.0472717
Carya alba,-94.639864,37.043596,269.8244019
Carya alba,-94.63967,37.05704,296.609314
Carya alba,-94.638978,34.612724,628.7807617
Carya alba,-94.63755,37.02447,299.2532349
Carya alba,-94.632194,34.612166,682.0979614
Carya alba,-94.62717,31.640799,125.6140747
Carya alba,-94.626278,37.133898,251.5495148
Carya alba,-94.623533,35.90741,278.713501
Carya alba,-94.62137,37.44371,284.9848938
Carya alba,-94.593847,34.684428,751.0679932
Carya alba,-94.571309,36.106765,293.4046631
Carya alba,-94.5702,36.1092,298.9273376
Carya alba,-94.555121,36.1227,298.630249
Carya alba,-94.551125,36.126003,317.8302307
Carya alba,-94.518305,36.267818,350.2553711
Carya alba,-94.518263,37.046346,293.7001343
Carya alba,-94.4852,36.5456,251.9984741
Carya alba,-94.485,36.545556,252.7823181
Carya alba,-94.484738,30.822638,99.42784119
Carya alba,-94.484545,30.822578,102.195816
Carya alba,-94.463004,37.146448,303.8970642
Carya alba,-94.41728,34.943199,582.7020874
Carya alba,-94.404363,34.177723,161.0840759
Carya alba,-94.398914,35.789491,452.3061218
