species,decimalLongitude,decimalLatitude,elevation
Chamaecyparis thyoides,-89.6841,30.5279,19.03537178
Chamaecyparis thyoides,-89.571076,30.725837,41.46642303
Chamaecyparis thyoides,-89.5552,30.7476,49.07645798
Chamaecyparis thyoides,-89.5346,30.7911,62.51297379
Chamaecyparis thyoides,-89.528258,30.821381,80.04463196
Chamaecyparis thyoides,-89.498368,30.809389,98.25495911
Chamaecyparis thyoides,-89.474458,30.788851,81.9573288
Chamaecyparis thyoides,-89.425401,30.330542,-0.460248917
Chamaecyparis thyoides,-89.135328,30.858244,79.70837402
Chamaecyparis thyoides,-89.13528,30.85806,78.82254028
Chamaecyparis thyoides,-88.794114,30.410662,6.157306671
Chamaecyparis thyoides,-88.739167,30.780556,12.07129669
Chamaecyparis thyoides,-88.737222,30.431944,5.350821972
Chamaecyparis thyoides,-88.732222,30.624444,38.85547638
Chamaecyparis thyoides,-88.71583,31.43722,88.19042206
Chamaecyparis thyoides,-88.689137,30.5329,2.591564894
Chamaecyparis thyoides,-88.687696,30.530568,4.627858639
Chamaecyparis thyoides,-88.6875,30.54028,9.255831718
Chamaecyparis thyoides,-88.684673,30.527977,2.226353168
Chamaecyparis thyoides,-88.679886,30.501715,0.029514374
Chamaecyparis thyoides,-88.679717,30.50135,4.192316532
Chamaecyparis thyoides,-88.677724,30.529682,3.732890606
Chamaecyparis thyoides,-88.677696,30.529454,3.231882095
Chamaecyparis thyoides,-88.676538,30.551118,4.685028076
Chamaecyparis thyoides,-88.625101,30.456005,7.299870014
Chamaecyparis thyoides,-88.587644,30.711487,16.65781212
Chamaecyparis thyoides,-88.580879,30.613502,2.834625721
Chamaecyparis thyoides,-88.54361,30.570931,10.33333683
Chamaecyparis thyoides,-88.5246,30.4642,3.927174807
Chamaecyparis thyoides,-88.453333,30.438333,1.625323296
Chamaecyparis thyoides,-88.451389,30.663611,8.491358757
Chamaecyparis thyoides,-88.44957,30.79756,23.93334961
Chamaecyparis thyoides,-88.4492,30.79758,24.5528698
Chamaecyparis thyoides,-88.442092,30.46512,0
Chamaecyparis thyoides,-88.44208,30.46503,0.979243338
Chamaecyparis thyoides,-88.442033,30.464638,4.996213913
Chamaecyparis thyoides,-88.442,30.465,3.426291466
Chamaecyparis thyoides,-88.44197,30.465097,0
Chamaecyparis thyoides,-88.436944,30.486111,0.399288774
Chamaecyparis thyoides,-88.431111,30.629722,10.47305775
Chamaecyparis thyoides,-88.4311,30.62972,10.43926334
Chamaecyparis thyoides,-88.4287,30.80027,32.98562241
Chamaecyparis thyoides,-88.428611,30.800278,33.25760269
Chamaecyparis thyoides,-88.428333,30.602222,10.13437271
Chamaecyparis thyoides,-88.4158,30.509,2.630155563
Chamaecyparis thyoides,-88.412811,30.480139,0.481633604
Chamaecyparis thyoides,-88.4081,30.5027,5.68889904
Chamaecyparis thyoides,-88.375948,30.563404,23.47796249
Chamaecyparis thyoides,-88.364553,30.490861,11.57950783
Chamaecyparis thyoides,-88.288812,30.410133,3.333969355
Chamaecyparis thyoides,-88.28,30.4,2.500432253
Chamaecyparis thyoides,-88.09063,30.79001,0.652812243
Chamaecyparis thyoides,-88.047499,30.87324,6.073410988
Chamaecyparis thyoides,-88.040069,30.854323,0.603249907
Chamaecyparis thyoides,-88,31.15,15.15200233
Chamaecyparis thyoides,-87.978767,31.185091,4.698750019
Chamaecyparis thyoides,-87.972588,31.179176,15.56035423
Chamaecyparis thyoides,-87.903605,30.603526,48.71031189
Chamaecyparis thyoides,-87.87913,30.563342,25.81890678
Chamaecyparis thyoides,-87.858007,30.499014,26.20265388
Chamaecyparis thyoides,-87.84054,30.651997,35.85179138
