species,decimalLongitude,decimalLatitude,elevation
Cornus florida,-97.734037,30.285876,159.1190643
Cornus florida,-97.733977,30.2859,158.5111694
Cornus florida,-97.733931,30.285873,158.5111694
Cornus florida,-97.733899,30.285863,158.5111694
Cornus florida,-97.312407,30.101188,112.5817947
Cornus florida,-97.305911,35.22428,317.4614563
Cornus florida,-97.267849,30.112768,184.0700836
Cornus florida,-97.259402,30.083339,137.9044037
Cornus florida,-97.22598,30.11705,118.2782288
Cornus florida,-97.225197,30.119275,119.0222549
Cornus florida,-97.17092,30.091245,149.7221527
Cornus florida,-97.170596,30.094457,144.0614014
Cornus florida,-97.170325,30.090627,148.0198364
Cornus florida,-97.1696,30.087652,140.684433
Cornus florida,-97.16956,30.087864,140.3269958
Cornus florida,-97.169494,30.090761,147.9739075
Cornus florida,-97.169367,30.087365,139.9070892
Cornus florida,-97.167592,30.090902,142.5607605
Cornus florida,-97.16755,30.090925,142.4881897
Cornus florida,-97.167542,30.091003,142.4881897
Cornus florida,-97.16683,30.091778,135.5233154
Cornus florida,-97.166557,30.091395,133.8126373
Cornus florida,-97.166532,30.091993,134.6678314
Cornus florida,-97.166393,30.091815,134.3751221
Cornus florida,-97.165563,30.089511,135.3756409
Cornus florida,-97.164909,30.089624,132.1362915
Cornus florida,-97.1649,30.08978,132.1403351
Cornus florida,-97.164898,30.089782,132.1403351
Cornus florida,-97.164103,30.089592,133.5101013
Cornus florida,-97.164095,30.089597,133.5101013
Cornus florida,-97.162299,30.089603,136.9293518
Cornus florida,-97.162237,30.085535,125.434761
Cornus florida,-97.161853,30.085935,127.0901031
Cornus florida,-97.161843,30.08725,127.1107941
Cornus florida,-97.161123,30.086597,126.3917618
Cornus florida,-97.160702,30.087013,128.2365723
Cornus florida,-97.152062,30.004477,98.69710541
Cornus florida,-97.151987,30.004364,98.64875031
Cornus florida,-97.142556,30.008253,97.91358948
Cornus florida,-97.137226,34.222893,250.0402832
Cornus florida,-97.117172,34.145725,242.1655884
Cornus florida,-97.057319,34.163861,260.7524109
Cornus florida,-97.049164,34.113269,252.8784637
Cornus florida,-97.049022,34.113255,252.7046967
Cornus florida,-97.038409,34.174216,247.9983063
Cornus florida,-97.029203,34.108261,252.5836945
Cornus florida,-97.02902,34.108231,252.2731323
Cornus florida,-97.028978,34.107867,251.4454193
Cornus florida,-97.028778,34.108264,251.5311584
Cornus florida,-97.028755,34.1082,251.7263947
Cornus florida,-97.025473,34.108054,249.3934937
Cornus florida,-96.999936,34.498247,292.8347778
Cornus florida,-96.998663,32.605823,176.146637
Cornus florida,-96.998618,32.605777,176.146637
Cornus florida,-96.973999,32.609467,213.8566589
Cornus florida,-96.973695,32.606237,229.031723
Cornus florida,-96.973608,32.606253,229.1500702
Cornus florida,-96.973448,32.606548,227.0365906
Cornus florida,-96.973422,32.606686,224.0815277
Cornus florida,-96.973412,32.606532,225.9335175
Cornus florida,-96.973312,32.60638,227.6548767
Cornus florida,-96.9733,32.606502,224.5769043
Cornus florida,-96.97328,32.606628,223.7581177
Cornus florida,-96.97325,32.606505,224.5769043
Cornus florida,-96.973213,32.606308,228.4633026
Cornus florida,-96.972976,32.606515,227.0981445
Cornus florida,-96.972585,32.607764,221.3626251
Cornus florida,-96.972496,32.609071,205.0636139
Cornus florida,-96.971116,32.613395,185.9000092
Cornus florida,-96.971099,32.613501,185.6129913
Cornus florida,-96.971032,32.61351,185.6129913
Cornus florida,-96.970583,34.502704,287.6289673
Cornus florida,-96.960062,34.500195,297.4006348
Cornus florida,-96.950671,34.504143,318.3121948
Cornus florida,-96.950613,34.504145,318.4855347
Cornus florida,-96.91317,30.4005,125.4115524
Cornus florida,-96.913167,30.4005,125.4115524
