species,decimalLongitude,decimalLatitude,elevation
Fagus grandifolia,-95.487378,30.195009,41.20127487
Fagus grandifolia,-95.39837,30.088039,25.66389847
Fagus grandifolia,-95.220514,30.54494,89.9778595
Fagus grandifolia,-95.208297,30.350788,53.20967865
Fagus grandifolia,-95.129382,30.592421,109.6181259
Fagus grandifolia,-95.097356,30.510413,68.9911499
Fagus grandifolia,-95.095659,30.511378,63.43798828
Fagus grandifolia,-95.094833,30.512603,60.18476868
Fagus grandifolia,-95.088849,30.507048,57.27221298
Fagus grandifolia,-95.088425,30.507025,55.99819946
Fagus grandifolia,-95.087189,30.505837,54.94483948
Fagus grandifolia,-94.935763,30.621644,43.97978592
Fagus grandifolia,-94.9207,30.589672,47.55591965
Fagus grandifolia,-94.90713,30.71432,62.52815247
Fagus grandifolia,-94.872719,30.646311,84.52282715
Fagus grandifolia,-94.827153,30.996856,71.70158386
Fagus grandifolia,-94.811542,30.507731,42.78248215
Fagus grandifolia,-94.719138,30.43996,34.83049774
Fagus grandifolia,-94.71672,30.71633,64.06691742
Fagus grandifolia,-94.700761,30.694432,73.86886597
Fagus grandifolia,-94.690898,30.621152,60.52539825
Fagus grandifolia,-94.688512,30.503724,36.96976089
Fagus grandifolia,-94.679017,30.74078,97.11911774
Fagus grandifolia,-94.674408,30.593603,54.47425842
Fagus grandifolia,-94.642403,31.620838,86.18360901
Fagus grandifolia,-94.642394,31.620817,85.95484924
Fagus grandifolia,-94.642239,30.573291,49.4416008
Fagus grandifolia,-94.636306,30.582875,45.72309875
Fagus grandifolia,-94.636078,31.827433,120.2079391
Fagus grandifolia,-94.633952,31.827951,128.5567932
Fagus grandifolia,-94.608761,31.754868,106.2635422
Fagus grandifolia,-94.582162,34.641972,288.1217957
Fagus grandifolia,-94.54967,34.71066,280.1080627
Fagus grandifolia,-94.536614,34.553563,478.7148743
Fagus grandifolia,-94.521713,30.594837,42.17669678
Fagus grandifolia,-94.514511,34.486897,229.8271942
Fagus grandifolia,-94.513677,34.555899,423.5980225
Fagus grandifolia,-94.508463,30.774299,119.9906998
Fagus grandifolia,-94.50555,34.710652,414.9008179
Fagus grandifolia,-94.485367,30.823147,90.12924194
Fagus grandifolia,-94.484578,30.822363,103.2078705
Fagus grandifolia,-94.484443,30.822812,101.4190292
