"species","decimalLongitude","decimalLatitude","elevation"
"Fraxinus albicans",-96.773986,32.569267,149.219787597656
"Fraxinus albicans",-96.965159,32.632336,188.125457763672
"Fraxinus albicans",-96.966386,34.502935,293.713806152344
"Fraxinus albicans",-96.966667,32.633333,185.671630859375
"Fraxinus albicans",-96.98196,34.49509,324.923980712891
"Fraxinus albicans",-97.00539,34.46571,264.676666259766
"Fraxinus albicans",-97.066942,31.455725,121.094108581543
"Fraxinus albicans",-97.14667,31.549333,143.681564331055
"Fraxinus albicans",-97.148244,31.570898,129.129440307617
"Fraxinus albicans",-97.156096,31.583609,149.975204467773
"Fraxinus albicans",-97.156397,31.583061,151.056945800781
"Fraxinus albicans",-97.156397,31.583499,150.448745727539
"Fraxinus albicans",-97.157285,31.581154,151.026092529297
"Fraxinus albicans",-97.191895,31.564028,141.640853881836
"Fraxinus albicans",-97.218372,31.761648,150.616119384766
"Fraxinus albicans",-97.232192,32.78003,149.124069213867
"Fraxinus albicans",-97.233873,31.511433,168.168655395508
"Fraxinus albicans",-97.261759,32.758015,185.219085693359
"Fraxinus albicans",-97.277876,31.521222,145.554489135742
"Fraxinus albicans",-97.468626,31.327982,217.871429443359
"Fraxinus albicans",-97.471291,31.662956,174.547958374023
"Fraxinus albicans",-97.472086,31.324546,214.301666259766
"Fraxinus albicans",-97.472312,31.313883,186.786926269531
"Fraxinus albicans",-97.478,32.8295,209.573883056641
"Fraxinus albicans",-97.486981,32.836039,194.844192504883
"Fraxinus albicans",-97.5,31.37,234.219299316406
"Fraxinus albicans",-97.590556,29.951944,144.177841186523
"Fraxinus albicans",-97.61611,31.21138,261.943237304688
"Fraxinus albicans",-97.637222,31.202222,185.141616821289
"Fraxinus albicans",-97.638039,31.433265,267.050354003906
"Fraxinus albicans",-97.681046,31.457367,309.141448974609
"Fraxinus albicans",-97.7,31.883333,285.417388916016
"Fraxinus albicans",-97.7292,33.1047,241.124954223633
"Fraxinus albicans",-97.770885,30.381903,179.794021606445
"Fraxinus albicans",-97.780083,30.284833,153.050933837891
"Fraxinus albicans",-97.787104,30.290647,133.887008666992
"Fraxinus albicans",-97.787185,30.366503,161.530944824219
"Fraxinus albicans",-97.787273,32.475711,211.147399902344
"Fraxinus albicans",-97.84859,30.08629,205.640350341797
"Fraxinus albicans",-97.86,30.47,285.312194824219
"Fraxinus albicans",-97.875045,30.623441,266.909729003906
"Fraxinus albicans",-97.875048,30.623441,266.909729003906
"Fraxinus albicans",-98.022261,32.235722,302.533142089844
"Fraxinus albicans",-98.299107,30.592531,265.441955566406
"Fraxinus albicans",-98.3029,32.43295,363.456573486328
"Fraxinus albicans",-98.304972,32.60461,334.768188476562
"Fraxinus albicans",-98.305,32.6046,334.768188476562
"Fraxinus albicans",-98.372024,32.841279,285.57177734375
"Fraxinus albicans",-98.414683,33.002167,320.381866455078
"Fraxinus albicans",-98.526354,29.742078,346.287567138672
"Fraxinus albicans",-98.56071,32.5363,324.629791259766
"Fraxinus albicans",-98.830833,29.54583,328.099517822266
"Fraxinus albicans",-98.830833,29.545833,326.301055908203
