species,decimalLongitude,decimalLatitude,elevation
Fraxinus caroliniana,-95.657718,30.253693,50.44478226
Fraxinus caroliniana,-95.16667,30.11667,21.65547752
Fraxinus caroliniana,-94.679097,30.599266,56.17731476
Fraxinus caroliniana,-94.264764,31.390312,67.14341736
Fraxinus caroliniana,-94.16667,30.25,5.22527504
Fraxinus caroliniana,-94.166667,30.25,5.22527504
Fraxinus caroliniana,-94.164582,30.251481,4.304721355
Fraxinus caroliniana,-94.15944,29.87583,1.51898253
Fraxinus caroliniana,-94.026,32.991,58.68206406
Fraxinus caroliniana,-93.897638,30.120618,0.703307509
Fraxinus caroliniana,-93.70297,30.127066,0.516471326
Fraxinus caroliniana,-93.5261,30.3238,4.372815609
Fraxinus caroliniana,-93.35575,32.615409,51.60638428
Fraxinus caroliniana,-93.296944,32.034444,42.90447998
Fraxinus caroliniana,-93.177167,32.156878,39.22343826
Fraxinus caroliniana,-93.17,32.08,38.41178131
Fraxinus caroliniana,-92.883381,31.979984,32.01512146
Fraxinus caroliniana,-92.747001,33.838588,44.78588867
Fraxinus caroliniana,-92.688158,33.535466,30.85577011
Fraxinus caroliniana,-92.587016,33.344388,28.71058273
Fraxinus caroliniana,-92.325073,33.779703,50.45824814
Fraxinus caroliniana,-92.183881,32.342718,35.33319473
Fraxinus caroliniana,-92.178896,32.289854,22.41564751
Fraxinus caroliniana,-92.178611,32.29,22.33628845
Fraxinus caroliniana,-92.091,29.914,0.420814306
Fraxinus caroliniana,-92.069046,33.610036,68.12890625
Fraxinus caroliniana,-92.064583,33.612609,66.63763428
Fraxinus caroliniana,-92.06444,33.6125,66.68229675
Fraxinus caroliniana,-91.97197,33.57703,34.86476898
Fraxinus caroliniana,-91.971825,33.576258,34.86507797
Fraxinus caroliniana,-91.851095,33.357679,58.57268906
Fraxinus caroliniana,-91.810142,33.588033,77.60800934
Fraxinus caroliniana,-91.807724,32.981726,28.57735825
Fraxinus caroliniana,-91.770457,33.22629,45.25989532
Fraxinus caroliniana,-91.584508,33.580397,39.39290237
Fraxinus caroliniana,-91.5747,33.5536,38.31232834
Fraxinus caroliniana,-91.570022,33.60696,39.97503281
Fraxinus caroliniana,-91.006653,30.599955,20.31895638
Fraxinus caroliniana,-90.730324,30.102732,-0.209999993
Fraxinus caroliniana,-90.64993,30.38649,1.130517483
Fraxinus caroliniana,-90.64464,30.23313,-0.25
Fraxinus caroliniana,-90.542189,30.094109,0.301397234
Fraxinus caroliniana,-90.357767,30.506302,7.161515236
Fraxinus caroliniana,-90.170811,30.383007,0.491468102
Fraxinus caroliniana,-90.117706,29.783731,0.349382073
Fraxinus caroliniana,-90.037163,30.351829,0.308032215
Fraxinus caroliniana,-89.966187,30.507503,11.79310608
Fraxinus caroliniana,-89.966142,30.507736,11.87605286
Fraxinus caroliniana,-89.965986,30.505883,12.24947643
Fraxinus caroliniana,-89.965986,30.507803,12.02286243
Fraxinus caroliniana,-89.96579,30.50803,11.73344612
Fraxinus caroliniana,-89.965189,30.508548,12.00539017
Fraxinus caroliniana,-89.813,30.6785,15.95778561
Fraxinus caroliniana,-89.8094,30.6181,14.19131851
Fraxinus caroliniana,-89.8055,30.6532,17.87839699
Fraxinus caroliniana,-89.7402,30.5395,7.350013256
Fraxinus caroliniana,-89.730065,30.525459,11.53890419
Fraxinus caroliniana,-89.706955,30.306913,2.126864195
Fraxinus caroliniana,-89.65429,31.416688,106.4692383
Fraxinus caroliniana,-89.59428,30.43938,9.205343246
Fraxinus caroliniana,-89.569463,30.361375,5.199898243
Fraxinus caroliniana,-89.5552,30.7476,49.07645798
Fraxinus caroliniana,-89.552457,30.364167,4.60042572
Fraxinus caroliniana,-89.461503,31.2387,73.96756744
Fraxinus caroliniana,-89.45858,31.246522,74.14959717
Fraxinus caroliniana,-89.237082,31.051491,58.12800217
Fraxinus caroliniana,-89.219293,31.10972,61.90819168
Fraxinus caroliniana,-89.117054,31.05422,40.85258102
Fraxinus caroliniana,-89.105,32.845,118.4516373
Fraxinus caroliniana,-89.09909,32.84411,118.1699982
Fraxinus caroliniana,-89.09783,32.84401,118.1744995
Fraxinus caroliniana,-89.0966,32.8412,118.3092346
Fraxinus caroliniana,-89.096,32.838,118.1776886
Fraxinus caroliniana,-88.924464,32.921375,124.7726898
Fraxinus caroliniana,-88.876365,31.469976,53.39251328
Fraxinus caroliniana,-88.867505,31.528195,58.13278961
Fraxinus caroliniana,-88.775612,30.73403,7.498672962
Fraxinus caroliniana,-88.73236,33.46758,75.28436279
Fraxinus caroliniana,-88.7222,30.70922,12.56080818
Fraxinus caroliniana,-88.582437,30.498954,1.124461532
Fraxinus caroliniana,-88.580879,30.613502,2.834625721
Fraxinus caroliniana,-88.551389,30.523611,0.306805432
Fraxinus caroliniana,-88.486944,30.422222,0
Fraxinus caroliniana,-88.436944,30.486111,0.399288774
Fraxinus caroliniana,-88.436013,30.58796,15.47326183
Fraxinus caroliniana,-88.426389,30.471389,4.242082596
Fraxinus caroliniana,-88.4,30.43,1.717819452
Fraxinus caroliniana,-88.4,30.43333,1.949710131
Fraxinus caroliniana,-88.22573,32.843853,33.18499756
Fraxinus caroliniana,-88.207523,30.792691,67.84402466
Fraxinus caroliniana,-87.98175,32.24316,17.85983467
Fraxinus caroliniana,-87.915,30.8153,0.407889992
Fraxinus caroliniana,-87.8825,31.012222,0.035643954
Fraxinus caroliniana,-87.88,31.01,6.151763916
Fraxinus caroliniana,-87.87,30.95,5.674510479
Fraxinus caroliniana,-87.703,32.962,33.60411835
Fraxinus caroliniana,-87.7,32.96,32.32693863
Fraxinus caroliniana,-87.67,33.09,38.31000137
Fraxinus caroliniana,-87.635136,30.866441,30.5008831
Fraxinus caroliniana,-87.6,33.11,34.31976318
Fraxinus caroliniana,-87.38026,30.706772,45.39791107
Fraxinus caroliniana,-87.263751,30.669966,0.480561584
Fraxinus caroliniana,-87.228335,30.959806,14.60453415
Fraxinus caroliniana,-87.222085,30.959786,13.45371819
Fraxinus caroliniana,-87.219,30.559,1.427629828
Fraxinus caroliniana,-87.0397,30.6324,9.327730179
Fraxinus caroliniana,-87.035803,30.633378,0.71826905
Fraxinus caroliniana,-87,32.875,141.5159454
Fraxinus caroliniana,-86.98083,30.659335,1.213134885
Fraxinus caroliniana,-86.91066,32.39408,39.57539749
Fraxinus caroliniana,-86.89389,31.60611,70.55801392
Fraxinus caroliniana,-86.89389,31.606112,70.55801392
Fraxinus caroliniana,-86.89,31.6,68.99813843
Fraxinus caroliniana,-86.847133,30.674851,49.37014389
Fraxinus caroliniana,-86.75177,30.676364,10.34500504
Fraxinus caroliniana,-86.74579,30.672197,7.356431961
Fraxinus caroliniana,-86.673611,31.613333,73.31034851
Fraxinus caroliniana,-86.67,31.61,72.93961334
Fraxinus caroliniana,-86.406,31.597,71.1156311
Fraxinus caroliniana,-86.1,30.3667,4.162059784
Fraxinus caroliniana,-85.957779,31.932501,108.7519608
Fraxinus caroliniana,-85.957778,31.9325,109.5530701
Fraxinus caroliniana,-85.95,31.93,118.2476425
Fraxinus caroliniana,-85.808677,30.770848,15.57426167
Fraxinus caroliniana,-85.7033,30.6689,21.85982132
Fraxinus caroliniana,-85.67972,30.742316,21.57398987
Fraxinus caroliniana,-85.625531,30.305154,7.650795937
Fraxinus caroliniana,-85.6167,30.2,9.164649963
Fraxinus caroliniana,-85.55769,30.38561,2.225790501
Fraxinus caroliniana,-85.55619,30.38514,2.951486826
Fraxinus caroliniana,-85.55617,30.38578,2.573591709
Fraxinus caroliniana,-85.54828,30.43261,5.038887024
