species,decimalLongitude,decimalLatitude,elevation
Gymnocladus dioicus,-99.772521,36.134973,747.1286621
Gymnocladus dioicus,-99.727578,35.870787,613.9907837
Gymnocladus dioicus,-99.721947,35.568611,633.8042603
Gymnocladus dioicus,-99.721944,35.551944,657.9956055
Gymnocladus dioicus,-99.721944,35.568611,633.8042603
Gymnocladus dioicus,-99.719722,35.568889,630.8270874
Gymnocladus dioicus,-99.719444,35.569168,629.5441284
Gymnocladus dioicus,-99.714532,35.741096,624.90802
Gymnocladus dioicus,-99.304655,36.450313,563.4789429
Gymnocladus dioicus,-99.303453,36.44857,563.9405518
Gymnocladus dioicus,-99.300483,36.452578,564.7712402
Gymnocladus dioicus,-99.300322,36.453517,571.145813
Gymnocladus dioicus,-99.298888,36.458333,571.7061768
Gymnocladus dioicus,-99.294782,36.453191,564.8353882
Gymnocladus dioicus,-99.291677,36.453096,572.9175415
Gymnocladus dioicus,-99.267703,36.427145,559.4632568
Gymnocladus dioicus,-98.984868,36.871396,567.4472046
Gymnocladus dioicus,-98.967307,35.515606,476.4223633
Gymnocladus dioicus,-98.721046,35.599766,486.4537659
Gymnocladus dioicus,-98.527246,36.413044,383.9190979
Gymnocladus dioicus,-98.354772,35.436989,445.6131287
Gymnocladus dioicus,-98.353293,35.457266,463.1784973
Gymnocladus dioicus,-98.352371,35.436527,447.4159546
Gymnocladus dioicus,-98.352004,35.44922,480.1703796
Gymnocladus dioicus,-98.307287,35.41082,450.3094177
Gymnocladus dioicus,-98.25665,38.9683,467.5488281
Gymnocladus dioicus,-98.25279,38.34792,514.0857544
Gymnocladus dioicus,-98.227995,38.733077,472.0744324
Gymnocladus dioicus,-98.034028,38.702386,474.8731689
Gymnocladus dioicus,-98.014202,39.887777,469.4040527
Gymnocladus dioicus,-97.933875,38.076867,468.7335205
Gymnocladus dioicus,-97.87074,38.57006,423.4300232
Gymnocladus dioicus,-97.855864,38.116152,479.9240723
Gymnocladus dioicus,-97.83,35.63,384.3451538
Gymnocladus dioicus,-97.774062,35.55207,404.3753662
Gymnocladus dioicus,-97.74634,39.091187,392.0111084
Gymnocladus dioicus,-97.73589,39.090951,388.3623047
Gymnocladus dioicus,-97.735863,39.09092,389.6098022
Gymnocladus dioicus,-97.735855,39.091084,387.6716003
Gymnocladus dioicus,-97.733564,35.594758,357.1332703
Gymnocladus dioicus,-97.731553,39.087035,386.9026489
Gymnocladus dioicus,-97.704895,38.627792,442.1348572
Gymnocladus dioicus,-97.7037,37.2195,370.3934021
Gymnocladus dioicus,-97.677337,35.537227,381.3901367
Gymnocladus dioicus,-97.676772,37.256259,370.4787292
Gymnocladus dioicus,-97.676232,35.534433,378.1990967
Gymnocladus dioicus,-97.670585,35.469842,372.3891602
Gymnocladus dioicus,-97.668006,35.533989,380.3476868
Gymnocladus dioicus,-97.635523,35.453965,367.6520081
Gymnocladus dioicus,-97.630228,35.779225,313.9382935
Gymnocladus dioicus,-97.60988,39.750874,425.6247864
Gymnocladus dioicus,-97.608418,35.605811,328.8411865
Gymnocladus dioicus,-97.602628,39.774462,455.198761
Gymnocladus dioicus,-97.583649,38.07602,429.5897217
Gymnocladus dioicus,-97.567411,38.783675,376.9213562
Gymnocladus dioicus,-97.56646,38.768433,394.6655884
Gymnocladus dioicus,-97.549323,35.229217,342.4386292
Gymnocladus dioicus,-97.542379,35.547643,359.257782
Gymnocladus dioicus,-97.503703,35.686201,345.5600586
Gymnocladus dioicus,-97.503608,35.68688,338.1676636
Gymnocladus dioicus,-97.502627,35.306726,358.8405762
Gymnocladus dioicus,-97.501767,35.211624,339.4000549
Gymnocladus dioicus,-97.49478,35.20423,337.2985535
Gymnocladus dioicus,-97.486502,35.208232,349.2856445
Gymnocladus dioicus,-97.46854,35.51593,341.9076538
Gymnocladus dioicus,-97.4608,35.807687,301.0429993
Gymnocladus dioicus,-97.450065,35.180385,339.7096558
Gymnocladus dioicus,-97.44714,35.179747,333.5131531
Gymnocladus dioicus,-97.445481,35.209977,355.1401367
Gymnocladus dioicus,-97.43735,38.45861,436.5448914
Gymnocladus dioicus,-97.426322,35.242103,364.2598267
Gymnocladus dioicus,-97.426165,35.242002,365.2576904
Gymnocladus dioicus,-97.42075,39.05423,389.8340759
Gymnocladus dioicus,-97.417488,37.712837,400.8204041
Gymnocladus dioicus,-97.403008,35.496975,352.2607117
Gymnocladus dioicus,-97.399121,35.488559,355.0311279
Gymnocladus dioicus,-97.394406,39.114097,439.8460388
Gymnocladus dioicus,-97.39063,35.183239,355.3327942
Gymnocladus dioicus,-97.390617,35.188339,343.7793274
Gymnocladus dioicus,-97.390443,35.188238,342.0660706
Gymnocladus dioicus,-97.377736,35.458464,362.0588684
Gymnocladus dioicus,-97.360335,35.648883,300.3900452
Gymnocladus dioicus,-97.357042,37.709883,399.5027466
Gymnocladus dioicus,-97.355355,37.705595,398.0935669
Gymnocladus dioicus,-97.353669,37.705596,397.5691223
Gymnocladus dioicus,-97.353614,37.706521,398.1390381
Gymnocladus dioicus,-97.347255,37.720757,398.9755554
Gymnocladus dioicus,-97.338589,38.075466,436.9808044
Gymnocladus dioicus,-97.331671,35.075061,345.9890137
Gymnocladus dioicus,-97.327436,37.628041,389.6957092
Gymnocladus dioicus,-97.3229,39.01652,406.6972351
Gymnocladus dioicus,-97.320604,39.092224,400.4901123
Gymnocladus dioicus,-97.3181,36.674822,291.0924377
Gymnocladus dioicus,-97.31657,39.03948,407.4150085
Gymnocladus dioicus,-97.314513,37.796517,422.2715149
Gymnocladus dioicus,-97.310217,35.21878,336.7957153
Gymnocladus dioicus,-97.300647,35.658802,287.8560181
Gymnocladus dioicus,-97.285941,37.555262,381.1575317
Gymnocladus dioicus,-97.2828,36.8045,309.0722351
Gymnocladus dioicus,-97.282547,38.907595,350.2683105
Gymnocladus dioicus,-97.271498,37.744773,413.3995972
Gymnocladus dioicus,-97.266112,37.74353,411.9419556
Gymnocladus dioicus,-97.265935,37.748931,418.5987854
Gymnocladus dioicus,-97.263783,37.748417,415.8114929
Gymnocladus dioicus,-97.20129,39.35036,363.141449
Gymnocladus dioicus,-97.18498,37.727495,414.7865906
Gymnocladus dioicus,-97.161021,37.281884,349.4118958
Gymnocladus dioicus,-97.160819,37.286524,347.2024841
Gymnocladus dioicus,-97.154003,36.154993,283.2131653
Gymnocladus dioicus,-97.128905,36.230822,298.7680664
Gymnocladus dioicus,-97.09341,37.08866,329.2546692
Gymnocladus dioicus,-97.066398,36.15203,278.4441833
Gymnocladus dioicus,-97.063961,36.151775,276.8077087
Gymnocladus dioicus,-97.058348,36.156673,278.9844666
Gymnocladus dioicus,-97.055832,39.301825,359.6928711
Gymnocladus dioicus,-97.035037,39.813905,391.0944519
Gymnocladus dioicus,-97.012993,39.219474,383.6489563
Gymnocladus dioicus,-97.002156,36.467405,279.7122192
Gymnocladus dioicus,-96.91665,36.336975,270.3453979
Gymnocladus dioicus,-96.88747,38.23576,382.6887207
Gymnocladus dioicus,-96.869254,37.353199,381.8800049
Gymnocladus dioicus,-96.86703,37.04922,371.3374023
Gymnocladus dioicus,-96.802222,39.066111,323.6184692
Gymnocladus dioicus,-96.793611,39.103333,375.9717407
Gymnocladus dioicus,-96.780438,42.924207,390.6212463
Gymnocladus dioicus,-96.77518,37.51198,412.9845276
Gymnocladus dioicus,-96.765695,35.578045,259.0225525
Gymnocladus dioicus,-96.765687,35.578045,259.0225525
Gymnocladus dioicus,-96.76001,39.40156,398.3457336
Gymnocladus dioicus,-96.736067,39.295657,387.9885559
Gymnocladus dioicus,-96.708562,40.809802,356.6915588
Gymnocladus dioicus,-96.702782,40.819072,358.544281
Gymnocladus dioicus,-96.702026,43.52327,424.6159973
