species,decimalLongitude,decimalLatitude,elevation
Juglans cinerea,-94.480919,44.299812,260.4173584
Juglans cinerea,-94.316152,46.449469,370.1737671
Juglans cinerea,-94.315732,46.491501,366.0643616
Juglans cinerea,-94.237319,46.466877,372.3521118
Juglans cinerea,-94.220358,45.726178,311.759491
Juglans cinerea,-94.217881,41.846033,300.1565247
Juglans cinerea,-94.215106,46.700736,383.8884277
Juglans cinerea,-94.193969,46.373592,374.9909058
Juglans cinerea,-94.193934,46.373443,373.8023682
Juglans cinerea,-94.177522,44.884012,318.6119995
Juglans cinerea,-94.157203,45.511945,308.1588745
Juglans cinerea,-94.147644,46.654216,380.4025574
Juglans cinerea,-94.120636,45.550055,310.7872314
Juglans cinerea,-94.024745,46.62155,378.0232544
Juglans cinerea,-93.993236,44.337608,278.4332581
Juglans cinerea,-93.73156,45.07794,297.8043518
Juglans cinerea,-93.713327,44.875755,292.2311096
Juglans cinerea,-93.712638,46.530887,366.1529236
Juglans cinerea,-93.646645,45.180463,269.2654114
Juglans cinerea,-93.630882,45.184712,287.0192871
Juglans cinerea,-93.630486,45.194387,268.1975708
Juglans cinerea,-93.618028,44.854613,315.1730652
Juglans cinerea,-93.615319,44.738644,232.4866791
Juglans cinerea,-93.613655,44.737703,230.6290131
Juglans cinerea,-93.611503,44.857503,289.8203125
Juglans cinerea,-93.609606,44.737865,231.2492065
Juglans cinerea,-93.604461,44.736428,232.2081299
Juglans cinerea,-93.604426,44.736546,232.2239685
Juglans cinerea,-93.574178,45.586586,300.3400879
Juglans cinerea,-93.566155,47.226703,389.4413452
Juglans cinerea,-93.562342,47.228531,393.0487366
Juglans cinerea,-93.562231,47.228684,392.3052063
Juglans cinerea,-93.562124,47.228623,391.3959961
Juglans cinerea,-93.544455,44.984617,298.8017273
Juglans cinerea,-93.528425,44.829054,276.7583008
Juglans cinerea,-93.51809,44.823886,245.8909149
Juglans cinerea,-93.515278,36.698889,387.1548767
Juglans cinerea,-93.515193,44.820578,236.5643005
Juglans cinerea,-93.514423,44.818742,220.1996307
Juglans cinerea,-93.512628,44.819887,238.051712
Juglans cinerea,-93.506389,36.702222,280.5022888
Juglans cinerea,-93.448036,44.846291,265.6559143
Juglans cinerea,-93.437128,44.569797,288.4693604
Juglans cinerea,-93.39429,45.186214,260.1140442
Juglans cinerea,-93.392778,36.609444,278.2619934
Juglans cinerea,-93.385623,44.776773,218.9396667
Juglans cinerea,-93.379241,44.88644,259.7049866
Juglans cinerea,-93.378692,44.885897,259.5085144
Juglans cinerea,-93.372995,44.847702,271.1856079
Juglans cinerea,-93.359098,44.853335,252.5142212
Juglans cinerea,-93.35798,44.923049,269.936554
Juglans cinerea,-93.349997,45.955162,324.5226135
Juglans cinerea,-93.318528,44.993567,259.9359131
Juglans cinerea,-93.311844,44.978572,248.7987671
Juglans cinerea,-93.311461,44.979772,251.8930664
Juglans cinerea,-93.310872,44.932597,270.0828552
Juglans cinerea,-93.307953,44.977261,248.9631653
Juglans cinerea,-93.307406,44.976725,254.5365143
Juglans cinerea,-93.30226,44.810111,239.3784332
Juglans cinerea,-93.301733,44.673086,302.2799988
Juglans cinerea,-93.301187,44.67308,301.1232605
Juglans cinerea,-93.300549,44.807045,222.9021912
Juglans cinerea,-93.299968,44.673078,307.2619629
Juglans cinerea,-93.285028,44.90847,260.9639893
Juglans cinerea,-93.26388,44.81466,213.3041534
Juglans cinerea,-93.263471,44.815686,230.1393585
Juglans cinerea,-93.260297,44.880465,258.2733459
Juglans cinerea,-93.247753,44.344995,288.7104492
Juglans cinerea,-93.241669,42.390208,340.6848145
Juglans cinerea,-93.230898,44.919665,252.9455566
Juglans cinerea,-93.224167,36.865833,318.4069824
Juglans cinerea,-93.218692,36.862627,288.63797
Juglans cinerea,-93.21842,44.857471,225.5410156
Juglans cinerea,-93.21398,44.856287,212.9655151
Juglans cinerea,-93.20182,44.384093,291.0404663
Juglans cinerea,-93.200003,45.415241,281.3022461
Juglans cinerea,-93.194227,44.902981,221.3695068
Juglans cinerea,-93.194062,44.900819,215.0995483
Juglans cinerea,-93.188767,44.453545,286.2704773
Juglans cinerea,-93.162324,44.779317,298.3652039
Juglans cinerea,-93.161775,44.779503,294.7453308
Juglans cinerea,-93.160744,44.780017,289.5473328
Juglans cinerea,-93.160627,44.779789,288.3634644
Juglans cinerea,-93.158897,44.780328,287.1691895
Juglans cinerea,-93.158783,44.780188,286.1072388
Juglans cinerea,-93.152934,44.464361,274.7572632
Juglans cinerea,-93.152548,44.467046,271.8893433
Juglans cinerea,-93.151359,44.466443,273.8165283
Juglans cinerea,-93.149139,44.459814,278.5766907
Juglans cinerea,-93.147943,44.460884,275.6643372
Juglans cinerea,-93.147695,44.461421,284.4830933
Juglans cinerea,-93.147658,44.461353,283.7636719
Juglans cinerea,-93.146818,44.459784,277.1737061
Juglans cinerea,-93.145713,44.459791,287.0114136
Juglans cinerea,-93.142068,44.459522,293.9301453
Juglans cinerea,-93.142014,44.460658,297.3716125
Juglans cinerea,-93.141655,44.460456,297.2826233
Juglans cinerea,-93.141567,44.459975,298.3819275
Juglans cinerea,-93.141321,44.461239,294.0878601
Juglans cinerea,-93.130944,45.000446,303.6712646
Juglans cinerea,-93.130933,45.000519,303.7964172
Juglans cinerea,-93.130889,45.00096,299.235199
Juglans cinerea,-93.130853,45.0004,303.5600281
Juglans cinerea,-93.130776,45.000445,303.52771
Juglans cinerea,-93.130714,45.000706,303.1015625
Juglans cinerea,-93.130356,45.000477,303.6993103
Juglans cinerea,-93.13,45,304.137146
Juglans cinerea,-93.129417,44.998767,293.9348145
Juglans cinerea,-93.128355,45.000961,285.0679626
Juglans cinerea,-93.125053,45.016333,274.4610291
Juglans cinerea,-93.118803,45.331721,276.1489258
Juglans cinerea,-93.118197,45.326558,277.6195068
Juglans cinerea,-93.117,45.336665,276.2380371
Juglans cinerea,-93.112792,45.326153,274.9025574
Juglans cinerea,-93.111706,45.320761,275.1233215
Juglans cinerea,-93.105686,45.35778,280.5041504
Juglans cinerea,-93.105445,45.358094,280.7929993
Juglans cinerea,-93.105444,45.357416,277.5195923
Juglans cinerea,-93.10339,44.89387,310.6411133
Juglans cinerea,-93.102097,44.895322,315.4430847
Juglans cinerea,-93.101764,44.893389,308.6515503
Juglans cinerea,-93.101681,44.896293,311.0748901
Juglans cinerea,-93.10163,44.89347,309.5750732
Juglans cinerea,-93.100686,44.892603,312.4423523
Juglans cinerea,-93.100657,44.892763,312.5014343
Juglans cinerea,-93.100425,44.892003,314.5188904
Juglans cinerea,-93.098483,44.895956,312.7027283
Juglans cinerea,-93.092575,44.92733,267.5542908
Juglans cinerea,-93.078683,45.100406,281.9048767
Juglans cinerea,-93.070547,45.322828,272.5473328
Juglans cinerea,-93.070058,45.322943,272.4116516
Juglans cinerea,-93.06902,45.323596,272.1575623
Juglans cinerea,-93.068562,45.323709,272.0965271
Juglans cinerea,-93.068342,45.323332,273.9015198
Juglans cinerea,-93.068183,42.401428,301.8760376
Juglans cinerea,-93.062778,38.848333,191.2413177
Juglans cinerea,-93.062222,37.48,388.1914368
Juglans cinerea,-93.040046,44.262749,365.6190186
Juglans cinerea,-93.024697,45.259383,277.434906
Juglans cinerea,-93.009711,43.546839,350.7696838
Juglans cinerea,-92.999672,46.122575,339.2736206
Juglans cinerea,-92.97141,36.0186,229.7220764
Juglans cinerea,-92.958177,45.312776,272.3486938
