species,decimalLongitude,decimalLatitude,elevation
Juniperus virginiana,-101.872969,41.287803,996.5584717
Juniperus virginiana,-101.668525,41.213996,954.307312
Juniperus virginiana,-101.661322,41.226998,953.5983276
Juniperus virginiana,-101.648736,41.205256,966.1797485
Juniperus virginiana,-101.646325,41.210358,959.8901367
Juniperus virginiana,-101.560745,40.444788,957.7131348
Juniperus virginiana,-101.406272,36.265031,968.5783691
Juniperus virginiana,-101.405078,36.264686,968.2919312
Juniperus virginiana,-101.039444,42.066945,934.5450439
Juniperus virginiana,-100.991028,37.976963,876.2424316
Juniperus virginiana,-100.941512,37.177831,874.2862549
Juniperus virginiana,-100.932175,38.803955,841.559082
Juniperus virginiana,-100.92958,38.689042,860.524231
Juniperus virginiana,-100.928904,38.802531,852.4935913
Juniperus virginiana,-100.928283,38.643295,890.487793
Juniperus virginiana,-100.927362,38.688592,864.9940796
Juniperus virginiana,-100.922249,38.668472,869.694519
Juniperus virginiana,-100.921844,42.037808,961.8220825
Juniperus virginiana,-100.921128,38.668995,863.9591675
Juniperus virginiana,-100.920122,38.666947,865.0662231
Juniperus virginiana,-100.836936,36.075929,911.1781006
Juniperus virginiana,-100.815313,39.730442,860.3338623
Juniperus virginiana,-100.814462,39.7313,857.4331055
Juniperus virginiana,-100.805091,36.981627,834.928833
Juniperus virginiana,-100.778495,41.119797,855.119812
Juniperus virginiana,-100.724175,41.102203,849.3060913
Juniperus virginiana,-100.705467,42.565705,917.0784912
Juniperus virginiana,-100.703757,36.839307,775.5841675
Juniperus virginiana,-100.639168,41.073612,837.8410645
Juniperus virginiana,-100.600984,40.959839,905.7490845
Juniperus virginiana,-100.58869,39.731296,811.6680908
Juniperus virginiana,-100.551784,42.877971,788.2120361
Juniperus virginiana,-100.536469,43.302678,775.0866699
Juniperus virginiana,-100.534928,42.253064,865.0377808
Juniperus virginiana,-100.510018,42.895769,741.2508545
Juniperus virginiana,-100.473778,42.896951,751.0472412
Juniperus virginiana,-100.463899,41.034735,817.8530884
Juniperus virginiana,-100.462285,38.480961,843.5545654
Juniperus virginiana,-100.412743,41.883228,871.9260254
Juniperus virginiana,-100.38333,42.902825,738.1779785
Juniperus virginiana,-100.374643,35.929542,704.5024414
Juniperus virginiana,-100.372122,41.908939,869.5095825
Juniperus virginiana,-100.371357,35.936388,704.3442993
Juniperus virginiana,-100.32691,37.284891,741.0737305
Juniperus virginiana,-100.326127,37.284014,739.7875977
Juniperus virginiana,-100.3,41.9,828.963501
Juniperus virginiana,-100.23174,39.36181,752.6949463
Juniperus virginiana,-100.230263,39.357963,753.7644653
Juniperus virginiana,-100.229713,39.357963,749.0362549
Juniperus virginiana,-100.210847,40.379537,728.7381592
Juniperus virginiana,-100.195105,39.133567,761.5187378
Juniperus virginiana,-100.191417,37.376694,756.7058716
Juniperus virginiana,-100.170346,38.857781,759.3922729
Juniperus virginiana,-100.169852,38.861122,741.3264771
Juniperus virginiana,-100.169381,38.857964,752.3615723
Juniperus virginiana,-100.165454,37.388703,767.7711792
Juniperus virginiana,-100.117028,37.285237,720.2312012
Juniperus virginiana,-100.015578,37.44968,780.4902344
Juniperus virginiana,-99.991873,37.721462,761.9296875
Juniperus virginiana,-99.972272,39.800653,706.3792114
Juniperus virginiana,-99.964276,39.80092,702.5880127
Juniperus virginiana,-99.946582,40.828714,753.8297119
Juniperus virginiana,-99.919814,37.820194,750.1171265
Juniperus virginiana,-99.9197,37.823403,748.5550537
Juniperus virginiana,-99.918357,37.815741,749.1117554
Juniperus virginiana,-99.84881,39.42583,685.9059448
Juniperus virginiana,-99.845953,41.253294,783.199585
Juniperus virginiana,-99.836454,35.068924,609.9630127
Juniperus virginiana,-99.816667,44.133333,433.151001
Juniperus virginiana,-99.814053,38.775867,674.5699463
Juniperus virginiana,-99.811133,39.364808,641.8604126
Juniperus virginiana,-99.806804,39.523199,730.0088501
Juniperus virginiana,-99.8,38.76666,667.9367676
Juniperus virginiana,-99.8,44.15,454.9131165
Juniperus virginiana,-99.788953,38.996909,735.5044556
Juniperus virginiana,-99.788948,38.99682,735.2912598
Juniperus virginiana,-99.783822,37.404955,688.6065674
Juniperus virginiana,-99.781733,37.395422,709.8859863
Juniperus virginiana,-99.778527,37.840845,745.9919434
Juniperus virginiana,-99.777008,36.827583,600.3219604
Juniperus virginiana,-99.766667,44.15,534.5391846
Juniperus virginiana,-99.750125,36.797858,604.0995483
Juniperus virginiana,-99.721157,35.75185,637.6976318
