species,decimalLongitude,decimalLatitude,elevation
Magnolia acuminata,-94.54967,34.71066,280.1080627
Magnolia acuminata,-94.549668,34.638125,331.3784485
Magnolia acuminata,-94.516773,34.694077,718.7835693
Magnolia acuminata,-94.460604,34.694606,792.4226685
Magnolia acuminata,-94.456528,34.694333,782.9507446
Magnolia acuminata,-94.4469,34.693764,797.4380493
Magnolia acuminata,-94.419518,34.705936,412.746521
Magnolia acuminata,-94.394208,34.693764,588.7930298
Magnolia acuminata,-94.386219,34.686742,763.0137329
Magnolia acuminata,-94.37574,34.687012,749.1665649
Magnolia acuminata,-94.375414,34.686902,752.3852539
Magnolia acuminata,-94.374458,34.686492,759.1686401
Magnolia acuminata,-94.370379,34.684158,777.6287842
Magnolia acuminata,-94.366418,34.683459,752.6929321
Magnolia acuminata,-94.36192,34.68684,676.614563
Magnolia acuminata,-94.351595,34.68656,600.7106934
Magnolia acuminata,-94.32973,34.675456,799.5786743
Magnolia acuminata,-94.329193,34.674197,816.3162231
Magnolia acuminata,-94.32532,34.67455,752.1862183
Magnolia acuminata,-94.230884,34.490915,435.6490784
Magnolia acuminata,-94.22958,34.485824,612.6362305
Magnolia acuminata,-94.208245,36.376908,383.3276978
Magnolia acuminata,-94.204092,36.381137,364.385498
Magnolia acuminata,-94.160173,36.070073,451.9196472
Magnolia acuminata,-94.038369,35.762838,365.2085571
Magnolia acuminata,-94.031814,35.70054,357.5098877
Magnolia acuminata,-93.977004,35.752274,564.8150635
Magnolia acuminata,-93.961344,35.641131,200.5685272
Magnolia acuminata,-93.960308,35.644636,207.2801819
Magnolia acuminata,-93.9566,35.692939,704.3108521
Magnolia acuminata,-93.956094,35.688933,692.7952881
Magnolia acuminata,-93.857636,35.675112,457.9567566
Magnolia acuminata,-93.765508,35.665684,272.7019348
Magnolia acuminata,-93.7542,36.5481,278.4336853
Magnolia acuminata,-93.75416,36.54805,278.4336853
Magnolia acuminata,-93.605012,35.165164,707.491333
Magnolia acuminata,-93.593467,36.251153,365.9491577
Magnolia acuminata,-93.593392,36.251197,367.4799805
Magnolia acuminata,-93.589675,36.25932,379.8955078
Magnolia acuminata,-93.56831,35.91202,520.5314941
Magnolia acuminata,-93.540772,35.64088,593.0228882
Magnolia acuminata,-93.510179,35.958117,497.9746399
Magnolia acuminata,-93.415349,35.98321,510.1799927
Magnolia acuminata,-93.407037,35.957687,416.2171631
Magnolia acuminata,-93.398545,35.945185,354.8143311
Magnolia acuminata,-93.387403,36.016393,430.8940125
Magnolia acuminata,-93.38333,36.01667,488.3804321
Magnolia acuminata,-93.379057,35.998343,391.194519
Magnolia acuminata,-93.377451,35.927478,426.3892517
Magnolia acuminata,-93.261811,36.057451,291.8826904
Magnolia acuminata,-93.252297,35.681503,283.568512
Magnolia acuminata,-93.223477,36.187938,434.7919006
Magnolia acuminata,-93.217983,35.919981,595.7335815
Magnolia acuminata,-93.214167,36.506111,385.4984436
Magnolia acuminata,-93.202191,35.283022,109.9751205
Magnolia acuminata,-93.202089,35.283008,110.4944382
Magnolia acuminata,-93.17463,35.68684,541.4075317
Magnolia acuminata,-93.15972,35.54861,165.5787201
Magnolia acuminata,-93.025122,35.724455,477.8258667
Magnolia acuminata,-92.940486,35.729471,409.3860779
Magnolia acuminata,-92.940454,35.729681,412.2962646
Magnolia acuminata,-92.93639,35.80528,463.5165405
Magnolia acuminata,-92.87934,35.64091,527.3387451
Magnolia acuminata,-92.699844,35.910935,206.1695862
Magnolia acuminata,-92.684918,36.267858,304.0168152
Magnolia acuminata,-92.573845,36.087662,177.0378265
Magnolia acuminata,-92.555508,31.249175,22.21647263
Magnolia acuminata,-92.551389,36.097222,313.3644409
Magnolia acuminata,-92.53447,36.32874,143.8929138
Magnolia acuminata,-92.529725,35.6559,243.9909363
Magnolia acuminata,-92.449047,35.656407,257.0264893
Magnolia acuminata,-92.448978,35.656472,257.3003845
Magnolia acuminata,-92.447835,31.646302,31.12930298
Magnolia acuminata,-92.361806,36.024054,256.3274231
Magnolia acuminata,-92.321215,36.059655,222.8790436
Magnolia acuminata,-92.315411,35.352448,148.2248535
Magnolia acuminata,-92.283947,30.808597,16.28176689
Magnolia acuminata,-92.278514,30.789181,25.90258598
Magnolia acuminata,-92.259833,36.057418,194.809906
Magnolia acuminata,-92.252964,30.813417,22.38249016
Magnolia acuminata,-92.176525,35.958797,128.7720795
Magnolia acuminata,-92.162635,35.96683,111.7843246
Magnolia acuminata,-92.157189,35.859141,236.3052979
Magnolia acuminata,-92.116326,32.092943,44.75528717
Magnolia acuminata,-92.030254,32.030253,42.40180588
Magnolia acuminata,-91.847008,31.666895,16.8574543
Magnolia acuminata,-91.839425,35.505762,163.627655
Magnolia acuminata,-91.83442,35.5015,146.9001465
Magnolia acuminata,-91.830772,35.507753,159.0237579
Magnolia acuminata,-91.75801,31.80545,58.33411026
Magnolia acuminata,-91.754203,31.82574,57.70105743
Magnolia acuminata,-91.544591,30.929341,16.89720345
Magnolia acuminata,-91.003,31.314,64.48580933
Magnolia acuminata,-90.989433,31.434528,79.1943512
Magnolia acuminata,-90.982942,31.433087,97.98215485
Magnolia acuminata,-90.908333,31.308333,131.5332794
Magnolia acuminata,-90.893619,31.439833,71.22264099
Magnolia acuminata,-90.848022,34.428291,46.48310471
Magnolia acuminata,-90.825572,35.04546,67.86096954
Magnolia acuminata,-90.7483,32.4122,61.52602005
Magnolia acuminata,-90.720822,35.156754,87.62091827
Magnolia acuminata,-90.718658,35.163182,89.03048706
Magnolia acuminata,-90.718462,35.163089,88.94772339
Magnolia acuminata,-90.716641,35.165657,87.78365326
Magnolia acuminata,-90.716528,35.163195,88.07337189
Magnolia acuminata,-90.71067,35.24925,70.41047668
Magnolia acuminata,-90.707038,35.214492,84.60879517
Magnolia acuminata,-90.704896,35.163079,115.7959366
Magnolia acuminata,-90.67389,32.38917,62.9753952
Magnolia acuminata,-90.639848,34.599738,72.84358978
Magnolia acuminata,-90.634042,34.595911,104.3971863
Magnolia acuminata,-90.621223,34.587086,102.5959473
Magnolia acuminata,-90.616087,34.563279,97.88002014
Magnolia acuminata,-90.6012,34.576143,76.26330566
Magnolia acuminata,-90.1893,34.6998,75.47006226
Magnolia acuminata,-90.167316,34.83482,91.2013855
Magnolia acuminata,-90.1352,34.9748,74.8999176
Magnolia acuminata,-90.107991,31.548515,65.88399506
Magnolia acuminata,-90.040622,35.334664,101.627121
Magnolia acuminata,-89.943476,31.32464,99.65279388
Magnolia acuminata,-89.8692,36.9119,152.3791046
Magnolia acuminata,-89.8514,36.8975,132.258667
Magnolia acuminata,-89.747145,35.498763,91.31843567
Magnolia acuminata,-89.716994,31.006797,55.71940231
Magnolia acuminata,-89.4469,37.4347,144.8054504
Magnolia acuminata,-89.437343,37.556252,244.5404205
Magnolia acuminata,-89.435081,37.570442,227.2336273
Magnolia acuminata,-89.40794,37.270032,104.3438339
Magnolia acuminata,-89.369286,37.346763,101.5267487
Magnolia acuminata,-89.361984,34.223723,157.6325226
Magnolia acuminata,-89.361477,34.22361,155.7333221
Magnolia acuminata,-89.3513,34.3725,165.5619659
Magnolia acuminata,-89.351088,37.4841,138.4104767
Magnolia acuminata,-89.345649,37.485413,177.058609
Magnolia acuminata,-89.341208,37.505662,211.0155029
Magnolia acuminata,-89.308075,37.511842,171.3323975
Magnolia acuminata,-89.29252,34.373019,133.5812531
Magnolia acuminata,-89.25953,37.358052,129.1190796
Magnolia acuminata,-89.25,37.3,126.2139053
Magnolia acuminata,-89.237082,31.051491,58.12800217
Magnolia acuminata,-89.229133,37.708278,135.5832062
Magnolia acuminata,-89.227072,37.707533,133.3102722
Magnolia acuminata,-89.17362,31.21192,76.777771
Magnolia acuminata,-89.129836,31.192928,45.3857193
Magnolia acuminata,-89.064869,31.173814,55.18501663
Magnolia acuminata,-88.996892,31.513494,61.69928741
Magnolia acuminata,-88.992025,31.172583,60.60571289
Magnolia acuminata,-88.953,34.053,106.7811356
Magnolia acuminata,-88.915,32.318333,82.18000031
Magnolia acuminata,-88.852667,32.445921,145.7038116
Magnolia acuminata,-88.85244,32.27985,88.62023926
Magnolia acuminata,-88.847759,30.771855,20.03061867
Magnolia acuminata,-88.83493,31.077451,39.13825226
Magnolia acuminata,-88.755059,37.467273,117.5311813
Magnolia acuminata,-88.75219,30.82433,18.9312191
Magnolia acuminata,-88.7079,30.92559,43.59715271
Magnolia acuminata,-88.683,31.913,78.24964142
Magnolia acuminata,-88.653087,31.46257,59.23563385
Magnolia acuminata,-88.606275,31.71582,101.4100418
Magnolia acuminata,-88.36333,34.46056,102.6671677
Magnolia acuminata,-88.349722,34.253611,103.6271133
Magnolia acuminata,-87.971111,32.0125,70.55478668
Magnolia acuminata,-87.951141,34.038158,213.9736481
Magnolia acuminata,-87.908106,34.885143,165.3453217
Magnolia acuminata,-87.877546,34.358005,257.4373779
Magnolia acuminata,-87.835175,31.635529,97.55168152
Magnolia acuminata,-87.814713,31.610155,109.1155319
Magnolia acuminata,-87.805522,34.700783,163.7607269
Magnolia acuminata,-87.713534,31.419881,23.62237167
Magnolia acuminata,-87.668541,33.256134,74.03759003
Magnolia acuminata,-87.538293,33.320968,92.02919769
Magnolia acuminata,-87.538214,33.320681,88.17870331
Magnolia acuminata,-87.528857,33.780984,155.7715607
Magnolia acuminata,-87.485441,31.5145,81.16142273
Magnolia acuminata,-87.481667,33.015,53.50760269
Magnolia acuminata,-87.474137,33.190446,96.65184784
Magnolia acuminata,-87.46,34.32,248.9122925
Magnolia acuminata,-87.44,34.33,241.7577515
Magnolia acuminata,-87.43,33.09,82.62036133
Magnolia acuminata,-87.43,33.25,86.6988678
Magnolia acuminata,-87.42645,32.97947,104.7524872
Magnolia acuminata,-87.42426,32.98114,108.7323074
Magnolia acuminata,-87.417946,32.982096,77.00170898
Magnolia acuminata,-87.410616,32.128,25.1037693
Magnolia acuminata,-87.4,32.11,24.2373867
Magnolia acuminata,-87.396942,34.31287,173.4379578
Magnolia acuminata,-87.308269,31.989899,59.53448105
Magnolia acuminata,-87.273878,34.29639,196.7690887
Magnolia acuminata,-87.237778,34.380833,199.6073761
Magnolia acuminata,-87.23,34.38,201.0690918
Magnolia acuminata,-87.225487,31.668438,84.56244659
Magnolia acuminata,-87.186638,35.104836,243.6360779
Magnolia acuminata,-87.186492,35.105736,226.6064911
Magnolia acuminata,-87.184753,33.496958,85.42389679
Magnolia acuminata,-87.126386,32.998646,68.77937317
Magnolia acuminata,-87.122489,33.039288,97.04324341
Magnolia acuminata,-87.10391,33.01179,68.81819153
Magnolia acuminata,-87.10381,33.011824,68.49442291
Magnolia acuminata,-87.010727,33.283187,145.1776581
Magnolia acuminata,-87.010681,33.283153,145.1776581
Magnolia acuminata,-87.010567,33.283036,143.1954041
Magnolia acuminata,-86.919327,33.23822,131.4232788
Magnolia acuminata,-86.891708,33.273741,132.4074707
Magnolia acuminata,-86.887363,33.275354,128.4763489
Magnolia acuminata,-86.852417,33.376339,223.7362823
Magnolia acuminata,-86.837915,33.385186,168.6707764
Magnolia acuminata,-86.836754,31.553102,118.0365067
Magnolia acuminata,-86.81198,36.150261,159.3886108
Magnolia acuminata,-86.79827,36.14347,167.6052551
Magnolia acuminata,-86.698333,31.1675,39.21439362
Magnolia acuminata,-86.631913,31.633688,90.22476196
Magnolia acuminata,-86.589993,34.415705,185.5972595
Magnolia acuminata,-86.55,33.25,138.8265228
Magnolia acuminata,-86.53824,34.728175,454.3190918
Magnolia acuminata,-86.538118,34.728222,461.7242737
Magnolia acuminata,-86.538026,34.728225,467.1395264
Magnolia acuminata,-86.537308,34.750528,378.924469
