species,decimalLongitude,decimalLatitude,elevation
Nyssa biflora,-96.261127,31.419116,137.0483856
Nyssa biflora,-95.161943,30.106241,19.62247276
Nyssa biflora,-94.675,30.2825,27.8454113
Nyssa biflora,-94.336865,30.584949,34.60780334
Nyssa biflora,-94.259359,30.39977,13.16791344
Nyssa biflora,-94.192245,32.920238,64.68087006
Nyssa biflora,-94.12083,30.37222,10.27490807
Nyssa biflora,-94.110914,32.698074,52.07670975
Nyssa biflora,-94.022111,30.816242,61.20231247
Nyssa biflora,-93.86345,33.69973,78.02877808
Nyssa biflora,-93.80119,31.142916,90.05295563
Nyssa biflora,-93.780817,31.16205,72.65794373
Nyssa biflora,-93.769025,31.152008,89.5394516
Nyssa biflora,-93.581111,30.295556,7.759419441
Nyssa biflora,-93.21024,32.54143,98.07556152
Nyssa biflora,-93.208989,30.216761,3.218052864
Nyssa biflora,-93.167213,30.966272,73.72850037
Nyssa biflora,-93.099575,31.490392,55.81477356
Nyssa biflora,-93.086584,30.949417,58.34892273
Nyssa biflora,-92.986206,32.132509,63.92612076
Nyssa biflora,-92.7585,34.787375,163.9414825
Nyssa biflora,-92.286522,34.576483,75.08970642
Nyssa biflora,-92.286178,34.576225,75.23386383
Nyssa biflora,-92.271289,34.530189,77.65686798
Nyssa biflora,-92.270172,34.58242,72.46260834
Nyssa biflora,-92.269103,34.582817,72.40213776
Nyssa biflora,-92.26648,34.53538,74.66451263
Nyssa biflora,-92.26047,34.57926,71.44367981
Nyssa biflora,-92.244378,34.583363,69.98026276
Nyssa biflora,-91.115663,30.416215,10.53491879
Nyssa biflora,-90.9874,31.4248,78.54000092
Nyssa biflora,-90.981033,30.478347,8.162541389
Nyssa biflora,-90.9639,30.7949,49.44519424
Nyssa biflora,-90.847222,31.163889,83.74544525
Nyssa biflora,-90.824722,38.472222,172.9487
Nyssa biflora,-90.7,31.2,100.4446182
Nyssa biflora,-90.515165,31.196661,100.4139709
Nyssa biflora,-90.51315,31.18974,105.5671463
Nyssa biflora,-90.513034,30.377214,0.35478273
Nyssa biflora,-90.4262,30.8565,56.30407715
Nyssa biflora,-90.425675,30.397845,0.573404849
Nyssa biflora,-90.2912,31.5673,94.34156036
Nyssa biflora,-90.037941,30.429752,8.141312599
Nyssa biflora,-89.998905,30.891607,76.66864777
Nyssa biflora,-89.995421,30.875672,68.95842743
Nyssa biflora,-89.988289,30.884682,71.91196442
Nyssa biflora,-89.98,31.37,55.70218658
Nyssa biflora,-89.96636,30.506843,12.07188606
Nyssa biflora,-89.965364,30.508561,11.98379612
Nyssa biflora,-89.965331,30.508572,11.98379612
Nyssa biflora,-89.944844,30.98083,54.50032043
Nyssa biflora,-89.936,32.013,91.2530365
Nyssa biflora,-89.77657,31.72572,123.6763992
Nyssa biflora,-89.665977,30.505005,16.64383888
Nyssa biflora,-89.656551,31.956147,110.2544479
Nyssa biflora,-89.604397,30.348276,6.559304237
Nyssa biflora,-89.59797,30.38117,8.697648048
Nyssa biflora,-89.512526,32.099647,133.9199982
Nyssa biflora,-89.485253,30.216919,1.254255533
Nyssa biflora,-89.470536,34.660992,105.4652634
Nyssa biflora,-89.413124,31.346519,81.67495728
Nyssa biflora,-89.3706,33.37281,117.1383972
Nyssa biflora,-89.370333,33.437167,120.451561
Nyssa biflora,-89.355,31.998,96.8988266
Nyssa biflora,-89.337782,34.722974,106.5088882
Nyssa biflora,-89.30117,32.19983,111.3258514
Nyssa biflora,-89.3,31.2,87.69908142
Nyssa biflora,-89.280479,32.170761,112.8598785
Nyssa biflora,-89.2755,34.2629,107.3206406
Nyssa biflora,-89.270806,37.15541,100.9726486
Nyssa biflora,-89.25,30.49,33.03286743
Nyssa biflora,-89.22866,30.35514,4.333723545
Nyssa biflora,-89.22413,30.3576,3.727812767
Nyssa biflora,-89.22355,30.388614,5.528484344
Nyssa biflora,-89.170646,31.104613,67.96534729
Nyssa biflora,-89.066314,30.685336,47.92168045
Nyssa biflora,-89.0047,30.859932,51.51565933
Nyssa biflora,-88.998358,30.856289,53.42506027
Nyssa biflora,-88.997776,31.514369,56.90224838
Nyssa biflora,-88.985431,31.149738,69.47400665
Nyssa biflora,-88.9851,33.0075,145.8310699
Nyssa biflora,-88.97312,31.80999,88.18782043
Nyssa biflora,-88.962936,30.558633,16.14915848
