species,decimalLongitude,decimalLatitude,elevation
Nyssa sylvatica,-96.69303,30.531315,117.8116455
Nyssa sylvatica,-96.490875,30.925987,141.8883514
Nyssa sylvatica,-96.429166,31.051189,128.7321014
Nyssa sylvatica,-96.296417,31.004361,108.6956635
Nyssa sylvatica,-96.276198,31.348244,146.6730804
Nyssa sylvatica,-96.176071,32.897118,143.5449829
Nyssa sylvatica,-96.160681,31.751372,129.767868
Nyssa sylvatica,-96.145229,31.46668,114.7222672
Nyssa sylvatica,-96.009106,32.357374,121.5912628
Nyssa sylvatica,-96.004662,32.323583,125.7406464
Nyssa sylvatica,-95.985047,31.184125,84.03611755
Nyssa sylvatica,-95.984384,31.18607,81.24797821
Nyssa sylvatica,-95.98085,31.18847,81.49275208
Nyssa sylvatica,-95.963117,30.241418,81.73155975
Nyssa sylvatica,-95.955744,31.550984,125.053299
Nyssa sylvatica,-95.936337,34.196921,169.3082123
Nyssa sylvatica,-95.936061,34.230825,169.2467651
Nyssa sylvatica,-95.89093,31.914559,89.89758301
Nyssa sylvatica,-95.888758,31.981609,98.18874359
Nyssa sylvatica,-95.882179,31.933577,80.34571075
Nyssa sylvatica,-95.879977,32.210176,137.4179077
Nyssa sylvatica,-95.8795,31.976672,85.70113373
Nyssa sylvatica,-95.878234,32.357686,159.0209045
Nyssa sylvatica,-95.83685,32.08031,94.71972656
Nyssa sylvatica,-95.834362,32.26212,144.1830139
Nyssa sylvatica,-95.82488,31.68941,64.34065247
Nyssa sylvatica,-95.820283,32.338125,149.1155548
Nyssa sylvatica,-95.809056,32.850433,126.1270828
Nyssa sylvatica,-95.805176,30.300667,99.1099472
Nyssa sylvatica,-95.731144,30.573412,93.64717865
Nyssa sylvatica,-95.692879,30.300648,68.71470642
Nyssa sylvatica,-95.685982,30.280827,56.66069412
Nyssa sylvatica,-95.684749,30.43766,62.94413376
Nyssa sylvatica,-95.681701,30.286705,66.17141724
Nyssa sylvatica,-95.680865,30.286091,69.3822403
Nyssa sylvatica,-95.672971,32.901951,128.1525116
Nyssa sylvatica,-95.656045,30.113961,46.70959473
Nyssa sylvatica,-95.649409,32.420804,161.7384644
Nyssa sylvatica,-95.640646,32.090888,136.9968262
Nyssa sylvatica,-95.640129,31.790108,140.3002472
Nyssa sylvatica,-95.631901,32.424173,160.8773346
Nyssa sylvatica,-95.609735,30.467206,61.60270691
Nyssa sylvatica,-95.57412,29.98348,36.09567642
Nyssa sylvatica,-95.571558,33.816831,155.7599945
Nyssa sylvatica,-95.566863,30.148536,39.96442413
Nyssa sylvatica,-95.54722,33.82361,154.8778381
Nyssa sylvatica,-95.542337,30.201462,48.9801445
Nyssa sylvatica,-95.527877,30.62285,87.61743927
Nyssa sylvatica,-95.51787,30.154063,33.63526917
Nyssa sylvatica,-95.51755,30.16201,38.71271515
Nyssa sylvatica,-95.513375,30.006728,30.86131096
Nyssa sylvatica,-95.510333,30.6395,112.0397186
Nyssa sylvatica,-95.507233,30.191753,43.59770584
Nyssa sylvatica,-95.503136,30.184671,44.72278214
Nyssa sylvatica,-95.502573,30.168509,48.33037186
Nyssa sylvatica,-95.499575,30.166166,45.62792587
Nyssa sylvatica,-95.497458,30.140536,32.69204712
Nyssa sylvatica,-95.495942,30.235403,47.55443954
Nyssa sylvatica,-95.491547,30.234388,47.36146164
Nyssa sylvatica,-95.488014,30.196847,41.36159897
Nyssa sylvatica,-95.483726,30.341442,68.38500214
