species,decimalLongitude,decimalLatitude,elevation
Oxydendrum arboreum,-92.782266,32.052003,32.13581848
Oxydendrum arboreum,-92.623753,30.998801,46.08850479
Oxydendrum arboreum,-92.616043,31.257444,35.73514938
Oxydendrum arboreum,-92.524161,31.156309,34.9080658
Oxydendrum arboreum,-92.48764,31.450456,56.59627533
Oxydendrum arboreum,-92.479956,31.65128,31.4565773
Oxydendrum arboreum,-92.458676,31.71644,32.30220795
Oxydendrum arboreum,-92.450256,31.409592,46.08815002
Oxydendrum arboreum,-92.448483,31.644943,25.86348152
Oxydendrum arboreum,-92.447983,31.646303,30.51091957
Oxydendrum arboreum,-92.447757,31.646815,33.20695114
Oxydendrum arboreum,-92.418056,31.634722,22.48778534
Oxydendrum arboreum,-92.416191,31.564058,42.16674423
Oxydendrum arboreum,-92.40598,31.53775,27.99458122
Oxydendrum arboreum,-92.396308,31.631518,20.68074226
Oxydendrum arboreum,-92.382042,31.684258,21.65380669
Oxydendrum arboreum,-92.306289,32.355038,70.18240356
Oxydendrum arboreum,-92.303378,30.801578,35.28689575
Oxydendrum arboreum,-92.222083,32.281613,46.5401001
Oxydendrum arboreum,-92.222083,32.340236,42.02767563
Oxydendrum arboreum,-92.050955,31.651026,34.49818802
Oxydendrum arboreum,-91.911469,31.824634,49.02947998
Oxydendrum arboreum,-91.84555,31.76027,19.76263046
Oxydendrum arboreum,-91.76625,31.826728,57.26288223
Oxydendrum arboreum,-91.753458,31.826147,32.26354599
Oxydendrum arboreum,-91.753128,31.825522,39.56205368
Oxydendrum arboreum,-91.520137,31.056179,33.9070549
Oxydendrum arboreum,-91.519625,31.065138,37.18813705
Oxydendrum arboreum,-91.519444,31.065556,39.93878174
Oxydendrum arboreum,-91.51944,31.064919,38.18495941
Oxydendrum arboreum,-91.518742,31.066367,55.38022614
Oxydendrum arboreum,-91.5,31.083,84.93070221
Oxydendrum arboreum,-91.455275,31.237776,14.85384369
Oxydendrum arboreum,-91.439728,31.428885,19.82299995
Oxydendrum arboreum,-91.36228,30.992875,72.61065674
Oxydendrum arboreum,-91.289508,30.692664,18.28257179
Oxydendrum arboreum,-91.289506,30.692692,16.41325569
Oxydendrum arboreum,-91.270478,31.148656,78.87814331
Oxydendrum arboreum,-91.270437,31.14811,78.54380035
Oxydendrum arboreum,-91.265584,30.823445,44.02565765
Oxydendrum arboreum,-91.219435,30.784747,25.60578728
Oxydendrum arboreum,-91.218587,30.785682,29.46456146
Oxydendrum arboreum,-91.167132,30.569721,19.90876961
Oxydendrum arboreum,-91.164605,31.375197,41.47533035
Oxydendrum arboreum,-91.164383,31.375158,46.92150497
Oxydendrum arboreum,-91.095403,30.356629,10.40051079
Oxydendrum arboreum,-91.022325,31.229898,116.1203156
Oxydendrum arboreum,-90.986696,31.425159,82.24115753
Oxydendrum arboreum,-90.986625,31.42382,78.89091492
Oxydendrum arboreum,-90.984863,31.483692,115.0708237
Oxydendrum arboreum,-90.98375,31.428808,106.8884583
Oxydendrum arboreum,-90.983286,31.424874,86.44361877
Oxydendrum arboreum,-90.982103,31.431417,112.4822159
Oxydendrum arboreum,-90.9577,30.7949,48.06919861
Oxydendrum arboreum,-90.945,31.271,87.92926025
Oxydendrum arboreum,-90.91358,31.37675,88.52702332
Oxydendrum arboreum,-90.889145,31.352763,109.3568726
Oxydendrum arboreum,-90.847258,31.421383,94.6071701
Oxydendrum arboreum,-90.831882,31.412757,90.46943665
Oxydendrum arboreum,-90.831221,31.414168,94.64381409
Oxydendrum arboreum,-90.8089,32.07306,65.77020264
Oxydendrum arboreum,-90.53247,31.17556,111.332901
Oxydendrum arboreum,-90.514789,31.196291,100.5540771
Oxydendrum arboreum,-90.513834,31.860384,101.3995361
Oxydendrum arboreum,-90.513237,31.19495,114.273056
Oxydendrum arboreum,-90.46857,31.99377,95.77016449
Oxydendrum arboreum,-90.261475,31.12421,79.72846222
Oxydendrum arboreum,-90.16346,31.84355,62.41999817
Oxydendrum arboreum,-90.16089,31.57374,86.43709564
Oxydendrum arboreum,-90.13027,31.06325,95.40289307
Oxydendrum arboreum,-90.130127,31.066894,90.91999817
Oxydendrum arboreum,-90.118736,30.47085,5.153217793
Oxydendrum arboreum,-90.010867,35.150615,79.13577271
Oxydendrum arboreum,-90.001561,30.870789,67.47847748
Oxydendrum arboreum,-89.997367,30.891033,75.5944519
Oxydendrum arboreum,-89.995421,30.875672,68.95842743
Oxydendrum arboreum,-89.98779,30.88421,72.00305939
Oxydendrum arboreum,-89.945,31.32,95.5238266
Oxydendrum arboreum,-89.943246,31.324997,93.62038422
Oxydendrum arboreum,-89.905,32.171,120.5840683
Oxydendrum arboreum,-89.82442,31.57787,100.9603882
Oxydendrum arboreum,-89.8008,30.6242,15.51130199
Oxydendrum arboreum,-89.752729,32.270069,125.1408539
Oxydendrum arboreum,-89.6801,32.3162,141.9026337
Oxydendrum arboreum,-89.661142,31.951001,113.1549606
Oxydendrum arboreum,-89.660159,31.956964,125.0886993
Oxydendrum arboreum,-89.659668,31.959757,109.1384583
Oxydendrum arboreum,-89.659302,31.959579,110.5223312
Oxydendrum arboreum,-89.648586,31.966463,115.977829
Oxydendrum arboreum,-89.630021,30.377227,7.367313385
Oxydendrum arboreum,-89.628019,31.931512,113.6167221
Oxydendrum arboreum,-89.5875,33.275162,103.4944763
Oxydendrum arboreum,-89.586127,33.274014,104.2409286
Oxydendrum arboreum,-89.58333,30.41667,9.86238575
Oxydendrum arboreum,-89.532778,32.0875,144.6141205
Oxydendrum arboreum,-89.519722,32.076111,152.8203125
Oxydendrum arboreum,-89.512563,32.099089,133.9199982
Oxydendrum arboreum,-89.511906,32.098233,136.3373718
Oxydendrum arboreum,-89.50365,32.116745,132.2921448
Oxydendrum arboreum,-89.485642,32.200578,128.1790466
Oxydendrum arboreum,-89.4851,32.1985,151.3040771
Oxydendrum arboreum,-89.459575,31.35528,104.3901978
Oxydendrum arboreum,-89.458847,31.355179,100.0770874
Oxydendrum arboreum,-89.45,32.106389,117.9913101
Oxydendrum arboreum,-89.418554,31.349421,92.32091522
Oxydendrum arboreum,-89.417618,31.349912,84.88017273
Oxydendrum arboreum,-89.415947,31.348923,87.76457977
Oxydendrum arboreum,-89.402494,30.452323,10.36913967
Oxydendrum arboreum,-89.401112,30.933149,81.22042084
Oxydendrum arboreum,-89.400674,30.932821,76.63254547
Oxydendrum arboreum,-89.400663,30.932587,78.93914795
Oxydendrum arboreum,-89.383,33.259,152.5381317
Oxydendrum arboreum,-89.371167,33.437667,114.5180511
Oxydendrum arboreum,-89.359,33.119,165.7463989
Oxydendrum arboreum,-89.3579,31.9891,127.6592026
Oxydendrum arboreum,-89.353133,31.349322,56.08460236
Oxydendrum arboreum,-89.3124,31.447778,53.0283432
Oxydendrum arboreum,-89.309619,32.16444,109.9634247
Oxydendrum arboreum,-89.24109,31.14201,66.48615265
Oxydendrum arboreum,-89.205833,31.448889,70.0449295
Oxydendrum arboreum,-89.201783,30.406637,13.55193996
Oxydendrum arboreum,-89.201689,31.392604,86.02835083
Oxydendrum arboreum,-89.179974,31.4139,69.00131226
Oxydendrum arboreum,-89.158114,31.213974,34.64937592
Oxydendrum arboreum,-89.156667,31.204444,74.62526703
Oxydendrum arboreum,-89.146828,32.340278,123.2008972
Oxydendrum arboreum,-89.129814,31.192825,46.69710541
Oxydendrum arboreum,-89.12813,31.20519,38.40341949
Oxydendrum arboreum,-89.11705,30.668244,33.73222733
Oxydendrum arboreum,-89.0984,33.2074,164.7550812
Oxydendrum arboreum,-89.091069,33.227476,124.398262
Oxydendrum arboreum,-89.077828,33.231583,125.505188
Oxydendrum arboreum,-89.0607,33.1701,158.3653107
Oxydendrum arboreum,-89.050117,33.153592,141.9866333
Oxydendrum arboreum,-89.049736,33.154239,144.9379272
Oxydendrum arboreum,-89.048407,33.151864,140.1805267
Oxydendrum arboreum,-89.041672,33.292351,122.5040588
Oxydendrum arboreum,-88.985262,31.055475,66.24505615
Oxydendrum arboreum,-88.977858,33.26382,139.1986237
Oxydendrum arboreum,-88.976434,33.263636,150.8945465
Oxydendrum arboreum,-88.973667,31.222167,30.3914814
Oxydendrum arboreum,-88.973,34.841,157.9977875
Oxydendrum arboreum,-88.9674,30.424895,5.552428246
