species,decimalLongitude,decimalLatitude,elevation
Persea borbonia,-97.329619,27.642082,5.275430202
Persea borbonia,-97.31297,27.633934,6.999002457
Persea borbonia,-97.21974,27.62571,2.402870893
Persea borbonia,-97.219438,27.625697,2.278973818
Persea borbonia,-97.219022,27.625928,1.768057108
Persea borbonia,-97.166731,27.929747,5.924373627
Persea borbonia,-97.14665,27.922896,4.650798798
Persea borbonia,-97.135263,27.953783,6.727353573
Persea borbonia,-97.094003,28.002894,4.916929722
Persea borbonia,-97.093133,28.002558,4.689986229
Persea borbonia,-97.081223,28.031138,11.53670979
Persea borbonia,-97.063227,28.040568,5.572391987
Persea borbonia,-97.063139,28.039301,5.751444817
Persea borbonia,-97.063012,28.040572,5.699036598
Persea borbonia,-97.062249,28.040082,5.496063709
Persea borbonia,-97.048736,28.085488,6.462378979
Persea borbonia,-97.048394,28.084811,6.985395908
Persea borbonia,-97.041732,28.073799,6.640854359
Persea borbonia,-97.03479,28.093112,4.206409454
Persea borbonia,-96.941692,28.398648,10.70047474
Persea borbonia,-96.909959,28.26677,0.938478053
Persea borbonia,-96.895466,28.232129,4.133140087
Persea borbonia,-96.862061,28.227123,3.289791584
Persea borbonia,-96.856559,28.244526,4.290735245
Persea borbonia,-96.825467,28.270633,4.72574234
Persea borbonia,-96.814256,28.288949,4.941239357
Persea borbonia,-96.810417,28.291128,4.585932255
Persea borbonia,-96.810309,28.291521,4.758415222
Persea borbonia,-96.80973,28.287638,4.768770695
Persea borbonia,-96.807878,28.298758,4.535100937
Persea borbonia,-96.805212,28.304612,0.776679277
Persea borbonia,-96.805047,28.304762,1.218964696
Persea borbonia,-96.804247,28.307325,3.000678301
Persea borbonia,-96.802386,28.270014,4.831087589
Persea borbonia,-96.801637,28.271038,5.167763233
Persea borbonia,-96.801597,28.276175,7.802899361
Persea borbonia,-96.801535,28.274808,6.810101986
Persea borbonia,-96.800572,28.274786,9.107334137
Persea borbonia,-96.482766,28.470571,3.623675585
Persea borbonia,-96.480553,28.451767,4.697301388
Persea borbonia,-95.784042,30.297567,90.03780365
Persea borbonia,-95.69284,30.30075,68.67287445
Persea borbonia,-95.678247,30.304558,90.57872009
Persea borbonia,-95.669323,30.311846,92.99015808
Persea borbonia,-95.63876,30.561887,63.38134384
Persea borbonia,-95.636735,30.560107,61.22387314
Persea borbonia,-95.610222,29.96238,36.47683334
Persea borbonia,-95.61018,29.96234,37.64673615
Persea borbonia,-95.578256,30.143189,40.01792526
Persea borbonia,-95.577369,30.143072,40.91217422
Persea borbonia,-95.574717,30.140367,51.4931488
Persea borbonia,-95.574378,30.139125,51.33646393
Persea borbonia,-95.56925,30.15469,40.14232254
Persea borbonia,-95.569071,30.154891,40.05718613
Persea borbonia,-95.568764,30.1535,40.14855576
Persea borbonia,-95.564955,30.148261,42.88688278
Persea borbonia,-95.5644,30.149879,40.10903168
Persea borbonia,-95.558394,30.175944,42.20110321
Persea borbonia,-95.558006,30.178303,43.01309204
Persea borbonia,-95.555564,30.171189,40.13841248
Persea borbonia,-95.555556,30.2757,49.77583313
Persea borbonia,-95.520932,30.385022,94.53114319
Persea borbonia,-95.520745,30.166456,48.68376541
Persea borbonia,-95.519605,30.161235,39.43326187
Persea borbonia,-95.517339,30.145361,39.65028763
Persea borbonia,-95.516838,30.160797,40.24902725
Persea borbonia,-95.515038,30.156483,37.95736694
Persea borbonia,-95.514938,30.156508,37.90150833
Persea borbonia,-95.514388,30.005397,31.70627022
Persea borbonia,-95.501128,30.393622,101.9130402
Persea borbonia,-95.498047,30.204037,43.67789841
Persea borbonia,-95.493553,30.138656,37.70983505
Persea borbonia,-95.493236,30.234896,44.95450974
Persea borbonia,-95.49016,30.11132,32.12290573
Persea borbonia,-95.48691,30.237713,53.53674698
Persea borbonia,-95.485571,30.199741,45.52236176
Persea borbonia,-95.483568,30.343427,70.11717224
Persea borbonia,-95.483091,30.342777,71.19683838
Persea borbonia,-95.482124,30.232776,42.15468597
Persea borbonia,-95.479728,30.154847,40.22900772
Persea borbonia,-95.478831,30.270409,37.41721344
Persea borbonia,-95.474809,30.101094,35.40081024
Persea borbonia,-95.463362,29.654687,12.44836521
Persea borbonia,-95.457825,30.38796,85.29125977
Persea borbonia,-95.457512,30.387763,84.86063385
Persea borbonia,-95.456051,30.253809,37.4081192
Persea borbonia,-95.452127,29.76504,18.00985909
Persea borbonia,-95.452018,29.700016,15.62338448
Persea borbonia,-95.451979,29.699932,15.55277538
Persea borbonia,-95.451942,30.111028,30.26915932
Persea borbonia,-95.440886,29.765906,17.36956596
Persea borbonia,-95.437278,30.036611,27.66954803
Persea borbonia,-95.430953,29.768448,17.67428589
Persea borbonia,-95.428434,30.198416,37.3958931
Persea borbonia,-95.427795,30.250788,48.04581833
Persea borbonia,-95.427388,30.250863,48.3809433
Persea borbonia,-95.420835,29.758217,9.45805645
Persea borbonia,-95.418727,30.043579,23.8461628
Persea borbonia,-95.40279,30.08961,26.62245369
Persea borbonia,-95.402074,30.095739,28.02245331
Persea borbonia,-95.398362,30.094781,26.64557266
Persea borbonia,-95.396842,30.091396,26.35357094
Persea borbonia,-95.39451,30.09101,27.69382095
Persea borbonia,-95.38591,30.03721,24.34680939
Persea borbonia,-95.3859,30.03723,24.17764854
Persea borbonia,-95.385855,30.03725,24.17764854
Persea borbonia,-95.38351,30.08384,27.21809387
Persea borbonia,-95.37976,30.083559,25.22655487
Persea borbonia,-95.37973,30.089706,29.54034042
Persea borbonia,-95.379418,30.081562,25.94342041
Persea borbonia,-95.378402,30.082065,25.54168892
Persea borbonia,-95.376799,30.08114,24.73098373
Persea borbonia,-95.37642,30.08468,26.53134346
Persea borbonia,-95.376391,30.085026,22.67106628
Persea borbonia,-95.37622,29.76149,6.471563816
Persea borbonia,-95.375683,30.085026,26.76583862
Persea borbonia,-95.375593,30.084178,26.08438301
Persea borbonia,-95.37535,30.088081,23.45643044
Persea borbonia,-95.3633,29.7633,11.07392406
Persea borbonia,-95.363272,29.763284,11.07392406
Persea borbonia,-95.341466,28.9292,2.837409258
Persea borbonia,-95.320245,30.292133,47.99205399
Persea borbonia,-95.319874,30.292375,48.16431808
Persea borbonia,-95.319687,30.292263,48.05346298
Persea borbonia,-95.308891,29.982401,25.03605652
Persea borbonia,-95.301331,30.029062,19.24217606
Persea borbonia,-95.300286,30.029696,17.48537254
Persea borbonia,-95.298648,30.027423,19.15780067
Persea borbonia,-95.298357,30.030125,18.80253983
Persea borbonia,-95.297146,30.030227,18.16521454
Persea borbonia,-95.297039,30.02728,18.20241165
Persea borbonia,-95.296808,30.029969,18.32137871
Persea borbonia,-95.295748,30.029936,17.01473999
Persea borbonia,-95.295487,30.029367,17.28100395
Persea borbonia,-95.295287,30.029597,17.95255852
Persea borbonia,-95.294793,30.029342,16.93865204
Persea borbonia,-95.294037,30.024665,16.98012733
Persea borbonia,-95.293611,30.027222,17.28074074
Persea borbonia,-95.293333,30.027222,16.54222107
Persea borbonia,-95.293238,30.026734,16.91907692
Persea borbonia,-95.290413,30.023178,20.27713394
Persea borbonia,-95.289261,30.02929,21.5627594
Persea borbonia,-95.284288,30.027392,22.09337997
Persea borbonia,-95.283292,30.028031,22.17352295
Persea borbonia,-95.28165,30.028408,21.3802166
Persea borbonia,-95.274063,30.209137,37.43954086
Persea borbonia,-95.274028,30.029655,18.78730392
Persea borbonia,-95.272629,30.030021,19.17216682
Persea borbonia,-95.272443,30.030075,19.00971222
Persea borbonia,-95.272311,30.030043,18.66195869
Persea borbonia,-95.272035,30.052891,13.75703907
Persea borbonia,-95.2648,30.210975,33.91653442
Persea borbonia,-95.264338,30.026578,17.37662888
Persea borbonia,-95.262962,30.02607,17.70703125
Persea borbonia,-95.262917,30.026142,17.46022606
Persea borbonia,-95.261425,30.021722,20.10356903
Persea borbonia,-95.261375,30.025197,18.27925491
Persea borbonia,-95.261097,30.025084,18.27230453
Persea borbonia,-95.26103,30.02498,18.36609459
Persea borbonia,-95.260893,30.02491,18.11693382
Persea borbonia,-95.260772,30.02463,18.90179062
Persea borbonia,-95.260673,30.024578,18.51488876
Persea borbonia,-95.209,30.352037,48.37034225
Persea borbonia,-95.208834,30.349965,54.60261917
Persea borbonia,-95.208305,30.350487,53.81095886
Persea borbonia,-95.207542,30.026806,13.59050751
Persea borbonia,-95.203889,30.034444,17.57766342
Persea borbonia,-95.183333,30.133333,22.37858009
Persea borbonia,-95.174683,30.030913,12.72019005
Persea borbonia,-95.174408,30.031514,13.39080429
Persea borbonia,-95.174377,30.031598,14.2924881
Persea borbonia,-95.171277,30.138259,20.22344208
Persea borbonia,-95.170844,30.132055,19.77626991
Persea borbonia,-95.170224,30.143477,20.63713455
Persea borbonia,-95.169799,30.581309,78.41926575
Persea borbonia,-95.154345,30.091415,17.248806
Persea borbonia,-95.15314,29.902922,11.74724197
Persea borbonia,-95.151672,30.0864,14.75603485
Persea borbonia,-95.15,30.08333,15.2024231
Persea borbonia,-95.15,30.083333,15.2024231
Persea borbonia,-95.148908,30.068388,15.8243084
Persea borbonia,-95.147531,30.066671,13.78236771
Persea borbonia,-95.145486,29.93765,12.47999954
Persea borbonia,-95.143258,29.90276,7.275012016
Persea borbonia,-95.14115,29.910729,8.202964783
Persea borbonia,-95.13902,29.910665,7.977344513
Persea borbonia,-95.137457,29.909847,8.624358177
Persea borbonia,-95.1351,30.122483,18.77700424
Persea borbonia,-95.131997,29.909583,10.46279144
Persea borbonia,-95.129453,29.908786,7.503050804
