species,decimalLongitude,decimalLatitude,elevation
Pinus elliottii,-91.176222,30.414625,11.65486813
Pinus elliottii,-90.107308,31.495724,76.4315033
Pinus elliottii,-90.08269,29.96802,0.01738699
Pinus elliottii,-89.9928,29.9456,0.592737019
Pinus elliottii,-89.966431,30.507064,12.0392704
Pinus elliottii,-89.966192,30.507705,11.87605286
Pinus elliottii,-89.965872,30.508182,12.22338581
Pinus elliottii,-89.927528,30.279222,0.579262972
Pinus elliottii,-89.917222,30.284022,0.629209876
Pinus elliottii,-89.916966,30.28406,0.843682885
Pinus elliottii,-89.82952,30.893796,38.72911453
Pinus elliottii,-89.781174,30.275194,1.567078114
Pinus elliottii,-89.74847,31.54548,122.3868256
Pinus elliottii,-89.704834,30.121835,1.54033947
Pinus elliottii,-89.6841,30.5279,19.03537178
Pinus elliottii,-89.639004,30.234382,-0.632000029
Pinus elliottii,-89.600129,30.314079,4.500893593
Pinus elliottii,-89.600102,30.313701,4.622770309
Pinus elliottii,-89.467714,30.389834,2.547739744
Pinus elliottii,-89.33687,31.36727,47.33351135
Pinus elliottii,-89.24109,31.14201,66.48615265
Pinus elliottii,-89.060425,30.689884,51.35890198
Pinus elliottii,-89.057306,30.383319,3.811001778
Pinus elliottii,-89.000878,30.857667,52.26353836
Pinus elliottii,-88.969519,30.603053,18.41473389
Pinus elliottii,-88.964517,30.560367,16.33057594
Pinus elliottii,-88.959084,30.587399,21.48369598
Pinus elliottii,-88.958678,30.434037,6.85964489
Pinus elliottii,-88.954064,30.410881,0.987923026
Pinus elliottii,-88.950333,30.460439,3.64072752
Pinus elliottii,-88.947075,30.830287,31.49215126
Pinus elliottii,-88.946511,30.592883,16.37805748
Pinus elliottii,-88.926279,30.947587,72.58953094
Pinus elliottii,-88.869247,30.611994,24.58520317
Pinus elliottii,-88.840295,30.430088,6.379868031
Pinus elliottii,-88.801972,30.417147,1.792011023
Pinus elliottii,-88.795321,30.397561,5.566439152
Pinus elliottii,-88.782669,30.430844,5.143272877
Pinus elliottii,-88.7789,30.4054,6.484613419
Pinus elliottii,-88.758156,30.401456,4.801045418
Pinus elliottii,-88.756978,30.398289,6.053043842
Pinus elliottii,-88.756462,30.39918,5.7479105
Pinus elliottii,-88.756307,30.399137,6.124200344
Pinus elliottii,-88.755232,30.400513,1.063650727
Pinus elliottii,-88.754828,30.401214,0.383948237
Pinus elliottii,-88.751847,30.397497,5.795181274
Pinus elliottii,-88.738869,30.398233,4.565523148
Pinus elliottii,-88.718506,30.3925,5.659892559
Pinus elliottii,-88.718431,30.392456,5.723100662
Pinus elliottii,-88.717095,30.3733,0.182652324
Pinus elliottii,-88.7019,30.24434,1.027244091
Pinus elliottii,-88.662113,30.449688,3.370885134
Pinus elliottii,-88.66123,30.232459,3.164939165
