species,decimalLongitude,decimalLatitude,elevation
Pinus palustris,-95.263798,30.209603,32.86461639
Pinus palustris,-95.208397,30.350225,54.32331848
Pinus palustris,-95.208271,30.92206,68.20161438
Pinus palustris,-95.2,30.916666,77.52378082
Pinus palustris,-95.113174,30.462761,76.20384216
Pinus palustris,-95.110846,30.449755,69.82949829
Pinus palustris,-95.003464,31.104931,94.05982208
Pinus palustris,-94.90713,30.71432,62.52815247
Pinus palustris,-94.898882,31.147769,66.84185791
Pinus palustris,-94.898196,31.148005,66.7363205
Pinus palustris,-94.827153,30.996856,71.70158386
Pinus palustris,-94.7667,31.4833,54.08075714
Pinus palustris,-94.754997,31.497778,67.989151
Pinus palustris,-94.734363,31.493048,66.13525391
Pinus palustris,-94.707522,31.527272,123.1409683
Pinus palustris,-94.696442,31.315075,106.6889267
Pinus palustris,-94.679619,30.61725,74.74214935
Pinus palustris,-94.667778,30.652222,93.74089813
Pinus palustris,-94.662311,30.635046,89.03170776
Pinus palustris,-94.647398,31.629555,96.77741241
Pinus palustris,-94.647179,31.623654,96.02915192
Pinus palustris,-94.647087,31.623757,95.76918793
Pinus palustris,-94.646953,31.628182,98.04562378
Pinus palustris,-94.646222,31.627957,97.88761902
Pinus palustris,-94.646172,31.628563,97.95881653
Pinus palustris,-94.646103,31.628642,98.11071777
Pinus palustris,-94.646092,31.62825,97.6917038
Pinus palustris,-94.646059,31.628252,97.6917038
Pinus palustris,-94.646043,31.628228,97.60192108
Pinus palustris,-94.645864,31.628417,97.59399414
Pinus palustris,-94.645812,31.62847,97.86329651
Pinus palustris,-94.645778,31.628489,97.86329651
Pinus palustris,-94.645739,31.628457,97.54134369
Pinus palustris,-94.645717,31.628282,97.73782349
Pinus palustris,-94.645704,31.628534,97.69204712
Pinus palustris,-94.645697,31.628337,97.79350281
Pinus palustris,-94.645689,31.628593,97.69204712
Pinus palustris,-94.644417,31.627955,91.67472076
Pinus palustris,-94.644389,31.63035,87.99443817
Pinus palustris,-94.516378,31.561492,93.63072968
Pinus palustris,-94.487458,31.268269,67.94534302
Pinus palustris,-94.483658,31.263361,63.8810463
Pinus palustris,-94.483422,31.263344,63.67608643
Pinus palustris,-94.483414,31.263253,63.63871384
Pinus palustris,-94.483397,31.263656,63.93017197
Pinus palustris,-94.483361,31.263686,63.93017197
Pinus palustris,-94.483336,31.263436,63.66098785
Pinus palustris,-94.483306,31.263478,63.66098785
Pinus palustris,-94.483283,31.263506,63.66098785
Pinus palustris,-94.483269,31.263522,63.62451172
Pinus palustris,-94.4832,31.263517,63.5940094
Pinus palustris,-94.483161,31.263558,63.5940094
Pinus palustris,-94.483156,31.263569,63.5940094
Pinus palustris,-94.483156,31.263572,63.5940094
Pinus palustris,-94.483147,31.263578,63.53519058
Pinus palustris,-94.483147,31.263581,63.53519058
Pinus palustris,-94.483131,31.263558,63.53519058
Pinus palustris,-94.483131,31.263594,63.53519058
Pinus palustris,-94.483131,31.263597,63.53519058
Pinus palustris,-94.483125,31.2637,63.65621948
Pinus palustris,-94.483108,31.263622,63.65621948
Pinus palustris,-94.483108,31.263628,63.65621948
Pinus palustris,-94.483078,31.263661,63.65621948
Pinus palustris,-94.483078,31.263992,63.19411087
Pinus palustris,-94.483064,31.263664,63.65621948
Pinus palustris,-94.482972,31.263772,63.78003311
Pinus palustris,-94.482933,31.263836,63.5648613
Pinus palustris,-94.482842,31.263967,63.80125046
Pinus palustris,-94.482819,31.263964,63.80125046
Pinus palustris,-94.482758,31.2641,63.51717377
Pinus palustris,-94.482742,31.264008,63.81602859
Pinus palustris,-94.482483,31.264325,63.2708931
Pinus palustris,-94.482314,31.264758,62.62695313
Pinus palustris,-94.482292,31.264583,62.58888626
Pinus palustris,-94.481864,31.264997,62.48197174
Pinus palustris,-94.481439,31.265817,63.43547058
Pinus palustris,-94.480994,31.265986,63.52683258
Pinus palustris,-94.480958,31.266097,63.88062668
Pinus palustris,-94.480806,31.266583,63.46517181
Pinus palustris,-94.480553,31.266925,63.43468475
Pinus palustris,-94.480536,31.267,63.19535065
Pinus palustris,-94.480522,31.266911,63.43468475
Pinus palustris,-94.480522,31.266961,63.19535065
Pinus palustris,-94.480514,31.266981,63.19535065
Pinus palustris,-94.480514,31.267017,63.19535065
Pinus palustris,-94.4805,31.267078,63.14874649
Pinus palustris,-94.480475,31.267133,63.1204834
Pinus palustris,-94.480461,31.267139,62.94596481
Pinus palustris,-94.480447,31.266925,63.47457504
