species,decimalLongitude,decimalLatitude,elevation
Pinus serotina,-86.702968,31.163471,91.4754715
Pinus serotina,-86.652878,31.014725,58.82059479
Pinus serotina,-86.47166,30.69583,29.60814476
Pinus serotina,-86.017648,30.475831,11.02784538
Pinus serotina,-85.510419,30.547403,55.37984848
Pinus serotina,-85.483061,32.594931,199.5291595
Pinus serotina,-85.371166,30.544552,64.98664093
Pinus serotina,-85.296411,31.158183,68.30895996
Pinus serotina,-85.1708,32.30136,100.1610336
Pinus serotina,-85.101028,32.004066,82.81383514
Pinus serotina,-85.1,31.98,57.56276703
Pinus serotina,-84.883083,30.241138,25.98373222
Pinus serotina,-84.843114,30.310262,33.24920273
Pinus serotina,-84.84243,30.417878,49.56634521
Pinus serotina,-84.799665,29.890147,4.506464958
Pinus serotina,-84.668354,30.087673,9.809986115
Pinus serotina,-84.530988,30.063119,11.19135952
Pinus serotina,-84.491125,29.922248,4.500788212
Pinus serotina,-84.403944,30.170565,9.362588882
Pinus serotina,-84.359111,30.091335,4.329706669
Pinus serotina,-84.316667,32.583333,200.5318298
Pinus serotina,-84.316667,32.5875,196.0522766
Pinus serotina,-84.306084,30.116243,4.66955328
Pinus serotina,-84.30484,30.115946,4.40627861
Pinus serotina,-84.303811,30.115036,4.018612385
Pinus serotina,-84.3021,30.09989,3.116895199
Pinus serotina,-84.3,30.1833,8.493382454
Pinus serotina,-84.285859,30.70742,43.20473099
Pinus serotina,-84.247032,30.740471,41.70694351
Pinus serotina,-84.193519,30.696036,54.22832108
Pinus serotina,-84.15689,30.14701,1.669738173
Pinus serotina,-84.12759,31.629531,61.47592545
Pinus serotina,-84.08084,30.518799,34.60844803
Pinus serotina,-84.032223,30.359322,11.31481457
Pinus serotina,-84.009557,30.421688,35.43717957
Pinus serotina,-83.999905,30.430726,46.56714249
Pinus serotina,-83.89532,30.438088,53.3596344
Pinus serotina,-83.884602,30.380064,18.34022141
Pinus serotina,-83.884003,30.380255,17.48980331
Pinus serotina,-83.797677,30.354687,15.8901329
Pinus serotina,-83.7665,30.4169,21.91630554
Pinus serotina,-83.602581,30.047704,10.39466476
Pinus serotina,-83.587921,31.13091,65.86895752
Pinus serotina,-83.574853,31.127528,61.05107117
Pinus serotina,-83.574287,31.130647,61.03165054
Pinus serotina,-83.57318,31.126414,59.46498871
Pinus serotina,-83.352048,30.12712,27.45974541
Pinus serotina,-83.278485,30.818186,60.40233994
Pinus serotina,-83.255941,30.730116,53.56811905
Pinus serotina,-83.174858,30.053001,23.93838882
Pinus serotina,-83.13556,30.96387,60.75233078
Pinus serotina,-83.074306,30.722876,43.19639206
Pinus serotina,-82.87,31.83,49.57092285
Pinus serotina,-82.8176,29.6133,16.67956734
Pinus serotina,-82.611607,28.874964,1.307929277
Pinus serotina,-82.399672,32.623178,73.35804749
Pinus serotina,-82.367409,32.603508,88.99860382
Pinus serotina,-82.357654,29.675041,42.65290451
Pinus serotina,-82.351277,29.558572,18.07335663
