species,decimalLongitude,decimalLatitude,elevation
Platanus occidentalis,-101.173438,30.221563,623.7532349
Platanus occidentalis,-101.148691,29.963779,457.5231323
Platanus occidentalis,-101.148532,29.962953,457.3807373
Platanus occidentalis,-101.148227,29.962688,457.0418396
Platanus occidentalis,-101.106271,30.20396,544.5914307
Platanus occidentalis,-101.067122,30.180399,524.2748413
Platanus occidentalis,-101.022817,29.71835,355.260498
Platanus occidentalis,-101.022731,29.71835,355.4402161
Platanus occidentalis,-101.022606,29.718064,355.0225525
Platanus occidentalis,-101.021819,29.716958,355.280426
Platanus occidentalis,-101.021769,29.717075,355.3343811
Platanus occidentalis,-101.021745,29.716985,355.3461914
Platanus occidentalis,-101.007715,29.744838,373.0270081
Platanus occidentalis,-101.000682,29.674389,347.4465637
Platanus occidentalis,-100.996588,29.89728,405.4247437
Platanus occidentalis,-100.996288,29.896714,406.7663269
Platanus occidentalis,-100.995035,29.894359,405.8711243
Platanus occidentalis,-100.994759,29.894142,405.9189758
Platanus occidentalis,-100.994449,29.89277,404.4370117
Platanus occidentalis,-100.99439,29.884616,414.4376221
Platanus occidentalis,-100.99424,29.895866,444.2603149
Platanus occidentalis,-100.994131,29.885717,409.8426819
Platanus occidentalis,-100.993912,29.884316,401.179657
Platanus occidentalis,-100.993436,29.884375,401.8826904
Platanus occidentalis,-100.992461,29.887955,404.8582458
Platanus occidentalis,-100.987706,29.786549,374.6347961
Platanus occidentalis,-100.984292,29.912015,427.2308044
Platanus occidentalis,-100.983063,29.926395,439.9433899
Platanus occidentalis,-100.982447,29.926756,440.5429077
Platanus occidentalis,-100.934136,29.801768,415.5454712
Platanus occidentalis,-100.890762,29.360338,285.2886047
Platanus occidentalis,-100.886304,29.365783,287.9195557
Platanus occidentalis,-100.884614,29.366922,286.5230713
Platanus occidentalis,-100.751206,29.254565,267.2107544
Platanus occidentalis,-100.383386,29.654462,488.5209961
Platanus occidentalis,-100.009728,29.619471,417.0271606
Platanus occidentalis,-100.009554,29.617264,412.8228149
Platanus occidentalis,-100.00885,29.618447,415.3459473
Platanus occidentalis,-99.965627,29.356711,316.9845276
Platanus occidentalis,-99.85833,29.624313,497.2715149
Platanus occidentalis,-99.849482,29.065411,226.7562408
Platanus occidentalis,-99.814497,29.020999,216.2234955
Platanus occidentalis,-99.75132,29.62265,434.0856323
Platanus occidentalis,-99.750895,29.704101,467.6061401
Platanus occidentalis,-99.750839,29.622944,434.4423218
Platanus occidentalis,-99.7454,29.630208,440.3635864
Platanus occidentalis,-99.742453,29.677183,456.3907471
Platanus occidentalis,-99.741522,29.596812,431.3233948
Platanus occidentalis,-99.74018,29.59567,429.5462036
Platanus occidentalis,-99.736915,29.598313,433.2298584
Platanus occidentalis,-99.73513,29.587392,421.7814026
Platanus occidentalis,-99.73339,29.602308,424.3054199
Platanus occidentalis,-99.733347,29.601444,429.52771
Platanus occidentalis,-99.73271,29.579265,419.4044189
Platanus occidentalis,-99.732447,29.592543,420.0873108
Platanus occidentalis,-99.732,29.600667,432.3377075
Platanus occidentalis,-99.7319,29.6006,432.3435059
Platanus occidentalis,-99.73182,29.579088,417.8194885
Platanus occidentalis,-99.729698,29.584005,416.8912659
Platanus occidentalis,-99.729651,29.584001,416.8912659
Platanus occidentalis,-99.711411,29.496408,372.9254456
Platanus occidentalis,-99.7,29.6,449.3532715
Platanus occidentalis,-99.693572,29.513069,381.5570679
Platanus occidentalis,-99.692892,29.768708,547.2160645
Platanus occidentalis,-99.685372,29.495227,417.736084
Platanus occidentalis,-99.64463,29.322372,298.449646
