species,decimalLongitude,decimalLatitude,elevation
Populus heterophylla,-92.063979,32.53591,19.34047318
Populus heterophylla,-92.052708,32.603977,20.87828445
Populus heterophylla,-92.039442,33.077322,21.33039093
Populus heterophylla,-91.565317,33.53157,50.51815414
Populus heterophylla,-91.281781,33.328728,32.94579697
Populus heterophylla,-91.274,33.159692,37.94390869
Populus heterophylla,-91.203314,34.679513,55.29465485
Populus heterophylla,-91.151499,34.903401,57.33330917
Populus heterophylla,-91.144479,34.67706,55.56541061
Populus heterophylla,-91.138387,34.614801,53.88830566
Populus heterophylla,-91.072875,34.418405,49.50242233
Populus heterophylla,-91.05409,34.645694,56.79052353
Populus heterophylla,-91.053228,34.645531,55.83101273
Populus heterophylla,-91.053109,34.433545,46.79000854
Populus heterophylla,-91.053003,34.645478,55.85341263
Populus heterophylla,-91.007053,34.593293,55.08042526
Populus heterophylla,-90.841551,34.548978,52.80122757
Populus heterophylla,-90.770142,34.775118,68.73442078
Populus heterophylla,-90.757348,34.778367,68.46245575
Populus heterophylla,-90.702827,32.321122,30.04000092
Populus heterophylla,-90.632712,35.828126,74.07248688
Populus heterophylla,-90.612259,36.483333,88.67934418
Populus heterophylla,-90.453931,37.111074,145.5675507
Populus heterophylla,-90.392778,36.756944,109.8033524
Populus heterophylla,-90.368761,33.24633,32.11014175
Populus heterophylla,-90.304444,36.931667,108.3399963
Populus heterophylla,-90.276083,36.769278,99.18104553
Populus heterophylla,-90.271667,36.770278,98.98530579
Populus heterophylla,-90.248198,34.397941,49.81848907
Populus heterophylla,-90.243,33.159,36.09128571
Populus heterophylla,-90.241,34.404,49.85139465
Populus heterophylla,-90.22,33.15,38.44789505
Populus heterophylla,-90.2001,36.93728,106.2707901
Populus heterophylla,-90.150833,36.971389,102.9007874
Populus heterophylla,-90.150772,36.971797,102.6756516
Populus heterophylla,-90.149561,36.971484,102.7213821
Populus heterophylla,-90.149239,36.97146,102.6404877
Populus heterophylla,-90.149039,36.971484,102.6266937
Populus heterophylla,-90.148913,36.97149,102.6132813
Populus heterophylla,-90.140996,36.995028,102.556282
Populus heterophylla,-90.13777,37.18111,167.6287231
Populus heterophylla,-90.132257,36.990082,102.7832336
Populus heterophylla,-90.075,36.493333,95.99819946
Populus heterophylla,-90.057,32.737,57.32106018
Populus heterophylla,-89.904167,37.047222,108.3050613
Populus heterophylla,-89.904083,37.047333,108.6784668
Populus heterophylla,-89.894612,35.184553,75.60903168
Populus heterophylla,-89.821238,30.79264,21.75299454
Populus heterophylla,-89.816618,30.789623,21.36218071
Populus heterophylla,-89.813,30.6785,15.95778561
Populus heterophylla,-89.79,33.77,60.60554504
Populus heterophylla,-89.713213,30.525465,18.42144775
Populus heterophylla,-89.706389,37.206111,101.5508804
Populus heterophylla,-89.6658,30.5028,16.01408577
Populus heterophylla,-89.59428,30.43938,9.205343246
Populus heterophylla,-89.565,37.2475,102.1264267
Populus heterophylla,-89.47444,36.66527,87.32421875
Populus heterophylla,-89.446791,38.610303,135.4642487
Populus heterophylla,-89.444928,37.544771,107.1401443
Populus heterophylla,-89.444564,37.544754,106.9571838
