species,decimalLongitude,decimalLatitude,elevation
Prunus americana,-111.9625,47.07444,1052.342407
Prunus americana,-111.037231,45.666141,1485.748047
Prunus americana,-109.44222,45.52056,1231.148193
Prunus americana,-108.749372,45.682484,1012.550354
Prunus americana,-108.594788,45.815455,1105.126343
Prunus americana,-108.50069,45.783286,951.5656738
Prunus americana,-108.495135,45.789675,950.2431641
Prunus americana,-108.300035,45.879595,927.9864502
Prunus americana,-107.1119,45.5266,1150.929443
Prunus americana,-107.04762,44.983824,1207.028564
Prunus americana,-106.7307,44.4687,1439.094482
Prunus americana,-106.417887,35.239323,2357.847656
Prunus americana,-106.295159,34.595179,2017.446655
Prunus americana,-105.9552,45.6074,1264.749756
Prunus americana,-105.891845,35.727055,2275.970459
Prunus americana,-105.888435,35.726185,2285.592529
Prunus americana,-105.650553,45.383325,1035.244385
Prunus americana,-105.612367,36.375362,2096.30542
Prunus americana,-105.576713,36.720269,2317.257568
Prunus americana,-105.554466,36.437349,2156.954346
Prunus americana,-105.5396,45.0659,1222.929932
Prunus americana,-105.5215,44.8055,1233.720825
Prunus americana,-105.496677,46.40833,922.0152588
Prunus americana,-105.461312,39.977091,2415.892822
Prunus americana,-105.44,40.14,2491.166016
Prunus americana,-105.376992,43.96243,1413.245117
Prunus americana,-105.37,40.75,2047.408325
Prunus americana,-105.349274,40.004476,1869.990967
Prunus americana,-105.34922,40.688755,1781.670776
Prunus americana,-105.344095,40.228663,1827.418457
Prunus americana,-105.319486,40.202724,1714.751831
Prunus americana,-105.319144,40.236438,1748.723755
Prunus americana,-105.313662,40.706395,1802.891968
Prunus americana,-105.31305,40.70412,1799.773926
Prunus americana,-105.31167,46.79306,685.1002197
Prunus americana,-105.311395,40.692037,1750.279541
Prunus americana,-105.311089,40.693369,1758.334595
Prunus americana,-105.311019,40.692439,1746.628662
Prunus americana,-105.311011,40.693272,1754.064819
Prunus americana,-105.310928,40.693255,1754.064819
Prunus americana,-105.310897,40.692542,1746.988647
Prunus americana,-105.310858,40.692555,1746.988647
Prunus americana,-105.310662,40.69498,1761.404785
Prunus americana,-105.310469,40.013956,1700.560913
