species,decimalLongitude,decimalLatitude,elevation
Quercus imbricaria,-97.358178,37.695438,396.3035278
Quercus imbricaria,-95.57583,40.47472,343.4481506
Quercus imbricaria,-95.44549,39.11591,282.8446045
Quercus imbricaria,-95.26011,38.80391,308.4202881
Quercus imbricaria,-95.242302,38.739214,314.1420593
Quercus imbricaria,-95.19913,38.76468,308.1799927
Quercus imbricaria,-95.196515,39.04873,329.2174377
Quercus imbricaria,-95.12942,38.76703,323.1179504
Quercus imbricaria,-95.07644,38.99414,258.8041382
Quercus imbricaria,-94.92719,38.83984,311.3244019
Quercus imbricaria,-94.816155,39.003268,261.2861938
Quercus imbricaria,-94.805798,38.96037,256.9403076
Quercus imbricaria,-94.80163,39.1744,249.0762787
Quercus imbricaria,-94.79931,38.99099,294.493927
Quercus imbricaria,-94.79193,39.160633,255.9832916
Quercus imbricaria,-94.790733,39.165702,256.8937378
Quercus imbricaria,-94.785339,39.151455,277.7568054
Quercus imbricaria,-94.78108,39.16318,253.207016
Quercus imbricaria,-94.769685,39.088597,268.0241394
Quercus imbricaria,-94.727684,38.828502,292.703125
Quercus imbricaria,-94.724412,39.264787,269.7380371
Quercus imbricaria,-94.71056,38.91671,278.9857788
Quercus imbricaria,-94.702203,37.391312,277.436615
Quercus imbricaria,-94.70049,39.380821,276.5327148
Quercus imbricaria,-94.699961,39.664132,266.2477417
Quercus imbricaria,-94.691667,38.795833,288.2290955
Quercus imbricaria,-94.688793,38.803504,294.7590942
Quercus imbricaria,-94.68412,39.00968,304.0810242
Quercus imbricaria,-94.68194,39.2095,292.4477539
Quercus imbricaria,-94.677818,39.194357,267.8979492
Quercus imbricaria,-94.676686,39.194769,275.8771667
Quercus imbricaria,-94.671345,39.193726,302.4042969
Quercus imbricaria,-94.66579,38.81821,271.0864258
Quercus imbricaria,-94.655556,40.451944,324.6424561
Quercus imbricaria,-94.65549,39.2155,305.4358521
Quercus imbricaria,-94.650947,39.177795,230.3629608
Quercus imbricaria,-94.6475,39.51638,247.3010254
Quercus imbricaria,-94.637368,38.82939,271.4917603
Quercus imbricaria,-94.621309,39.367587,284.3762207
Quercus imbricaria,-94.61972,38.81857,312.5049744
Quercus imbricaria,-94.617578,39.24157,291.6483765
Quercus imbricaria,-94.600832,38.944942,254.2207336
Quercus imbricaria,-94.594094,39.030614,275.8883667
Quercus imbricaria,-94.583558,39.109413,253.3358917
Quercus imbricaria,-94.581413,39.259888,289.4212341
Quercus imbricaria,-94.5783,39.0997,274.5054932
Quercus imbricaria,-94.573372,39.357472,265.3243408
Quercus imbricaria,-94.570984,38.860806,305.4667664
Quercus imbricaria,-94.569077,38.878227,310.6993713
Quercus imbricaria,-94.56768,38.975388,279.5585632
Quercus imbricaria,-94.567597,38.899874,305.9650574
Quercus imbricaria,-94.567596,38.900015,308.2296753
Quercus imbricaria,-94.565965,38.941606,244.7060699
Quercus imbricaria,-94.557537,39.406576,267.4265137
Quercus imbricaria,-94.556519,39.408891,270.3649902
Quercus imbricaria,-94.556228,38.959347,275.4070435
Quercus imbricaria,-94.555514,38.960219,273.5056152
Quercus imbricaria,-94.553374,39.244602,260.3988647
Quercus imbricaria,-94.546829,39.250988,280.7831116
Quercus imbricaria,-94.539313,39.23174,255.7760162
Quercus imbricaria,-94.537731,39.194335,262.7814026
Quercus imbricaria,-94.53501,39.194998,263.1786194
Quercus imbricaria,-94.512268,38.991004,274.5444031
Quercus imbricaria,-94.508745,38.988342,289.2393494
Quercus imbricaria,-94.507517,39.174553,255.0848236
Quercus imbricaria,-94.506397,38.765236,297.6563416
Quercus imbricaria,-94.505641,39.166022,258.7900085
Quercus imbricaria,-94.50154,39.252643,278.3780518
Quercus imbricaria,-94.485865,39.251055,262.6937256
Quercus imbricaria,-94.448524,38.97052,285.6153259
Quercus imbricaria,-94.433863,38.732901,294.7635193
Quercus imbricaria,-94.374585,37.801794,244.2841187
Quercus imbricaria,-94.370705,39.038441,238.2667236
Quercus imbricaria,-94.366111,39.929722,259.8317566
Quercus imbricaria,-94.360207,39.08654,264.6409302
Quercus imbricaria,-94.357776,35.695719,336.7246399
Quercus imbricaria,-94.35583,36.72111,329.1755066
Quercus imbricaria,-94.354995,39.083758,271.2192688
Quercus imbricaria,-94.351261,35.436643,133.7225494
Quercus imbricaria,-94.343611,38.851667,290.0675354
Quercus imbricaria,-94.33998,39.055547,229.5924683
Quercus imbricaria,-94.336357,38.932373,288.1842651
Quercus imbricaria,-94.334571,39.444378,278.1491394
Quercus imbricaria,-94.329638,40.642949,347.60495
Quercus imbricaria,-94.328094,39.04718,251.3450317
Quercus imbricaria,-94.327704,39.097985,246.5449219
Quercus imbricaria,-94.314522,38.870785,282.2026978
Quercus imbricaria,-94.309821,38.803984,285.8860168
Quercus imbricaria,-94.30677,39.48332,311.151001
Quercus imbricaria,-94.296263,39.050128,278.6838684
Quercus imbricaria,-94.293961,39.050435,277.6486511
Quercus imbricaria,-94.292213,39.007546,264.3944702
Quercus imbricaria,-94.281015,39.047252,288.184845
Quercus imbricaria,-94.269947,39.774356,282.0878296
Quercus imbricaria,-94.224005,38.906412,307.027832
Quercus imbricaria,-94.223948,38.904358,315.8841553
Quercus imbricaria,-94.219449,38.970963,286.3458252
Quercus imbricaria,-94.217187,39.657628,274.5340881
Quercus imbricaria,-94.207237,39.276825,222.7687683
Quercus imbricaria,-94.203439,39.674322,283.3059692
Quercus imbricaria,-94.163068,38.878014,295.3405762
Quercus imbricaria,-94.142159,38.892303,300.9041138
Quercus imbricaria,-94.135555,40.046667,235.9347839
Quercus imbricaria,-94.132993,40.523022,338.8066406
Quercus imbricaria,-94.100647,40.074513,280.0409851
Quercus imbricaria,-94.043343,39.484819,284.7203979
Quercus imbricaria,-94.041047,38.87075,281.0221252
Quercus imbricaria,-94.040419,38.872295,280.0097656
Quercus imbricaria,-94.039773,38.871636,276.7615051
Quercus imbricaria,-94.039626,38.871663,272.9119873
Quercus imbricaria,-94.039489,38.873792,280.2553711
Quercus imbricaria,-94.039467,38.873367,281.4274292
Quercus imbricaria,-94.039458,38.873588,281.1062317
Quercus imbricaria,-94.039397,38.873328,280.8300476
Quercus imbricaria,-94.039383,38.873253,280.8300476
Quercus imbricaria,-94.039367,38.873203,280.5858765
Quercus imbricaria,-94.039353,38.873592,280.8116455
Quercus imbricaria,-94.039305,38.873222,279.9417114
Quercus imbricaria,-94.036993,38.870172,277.8180237
Quercus imbricaria,-94.036933,40.057094,266.065979
Quercus imbricaria,-94.036452,38.869888,280.4282227
Quercus imbricaria,-94.035224,40.055118,254.4839325
Quercus imbricaria,-94.021334,40.273868,282.7517395
Quercus imbricaria,-94.015321,40.729262,333.0377197
Quercus imbricaria,-93.95567,39.134577,244.5549774
Quercus imbricaria,-93.853836,40.655503,295.4114685
Quercus imbricaria,-93.853771,40.65699,287.488678
Quercus imbricaria,-93.78524,35.68021,224.5345001
Quercus imbricaria,-93.784318,37.543651,281.3367004
Quercus imbricaria,-93.778985,35.678059,234.2422638
Quercus imbricaria,-93.767335,38.757894,219.4908447
