species,decimalLongitude,decimalLatitude,elevation
Quercus lyrata,-96.1974,30.601425,58.69827652
Quercus lyrata,-96.176093,30.811244,69.38378906
Quercus lyrata,-96.170577,30.749675,64.87483215
Quercus lyrata,-96.167504,30.570864,58.03570557
Quercus lyrata,-96.166992,30.571088,57.61371613
Quercus lyrata,-96.06425,30.6275,75.08000183
Quercus lyrata,-95.993801,32.848212,136.856842
Quercus lyrata,-95.968945,29.601483,38.11832047
Quercus lyrata,-95.924385,33.885159,130.9876862
Quercus lyrata,-95.908032,32.81202,120.3840256
Quercus lyrata,-95.883822,31.919385,78.00830841
Quercus lyrata,-95.881258,31.919511,77.83342743
Quercus lyrata,-95.880226,31.920171,78.00957489
Quercus lyrata,-95.879757,31.937479,79.59525299
Quercus lyrata,-95.878239,31.956185,95.04911804
Quercus lyrata,-95.874867,31.920022,77.18167114
Quercus lyrata,-95.871636,30.955806,89.5875473
Quercus lyrata,-95.826653,31.688866,63.11299896
Quercus lyrata,-95.82425,31.688866,64.54112244
Quercus lyrata,-95.820618,29.801875,44.81988144
Quercus lyrata,-95.634012,29.820764,27.22199059
Quercus lyrata,-95.629977,29.803798,27.70036316
Quercus lyrata,-95.607331,29.372428,14.22430801
Quercus lyrata,-95.58947,29.27239,11.82963753
Quercus lyrata,-95.58043,29.9825,35.29962158
Quercus lyrata,-95.576782,29.374141,15.93928337
Quercus lyrata,-95.574678,31.593745,105.5672531
Quercus lyrata,-95.563333,32.676389,103.5742264
Quercus lyrata,-95.562539,30.259317,40.99448776
Quercus lyrata,-95.560275,34.138774,151.2995758
Quercus lyrata,-95.559618,33.71982,146.4459381
Quercus lyrata,-95.502781,30.169044,48.67341614
Quercus lyrata,-95.4724,32.62179,97.24742889
Quercus lyrata,-95.460578,32.634476,116.639122
Quercus lyrata,-95.460124,32.624092,94.80892181
Quercus lyrata,-95.457345,32.327392,105.4730682
Quercus lyrata,-95.45665,29.765085,13.88832951
Quercus lyrata,-95.455994,29.765475,20.13515282
Quercus lyrata,-95.45515,32.314739,106.2546082
Quercus lyrata,-95.452841,29.765054,17.78383446
Quercus lyrata,-95.452836,29.765117,17.91283989
Quercus lyrata,-95.452423,29.764524,17.67974091
Quercus lyrata,-95.452332,29.763006,17.53088379
Quercus lyrata,-95.452103,29.765385,18.17882538
Quercus lyrata,-95.451064,32.79596,126.3906097
Quercus lyrata,-95.450604,29.762118,17.60142899
Quercus lyrata,-95.450439,29.761881,17.59861374
Quercus lyrata,-95.449286,32.607475,94.4611969
Quercus lyrata,-95.43009,31.872101,83.40868378
Quercus lyrata,-95.398295,29.760999,12.77988052
Quercus lyrata,-95.39312,32.59371,93.22961426
Quercus lyrata,-95.37473,32.31253,145.8837585
Quercus lyrata,-95.370192,29.75715,15.09963226
Quercus lyrata,-95.361136,32.587856,93.27933502
Quercus lyrata,-95.36107,29.41805,11.10544109
Quercus lyrata,-95.36038,29.42186,11.41074562
Quercus lyrata,-95.36036,29.4225,11.11802292
Quercus lyrata,-95.35899,29.38558,9.177053452
Quercus lyrata,-95.35879,29.3845,9.449378967
Quercus lyrata,-95.349016,32.582145,94.33789063
Quercus lyrata,-95.34393,32.583747,92.92876434
Quercus lyrata,-95.291717,29.337705,6.452037334
Quercus lyrata,-95.261111,30.025278,13.71448517
Quercus lyrata,-95.25517,32.49258,128.9113312
Quercus lyrata,-95.232465,31.549416,104.8814392
Quercus lyrata,-95.183088,32.454437,110.9041901
Quercus lyrata,-95.158862,30.062127,19.82829475
Quercus lyrata,-95.137913,29.507718,1.691786051
Quercus lyrata,-95.127395,29.500241,6.65083456
Quercus lyrata,-95.120277,29.561468,6.131902218
Quercus lyrata,-95.083333,33.75,133.964859
Quercus lyrata,-95.075523,29.593115,3.824133873
Quercus lyrata,-95.025278,29.991111,18.32201195
Quercus lyrata,-95.021544,33.63975,146.3573761
Quercus lyrata,-94.941164,33.786389,118.4278946
Quercus lyrata,-94.858268,32.374172,90.35555267
Quercus lyrata,-94.830556,30.494444,17.50339699
Quercus lyrata,-94.828116,30.251536,11.50678444
Quercus lyrata,-94.821799,30.283018,9.638323784
Quercus lyrata,-94.795478,30.057993,9.468633652
Quercus lyrata,-94.791068,30.096955,7.647851467
Quercus lyrata,-94.779747,30.080795,11.8868618
Quercus lyrata,-94.74096,29.828832,0.296999991
Quercus lyrata,-94.651299,31.611115,93.3989563
Quercus lyrata,-94.645638,33.748542,101.9527969
Quercus lyrata,-94.643303,33.740805,101.8505096
Quercus lyrata,-94.642,33.748461,101.6769257
Quercus lyrata,-94.641963,33.748425,101.6769257
Quercus lyrata,-94.612912,33.74143,100.5127335
Quercus lyrata,-94.559083,34.019648,111.1545105
Quercus lyrata,-94.390222,30.332373,20.55806541
Quercus lyrata,-94.389977,29.801813,7.619999886
Quercus lyrata,-94.389387,29.801747,7.619999886
Quercus lyrata,-94.389101,29.801766,7.619999886
Quercus lyrata,-94.366187,33.237563,71.85905457
Quercus lyrata,-94.33501,33.282283,70.1508255
Quercus lyrata,-94.246856,33.233538,77.11989594
Quercus lyrata,-94.242485,33.236687,70.59731293
Quercus lyrata,-94.236494,33.315434,71.18224335
Quercus lyrata,-94.21699,33.24806,70.14404297
Quercus lyrata,-94.212856,30.939602,26.98289871
Quercus lyrata,-94.201382,33.701683,100.4407349
Quercus lyrata,-94.18002,32.691728,53.59521484
Quercus lyrata,-94.179362,32.695347,51.78760147
Quercus lyrata,-94.174131,32.673683,78.95172119
Quercus lyrata,-94.168411,30.176491,1.295982361
Quercus lyrata,-94.151298,32.663413,64.9890976
Quercus lyrata,-94.14058,30.731803,23.05312538
Quercus lyrata,-94.137683,30.718725,26.97559929
Quercus lyrata,-94.137117,30.716667,18.16391754
Quercus lyrata,-94.133306,30.725015,18.65948486
Quercus lyrata,-94.114213,30.452981,9.828507423
Quercus lyrata,-94.113538,30.454717,8.524999619
Quercus lyrata,-94.113517,32.68145,51.96652222
Quercus lyrata,-94.112985,32.697687,51.7808876
Quercus lyrata,-94.099517,33.494417,93.3757019
Quercus lyrata,-94.029373,29.953903,3.977337837
Quercus lyrata,-94.025457,33.245602,61.99979782
Quercus lyrata,-94.023742,30.814453,62.81587219
Quercus lyrata,-94.023536,30.812861,65.26777649
Quercus lyrata,-93.964683,33.687644,76.13053894
Quercus lyrata,-93.934705,32.569535,58.85773468
Quercus lyrata,-93.833567,32.698403,55.89141846
Quercus lyrata,-93.821216,33.657819,90.6661377
Quercus lyrata,-93.719437,32.49207,52.22301865
Quercus lyrata,-93.715782,33.567978,73.9024353
Quercus lyrata,-93.611305,30.044659,0.434346497
Quercus lyrata,-93.524642,31.553212,59.25413132
Quercus lyrata,-93.40439,32.21077,57.98503113
Quercus lyrata,-93.378608,32.43945,48.41808701
Quercus lyrata,-93.22914,33.25295,95.14133453
Quercus lyrata,-93.204156,30.266664,-0.152343258
Quercus lyrata,-93.17515,35.6869,540.8695679
Quercus lyrata,-93.174561,31.414029,87.16298676
Quercus lyrata,-93.15479,35.2072,99.92345428
Quercus lyrata,-93.086275,31.833288,29.13803482
Quercus lyrata,-93.08003,35.08351,90.13470459
Quercus lyrata,-93.07912,35.08316,90.6002655
Quercus lyrata,-93.07746,31.657137,48.31774139
Quercus lyrata,-93.07383,34.90586,126.4844513
Quercus lyrata,-93.07093,34.903538,131.419342
Quercus lyrata,-93.045294,31.675152,32.24840164
Quercus lyrata,-93.033472,32.546111,69.91139221
Quercus lyrata,-93.01655,35.52491,342.2309265
Quercus lyrata,-93.01603,35.52511,343.0767822
Quercus lyrata,-92.987911,31.853827,30.24699974
Quercus lyrata,-92.985987,30.454925,4.805680752
Quercus lyrata,-92.957937,31.847663,32.57276535
