species,decimalLongitude,decimalLatitude,elevation
Quercus macrocarpa,-104.807821,44.859122,1158.375732
Quercus macrocarpa,-104.801359,44.428997,1258.243408
Quercus macrocarpa,-104.725336,44.58759,1209.959839
Quercus macrocarpa,-104.725252,44.584936,1197.943115
Quercus macrocarpa,-104.720604,44.590648,1297.205688
Quercus macrocarpa,-104.720537,44.59065,1298.035034
Quercus macrocarpa,-104.720221,44.590299,1298.162842
Quercus macrocarpa,-104.720089,44.590563,1299.106567
Quercus macrocarpa,-104.720006,44.591964,1298.928955
Quercus macrocarpa,-104.719897,44.589783,1296.580933
Quercus macrocarpa,-104.719528,44.590155,1300.306152
Quercus macrocarpa,-104.719199,44.59009,1306.775146
Quercus macrocarpa,-104.718947,44.590642,1308.593628
Quercus macrocarpa,-104.71887,44.59064,1309.39624
Quercus macrocarpa,-104.718699,44.591207,1314.144775
Quercus macrocarpa,-104.718155,44.598055,1262.01416
Quercus macrocarpa,-104.718147,44.588451,1296.514526
Quercus macrocarpa,-104.71814,44.593738,1300.082031
Quercus macrocarpa,-104.718057,44.593368,1307.26416
Quercus macrocarpa,-104.717994,44.593097,1312.343506
Quercus macrocarpa,-104.717987,44.590438,1319.284668
Quercus macrocarpa,-104.717863,44.593325,1312.412231
Quercus macrocarpa,-104.717604,44.593464,1310.021606
Quercus macrocarpa,-104.717271,44.594378,1291.890991
Quercus macrocarpa,-104.717014,44.593711,1301.791748
Quercus macrocarpa,-104.716821,44.593245,1312.494141
Quercus macrocarpa,-104.716744,44.593424,1308.833496
Quercus macrocarpa,-104.715656,44.593599,1305.541626
Quercus macrocarpa,-104.71547,44.590462,1551.452026
Quercus macrocarpa,-104.714981,44.589001,1353.20874
Quercus macrocarpa,-104.714639,44.590021,1496.25293
Quercus macrocarpa,-104.714547,44.590879,1484.991089
Quercus macrocarpa,-104.714395,44.593346,1328.889771
Quercus macrocarpa,-104.713909,44.590602,1394.129639
Quercus macrocarpa,-104.713378,44.598153,1219.362427
Quercus macrocarpa,-104.711914,44.598647,1214.306641
Quercus macrocarpa,-104.709546,44.582893,1177.267822
Quercus macrocarpa,-104.70882,44.85522,1164.804688
Quercus macrocarpa,-104.708698,44.582727,1176.616699
Quercus macrocarpa,-104.708633,44.583063,1176.854248
Quercus macrocarpa,-104.708446,44.5829,1177.208008
Quercus macrocarpa,-104.70652,44.581817,1176.042358
Quercus macrocarpa,-104.700576,44.587987,1172.409668
Quercus macrocarpa,-104.699999,44.590872,1174.34082
Quercus macrocarpa,-104.699677,44.588785,1175.994263
Quercus macrocarpa,-104.69663,44.56019,1297.117676
Quercus macrocarpa,-104.6845,44.5971,1180.40271
Quercus macrocarpa,-104.677607,44.540476,1326.880249
Quercus macrocarpa,-104.668128,44.420219,1345.142334
Quercus macrocarpa,-104.6533,45.0069,1077.724854
Quercus macrocarpa,-104.642663,44.474936,1337.428101
Quercus macrocarpa,-104.6201,44.4586,1367.327026
Quercus macrocarpa,-104.602425,44.679225,1146.848267
Quercus macrocarpa,-104.47588,44.56019,1455.963501
Quercus macrocarpa,-104.47486,44.560345,1480.762817
Quercus macrocarpa,-104.4298662,44.5988205,1563.111572
Quercus macrocarpa,-104.4298642,44.4177817,1611.911987
Quercus macrocarpa,-104.423203,44.980372,1088.941528
Quercus macrocarpa,-104.416986,44.980643,1080.773071
Quercus macrocarpa,-104.41194,45.02306,1047.359131
Quercus macrocarpa,-104.366,44.3894,1559.531982
