species,decimalLongitude,decimalLatitude,elevation
Quercus nigra,-97.842057,30.339545,204.1517792
Quercus nigra,-97.786057,30.337843,150.8574982
Quercus nigra,-97.74066,30.252152,130.9638824
Quercus nigra,-97.740414,30.252073,131.1066742
Quercus nigra,-97.740128,30.251697,131.0185089
Quercus nigra,-97.734299,30.288237,160.6877136
Quercus nigra,-97.38417,30.345313,172.3662567
Quercus nigra,-97.383751,30.35079,177.571701
Quercus nigra,-97.369514,30.222471,148.815033
Quercus nigra,-97.347118,30.166365,124.8548508
Quercus nigra,-97.312011,30.103606,110.0091705
Quercus nigra,-97.296478,30.126767,167.9835205
Quercus nigra,-97.28039,30.109614,147.0532532
Quercus nigra,-97.277606,30.107656,142.29953
Quercus nigra,-97.276519,30.107033,131.3895111
Quercus nigra,-97.276519,30.109144,137.1473389
Quercus nigra,-97.276481,30.107056,130.6151428
Quercus nigra,-97.276456,30.107047,130.6151428
Quercus nigra,-97.276308,30.109022,135.820755
Quercus nigra,-97.273106,30.108409,148.4220734
Quercus nigra,-97.270172,30.168922,146.1689453
Quercus nigra,-97.26863,30.171101,149.2901001
Quercus nigra,-97.263117,30.168958,139.7254028
Quercus nigra,-97.262895,30.303103,154.8618011
Quercus nigra,-97.261694,30.111723,167.6577301
Quercus nigra,-97.258744,30.176514,146.2623901
Quercus nigra,-97.255095,30.174989,150.9843903
Quercus nigra,-97.253897,30.174086,154.725708
Quercus nigra,-97.22325,30.290467,151.4476624
Quercus nigra,-97.223079,30.171001,166.7175446
Quercus nigra,-97.219933,30.096262,108.9779129
Quercus nigra,-97.219917,30.1512,144.503418
Quercus nigra,-97.219683,30.096394,110.4781189
Quercus nigra,-97.218238,30.095221,124.3230515
Quercus nigra,-97.213684,30.175019,153.3246307
Quercus nigra,-97.208311,30.495786,147.1818085
Quercus nigra,-97.206505,30.184563,157.3128815
Quercus nigra,-97.201828,30.155708,131.2550354
Quercus nigra,-97.199373,29.893185,126.7773056
Quercus nigra,-97.186986,30.276816,155.3194427
Quercus nigra,-97.184975,30.326053,172.0040588
Quercus nigra,-97.184669,30.327067,172.8217468
Quercus nigra,-97.184604,30.327218,172.4571228
Quercus nigra,-97.183551,30.325224,167.9150696
Quercus nigra,-97.183539,30.210971,157.4910278
Quercus nigra,-97.183442,30.275578,141.1298981
