species,decimalLongitude,decimalLatitude,elevation
Quercus shumardii,-99.79887,30.45071,520.4060059
Quercus shumardii,-99.782161,30.471689,523.0738525
Quercus shumardii,-99.774453,32.426783,532.5568237
Quercus shumardii,-99.65853,29.860083,588.7915039
Quercus shumardii,-99.194803,29.971533,539.7617798
Quercus shumardii,-99.1948,29.97153,539.7617798
Quercus shumardii,-99.17053,30.07455,542.7525635
Quercus shumardii,-99.13192,30.032722,492.1072083
Quercus shumardii,-98.980261,31.702675,413.8691406
Quercus shumardii,-98.86238,30.26888,501.7329102
Quercus shumardii,-98.764542,29.808595,475.0305786
Quercus shumardii,-98.734418,29.854832,472.208374
Quercus shumardii,-98.724885,34.730767,502.0125122
Quercus shumardii,-98.624559,29.623835,372.1988831
Quercus shumardii,-98.620009,29.582408,300.0235596
Quercus shumardii,-98.609273,29.547893,283.7914429
Quercus shumardii,-98.60415,29.592395,299.8825073
Quercus shumardii,-98.597251,29.372271,217.7938385
Quercus shumardii,-98.595969,30.240653,430.0119019
Quercus shumardii,-98.592771,29.570959,300.7549438
Quercus shumardii,-98.562957,29.230341,170.5241547
Quercus shumardii,-98.558656,29.510767,301.5282898
Quercus shumardii,-98.554917,29.605014,299.7936707
Quercus shumardii,-98.547744,34.744508,504.3112183
Quercus shumardii,-98.540492,34.73663,439.2683105
Quercus shumardii,-98.538318,29.581727,271.912323
Quercus shumardii,-98.53682,29.550528,276.1730957
Quercus shumardii,-98.53503,34.736247,440.7477722
Quercus shumardii,-98.533034,34.740563,617.5175781
Quercus shumardii,-98.532552,34.73888,545.984375
Quercus shumardii,-98.532004,34.744513,749.8683472
Quercus shumardii,-98.529236,34.745659,657.9262085
Quercus shumardii,-98.52895,34.759565,433.1685181
Quercus shumardii,-98.528222,29.574088,261.7859802
Quercus shumardii,-98.525255,29.563393,263.8075256
Quercus shumardii,-98.516312,29.634415,317.4594727
Quercus shumardii,-98.508764,29.587842,276.620697
Quercus shumardii,-98.508726,29.587822,276.620697
Quercus shumardii,-98.493583,29.452495,224.1745453
Quercus shumardii,-98.487213,29.425678,200.0907288
Quercus shumardii,-98.485597,29.42572,200.9167175
Quercus shumardii,-98.482066,29.461226,224.8501282
Quercus shumardii,-98.481392,29.460911,223.0639648
Quercus shumardii,-98.480699,29.607752,281.9707642
Quercus shumardii,-98.475945,29.368738,173.3727722
Quercus shumardii,-98.475667,29.608452,285.1522827
Quercus shumardii,-98.472135,29.468338,206.8052673
Quercus shumardii,-98.471843,29.471539,208.809021
Quercus shumardii,-98.471814,29.471491,208.809021
Quercus shumardii,-98.470692,29.470307,208.3247833
Quercus shumardii,-98.468438,29.467863,208.5124054
Quercus shumardii,-98.462387,29.459653,216.5836945
Quercus shumardii,-98.419688,29.464594,202.3611298
Quercus shumardii,-98.414683,33.002167,320.3818665
Quercus shumardii,-98.410961,29.973677,420.0299377
Quercus shumardii,-98.355616,35.420674,462.014801
Quercus shumardii,-98.331017,32.820898,266.509552
Quercus shumardii,-98.304003,30.512324,335.173584
Quercus shumardii,-98.280816,29.582917,253.5177307
Quercus shumardii,-98.2629,35.442,455.0148621
Quercus shumardii,-98.26236,29.215777,118.8461075
Quercus shumardii,-98.259945,35.450051,436.3251343
Quercus shumardii,-98.221472,32.226845,405.0848389
Quercus shumardii,-98.220932,32.216947,410.3078918
Quercus shumardii,-98.219997,32.217941,407.21698
Quercus shumardii,-98.214678,32.217156,401.4595642
Quercus shumardii,-98.203249,32.231077,383.1226501
Quercus shumardii,-98.137,34.9346,464.1691589
Quercus shumardii,-98.126246,29.162782,141.6166382
Quercus shumardii,-98.124898,29.670074,201.72966
Quercus shumardii,-98.099769,29.77191,244.0804443
Quercus shumardii,-98.043609,32.814821,252.878891
Quercus shumardii,-98.029197,32.289886,283.892395
Quercus shumardii,-97.989918,32.311586,287.7425537
Quercus shumardii,-97.988011,30.188982,340.723053
Quercus shumardii,-97.984528,29.57042,164.470108
Quercus shumardii,-97.97472,29.871655,188.1378326
Quercus shumardii,-97.971138,29.949009,254.9766235
Quercus shumardii,-97.96446,29.896644,224.0366974
Quercus shumardii,-97.950979,29.894959,238.1820221
Quercus shumardii,-97.947775,29.887663,225.5938568
Quercus shumardii,-97.940807,29.889635,200.0966797
Quercus shumardii,-97.939338,29.865883,178.6388092
Quercus shumardii,-97.935377,29.888306,176.9802094
Quercus shumardii,-97.935372,29.888538,175.1645508
Quercus shumardii,-97.935149,29.888099,175.1610718
Quercus shumardii,-97.934287,29.887943,172.1814728
Quercus shumardii,-97.933418,29.877916,174.7827911
Quercus shumardii,-97.932145,29.875172,172.8488159
Quercus shumardii,-97.930597,29.891865,175.9298096
Quercus shumardii,-97.930224,29.892079,176.2346039
Quercus shumardii,-97.930013,29.892043,176.1091614
Quercus shumardii,-97.929978,29.8921,176.009964
Quercus shumardii,-97.928006,29.886784,176.590271
Quercus shumardii,-97.916134,31.137395,307.8438721
Quercus shumardii,-97.907547,30.186681,287.7489929
Quercus shumardii,-97.891372,30.692987,303.7204895
Quercus shumardii,-97.875,33.459633,286.4255371
Quercus shumardii,-97.852518,30.029685,228.9876862
Quercus shumardii,-97.847609,29.843678,160.2075653
Quercus shumardii,-97.846594,29.959778,204.8500977
Quercus shumardii,-97.842776,30.233829,232.2438049
Quercus shumardii,-97.838115,30.090284,214.7532349
Quercus shumardii,-97.835814,30.196738,251.2831268
Quercus shumardii,-97.833412,30.481771,287.362854
Quercus shumardii,-97.829905,30.053427,218.464325
Quercus shumardii,-97.829111,30.511253,290.5096436
Quercus shumardii,-97.826699,30.203215,236.6598663
Quercus shumardii,-97.826581,30.202655,241.0200195
Quercus shumardii,-97.826487,30.480014,286.6173096
Quercus shumardii,-97.824263,30.478217,288.0810547
Quercus shumardii,-97.823552,32.154138,314.0870667
Quercus shumardii,-97.81675,32.255824,223.4191742
Quercus shumardii,-97.814807,30.459288,296.0091248
Quercus shumardii,-97.813092,30.275725,227.9693451
Quercus shumardii,-97.808357,32.746827,343.6669312
Quercus shumardii,-97.806171,32.591923,226.4120026
Quercus shumardii,-97.805016,32.285564,271.5516663
Quercus shumardii,-97.793159,30.40485,206.027359
Quercus shumardii,-97.787061,31.786008,271.8692932
Quercus shumardii,-97.786033,30.370153,168.8371124
Quercus shumardii,-97.785725,33.416106,275.033905
Quercus shumardii,-97.784316,30.13686,175.1977692
Quercus shumardii,-97.782126,30.285455,143.5292816
Quercus shumardii,-97.774955,30.425803,297.2346497
Quercus shumardii,-97.772232,30.508231,251.353653
Quercus shumardii,-97.766702,30.239706,186.5992126
Quercus shumardii,-97.766574,30.23978,186.4685516
Quercus shumardii,-97.763684,30.288354,161.1758118
Quercus shumardii,-97.753364,30.266303,136.2827148
Quercus shumardii,-97.752713,30.282258,147.2848053
Quercus shumardii,-97.752622,30.228838,200.9096985
Quercus shumardii,-97.752471,30.282446,147.294632
Quercus shumardii,-97.752036,29.725174,131.0269623
Quercus shumardii,-97.751583,30.281033,145.8645172
Quercus shumardii,-97.743003,30.287747,179.4842987
Quercus shumardii,-97.74034,30.25687,137.9306183
Quercus shumardii,-97.740126,30.274786,167.4926453
Quercus shumardii,-97.740079,30.291501,185.8800964
Quercus shumardii,-97.734729,30.283721,158.8018646
Quercus shumardii,-97.734612,30.288324,160.3573761
Quercus shumardii,-97.733939,30.282497,153.0474243
Quercus shumardii,-97.732256,30.173167,157.9418793
Quercus shumardii,-97.73141,30.712927,240.4204254
Quercus shumardii,-97.726501,30.718033,244.4830627
Quercus shumardii,-97.723253,30.184243,157.4034882
Quercus shumardii,-97.722637,30.281349,184.515976
Quercus shumardii,-97.722622,30.525774,225.9641113
Quercus shumardii,-97.716653,30.66382,221.0516663
