species,decimalLongitude,decimalLatitude,elevation
Quercus texana,-98.682073,29.630667,363.3217773
Quercus texana,-98.597064,29.644843,407.0983887
Quercus texana,-98.577178,29.706151,411.299469
Quercus texana,-98.572143,29.674548,347.8666077
Quercus texana,-98.530637,29.710507,382.3942261
Quercus texana,-98.520025,29.448958,206.8336182
Quercus texana,-98.40116,30.138219,453.8291321
Quercus texana,-98.243628,30.307978,270.0245056
Quercus texana,-98.07,30.24,315.540741
Quercus texana,-97.946497,32.48372,266.1604919
Quercus texana,-97.861914,30.369751,245.885437
Quercus texana,-97.7997,30.417339,242.0913086
Quercus texana,-97.787104,30.290647,133.8870087
Quercus texana,-97.77,30.21,176.5944519
Quercus texana,-97.743061,30.267153,148.3975067
Quercus texana,-97.69976,31.89016,298.8639526
Quercus texana,-97.656689,31.923208,231.5738678
Quercus texana,-97.619502,33.674665,395.6611328
Quercus texana,-97.557365,33.692363,370.4138489
Quercus texana,-97.506797,32.939308,198.4234009
Quercus texana,-97.45724,33.73511,355.2113647
Quercus texana,-97.360509,32.734846,161.4682922
Quercus texana,-97.29124,32.771556,169.3558197
Quercus texana,-97.190833,34.432778,384.2040405
Quercus texana,-97.156096,31.583609,149.9752045
Quercus texana,-97.153394,34.477733,251.4191437
Quercus texana,-97.136505,31.526636,138.1960907
Quercus texana,-97.110001,31.537389,123.0067978
Quercus texana,-97.108369,34.418584,317.3909302
Quercus texana,-97.096945,31.557111,120.8459167
Quercus texana,-96.852091,32.72135,182.7084656
Quercus texana,-96.484722,34.83,231.3352814
Quercus texana,-95.918229,33.730212,155.0828247
Quercus texana,-95.79177,29.13334,12.91658688
Quercus texana,-95.791728,29.133435,12.96448231
Quercus texana,-95.78866,29.13166,12.85844803
Quercus texana,-95.77741,29.121777,10.97734547
Quercus texana,-95.768649,29.129686,13.28103638
Quercus texana,-95.75842,29.12078,12.64955807
Quercus texana,-95.75234,29.119,12.55006886
Quercus texana,-95.65995,29.635455,23.01485634
Quercus texana,-95.572504,29.764766,20.80007744
Quercus texana,-95.434256,29.167828,8.474020004
Quercus texana,-94.899388,30.449266,21.29999924
Quercus texana,-93.832185,33.661793,95.40543365
Quercus texana,-93.65033,30.71907,22.19164848
Quercus texana,-93.650326,30.719069,22.19164848
Quercus texana,-93.650326,30.71907,22.19164848
Quercus texana,-93.23917,33.26694,102.4584885
Quercus texana,-93.168144,32.64931,87.97232819
Quercus texana,-92.971237,31.821159,34.20681381
Quercus texana,-92.859322,31.496839,31.81814766
Quercus texana,-92.630634,30.199649,4.723268509
Quercus texana,-92.534902,33.328615,27.32311249
Quercus texana,-92.467008,31.274141,22.17549896
Quercus texana,-92.13999,34.84499,72.4571228
Quercus texana,-92.131477,32.497027,22.35107231
Quercus texana,-92.119408,33.15969,21.39005089
Quercus texana,-92.115952,33.158562,21.20559502
Quercus texana,-92.11571,32.499221,23.80949593
Quercus texana,-92.069454,34.895477,76.53343201
Quercus texana,-92.066248,34.895417,76.06617737
Quercus texana,-92.001797,34.302114,63.7505722
Quercus texana,-91.958333,32.480278,17.91678238
Quercus texana,-91.889299,30.219431,4.567220211
Quercus texana,-91.842375,31.04226,13.87000179
Quercus texana,-91.72373,34.711655,67.97241974
Quercus texana,-91.612846,31.335424,11.95983028
Quercus texana,-91.552628,34.500375,63.9272728
Quercus texana,-91.54806,31.08639,18.70641708
Quercus texana,-91.521907,31.215727,11.80000019
Quercus texana,-91.51151,33.237897,38.60730743
Quercus texana,-91.51151,33.237969,38.52124786
Quercus texana,-91.484278,33.697508,40.38977814
Quercus texana,-91.467358,35.22771,58.06656647
Quercus texana,-91.458805,34.792619,63.84160614
Quercus texana,-91.458462,34.785062,55.53190231
Quercus texana,-91.458297,34.833063,52.62585449
Quercus texana,-91.453416,31.444051,17.69635773
Quercus texana,-91.450087,33.710028,44.97203827
Quercus texana,-91.449735,33.711045,45.96299362
Quercus texana,-91.414179,33.052155,27.30999947
Quercus texana,-91.365899,34.884872,54.35876083
Quercus texana,-91.363864,33.735596,41.05739975
Quercus texana,-91.359377,31.330466,20.58443642
Quercus texana,-91.34373,34.023712,54.10176849
Quercus texana,-91.341024,32.375144,18.76556396
Quercus texana,-91.315858,34.690439,49.1463356
Quercus texana,-91.300682,34.856205,53.14922714
Quercus texana,-91.29916,36.53166,184.9131317
Quercus texana,-91.286502,33.205675,37.66065598
Quercus texana,-91.267697,34.51271,48.7436409
Quercus texana,-91.267192,34.522535,50.52737045
Quercus texana,-91.252954,35.00625,58.42735672
Quercus texana,-91.209145,31.598641,84.63330078
Quercus texana,-91.19819,34.09003,45.50054169
Quercus texana,-91.192391,33.37129,37.83951187
Quercus texana,-91.192109,33.371432,37.82639694
Quercus texana,-91.190204,29.720444,0.224505037
Quercus texana,-91.188333,30.4125,7.624351978
Quercus texana,-91.186343,30.461967,14.61963558
Quercus texana,-91.183333,30.383333,6.757642269
Quercus texana,-91.176222,30.414625,11.65486813
Quercus texana,-91.164778,30.568243,20.00116158
Quercus texana,-91.162502,31.370256,37.42970657
Quercus texana,-91.1625,31.37026,38.11459351
Quercus texana,-91.142769,34.217192,42.48596573
Quercus texana,-91.136506,34.371767,61.60018158
Quercus texana,-91.130845,30.35929,5.501660347
Quercus texana,-91.130595,30.357537,5.255950928
Quercus texana,-91.129138,34.379468,42.30272675
Quercus texana,-91.124661,34.225432,43.88700104
Quercus texana,-91.122012,34.376619,46.96492004
Quercus texana,-91.107806,30.40887,7.701451778
Quercus texana,-91.106477,34.384213,46.94536209
Quercus texana,-91.0317,32.0089,45.1517868
Quercus texana,-90.986143,33.423647,35.92668152
Quercus texana,-90.9826,33.47441,38.46891022
Quercus texana,-90.91812,35.70047,71.67965698
Quercus texana,-90.915101,33.424006,38.11430359
Quercus texana,-90.90251,33.47369,34.06487656
Quercus texana,-90.816929,32.695834,27.06027412
Quercus texana,-90.79745,35.46635,70.82913208
Quercus texana,-90.79674,35.63095,75.47717285
Quercus texana,-90.792507,32.834534,27.49247932
Quercus texana,-90.788966,35.474578,71.37501526
Quercus texana,-90.778058,32.821501,28.30175591
Quercus texana,-90.754362,30.10036,0.246555015
Quercus texana,-90.7286,32.42806,104.2561417
Quercus texana,-90.726252,31.611158,87.55975342
Quercus texana,-90.723582,32.241662,33.00371933
Quercus texana,-90.71591,36.33061,84.65340424
Quercus texana,-90.71,32.906389,29.19050407
Quercus texana,-90.684732,35.840322,85.43121338
Quercus texana,-90.623492,36.418654,88.68241119
Quercus texana,-90.6234,36.418768,88.54000854
Quercus texana,-90.604133,34.502024,68.02714539
Quercus texana,-90.603056,36.508333,91.30767822
Quercus texana,-90.60305,36.50833,91.28409576
Quercus texana,-90.596313,36.411155,86.38839722
Quercus texana,-90.595686,32.640285,29.52592087
Quercus texana,-90.580711,34.528275,53.8155632
Quercus texana,-90.5413,35.46244,63.82587814
Quercus texana,-90.54127,35.46374,63.51403046
Quercus texana,-90.518859,36.408824,86.50698853
Quercus texana,-90.518826,36.408776,86.55810547
Quercus texana,-90.518159,36.408676,86.38208008
Quercus texana,-90.518159,36.4087,86.38208008
Quercus texana,-90.518039,36.4085,86.44757843
Quercus texana,-90.517593,36.408814,86.42147827
Quercus texana,-90.515835,36.408822,86.41209412
Quercus texana,-90.51475,36.42765,86.63734436
Quercus texana,-90.51419,36.4284,87.36237335
Quercus texana,-90.480085,30.066591,3.457483768
Quercus texana,-90.460768,30.502852,12.19307041
Quercus texana,-90.45228,35.50161,63.75764847
Quercus texana,-90.4445,30.097382,0.392071545
Quercus texana,-90.42194,36.52333,91.48542023
Quercus texana,-90.41547,35.67251,65.6452179
Quercus texana,-90.414228,36.521176,90.25549316
Quercus texana,-90.414047,30.081858,0.362039834
Quercus texana,-90.385555,36.523333,89.98847961
Quercus texana,-90.330916,36.383215,121.4908066
Quercus texana,-90.29223,35.55469,66.06075287
Quercus texana,-90.27492,34.11571,45.4413147
Quercus texana,-90.229218,33.41246,35.85217285
Quercus texana,-90.163889,33.689444,39.79503632
Quercus texana,-90.154609,36.469218,89.23946381
Quercus texana,-90.15058,32.435065,105.5156937
Quercus texana,-90.137932,29.978017,-1.194771528
Quercus texana,-90.135708,34.113128,45.62813568
Quercus texana,-90.135427,34.08714,45.5732193
Quercus texana,-90.131389,36.423333,87.71282959
Quercus texana,-90.12368,29.793583,0.488842219
Quercus texana,-90.1192,29.8056,0.444409549
Quercus texana,-90.068424,35.333697,68.24183655
Quercus texana,-90.001859,35.144551,86.22840118
Quercus texana,-89.9874,29.9426,1.253496647
Quercus texana,-89.8304,30.6536,14.67005348
Quercus texana,-89.701276,37.207993,100.9308243
Quercus texana,-89.680865,37.215526,101.5582886
Quercus texana,-89.672851,32.320146,156.0044403
Quercus texana,-89.65925,33.71076,91.46020508
Quercus texana,-89.654682,33.714302,104.8891144
Quercus texana,-89.580785,36.857456,99.70792389
Quercus texana,-89.492,32.738,104.4479828
Quercus texana,-89.488283,35.342694,93.98116302
Quercus texana,-89.459535,33.798115,67.37736511
Quercus texana,-89.443742,34.845139,123.4967194
Quercus texana,-89.414817,36.408983,86.63407135
Quercus texana,-89.384929,36.44427,86.84173584
Quercus texana,-89.332646,37.144959,101.0600052
Quercus texana,-89.256389,32.201389,113.0320663
Quercus texana,-89.1371,33.9717,103.0650253
Quercus texana,-88.884626,30.779942,14.54201317
Quercus texana,-88.849444,33.786111,71.78953552
Quercus texana,-88.679611,32.640849,95.09467316
Quercus texana,-88.653947,34.302449,103.1107025
Quercus texana,-88.543655,33.825114,70.15824127
Quercus texana,-88.54361,33.825,70.29386139
Quercus texana,-88.520447,33.789084,58.15714264
Quercus texana,-88.5182,33.8209,50.20522308
Quercus texana,-88.251143,33.050893,48.68355942
Quercus texana,-88.039416,34.92587,180.9222107
Quercus texana,-87.957329,31.38238,4.86400795
Quercus texana,-87.830559,31.205,3.637817144
Quercus texana,-87.61,33.17,39.93532944
Quercus texana,-87.58,33.11,39.89452362
Quercus texana,-87.55,33.07,76.1009903
Quercus texana,-87.450908,34.31862,176.708847
Quercus texana,-86.592022,34.437988,300.5660095
Quercus texana,-86.36,33.13,207.0299988
Quercus texana,-86.197922,34.860353,196.821167
Quercus texana,-85.482862,32.595888,204.3125763
Quercus texana,-82.822028,34.671,230.5027924
Quercus texana,-82.821833,34.671167,232.3773804
