species,decimalLongitude,decimalLatitude,elevation
Robinia pseudoacacia,-95.6375,36.292778,211.2787628
Robinia pseudoacacia,-95.636896,35.479411,186.6264496
Robinia pseudoacacia,-95.6269,35.201927,194.5630951
Robinia pseudoacacia,-95.609233,35.253945,179.0291595
Robinia pseudoacacia,-95.608353,35.254892,190.2859497
Robinia pseudoacacia,-95.605188,35.400097,188.8368683
Robinia pseudoacacia,-95.60141,35.226809,187.2332458
Robinia pseudoacacia,-95.491131,35.240729,188.4350128
Robinia pseudoacacia,-95.47,35.32,206.2814941
Robinia pseudoacacia,-95.414708,35.768665,231.9974365
Robinia pseudoacacia,-95.360031,34.982735,217.3084106
Robinia pseudoacacia,-95.355067,34.970828,212.7545166
Robinia pseudoacacia,-95.313332,35.68111,170.6718597
Robinia pseudoacacia,-95.287222,35.909125,172.4852448
Robinia pseudoacacia,-95.25016,35.916379,186.3304901
Robinia pseudoacacia,-95.249474,35.905395,177.783905
Robinia pseudoacacia,-95.243583,35.892158,178.420517
Robinia pseudoacacia,-95.23569,35.869062,183.8535309
Robinia pseudoacacia,-95.231289,36.302977,199.8917389
Robinia pseudoacacia,-95.226117,36.229157,190.4893646
Robinia pseudoacacia,-95.19984,35.706008,161.2038422
Robinia pseudoacacia,-95.142902,36.235633,212.8574524
Robinia pseudoacacia,-95.12508,35.543267,162.7260284
Robinia pseudoacacia,-95.052636,36.382759,194.4808655
Robinia pseudoacacia,-95.052578,36.3827,194.5954437
Robinia pseudoacacia,-95.05011,36.383215,194.8362885
Robinia pseudoacacia,-95.049867,36.382662,192.4749298
Robinia pseudoacacia,-95.021544,33.63975,146.3573761
Robinia pseudoacacia,-95.0071,34.951431,170.9681396
Robinia pseudoacacia,-94.979389,36.509724,255.2862244
Robinia pseudoacacia,-94.974403,35.447955,141.0088501
Robinia pseudoacacia,-94.973975,35.447447,140.5920563
Robinia pseudoacacia,-94.9736,35.44785,142.0291901
Robinia pseudoacacia,-94.808843,35.456851,166.731781
Robinia pseudoacacia,-94.773547,37.024434,257.5588379
Robinia pseudoacacia,-94.75561,37.02451,255.6159363
Robinia pseudoacacia,-94.710806,37.394625,278.1159363
Robinia pseudoacacia,-94.692251,37.430802,285.2796326
Robinia pseudoacacia,-94.688609,34.132975,174.6317902
Robinia pseudoacacia,-94.679018,34.125936,140.9726105
Robinia pseudoacacia,-94.629201,36.863846,295.0727844
Robinia pseudoacacia,-94.62444,37.44015,285.9726257
Robinia pseudoacacia,-94.601172,34.891533,170.1868591
Robinia pseudoacacia,-94.601158,34.891628,170.0858765
Robinia pseudoacacia,-94.582694,36.098914,286.6634216
Robinia pseudoacacia,-94.577278,35.241433,157.3740692
Robinia pseudoacacia,-94.570082,37.506524,288.0890503
Robinia pseudoacacia,-94.54967,34.71066,280.1080627
Robinia pseudoacacia,-94.54112,37.03256,268.3959961
Robinia pseudoacacia,-94.515683,37.047835,303.5073547
Robinia pseudoacacia,-94.479233,34.87115,166.5945282
Robinia pseudoacacia,-94.462778,37.146389,303.3661194
Robinia pseudoacacia,-94.4,36.54,362.7678833
Robinia pseudoacacia,-94.399987,35.778761,368.0705566
Robinia pseudoacacia,-94.358812,36.837984,381.2178955
Robinia pseudoacacia,-94.34972,36.82277,381.7776794
Robinia pseudoacacia,-94.336219,36.449924,363.2958069
Robinia pseudoacacia,-94.32,37.3,293.2373657
Robinia pseudoacacia,-94.304559,36.318939,391.8631287
Robinia pseudoacacia,-94.302545,35.986278,350.7680969
Robinia pseudoacacia,-94.301601,35.325647,146.8423004
Robinia pseudoacacia,-94.3,37.83333,265.8623657
Robinia pseudoacacia,-94.297112,35.334954,139.2729492
Robinia pseudoacacia,-94.291574,37.820298,256.7032776
Robinia pseudoacacia,-94.258713,35.928413,377.2714539
Robinia pseudoacacia,-94.249145,35.999247,433.0452576
Robinia pseudoacacia,-94.236984,34.379406,244.2615356
Robinia pseudoacacia,-94.222504,33.860443,84.04647827
Robinia pseudoacacia,-94.208941,36.050304,384.9319153
Robinia pseudoacacia,-94.207751,36.027048,436.5235291
Robinia pseudoacacia,-94.206307,36.37843,376.8509216
Robinia pseudoacacia,-94.206065,36.02626,425.4812622
Robinia pseudoacacia,-94.2044,36.38058,367.0242615
Robinia pseudoacacia,-94.200342,36.047983,415.3108215
Robinia pseudoacacia,-94.199708,36.442995,375.2337952
Robinia pseudoacacia,-94.182168,36.048284,375.0430603
Robinia pseudoacacia,-94.180117,35.993286,409.0346069
Robinia pseudoacacia,-94.18,37.5,294.3370667
Robinia pseudoacacia,-94.175044,36.061123,391.8649902
Robinia pseudoacacia,-94.16922,36.078319,398.3113098
Robinia pseudoacacia,-94.169121,36.076504,399.4930725
Robinia pseudoacacia,-94.16905,36.07607,400.5541687
Robinia pseudoacacia,-94.168807,36.073791,405.8102112
Robinia pseudoacacia,-94.168102,36.073823,400.3084717
Robinia pseudoacacia,-94.166947,36.055832,381.9864197
Robinia pseudoacacia,-94.163017,36.063171,424.2051086
Robinia pseudoacacia,-94.162088,36.047771,366.6894836
Robinia pseudoacacia,-94.161256,36.103312,373.5050354
Robinia pseudoacacia,-94.152426,36.250153,382.2962036
Robinia pseudoacacia,-94.152277,35.960102,439.8892822
Robinia pseudoacacia,-94.148679,36.092139,457.9076233
Robinia pseudoacacia,-94.147657,36.075309,456.4407349
Robinia pseudoacacia,-94.146854,35.700432,597.6660767
Robinia pseudoacacia,-94.138624,36.099006,405.1702881
Robinia pseudoacacia,-94.135319,36.063463,394.8347473
Robinia pseudoacacia,-94.135064,35.99825,397.8800049
Robinia pseudoacacia,-94.135062,36.066676,407.9434509
Robinia pseudoacacia,-94.134628,36.0017,400.2838745
Robinia pseudoacacia,-94.133705,35.997312,400.2475586
Robinia pseudoacacia,-94.133644,35.997239,402.5844116
Robinia pseudoacacia,-94.133439,36.13182,388.3505554
Robinia pseudoacacia,-94.12831,36.097606,399.7054443
Robinia pseudoacacia,-94.124016,35.870728,437.6736755
Robinia pseudoacacia,-94.1174,35.865875,441.6379089
Robinia pseudoacacia,-94.114072,35.697093,313.1766968
Robinia pseudoacacia,-94.071994,36.658306,390.7226257
Robinia pseudoacacia,-94.061868,36.342019,428.0243835
Robinia pseudoacacia,-94.059139,33.766011,113.9241714
Robinia pseudoacacia,-94.056551,33.755594,80.76241302
Robinia pseudoacacia,-94.050842,36.44058,411.5949707
Robinia pseudoacacia,-94.030636,35.760302,358.9809875
Robinia pseudoacacia,-93.981684,36.103419,370.969574
Robinia pseudoacacia,-93.979515,36.105647,365.7830811
Robinia pseudoacacia,-93.973232,34.497995,301.5402527
Robinia pseudoacacia,-93.958152,36.296833,358.0296936
Robinia pseudoacacia,-93.932847,35.958642,520.5672607
Robinia pseudoacacia,-93.925987,36.448513,366.5644836
Robinia pseudoacacia,-93.918817,34.377998,485.5704956
Robinia pseudoacacia,-93.910027,36.377182,343.1451416
Robinia pseudoacacia,-93.877037,34.376213,280.6598816
Robinia pseudoacacia,-93.87113,34.43547,470.4448853
Robinia pseudoacacia,-93.850776,36.047307,496.242981
Robinia pseudoacacia,-93.844304,33.717033,119.78125
Robinia pseudoacacia,-93.823056,36.576111,309.0896912
Robinia pseudoacacia,-93.768821,36.436071,329.6780701
Robinia pseudoacacia,-93.737524,36.471319,446.8688049
Robinia pseudoacacia,-93.714447,34.150475,194.2253723
Robinia pseudoacacia,-93.7116,35.6837,248.5970154
Robinia pseudoacacia,-93.678038,33.778595,115.7918777
Robinia pseudoacacia,-93.677091,34.101024,144.9433899
