species,decimalLongitude,decimalLatitude,elevation
Salix nigra,-111.03,37.42,1350.442383
Salix nigra,-104.782192,31.906207,1601.138672
Salix nigra,-104.57817,30.23068,1259.690186
Salix nigra,-104.557778,29.891389,1044.456543
Salix nigra,-104.45167,29.86083,1267.309814
Salix nigra,-104.451667,29.860833,1268.307129
Salix nigra,-104.019072,30.307938,1428.188477
Salix nigra,-103.804328,30.535633,1410.879639
Salix nigra,-103.40823,29.16244,921.0098267
Salix nigra,-103.37037,29.279238,1100.300293
Salix nigra,-103.3333,29.0283,620.2228394
Salix nigra,-103.136072,29.271872,904.9290771
Salix nigra,-103.135875,29.271611,903.392395
Salix nigra,-102.999639,29.177305,563.6699829
Salix nigra,-102.9783,31.9383,916.5150757
Salix nigra,-102.972181,31.950875,929.3873901
Salix nigra,-102.916547,29.200783,553.2509155
Salix nigra,-102.91,32.0483,961.949585
Salix nigra,-102.8283,32.1367,1006.279663
Salix nigra,-102.81889,31.64,834.8765259
Salix nigra,-102.810692,31.651031,845.8786011
Salix nigra,-102.118957,31.966121,855.3219604
Salix nigra,-102.118951,31.966133,855.3219604
Salix nigra,-102.11894,31.966284,855.7138672
Salix nigra,-102.118846,31.966084,855.1978149
Salix nigra,-102.117016,31.966319,857.7619629
Salix nigra,-102.116772,32.034966,856.8311768
Salix nigra,-102.116759,32.034942,856.8085938
Salix nigra,-102.116726,31.962629,854.4202881
Salix nigra,-102.083035,32.043792,854.0487061
Salix nigra,-101.788167,34.276662,1051.744995
Salix nigra,-101.748513,34.270704,1039.477173
Salix nigra,-101.7217,34.2867,1035.13501
Salix nigra,-101.7,34.61667,1055.276489
Salix nigra,-101.689724,33.531949,901.0977783
Salix nigra,-101.688747,33.53125,900.5906982
Salix nigra,-101.59333,33.73,978.0042725
Salix nigra,-101.591359,33.938201,991.5646362
Salix nigra,-101.53333,29.83333,439.1856689
Salix nigra,-101.533,29.8333,437.2012329
Salix nigra,-101.519298,33.740235,962.2133179
Salix nigra,-101.417,34.5333,993.4353027
Salix nigra,-101.376105,33.181187,784.8223267
Salix nigra,-101.375091,34.590292,775.750061
Salix nigra,-101.3667,33.125258,787.4755249
Salix nigra,-101.349936,34.007227,973.9658813
Salix nigra,-101.339181,33.883216,914.2910156
Salix nigra,-101.3183,32.235,714.2035522
Salix nigra,-101.314628,29.68477,402.291687
Salix nigra,-101.312372,29.698572,369.1446838
Salix nigra,-101.265447,33.105806,734.7801514
Salix nigra,-101.161455,33.666196,819.2247925
Salix nigra,-101.160425,33.666196,814.8587646
Salix nigra,-101.160218,33.665879,808.8197632
Salix nigra,-101.160194,33.665803,806.5332031
Salix nigra,-101.157627,33.665952,819.9886475
Salix nigra,-101.154012,34.502722,984.0566406
Salix nigra,-101.151437,34.499468,932.8695679
Salix nigra,-101.144694,33.669436,835.0626831
Salix nigra,-101.110655,34.463547,816.3719482
Salix nigra,-100.988433,31.830877,688.866333
Salix nigra,-100.98569,31.838146,694.6282959
Salix nigra,-100.985261,31.829906,684.4683838
Salix nigra,-100.894014,29.366321,295.1803894
Salix nigra,-100.886579,29.365908,289.2068176
Salix nigra,-100.883317,35.003398,781.677124
Salix nigra,-100.872239,35.213103,888.9968872
Salix nigra,-100.869484,35.21068,890.6513672
Salix nigra,-100.863019,35.896181,795.4231567
Salix nigra,-100.862568,35.213969,885.5932007
Salix nigra,-100.86,35.8983,798.4091187
Salix nigra,-100.85667,33.90669,765.1167603
Salix nigra,-100.855,37.2283,814.27771
Salix nigra,-100.847067,32.839364,678.7382813
Salix nigra,-100.826972,33.628833,754.887146
Salix nigra,-100.82482,33.62923,747.72052
Salix nigra,-100.804167,29.361667,321.2750244
Salix nigra,-100.644794,36.222512,809.6787109
Salix nigra,-100.55855,32.736958,645.8537598
Salix nigra,-100.53806,37.17328,825.6224365
Salix nigra,-100.51944,36.83786,743.0567017
Salix nigra,-100.51781,31.443156,606.4604492
Salix nigra,-100.510872,28.708114,210.1779785
Salix nigra,-100.4589,34.124711,561.3192139
Salix nigra,-100.452377,34.140341,541.3895874
Salix nigra,-100.405938,32.470952,662.1228027
Salix nigra,-100.403049,34.72582,610.3795166
Salix nigra,-100.377722,35.923577,705.4231567
Salix nigra,-100.372102,35.934735,703.8479004
Salix nigra,-100.370048,34.413885,592.3068237
Salix nigra,-100.354317,34.163395,524.9799805
Salix nigra,-100.351981,34.493548,541.7963867
Salix nigra,-100.340146,37.28558,760.947998
Salix nigra,-100.3225,33.61693,528.3646851
Salix nigra,-100.28376,35.90243,692.7787476
Salix nigra,-100.277717,35.90185,692.9614258
Salix nigra,-100.26743,37.22797,751.6970825
Salix nigra,-100.26528,32.844641,568.1904907
Salix nigra,-100.25791,34.01221,540.97052
Salix nigra,-100.249008,35.185205,668.210022
Salix nigra,-100.246031,35.12717,669.0857544
Salix nigra,-100.239178,34.426448,579.862915
Salix nigra,-100.228417,35.9267,719.5324097
Salix nigra,-100.222172,34.885123,640.0343018
Salix nigra,-100.209967,31.679076,546.9553833
Salix nigra,-100.202883,37.163389,710.4754639
Salix nigra,-100.158,37.24194,716.8635864
Salix nigra,-100.14143,34.37508,531.0625
Salix nigra,-100.11024,35.48144,691.8364868
Salix nigra,-100.105,29.8417,536.1833496
Salix nigra,-100.088722,34.958679,607.895813
Salix nigra,-100.062496,34.925601,563.0602417
Salix nigra,-100.004579,32.257671,655.2166138
Salix nigra,-99.96991,36.95834,606.8725586
Salix nigra,-99.961705,33.187864,462.9428711
Salix nigra,-99.955589,33.990081,487.7262268
Salix nigra,-99.954838,33.986185,478.8347473
Salix nigra,-99.945126,29.217475,295.4150085
Salix nigra,-99.906411,31.882464,526.8588257
Salix nigra,-99.899646,36.705715,645.8426514
Salix nigra,-99.897875,32.2372,606.7526855
Salix nigra,-99.88218,37.18858,628.1271362
Salix nigra,-99.877577,32.236488,598.2797241
Salix nigra,-99.866492,35.21533,628.3899536
