"","species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation","X","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C","microclim.dist.mean","topo.dist.mean","soil.dist.mean"
"196339","Aesculus glabra",38.93815,-94.890904,6.7014367816092,34.7126436781609,15.0258620689655,50.2614942528736,1.42192528735632,0.311206896551724,"Silty Clay Loam",266.4370728,208800,30.8122711181641,-5.23713779449463,1056.84448242188,0.225543171167374,0.0264384094625711,-0.128042131662369,-8.20237445831299,0.229085966944695,0.116688542068005,12.8849945068359,1052.47863769531,31.1849937438965,-4.84999990463257,0.142249794406865,0.134582659797176,0.232963799506361
"196340","Aesculus glabra",39.144858,-94.335495,6.158,32.445,4.866,62.689,1.34625,0.5,"Silty Clay Loam",269.9169617,208801,30.9136333465576,-5.06983327865601,1108.22119140625,0.0455036163330078,-0.00125612155534327,-0.0218148194253445,2.40280365943909,0.0455366894602776,6.25558757781982,12.6755590438843,1100.92431640625,30.9755592346191,-5.05000019073486,0.138197518582232,0.0807508339050851,0.272143667314911
"196341","Aesculus glabra",35.687631,-93.605979,5.01804511278195,24.7894736842105,45.2142857142857,29.9962406015038,1.43714285714286,0,"Loam",289.3455811,208802,31.2303066253662,-1.19238138198853,1222.84191894531,-0.0385008230805397,0.0152407214045525,0.0241874977946281,-13.3969755172729,0.0414194874465466,2.76466512680054,14.6813297271729,1256.45910644531,31.2579956054688,-1.14999997615814,0.198123120885621,0.0964222251464528,0.28816772591431
"196342","Aesculus glabra",39.873734,-86.040871,6.928,21.36,34.955,43.685,1.5808,0,"Loam",248.1960907,208803,28.6515827178955,-5.98495864868164,1098.51477050781,-0.00920778419822454,0.236942142248154,-0.173904150724411,-3.08753657341003,0.239401236176491,1.60963773727417,11.5275869369507,1125.20373535156,28.5662899017334,-5.84999990463257,0.133431794004411,0.122996573740131,0.244223893748447
"196343","Aesculus glabra",38.760478,-85.426353,5.09466666666667,24.6366666666667,14.4166666666667,60.9466666666667,1.5458,0,"Silt Loam",249.6593781,208804,29.3732814788818,-3.61362838745117,1275.90234375,0.0872941315174103,0.0113788116723299,-0.0477587133646011,2.893887758255,0.0881467238068581,0.129619419574738,12.8786325454712,1264.76025390625,29.4786319732666,-3.53568387031555,0.170620002835256,0.0857042416835982,0.263978156788918
"196344","Aesculus glabra",41.411037,-81.885437,5.8,22.965,24.775,52.26,1.3885,0,"Silt Loam",199.2397156,62,27.132321628161,-6.02194870420407,1021.74786058872,0.000975037918816346,-0.0484014701558186,0.0535689794059435,-3.85407629891748,0.0484302199801206,4.73253105568621,10.5614021774594,1020.84951243182,27.1499996185303,-5.98807337960871,0.178898192389713,0.0789941499340755,0.237492393360016
"196345","Aesculus glabra",40.433441,-81.986597,6.10975,22.84,22.8275,54.3325,1.439925,0,"Silt Loam",244.0703888,510970,27.9595642089844,-6.00787448883057,1026.85229492188,0.0445279404520988,-0.0373561009764671,0.0163518432527781,-9.90413761138916,0.0581551939249039,5.58514976501465,11.0041561126709,1027.43029785156,28.0632019042969,-5.84347820281982,0.145704732154859,0.0933079460818361,0.228306827290137
"196346","Aesculus glabra",40.242957,-87.783522,6.94,31.72,12.655,55.625,1.5435,0,"Silty Clay Loam",197.6168976,6306,28.2485256195068,-6.49746417999268,1115.44519042969,0.186896800994873,-0.249531686306,0.082037016749382,1.54601073265076,0.317048460245132,5.35524368286133,11.4499998092651,1074.36022949219,28.6329669952393,-6.44999980926514,0.142976256189477,0.168536664704397,0.233087046655474
"196347","Aesculus glabra",37.905035,-84.366063,7.5,38.5348837209302,5,56.4651162790698,1.36976744186047,0,"Silty Clay",248.2200623,208808,30.5041217803955,-1.65393829345703,1233.0732421875,-0.314225107431412,-0.128059849143028,0.325768232345581,8.56426334381104,0.346191853284836,3.52858352661133,13.5305700302124,1208.75134277344,29.9666500091553,-2.36222839355469,0.196163697253362,0.180918505634401,0.261580857683599
"196348","Aesculus glabra",41.485462,-81.573502,6.33,10.85,44.026,45.124,1.322,0,"Loam",278.540863,406334,26.6795482635498,-6.17820405960083,1063.29248046875,-0.0215566754341125,-0.0294166151434183,0.043786283582449,-2.22627329826355,0.0364776290953159,4.07998323440552,10.0799951553345,1065.49194335938,26.6499996185303,-6.17221593856812,0.191658491252325,0.0753581825323907,0.25897406612805
