"","species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation","X","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C","microclim.dist.mean","topo.dist.mean","soil.dist.mean"
"702308","Magnolia virginiana",26.186146,-81.263108,6.61894736842105,4.13157894736842,91.6447368421053,4.22368421052632,0.994230769230769,1,"Loamy Sand",4.335889816,748082,31.9421901702881,13.3324508666992,1514.46704101562,0.0092479269951582,-0.00561003712937236,-0.000736831105314195,0.215153828263283,0.0108167110010982,5.73790740966797,23.5499992370605,1510.84069824219,31.9500007629395,13.3500003814697,0.26857591423019,0.046699537448382,0.288501543353307
"702309","Magnolia virginiana",31.079783,-86.507613,5.6,12.5183333333333,66.9726666666667,20.509,1.45023333333333,0,"Sandy Loam",44.74202728,748083,32.1573791503906,5.66227674484253,1551.09484863281,-0.00682625407353044,-0.0318475067615509,0.00069829827407375,-0.0412391163408756,0.0325766317546368,4.50124216079712,18.9446640014648,1549.07775878906,32.1500015258789,5.65000009536743,0.210213760168627,0.0528127403035331,0.204512922108884
"702310","Magnolia virginiana",34.095292,-77.912837,5.1,3.46,95.574,0.966,1.478,0,"Loamy Sand",3.463157654,748084,28.8627932059284,6.59312831698712,1452.06269667678,-0.0199438283079654,-0.00672419899229647,0.000310841030778584,-1.29360459762183,0.0210484337406106,3.46678044661919,18.1499996185303,1460.02480798576,28.8456602950819,6.55222134111017,0.204020274505631,0.0609763479855082,0.224251480006051
"702311","Magnolia virginiana",40.881622,-73.565995,5.01428571428571,0.77032967032967,94.0791208791209,5.15054945054945,0.5746,0,"Loamy Sand",2.647846222,231143,27.2725219726562,-3.20407652854919,1273.68859863281,-0.249404653906822,-0.13056392967701,0.0747358649969101,-1.85558950901031,0.285370618104935,3.6238648891449,11.9224500656128,1299.87475585938,27.007345199585,-3.40866684913635,0.285817563083517,0.310703492436853,0.304366095917833
"702312","Magnolia virginiana",32.98117,-89.560546,4.96666666666667,24.9083333333333,46.1856666666667,28.906,1.54626666666667,0.0583333333333333,"Loam",127.2834015,748086,32.1459312438965,2.88206338882446,1437.48937988281,0.00624051643535495,-0.0207292214035988,-0.00161461811512709,-4.43324279785156,0.021649893373251,5.00480794906616,17.4500007629395,1448.56201171875,32.2309722900391,2.95000004768372,0.184412838624495,0.0816216842094333,0.23683879402599
"702313","Magnolia virginiana",30.460728,-93.393544,4.9775,12.1165,29.2955,58.588,1.51015,0.1,"Silt Loam",25.43474007,748087,32.6746826171875,6.64439964294434,1644.8193359375,0.00592757808044553,0.00250330450944602,-0.00273318309336901,0.207645818591118,0.0064345384016633,0.399594157934189,19.5499992370605,1643.84704589844,32.6731185913086,6.65000009536743,0.254624967457329,0.054000728346715,0.296171818836733
"702314","Magnolia virginiana",32.921162,-80.393547,4.92466666666667,4.27166666666667,92.718,3.01033333333333,1.5315,0,"Loamy Sand",6.442102909,748088,32.0611915588379,4.75806045532227,1279.86950683594,0.00126706063747406,0.00464936764910817,-0.00114754191599786,0.0181955061852932,0.00481894658878446,1.3047342300415,18.25,1280.44995117188,32.0555610656738,4.75,0.174383661351456,0.056532633259818,0.23582793837341
"702315","Magnolia virginiana",33.000481,-85.897178,5.05,40.584,36.366,23.05,1.4934,0,"Clay",171.3811493,748089,31.6764011383057,3.44832944869995,1328.73620605469,-0.0403709039092064,0.0352750942111015,-0.00416598515585065,-1.70178055763245,0.0536367408931255,2.42345666885376,17.4138793945312,1346.93957519531,31.6138782501221,3.34999990463257,0.172531725163906,0.0951242289488392,0.296938101801819
"702316","Magnolia virginiana",38.160619,-75.616969,4.82183333333333,18.375,33.733,44.097,1.52486666666667,0,"Loam",5.802584648,748091,29.6522445678711,-0.323950290679932,1148.34191894531,0.000886315538082272,-0.00442639784887433,0.00306170829571784,-0.131467089056969,0.00451427651569247,4.91000938415527,14.4499998092651,1147.82556152344,29.6499996185303,-0.328895032405853,0.203857505402064,0.0531365071631127,0.2725849750504
"702317","Magnolia virginiana",37.782854,-76.580004,4.6,12.095,68.996,18.909,1.3398,0,"Sandy Loam",5.540437222,748092,30.3972396850586,0.0442616865038872,1156.69152832031,0.0157633274793625,0.00639944011345506,-0.00289168115705252,1.24242281913757,0.0170136205852032,0.385642409324646,14.9044380187988,1152.8291015625,30.4084873199463,0.0500000007450581,0.197691452224502,0.0653732310086419,0.207954870304402
"702318","Magnolia virginiana",39.495412,-74.528606,4.522,2.64125,39.0325,5.82625,0.909,0.5375,"Sandy Loam",9.371296883,748093,28.8835274888749,-1.86687702512112,1141.77863364106,-0.0194305806152072,0.0749534433296749,-0.064832277401693,-0.577825454749446,0.0775086244513089,1.8244480006442,13.338075186215,1157.68701292278,28.8377792732857,-1.84667290858422,0.251505911966431,0.0774313018470476,0.25648852882133
"702319","Magnolia virginiana",34.748158,-77.002906,5.1,3.47,95.426,1.104,1.4185,0,"Loamy Sand",11.16508198,748094,30.1384735107422,4.21143388748169,1465.41467285156,0.0102304806932807,0.00272821122780442,0.000478365080198273,-0.114193558692932,0.0105882035568357,0.260609984397888,17.3616695404053,1463.60485839844,30.1499996185303,4.22499656677246,0.180154481413471,0.0558722354630053,0.225586455818341
"702320","Magnolia virginiana",25.979661,-81.371501,8.5,10,65,25,1.4,0.1,"Sandy Loam",1.611096263,748095,31.6660537719727,14.1514644622803,1531.21618652344,-0.00109842594247311,-0.0032446812838316,-0.0026142718270421,0.0468872934579849,0.00342557183466852,4.38596773147583,23.75,1531.99633789062,31.6572647094727,14.1422166824341,0.286838561991787,0.0485466055395285,0.273100775688328
"702321","Magnolia virginiana",39.056825,-77.251,4.823,20.7575,43.34,35.9025,1.39205,0,"Loam",85.35483551,748097,30.7118701934814,-2.77797102928162,1063.57006835938,0.00857990328222513,0.00545137049630284,-0.00262973527424037,3.28086280822754,0.0101654184982181,0.566018164157867,13.4366626739502,1058.28723144531,30.7099952697754,-2.81000685691833,0.248372988632006,0.0746864400939332,0.248930595746341
"702322","Magnolia virginiana",30.584469,-94.336663,4.1645,3.335,60.9345,35.7305,1.629,0.1,"Other",34.87675858,748098,33.5617485046387,6.71684169769287,1489.8173828125,0.00301370560191572,-0.0138883758336306,-0.00923686381429434,-0.956098258495331,0.0142120718955994,4.92607116699219,19.75,1494.51635742188,33.5882453918457,6.75,0.239049057367442,0.0578749849409472,0.280944869061852
"702323","Magnolia virginiana",30.580135,-94.378745,4.581,21.65,48.53,29.82,1.5275,0.351,"Loam",33.52587509,748100,33.5851707458496,6.66618919372559,1485.33227539062,0.00632212962955236,-0.0300520211458206,-0.0200152080506086,-2.01607012748718,0.0307146534323692,4.91973829269409,19.75,1495.39782714844,33.6500015258789,6.75,0.237344566115535,0.0673456844251087,0.246500033134092
"702324","Magnolia virginiana",30.560745,-86.514112,4.86625,3.26,92.69575,4.04425,1.505375,0.1,"Loamy Sand",10.54221916,748101,30.9966274189524,7.69390608397668,1569.9791413907,-0.064771472349829,0.112226393074044,0.0105280849068381,-0.848883165800201,0.129942013313196,2.09424495155683,19.6533557786348,1597.76794317913,30.8344733715028,7.43558268282346,0.214697146540431,0.12307354495074,0.219536042311075
"702325","Magnolia virginiana",39.185547,-76.805237,4.976,19.7123333333333,42.8103333333333,37.4773333333333,1.58733333333333,0,"Loam",98.51522064,748102,29.9640502929688,-2.83645939826965,1178.9970703125,-0.0172680765390396,0.0116158127784729,-0.01427311450243,-1.82378196716309,0.0208128821104765,2.54944157600403,13.241361618042,1187.34887695312,29.9413623809814,-2.82778382301331,0.215861168899904,0.0667092545350248,0.253993454981278
"702326","Magnolia virginiana",34.447188,-77.704445,4.8,4.42,94.6585,0.9215,1.49775,0,"Loamy Sand",14.1854496,748103,29.4558162689209,4.91396236419678,1480.39074707031,0.0152756385505199,-0.0133445886895061,0.00748160155490041,0.448889642953873,0.0202849600464106,5.56515645980835,17.4496059417725,1471.52722167969,29.4696063995361,4.93039321899414,0.192407917358048,0.0576681252871904,0.223783300361385
"702327","Magnolia virginiana",33.805946,-84.345818,5.8,10.435,65.849,23.716,1.463,0,"Sandy Loam",250.4441071,748104,31.0759620666504,1.69879114627838,1277.96301269531,0.0126757193356752,0.00235262885689735,0.00213733897544444,-3.40784049034119,0.0128925535827875,0.183513015508652,16.4261417388916,1284.12170410156,31.1261405944824,1.75,0.16940573810769,0.121683704331604,0.207674045976602
