"","species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation","X","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C","microclim.dist.mean","topo.dist.mean","soil.dist.mean"
"816493","Populus heterophylla",41.006089,-82.154128,6.323,34.05,17.475,48.475,1.537375,0,"Silty Clay Loam",347.2742004,410000,27.0776424407959,-6.85026884078979,1068.44946289062,0.00136478897184134,-0.00182388641405851,0.00129780767019838,-0.338136792182922,0.002277985913679,5.35479259490967,10.1499996185303,1068.67700195312,27.0761318206787,-6.84777307510376,0.340423698910631,0.169005406208575,0.279217094014416
"816494","Populus heterophylla",37.83136,-87.994887,5.262,23.51,6.58,69.91,1.4942,0,"Silt Loam",110.7249908,873855,30.8516826629639,-2.54998207092285,1147.19079589844,0.00103886995930225,-0.000139754221891053,-0.000337188947014511,-0.390340059995651,0.00104822823777795,6.14946269989014,14.2403678894043,1147.93469238281,30.8500003814697,-2.54999995231628,0.166684442779514,0.0587249911036736,0.261676408142964
"816495","Populus heterophylla",39.347272,-75.744159,5.2714,11.982,70.194,15.25,1.59092,0,"Sandy Loam",23.32194901,873856,29.2611541748047,-2.04425764083862,1179.47741699219,-0.00486940518021584,0.0025522003415972,-0.00332937249913812,-0.2353305965662,0.0054977391846478,2.65882802009583,13.5500001907349,1181.35461425781,29.25,-2.04999995231628,0.177782826333428,0.0498453458735202,0.302793601100398
"816496","Populus heterophylla",37.047222,-89.904167,5.1305,20.80825,5.75575,73.436,1.464325,1,"Silt Loam",108.3050613,873857,31.6818428039551,-2.00453519821167,1280.52941894531,-0.0703858137130737,-0.0410238169133663,0.0347212366759777,0.726094007492065,0.0815588906407356,3.66930055618286,14.6499996185303,1280.80786132812,31.5688934326172,-2.15000009536743,0.163245079695789,0.0867279468199959,0.270079009539343
"816497","Populus heterophylla",41.006234,-82.154087,6.323,34.05,17.475,48.475,1.537375,0,"Silty Clay Loam",347.2661743,410001,27.0848846435547,-6.84743070602417,1068.08569335938,-0.00170868018176407,-0.0032897584605962,0.00484266551211476,-0.332690864801407,0.00370704219676554,4.23334693908691,10.1499996185303,1068.57495117188,27.0783042907715,-6.84777307510376,0.340275491019526,0.168881125893897,0.279217094014416
"816498","Populus heterophylla",34.219577,-80.192563,4.613,31.3586666666667,49.2256666666667,19.4156666666667,1.40516666666667,0,"Sandy Clay Loam",52.45306015,873859,32.2179336547852,2.87466764450073,1163.32824707031,-0.00740972813218832,-0.00234846631065011,0.000356963806552812,-0.0338697023689747,0.00777306733652949,3.44852066040039,17.4500007629395,1164.5400390625,32.2010383605957,2.84999990463257,0.173507292969907,0.0499491647316482,0.292776488374136
"816499","Populus heterophylla",35.617363,-77.363642,4.8,8.475,60.2715,31.2535,1.4665,0,"Other",1.906610966,873861,31.0078964233398,1.85086154937744,1236.39038085938,-0.000275457947282121,-0.00468027591705322,0.00213991361670196,-0.793554067611694,0.004688392393291,4.65360164642334,16.3573322296143,1237.55065917969,31.0100059509277,1.85000002384186,0.14579393071483,0.0548206743921009,0.288807772856432
"816500","Populus heterophylla",32.593228,-80.463103,4.765,19.7475,67.3465,12.906,1.4545,0,"Sandy Loam",0.783967197,873862,30.8190059661865,6.67232227325439,1287.02795410156,0.00324178673326969,-0.00809285137802362,0.0014909302117303,-0.0902019664645195,0.00871810410171747,5.09338998794556,18.8500003814697,1285.33508300781,30.8216705322266,6.67444324493408,0.227050242220158,0.0549213853426312,0.290309026251303
"816501","Populus heterophylla",39.279955,-86.575203,6.5,41.13,6.69,52.18,1.5,0,"Silty Clay",173.057251,873863,29.8540840148926,-4.74551153182983,1141.19848632812,-0.000483430601889268,-0.00365831097587943,0.00274772988632321,-0.125983744859695,0.0036901228595525,4.58100414276123,12.4499998092651,1141.18408203125,29.8500003814697,-4.75,0.206835312886571,0.0798275877242925,0.285379287286036
"816502","Populus heterophylla",36.60925,-76.493079,4.76666666666667,7.51833333333333,50.855,27.59,0.777,0,"Other",5.280479908,873864,30.7548866271973,1.1550920009613,1307.82739257812,0.00121197034604847,0.00470589241012931,-0.0019020956242457,-0.00800191331654787,0.00485947355628014,1.31873095035553,15.6499996185303,1308.56286621094,30.75,1.14999997615814,0.153675576934398,0.0531128065030503,0.348947954258889
