"","species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation","X","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C","microclim.dist.mean","topo.dist.mean","soil.dist.mean"
"1127978","Salix nigra",32.270198,-94.562431,5.629,16.695,61.707,21.598,1.4741,0,"Sandy Loam",93.35808563,1199687,34.2741203308105,4.7041163444519,1285.416015625,-0.0619293972849846,0.00492883659899235,0.0586917623877525,-0.487884908914566,0.0621652565896511,3.06217217445374,18.75,1284.76977539062,34.1500015258789,4.44999980926514,0.142626675064533,0.073147945358535,0.288134419157008
"1127979","Salix nigra",32.326949,-97.44775,8.2,41.36,12.2,46.44,1.36,0.1,"Silty Clay",223.9122314,1199688,34.6709327697754,4.09396314620972,949.734375,-0.0162882562726736,-0.0175687614828348,0.0152498977258801,-0.869024217128754,0.0239599365741014,3.96479368209839,18.9500007629395,950.045471191406,34.6448440551758,4.05000019073486,0.13509489530393,0.0592909694350973,0.290869096579419
"1127980","Salix nigra",38.467362,-94.135917,6.50925,38.7075,5.66125,55.63125,1.30745,1,"Silty Clay",231.4702606,1199689,31.555721282959,-4.21767711639404,1134.56884765625,-0.00405354611575603,-8.1537444202695e-05,0.00233574863523245,-1.65784871578217,0.00405437685549259,3.16170501708984,13.3899936676025,1137.82421875,31.5499992370605,-4.21000623703003,0.166871317861472,0.0575742881074603,0.27873007419352
"1127981","Salix nigra",32.018373,-97.091217,8.2,50,22,28,1.2806,0.768,"Clay",203.9321289,1199690,34.5146980285645,4.39828824996948,970.705322265625,0.0105583444237709,-0.010701647028327,-0.0145620945841074,-1.48475134372711,0.0150339920073748,5.49104690551758,19.0933284759521,972.550415039062,34.5342597961426,4.44999980926514,0.135374624157451,0.0635621358727061,0.259614469508715
"1127982","Salix nigra",33.168047,-96.850153,8.2,47.5,23.3,29.2,1.45,1,"Clay",179.8669281,1199691,34.111572265625,3.23165726661682,1015.23687744141,0.0270017944276333,-0.00877497065812349,-0.0321717858314514,-2.74247121810913,0.028395663946867,5.96897411346436,18.3500003814697,1019.63403320312,34.1661071777344,3.34999990463257,0.118182022092997,0.0560705757105276,0.243873666408676
"1127983","Salix nigra",30.460944,-97.614737,7.9,50,22,28,1.3568,1,"Clay",214.2462769,1199692,34.5432662963867,5.92449378967285,940.405456542969,0.00359359523281455,-5.40985784027725e-05,-0.0036148838698864,-2.61810278892517,0.00359401013702154,6.26813220977783,19.9120445251465,944.430603027344,34.5499992370605,5.94999980926514,0.148466196712165,0.0545987285765019,0.251263606408908
"1127984","Salix nigra",33.172651,-96.705181,7.9,55,17.1,27.9,1.3696,1,"Clay",220.5051575,1199693,33.8220138549805,3.2190420627594,1132.33117675781,0.00809067767113447,0.0118392314761877,-0.00448005041107535,-2.19891881942749,0.0143401734530926,0.971312999725342,18.1423358917236,1137.72473144531,33.8423347473145,3.25,0.126722144880435,0.0612411461534923,0.259325254424104
"1127985","Salix nigra",33.150975,-97.122719,5.965,19.39,59.97,20.64,1.5165,0.2,"Sandy Loam",168.8942261,1199694,34.2995185852051,3.06338262557983,974.521240234375,0.0431505851447582,-0.0816550627350807,-0.0773922502994537,-6.1081109046936,0.092487208545208,5.19853639602661,18.4500007629395,980.581420898438,34.4077682495117,3.33663082122803,0.128725738639275,0.0844361212105476,0.276120219771873
"1127986","Salix nigra",30.349093,-97.74244,7.9,55,17.1,27.9,1.376,1.24,"Clay",203.3559723,1199695,34.682071685791,6.13657808303833,863.127319335938,-0.0311461482197046,0.00352525268681347,0.03267602622509,-3.70695233345032,0.0313501507043839,3.02888798713684,19.9500007629395,868.894348144531,34.6262474060059,6.05000019073486,0.166363260173947,0.0689642571895718,0.260363369102388
"1127987","Salix nigra",38.755303,-77.102885,4.6,30.06,9.656,60.284,1.417,0,"Silty Clay Loam",10.21773815,1199697,31.0487003326416,-1.94854426383972,1081.99658203125,0.00118595419917256,-0.00331909884698689,0.0028324699960649,-0.391435563564301,0.00352462148293853,5.05556297302246,14.1344375610352,1082.08154296875,31.0474052429199,-1.95000004768372,0.15771054248743,0.0795775565974062,0.316965851778195
