"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Acer barbatum",32.100554,-85.715697,4.64,21.305,60.766,17.929,1.5345,0.9525,"Sandy Loam",147.1896362
"Acer barbatum",37.313312,-76.773751,4.7,29.975,36.465,33.56,1.399,0,"Clay Loam",21.94127083
"Acer barbatum",30.795391,-85.21546,5.0674,33.9532,55.0114,11.0354,1.4679,0.1,"Sandy Clay Loam",25.19152832
"Acer barbatum",31.254765,-94.611849,5.902,15.1,54.831,30.069,1.4275,1.435,"Other",71.83626556
"Acer barbatum",31.391887,-95.137434,5.732,13.3,64.198,22.502,1.6152,1,"Sandy Loam",123.7499771
"Acer barbatum",28.557377,-82.425917,5.175,25.3602,65.1216,9.5182,1.5067,0.1,"Sandy Loam",28.84477043
"Acer barbatum",30.25204,-84.852699,4.6,6.73,85.335,7.935,1.59306666666667,0.1,"Loamy Sand",25.81832314
"Acer barbatum",33.254883,-83.68315,5.828,36.35,43.5725,20.0775,1.43945,0,"Clay Loam",171.6169128
"Acer barbatum",33.206516,-83.7657,5.828,36.35,43.5725,20.0775,1.43945,0,"Clay Loam",162.2517548
"Acer barbatum",32.491338,-83.553447,5.3,37.525,52.285,10.19,1.4569,0,"Sandy Clay",139.9103699
"Acer barbatum",34.373019,-89.29252,5.176,27.78125,23.46075,48.758,1.47395,0,"Clay Loam",133.5812531
"Acer barbatum",33.912,-89.259,5,27.41,10.9,61.69,1.548,0,"Silty Clay Loam",106.9083557
"Acer barbatum",30.697222,-84.850278,4.9596,21.9366,71.0392,7.0242,1.51944,0.1,"Sandy Loam",33.34608841
"Acer barbatum",32.964673,-87.410116,5.03425,11.30625,73.8535,14.84025,1.52195,0.5,"Sandy Loam",78.93878174
"Acer barbatum",34.453638,-77.881241,6.652,34.1,35.316,30.584,1.4932,0,"Clay Loam",8.772510529
"Acer barbatum",36.069486,-78.865947,5.12,47.725,25.858,26.417,1.2845,0,"Clay",79.7778244
"Acer barbatum",36.075379,-78.303338,5.4585,31.17,55.6115,13.2185,1.526,0,"Sandy Clay Loam",74.25023651
"Acer barbatum",36.050991,-77.33369,4.8,8.475,60.2715,31.2535,1.4665,0,"Other",22.00411797
"Acer barbatum",35.106527,-77.058877,4.872,23.08,60.372,16.548,1.4,0,"Sandy Loam",3.305338144
"Acer barbatum",31.589302,-85.446984,4.8,7.18666666666667,77.842,14.9713333333333,1.531,0,"Sandy Loam",146.4728699
"Acer barbatum",32.939075,-87.176391,5,23.16,51.88,24.96,1.562,0.446,"Other",80.24211121
"Acer barbatum",34.111223,-82.867084,5.1,44.5,50.3,5.2,1.48,0,"Sandy Clay",210.8555145
"Acer barbatum",31.306747,-84.33845,5.5,2.29,94.02,3.69,1.652,0.1,"Loamy Sand",39.84931183
"Acer barbatum",34.36424,-89.537419,5.59,25.4925,14.068,60.4395,1.5234,1,"Silt Loam",150.5218506
"Acer barbatum",31.8921,-93.7089,5.06,34.9,38.22,26.88,1.344,0.5,"Clay Loam",92.98182678
"Acer barbatum",32.992681,-81.486633,5.197,9.35625,81.7785,8.86525,1.6441,0.424,"Sandy Loam",29.15348244
