"species","decimalLatitude","decimalLongitude"
"Acer pensylvanicum",42.858687,-71.954894
"Acer pensylvanicum",43.538741,-72.115424
"Acer pensylvanicum",42.493472,-71.891433
"Acer pensylvanicum",44.234178,-74.334435
"Acer pensylvanicum",44.510178,-72.365263
"Acer pensylvanicum",36.051614,-81.859397
"Acer pensylvanicum",36.085003,-81.846251
"Acer pensylvanicum",42.852912,-74.422609
"Acer pensylvanicum",38.482857,-79.222478
"Acer pensylvanicum",39.091569,-78.881452
"Acer pensylvanicum",40.986305,-77.755628
"Acer pensylvanicum",39.642181,-79.794171
"Acer pensylvanicum",41.225042,-79.392197
"Acer pensylvanicum",43.509225,-71.280197
"Acer pensylvanicum",36.277713,-82.34903
"Acer pensylvanicum",34.751248,-83.938085
"Acer pensylvanicum",43.293592,-73.709629
"Acer pensylvanicum",42.173071,-72.678673
"Acer pensylvanicum",41.939125,-72.156522
"Acer pensylvanicum",42.317706,-76.479272
"Acer pensylvanicum",41.255732,-73.456955
"Acer pensylvanicum",44.463201,-67.936227
"Acer pensylvanicum",43.507369,-72.098712
"Acer pensylvanicum",40.39321,-77.001107
"Acer pensylvanicum",46.11323,-68.806
"Acer pensylvanicum",35.484895,-83.843693
"Acer pensylvanicum",42.354715,-73.336283
"Acer pensylvanicum",41.956144,-73.925163
"Acer pensylvanicum",40.27694,-77.415606
"Acer pensylvanicum",44.363185,-68.209552
"Acer pensylvanicum",42.982046,-72.011472
"Acer pensylvanicum",41.770687,-74.167922
"Acer pensylvanicum",44.427895,-68.044041
"Acer pensylvanicum",41.204503,-77.497422
"Acer pensylvanicum",44.277578,-72.323879
"Acer pensylvanicum",43.529337,-70.586495
"Acer pensylvanicum",42.03998,-78.65879
"Acer pensylvanicum",46.667289,-86.013506
"Acer pensylvanicum",42.207342,-78.707189
"Acer pensylvanicum",42.387522,-72.459726
"Acer pensylvanicum",42.626817,-71.94416
"Acer pensylvanicum",41.720822,-72.452313
"Acer pensylvanicum",35.310609,-82.935706
"Acer pensylvanicum",44.821915,-70.153939
"Acer pensylvanicum",44.402042,-73.878363
"Acer pensylvanicum",42.561741,-72.681928
"Acer pensylvanicum",43.506872,-72.098414
"Acer pensylvanicum",42.542339,-76.605576
"Acer pensylvanicum",38.984832,-79.36588
"Acer pensylvanicum",35.68706,-83.539107
"Acer pensylvanicum",43.520069,-72.101556
"Acer pensylvanicum",41.872035,-74.37043
"Acer pensylvanicum",46.481784,-87.09675
"Acer pensylvanicum",41.4285,-73.922015
"Acer pensylvanicum",42.283107,-72.299517
"Acer pensylvanicum",42.457453,-72.224553
"Acer pensylvanicum",43.501918,-72.101092
"Acer pensylvanicum",35.985869,-81.902472
"Acer pensylvanicum",42.541992,-72.490238
"Acer pensylvanicum",43.527214,-72.094064
"Acer pensylvanicum",46.552976,-87.406357
"Acer pensylvanicum",43.512206,-72.095678
"Acer pensylvanicum",45.189536,-84.750407
"Acer pensylvanicum",35.794125,-82.958913
"Acer pensylvanicum",44.331253,-72.322348
"Acer pensylvanicum",42.300231,-72.590881
"Acer pensylvanicum",43.388662,-71.86428
"Acer pensylvanicum",43.46821,-72.982789
"Acer pensylvanicum",42.268373,-72.640214
"Acer pensylvanicum",40.151179,-79.270651
"Acer pensylvanicum",43.456738,-72.799026
"Acer pensylvanicum",42.382212,-72.574037
"Acer pensylvanicum",44.399197,-69.630798
"Acer pensylvanicum",42.645192,-71.206603
"Acer pensylvanicum",42.957866,-72.006123
"Acer pensylvanicum",44.194217,-72.608253
"Acer pensylvanicum",44.273573,-72.278906
"Acer pensylvanicum",44.601697,-72.629692
"Acer pensylvanicum",44.323472,-72.474542
"Acer pensylvanicum",44.359753,-68.206711
"Acer pensylvanicum",41.825141,-73.305671
"Acer pensylvanicum",42.473195,-72.591929
"Acer pensylvanicum",42.802642,-74.871308
"Acer pensylvanicum",46.849961,-87.735438
"Acer pensylvanicum",42.470793,-72.27902
"Acer pensylvanicum",39.579815,-79.058036
"Acer pensylvanicum",43.422722,-72.388672
"Acer pensylvanicum",41.858408,-74.890283
"Acer pensylvanicum",41.655965,-74.872192
"Acer pensylvanicum",44.850185,-73.63318
"Acer pensylvanicum",44.368233,-73.825775
"Acer pensylvanicum",43.855609,-71.26835
"Acer pensylvanicum",38.552336,-78.403005
"Acer pensylvanicum",43.501708,-72.101591
"Acer pensylvanicum",43.831167,-72.391753
"Acer pensylvanicum",44.219717,-69.164331
"Acer pensylvanicum",41.041589,-75.337082
"Acer pensylvanicum",41.805283,-73.342322
"Acer pensylvanicum",36.134994,-82.141083
"Acer pensylvanicum",44.615641,-72.356639
"Acer pensylvanicum",46.727423,-87.709019
"Acer pensylvanicum",38.430578,-79.690697
"Acer pensylvanicum",45.264153,-69.189567
