"species","decimalLatitude","decimalLongitude"
"Acer saccharum",40.692001,-73.520454
"Acer saccharum",42.350625,-72.434078
"Acer saccharum",43.734103,-72.193289
"Acer saccharum",42.305359,-71.814866
"Acer saccharum",43.500108,-72.099065
"Acer saccharum",42.368181,-71.255588
"Acer saccharum",39.702137,-78.879137
"Acer saccharum",44.587662,-72.85588
"Acer saccharum",42.365621,-71.264316
"Acer saccharum",44.399147,-72.435912
"Acer saccharum",41.038065,-74.546605
"Acer saccharum",46.516783,-87.481808
"Acer saccharum",40.594112,-74.558201
"Acer saccharum",42.961141,-72.005413
"Acer saccharum",42.317351,-72.144165
"Acer saccharum",44.54144,-72.72696
"Acer saccharum",39.81662,-86.206619
"Acer saccharum",44.81076,-91.961977
"Acer saccharum",44.398123,-73.438722
"Acer saccharum",46.392021,-86.991032
"Acer saccharum",43.619833,-72.504667
"Acer saccharum",37.090116,-80.557914
"Acer saccharum",43.514876,-72.100886
"Acer saccharum",44.276686,-72.33831
"Acer saccharum",43.841847,-72.385095
"Acer saccharum",42.35397,-79.40456
"Acer saccharum",43.675061,-72.249375
"Acer saccharum",44.027619,-73.186076
"Acer saccharum",44.32431,-72.338832
"Acer saccharum",43.521009,-72.103091
"Acer saccharum",38.338323,-81.61398
"Acer saccharum",44.176912,-72.966867
"Acer saccharum",43.509013,-72.097863
"Acer saccharum",44.223934,-72.583872
"Acer saccharum",43.497539,-72.101678
"Acer saccharum",46.87787,-87.91735
"Acer saccharum",46.19614,-89.743575
"Acer saccharum",43.996988,-71.337933
"Acer saccharum",43.728557,-72.678804
"Acer saccharum",43.647699,-72.927047
"Acer saccharum",43.507906,-72.096063
"Acer saccharum",41.997588,-87.768805
"Acer saccharum",41.004653,-74.125941
"Acer saccharum",36.086522,-81.841434
"Acer saccharum",41.161609,-74.310478
"Acer saccharum",44.514144,-86.128625
"Acer saccharum",42.367478,-71.261795
"Acer saccharum",36.897068,-88.04607
"Acer saccharum",44.339675,-72.461762
"Acer saccharum",45.390625,-84.770793
"Acer saccharum",42.195812,-85.790213
"Acer saccharum",39.342377,-82.031342
"Acer saccharum",38.832787,-79.507187
"Acer saccharum",44.335482,-94.489808
"Acer saccharum",44.119143,-72.679169
"Acer saccharum",40.801669,-75.975165
"Acer saccharum",41.198389,-81.647395
"Acer saccharum",36.119645,-81.831507
"Acer saccharum",38.871971,-77.132175
"Acer saccharum",43.61088,-88.172945
"Acer saccharum",42.285544,-71.231662
"Acer saccharum",46.842692,-92.103594
"Acer saccharum",43.706487,-72.302321
"Acer saccharum",44.112005,-72.855947
"Acer saccharum",42.130809,-74.479777
"Acer saccharum",42.489667,-72.36
"Acer saccharum",44.262477,-72.527693
"Acer saccharum",42.956909,-72.244873
"Acer saccharum",40.670412,-78.56327
"Acer saccharum",42.585015,-83.179958
"Acer saccharum",37.992634,-81.149681
"Acer saccharum",35.611883,-82.566223
"Acer saccharum",38.934189,-77.047787
"Acer saccharum",41.362088,-88.802227
"Acer saccharum",43.679108,-72.250411
"Acer saccharum",45.155862,-85.58137
"Acer saccharum",44.317163,-72.477951
"Acer saccharum",42.39071,-76.374077
"Acer saccharum",40.129764,-91.530076
"Acer saccharum",44.929497,-93.3031
"Acer saccharum",42.578412,-72.590877
"Acer saccharum",43.613445,-72.504753
"Acer saccharum",42.09058,-73.714273
"Acer saccharum",42.672548,-72.323676
"Acer saccharum",43.64448,-72.431008
"Acer saccharum",43.795996,-72.175601
"Acer saccharum",39.899252,-75.021689
"Acer saccharum",41.424811,-72.902926
"Acer saccharum",43.007053,-73.643422
"Acer saccharum",47.378303,-91.194695
"Acer saccharum",37.844163,-81.065128
"Acer saccharum",42.807129,-73.733673
"Acer saccharum",46.846908,-92.031641
"Acer saccharum",38.459725,-90.539293
"Acer saccharum",42.475817,-76.344132
"Acer saccharum",43.62365,-72.497823
"Acer saccharum",42.281578,-83.718912
"Acer saccharum",40.306677,-79.997568
"Acer saccharum",35.895397,-83.516129
"Acer saccharum",44.543774,-72.397438
"Acer saccharum",40.482301,-74.435524
"Acer saccharum",38.942917,-92.312879
"Acer saccharum",42.674452,-72.327033
"Acer saccharum",43.049333,-72.568556
"Acer saccharum",36.315992,-82.3238
"Acer saccharum",38.747145,-92.192038
"Acer saccharum",40.531742,-79.947312
"Acer saccharum",44.27824,-93.238669
"Acer saccharum",39.875528,-86.012086
"Acer saccharum",45.887438,-68.999695
"Acer saccharum",39.934875,-83.815178
"Acer saccharum",40.426742,-86.931458
"Acer saccharum",44.828516,-72.594121
"Acer saccharum",44.553742,-71.898117
"Acer saccharum",42.474637,-70.913054
"Acer saccharum",44.274024,-72.137659
"Acer saccharum",47.383715,-91.196572
"Acer saccharum",44.500052,-87.927767
"Acer saccharum",46.986586,-88.764809
"Acer saccharum",43.508714,-72.095644
"Acer saccharum",36.613003,-87.271088
"Acer saccharum",40.862047,-73.697186
"Acer saccharum",44.838256,-72.525547
"Acer saccharum",43.506834,-72.095187
"Acer saccharum",42.445833,-71.090953
"Acer saccharum",46.236628,-89.252416
"Acer saccharum",36.497409,-87.093397
"Acer saccharum",43.391105,-72.209421
"Acer saccharum",43.624319,-72.504689
"Acer saccharum",44.49068,-72.762803
"Acer saccharum",40.618833,-79.159061
"Acer saccharum",42.940303,-88.036225
"Acer saccharum",37.576386,-89.418828
"Acer saccharum",37.567673,-84.227928
"Acer saccharum",44.67808,-71.443955
"Acer saccharum",38.36,-90.15
"Acer saccharum",38.610833,-90.258611
"Acer saccharum",40.48,-90.06
"Acer saccharum",38.97362,-77.012628
"Acer saccharum",43.675031,-72.249108
"Acer saccharum",43.275382,-72.457318
"Acer saccharum",42.611645,-72.654124
"Acer saccharum",44.98383,-93.185828
"Acer saccharum",44.358738,-72.411187
"Acer saccharum",43.698328,-72.34345
"Acer saccharum",41.390028,-81.69616
"Acer saccharum",43.799861,-72.811633
"Acer saccharum",43.677425,-72.248419
"Acer saccharum",42.585276,-83.179888
"Acer saccharum",35.869533,-84.180262
"Acer saccharum",39.055122,-77.042104
"Acer saccharum",42.178723,-87.912462
"Acer saccharum",41.295179,-73.201622
"Acer saccharum",35.941032,-83.689343
"Acer saccharum",44.563154,-69.657108
"Acer saccharum",39.66002,-79.63753
"Acer saccharum",40.672404,-74.622016
"Acer saccharum",43.505781,-72.098728
"Acer saccharum",40.473866,-74.696497
"Acer saccharum",40.779159,-74.432488
"Acer saccharum",40.868748,-73.871978
"Acer saccharum",35.535747,-82.852833
"Acer saccharum",42.489507,-72.579125
"Acer saccharum",42.797195,-71.317794
"Acer saccharum",43.505119,-72.098795
"Acer saccharum",36.777885,-88.076275
"Acer saccharum",42.55358,-73.211762
"Acer saccharum",42.103647,-72.158411
"Acer saccharum",43.500036,-72.110005
"Acer saccharum",44.772632,-73.376668
"Acer saccharum",44.709621,-93.339684
"Acer saccharum",40.897536,-74.007498
"Acer saccharum",42.996081,-88.133209
"Acer saccharum",35.635975,-83.493631
"Acer saccharum",43.110278,-71.668973
"Acer saccharum",44.317197,-72.417
"Acer saccharum",40.55282,-80.72348
"Acer saccharum",41.183931,-81.658907
"Acer saccharum",44.25794,-71.25377
"Acer saccharum",35.007028,-85.364319
"Acer saccharum",38.951823,-77.006476
"Acer saccharum",42.947764,-71.959008
"Acer saccharum",44.230492,-69.049458
"Acer saccharum",40.75919,-74.294003
"Acer saccharum",43.354931,-72.396919
"Acer saccharum",42.501657,-72.280967
"Acer saccharum",43.507837,-72.09606
"Acer saccharum",42.95091,-72.055575
"Acer saccharum",43.596488,-72.492722
"Acer saccharum",40.975502,-73.882535
"Acer saccharum",46.534683,-95.952963
"Acer saccharum",42.717592,-83.390083
"Acer saccharum",44.265222,-72.548727
"Acer saccharum",42.3208,-79.19815
