"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Ailanthus altissima",38.839793,-77.405652,5.402,31.8975,21.847,46.2555,1.462,0,"Clay Loam",109.3189621
"Ailanthus altissima",41.496128,-88.051964,7.14033333333333,39.09,9.38666666666667,51.5233333333333,1.5535,0,"Silty Clay",191.4570618
"Ailanthus altissima",42.496304,-73.777175,5.6,5,78.5,16.5,1.53,0,"Sandy Loam",5.333472252
"Ailanthus altissima",41.76905,-74.001153,5.25390070921986,12.5815602836879,39.3822695035461,48.036170212766,1.43156028368794,0,"Loam",112.8508911
"Ailanthus altissima",40.641761,-75.383325,6.20625,26.71125,14.20825,59.0805,1.4655,0,"Silt Loam",95.9940033
"Ailanthus altissima",40.884866,-73.310077,5.285,9,60.709,30.291,1.374,0,"Other",61.05997086
"Ailanthus altissima",41.912462,-87.681542,7.29133333333333,33.7083333333333,28.37,37.9216666666667,1.7358,0,"Clay Loam",182.5494385
"Ailanthus altissima",38.905961,-94.81183,6.7014367816092,34.7126436781609,15.0258620689655,50.2614942528736,1.42192528735632,0.311206896551724,"Silty Clay Loam",290.8663025
"Ailanthus altissima",29.894967,-97.941628,7.5,55.9090909090909,16.8181818181818,27.2727272727273,1.26636363636364,0.5,"Clay",219.4438019
"Ailanthus altissima",32.694195,-96.860145,8.088,41.36,12.76,45.88,1.4328,0.512,"Silty Clay",168.2110443
"Ailanthus altissima",40.099725,-75.304747,4.6,22,26,52,1.75,0,"Silt Loam",44.00660706
"Ailanthus altissima",36.166566,-80.54584,5.107,31.375,40.857,27.768,1.3525,0,"Clay Loam",249.2808228
"Ailanthus altissima",40.052698,-75.19248,5.1,22.65,22.9,54.45,1.3125,0,"Silt Loam",88.84397888
"Ailanthus altissima",40.777472,-73.948798,6.52811387900356,10.4019572953737,62.5256227758007,27.0724199288256,1.5876334519573,0,"Sandy Loam",13.0805912
"Ailanthus altissima",39.995053,-83.002603,6.393,34.25,14.047,51.703,1.5754,0,"Silty Clay Loam",234.5378723
"Ailanthus altissima",37.995252,-87.605217,5.159,23.425,5.9,70.675,1.48375,0,"Silt Loam",142.0872498
"Ailanthus altissima",41.536735,-87.745692,6.98625,28.455,17.595,53.95,1.423675,0,"Silty Clay Loam",215.1524658
"Ailanthus altissima",38.914875,-76.944887,5.17825,12.4475,61.0405,25.2745,1.4812,0,"Sandy Loam",1.225488544
"Ailanthus altissima",35.196167,-97.298905,5.9,22.94,58,19.06,1.548,0,"Sandy Loam",322.8562622
"Ailanthus altissima",39.351875,-76.629203,5.74933333333333,26.145,25.8586666666667,47.9963333333333,1.42433333333333,0,"Loam",92.09807587
"Ailanthus altissima",42.286907,-83.740438,6.25966666666667,10.5033333333333,76.7533333333333,12.7433333333333,1.54133333333333,0,"Sandy Loam",239.6738434
"Ailanthus altissima",40.828205,-73.951225,6.52811387900356,10.4019572953737,62.5256227758007,27.0724199288256,1.5876334519573,0,"Sandy Loam",23.54231834
"Ailanthus altissima",38.342962,-78.461323,5.45,16.05,54.804,29.146,1.3675,0,"Sandy Loam",243.0323639
"Ailanthus altissima",40.801955,-73.924461,7.29891774891775,9.17056277056277,66.8746753246753,23.9547619047619,1.59296536796537,0,"Sandy Loam",0
"Ailanthus altissima",32.47319,-99.729752,7.18,36.6,53.22,10.18,1.54,0,"Sandy Clay",512.7072754
"Ailanthus altissima",39.758156,-76.920357,5.45485564304462,18.9430446194226,36.1406824146982,44.9162729658793,1.53385826771654,0,"Loam",235.2469177
"Ailanthus altissima",42.191541,-86.175847,6.4675,17.8125,57.115,25.0725,1.513725,0.01825,"Sandy Loam",205.5840149
