"species","decimalLatitude","decimalLongitude"
"Annona glabra",26.478302,-80.144556
"Annona glabra",26.806062,-80.170466
"Annona glabra",25.892148,-81.30758
"Annona glabra",27.092539,-80.244483
"Annona glabra",25.756347,-80.766519
"Annona glabra",26.445105,-81.835183
"Annona glabra",26.572077,-81.825755
"Annona glabra",25.852914,-80.195511
"Annona glabra",25.38283,-80.607047
"Annona glabra",25.383153,-80.606343
"Annona glabra",25.757183,-80.861885
"Annona glabra",26.217503,-80.188459
"Annona glabra",26.665107,-80.139529
"Annona glabra",26.374058,-81.607552
"Annona glabra",26.48815,-80.162286
"Annona glabra",26.478243,-80.144748
"Annona glabra",26.380136,-80.223179
"Annona glabra",26.487139,-80.160774
"Annona glabra",26.071024,-80.278929
"Annona glabra",26.088791,-80.176872
"Annona glabra",26.315631,-81.630115
"Annona glabra",25.382863,-80.606012
"Annona glabra",26.486225,-80.160767
"Annona glabra",27.161639,-80.545813
"Annona glabra",26.85891,-80.307104
"Annona glabra",26.052283,-80.247588
"Annona glabra",26.943387,-80.186753
"Annona glabra",26.687125,-80.281242
"Annona glabra",26.478066,-80.143601
"Annona glabra",26.372087,-81.609537
"Annona glabra",25.626417,-80.42672
"Annona glabra",26.372433,-81.611926
"Annona glabra",26.615467,-80.085347
"Annona glabra",26.47786,-80.146474
"Annona glabra",27.087825,-80.249603
"Annona glabra",26.143072,-80.311085
"Annona glabra",25.988737,-81.350463
"Annona glabra",26.224944,-81.81184
"Annona glabra",26.485774,-80.160588
"Annona glabra",25.746422,-80.945623
"Annona glabra",26.817032,-80.175205
"Annona glabra",25.888252,-81.261905
"Annona glabra",25.435633,-80.691147
"Annona glabra",26.499664,-80.21199
"Annona glabra",25.383112,-80.606413
"Annona glabra",26.57243,-81.825401
"Annona glabra",26.221745,-80.365551
"Annona glabra",25.709127,-80.766741
"Annona glabra",25.382022,-80.608268
"Annona glabra",26.374631,-81.606833
"Annona glabra",25.772305,-80.434788
"Annona glabra",27.08802,-80.211913
"Annona glabra",26.376368,-81.606155
"Annona glabra",27.21852,-80.945122
"Annona glabra",25.382885,-80.606811
"Annona glabra",25.382594,-80.607129
"Annona glabra",27.308508,-80.273828
"Annona glabra",26.478292,-80.144403
"Annona glabra",25.382913,-80.606702
"Annona glabra",28.163056,-80.594274
"Annona glabra",26.500144,-80.211901
"Annona glabra",26.026056,-80.34598
"Annona glabra",25.39708,-80.61747
"Annona glabra",26.697044,-80.812271
"Annona glabra",26.463211,-81.774364
"Annona glabra",26.966205,-80.147239
"Annona glabra",27.114314,-82.420251
"Annona glabra",25.383465,-80.717425
"Annona glabra",27.015795,-80.13818
"Annona glabra",25.382357,-80.609346
"Annona glabra",27.033914,-80.516638
"Annona glabra",25.904945,-81.337005
"Annona glabra",26,-80.29
"Annona glabra",26.478274,-80.14352
"Annona glabra",25.758921,-80.766417
"Annona glabra",25.759001,-80.625954
"Annona glabra",26.374103,-81.607585
"Annona glabra",25.388604,-80.648661
"Annona glabra",26.551558,-80.082981
"Annona glabra",26.146506,-80.628563
"Annona glabra",26.171282,-80.160912
"Annona glabra",25.381945,-80.60833
"Annona glabra",26.841567,-80.198745
"Annona glabra",25.322393,-80.83348
"Annona glabra",26.298158,-81.805147
"Annona glabra",26.144943,-80.63824
"Annona glabra",26.496401,-80.216691
"Annona glabra",25.389464,-80.672957
"Annona glabra",26.061722,-80.449678
"Annona glabra",26.085727,-80.150161
"Annona glabra",25.383262,-80.60638
"Annona glabra",25.433906,-80.753469
"Annona glabra",27.091653,-80.22262
"Annona glabra",25.382418,-80.609208
"Annona glabra",26.171515,-81.068707
"Annona glabra",27.301547,-82.558555
"Annona glabra",25.86726,-81.152398
"Annona glabra",26.97747,-80.28563
"Annona glabra",26.724805,-80.843755
"Annona glabra",25.610194,-80.539128
"Annona glabra",26.993304,-80.156406
"Annona glabra",26.17509,-81.784034
"Annona glabra",25.758181,-80.766097
"Annona glabra",25.788433,-81.099786
"Annona glabra",26.89383,-80.123986
"Annona glabra",26.884555,-80.09575
"Annona glabra",26.665048,-80.139495
"Annona glabra",27.115428,-82.422342
"Annona glabra",26.604324,-80.078956
"Annona glabra",25.854438,-80.207725
"Annona glabra",27.659841,-80.640816
"Annona glabra",26.227383,-80.18705
"Annona glabra",26.942399,-80.561751
"Annona glabra",25.758872,-80.625435
"Annona glabra",25.826395,-80.849571
"Annona glabra",25.382916,-80.606743
"Annona glabra",26.477864,-80.146474
"Annona glabra",26.227983,-80.187135
"Annona glabra",26.229217,-80.186897
"Annona glabra",25.384917,-80.660581
"Annona glabra",26.294767,-80.191055
"Annona glabra",26.548352,-80.08371
"Annona glabra",26.66457,-80.139297
"Annona glabra",26.497445,-80.216532
"Annona glabra",27.134596,-80.220339
"Annona glabra",27.105695,-80.251105
"Annona glabra",25.753475,-80.76642
"Annona glabra",27.120426,-80.26484
"Annona glabra",26.525174,-81.882207
"Annona glabra",26.380111,-80.223739
"Annona glabra",26.44578,-82.113472
"Annona glabra",25.382874,-80.60567
"Annona glabra",25.382775,-80.605599
"Annona glabra",25.433987,-80.753467
"Annona glabra",25.382853,-80.605697
"Annona glabra",26.441825,-81.838639
"Annona glabra",26.170782,-81.07177
"Annona glabra",26.945005,-80.196958
"Annona glabra",26.572473,-81.825331
"Annona glabra",26.631112,-80.2325
"Annona glabra",27.15527,-80.24755
"Annona glabra",26.061242,-80.444337
"Annona glabra",25.788742,-80.318598
"Annona glabra",26.370168,-80.094741
"Annona glabra",26.546769,-80.081137
"Annona glabra",25.383095,-80.60637
"Annona glabra",26.374447,-81.607109
"Annona glabra",26.174268,-81.784571
"Annona glabra",26.229046,-80.18853
"Annona glabra",26.806053,-80.170722
"Annona glabra",25.622775,-80.309696
"Annona glabra",26.787355,-80.141778
"Annona glabra",26.375503,-80.094731
"Annona glabra",25.751236,-80.766541
"Annona glabra",26.667349,-81.786221
"Annona glabra",26.949458,-80.199026
"Annona glabra",26.479667,-80.142167
"Annona glabra",26.127524,-80.361633
"Annona glabra",26.061808,-80.445145
"Annona glabra",26.468892,-81.765372
"Annona glabra",26.378028,-81.60833
"Annona glabra",26.664275,-80.139458
"Annona glabra",26.851447,-80.081955
"Annona glabra",27.500139,-82.674175
"Annona glabra",26.477524,-80.1427
"Annona glabra",26.374381,-81.609229
"Annona glabra",27.277572,-82.500647
"Annona glabra",26.481489,-80.082729
"Annona glabra",25.77739,-80.767991
"Annona glabra",25.382057,-80.608278
"Annona glabra",26.291965,-80.191929
"Annona glabra",27.101431,-80.255608
"Annona glabra",25.382124,-80.607559
"Annona glabra",26.071419,-80.277816
"Annona glabra",26.660452,-82.148989
"Annona glabra",27.396333,-80.321667
"Annona glabra",26.614167,-81.366389
"Annona glabra",26.47819,-80.14297
"Annona glabra",25.623375,-80.306742
"Annona glabra",26.457962,-81.561354
"Annona glabra",25.383199,-80.606423
"Annona glabra",25.760158,-81.030686
"Annona glabra",25.762283,-80.484542
"Annona glabra",26.479289,-80.143019
"Annona glabra",26.463758,-81.775262
"Annona glabra",27.216038,-80.260605
"Annona glabra",26.276428,-80.185019
"Annona glabra",26.311977,-81.633591
"Annona glabra",25.362641,-80.624542
"Annona glabra",25.719357,-80.496913
"Annona glabra",26.151404,-81.066822
"Annona glabra",25.382778,-80.605556
"Annona glabra",26.116853,-80.353263
"Annona glabra",28.104046,-82.564127
"Annona glabra",26.253332,-81.822088
"Annona glabra",26.202488,-81.719752
"Annona glabra",26.106789,-81.773768
"Annona glabra",26.338053,-81.805282
"Annona glabra",25.710909,-80.251299
"Annona glabra",26.487967,-80.162238
"Annona glabra",26.925817,-80.140539
"Annona glabra",26.209155,-80.142289
"Annona glabra",26.117423,-80.354102
"Annona glabra",25.402579,-80.661813
"Annona glabra",26.315344,-81.634461
"Annona glabra",26.278123,-80.215903
"Annona glabra",25.44151,-80.783623
"Annona glabra",26.38102,-80.224772
"Annona glabra",27.525048,-82.430381
"Annona glabra",25.360395,-80.657725
"Annona glabra",25.892133,-81.279589
"Annona glabra",26.478066,-80.142921
"Annona glabra",26.479237,-80.143033
"Annona glabra",26.072242,-80.278
"Annona glabra",25.826773,-80.322385
"Annona glabra",26.476011,-80.171886
"Annona glabra",26.655826,-80.166705
"Annona glabra",25.975184,-80.359427
"Annona glabra",26.229198,-80.186772
"Annona glabra",25.867545,-81.151592
"Annona glabra",26.478112,-80.14418
"Annona glabra",26.174707,-81.787437
"Annona glabra",26.478212,-80.144313
"Annona glabra",26.061706,-80.446217
"Annona glabra",25.979989,-81.409889
"Annona glabra",25.382075,-80.606797
"Annona glabra",25.754053,-80.766525
"Annona glabra",26.677254,-80.04858
"Annona glabra",26.105909,-81.773109
"Annona glabra",26.214193,-81.811905
"Annona glabra",26.572503,-81.825295
"Annona glabra",25.656797,-80.766546
"Annona glabra",26.809288,-80.169571
"Annona glabra",25.762671,-80.420339
"Annona glabra",27.65665,-81.353813
"Annona glabra",25.86742,-81.151703
"Annona glabra",26.324713,-80.198163
"Annona glabra",25.32315,-80.796188
"Annona glabra",27.238175,-80.275147
"Annona glabra",26.675134,-80.094713
"Annona glabra",26.221366,-80.210996
"Annona glabra",25.382365,-80.607154
"Annona glabra",26.441036,-82.074099
"Annona glabra",26.374393,-81.607353
"Annona glabra",27.154428,-80.251587
"Annona glabra",26.572495,-81.82529
"Annona glabra",26.488115,-80.162242
"Annona glabra",26.573649,-81.822805
"Annona glabra",27.18435,-80.269553
"Annona glabra",26.08653,-81.264781
"Annona glabra",26.368133,-80.095344
"Annona glabra",26.487196,-80.160379
"Annona glabra",26.221191,-80.21105
"Annona glabra",25.755862,-80.765133
"Annona glabra",26.32592,-81.440483
"Annona glabra",26.501378,-80.211328
"Annona glabra",26.767423,-80.125538
"Annona glabra",26.970812,-80.336442
"Annona glabra",25.400311,-80.660431
"Annona glabra",26.281123,-80.173977
"Annona glabra",27.130483,-80.264405
"Annona glabra",26.374563,-81.606972
"Annona glabra",26.010364,-80.27443
"Annona glabra",26.945717,-80.188804
"Annona glabra",25.736437,-80.571632
"Annona glabra",26.168693,-81.713135
"Annona glabra",26.57353,-81.823167
"Annona glabra",26.268592,-81.1465
"Annona glabra",26.278039,-80.215948
"Annona glabra",26.229431,-80.186752
"Annona glabra",26.674308,-80.094701
