"species","decimalLatitude","decimalLongitude"
"Betula alleghaniensis",42.537658,-73.074936
"Betula alleghaniensis",42.652246,-72.936885
"Betula alleghaniensis",43.958009,-73.011933
"Betula alleghaniensis",44.626963,-68.64678
"Betula alleghaniensis",42.597243,-72.443517
"Betula alleghaniensis",39.329284,-79.54037
"Betula alleghaniensis",42.192357,-72.662905
"Betula alleghaniensis",44.70691,-73.33735
"Betula alleghaniensis",43.84837,-72.966567
"Betula alleghaniensis",35.617303,-83.418697
"Betula alleghaniensis",44.270213,-69.38537
"Betula alleghaniensis",44.133192,-72.885791
"Betula alleghaniensis",40.776032,-74.992484
"Betula alleghaniensis",43.507836,-72.104906
"Betula alleghaniensis",46.362382,-87.205104
"Betula alleghaniensis",42.6879,-72.603282
"Betula alleghaniensis",44.548833,-72.796
"Betula alleghaniensis",43.512242,-72.104119
"Betula alleghaniensis",43.562442,-72.348664
"Betula alleghaniensis",44.430052,-72.897091
"Betula alleghaniensis",43.516224,-72.108613
"Betula alleghaniensis",42.78159,-72.191305
"Betula alleghaniensis",43.191247,-74.544263
"Betula alleghaniensis",44.311328,-72.454873
"Betula alleghaniensis",43.527208,-72.093977
"Betula alleghaniensis",47.380241,-91.200079
"Betula alleghaniensis",43.52373,-71.406067
"Betula alleghaniensis",42.17411,-71.211998
"Betula alleghaniensis",42.620357,-71.657312
"Betula alleghaniensis",42.223283,-73.2372
"Betula alleghaniensis",43.496106,-71.967741
"Betula alleghaniensis",42.461222,-71.251764
"Betula alleghaniensis",42.647983,-72.430524
"Betula alleghaniensis",38.174206,-80.339394
"Betula alleghaniensis",44.67629,-72.531434
"Betula alleghaniensis",46.463876,-87.217549
"Betula alleghaniensis",41.316367,-73.989277
"Betula alleghaniensis",42.671099,-72.3229
"Betula alleghaniensis",45.034264,-84.96594
"Betula alleghaniensis",41.220433,-81.511996
"Betula alleghaniensis",46.082881,-84.102469
"Betula alleghaniensis",44.496258,-72.833603
"Betula alleghaniensis",41.644453,-87.092553
"Betula alleghaniensis",41.393201,-81.536509
"Betula alleghaniensis",46.51113,-86.072822
"Betula alleghaniensis",42.014932,-78.726008
"Betula alleghaniensis",44.242268,-72.53611
"Betula alleghaniensis",42.367057,-72.482403
"Betula alleghaniensis",42.689063,-72.359832
"Betula alleghaniensis",42.663495,-72.324146
"Betula alleghaniensis",38.554062,-78.397505
"Betula alleghaniensis",41.718047,-81.175063
"Betula alleghaniensis",44.773068,-72.496929
"Betula alleghaniensis",43.752262,-72.36882
"Betula alleghaniensis",43.073697,-72.133591
"Betula alleghaniensis",42.887125,-78.72228
"Betula alleghaniensis",43.503103,-72.100547
"Betula alleghaniensis",42.207926,-71.268265
"Betula alleghaniensis",47.932406,-91.757272
"Betula alleghaniensis",42.132731,-79.509754
"Betula alleghaniensis",41.254208,-75.53446
"Betula alleghaniensis",42.672028,-72.323281
"Betula alleghaniensis",41.007282,-75.633705
"Betula alleghaniensis",44.368942,-72.879722
"Betula alleghaniensis",44.286252,-72.670084
"Betula alleghaniensis",43.861137,-72.262459
"Betula alleghaniensis",43.523057,-72.102542
"Betula alleghaniensis",42.071453,-79.021323
"Betula alleghaniensis",42.666341,-72.322411
"Betula alleghaniensis",46.761127,-89.893778
"Betula alleghaniensis",45.627089,-89.423738
"Betula alleghaniensis",42.611059,-71.118879
"Betula alleghaniensis",44.476503,-73.184892
"Betula alleghaniensis",41.687886,-77.801737
"Betula alleghaniensis",42.516963,-72.320607
"Betula alleghaniensis",43.494894,-72.110404
"Betula alleghaniensis",43.527253,-72.09385
"Betula alleghaniensis",40.840312,-75.407906
"Betula alleghaniensis",41.600428,-73.593601
"Betula alleghaniensis",41.662922,-73.652678
"Betula alleghaniensis",42.59493,-72.171765
"Betula alleghaniensis",43.531969,-72.106453
"Betula alleghaniensis",46.553518,-87.498117
"Betula alleghaniensis",42.57277,-72.633578
"Betula alleghaniensis",46.430057,-87.042417
"Betula alleghaniensis",39.614862,-76.700918
"Betula alleghaniensis",42.673647,-72.323821
"Betula alleghaniensis",42.55038,-73.085355
"Betula alleghaniensis",43.50005,-72.09908
"Betula alleghaniensis",42.200255,-71.219078
"Betula alleghaniensis",46.366842,-87.131821
"Betula alleghaniensis",44.327164,-72.479553
"Betula alleghaniensis",42.838021,-74.028543
"Betula alleghaniensis",42.063775,-80.170983
"Betula alleghaniensis",44.661272,-72.878599
"Betula alleghaniensis",44.164287,-74.789941
"Betula alleghaniensis",41.85361,-73.451518
"Betula alleghaniensis",43.049889,-89.433983
"Betula alleghaniensis",43.521148,-72.113955
"Betula alleghaniensis",42.670309,-72.328506
"Betula alleghaniensis",41.230638,-74.234648
"Betula alleghaniensis",41.709628,-70.74574
"Betula alleghaniensis",43.5042,-72.100694
"Betula alleghaniensis",38.337236,-78.550711
"Betula alleghaniensis",42.6801,-77.94446
"Betula alleghaniensis",41.049664,-73.703893
"Betula alleghaniensis",45.183412,-91.165703
"Betula alleghaniensis",44.576668,-71.917778
"Betula alleghaniensis",42.317793,-72.291878
"Betula alleghaniensis",41.986277,-74.509399
"Betula alleghaniensis",38.553942,-78.391475
"Betula alleghaniensis",42.95478,-74.393312
"Betula alleghaniensis",43.827646,-72.320958
"Betula alleghaniensis",42.286209,-71.237536
"Betula alleghaniensis",48.011947,-91.92833
"Betula alleghaniensis",44.358978,-72.567467
"Betula alleghaniensis",44.349172,-72.586768
"Betula alleghaniensis",44.512322,-72.111972
"Betula alleghaniensis",41.577692,-71.178216
"Betula alleghaniensis",43.516649,-72.108097
"Betula alleghaniensis",46.483094,-86.978306
"Betula alleghaniensis",43.498692,-72.099503
"Betula alleghaniensis",41.471661,-75.077744
"Betula alleghaniensis",43.5156,-72.108214
"Betula alleghaniensis",42.52732,-79.16971
"Betula alleghaniensis",38.59819,-78.371844
"Betula alleghaniensis",46.473155,-84.311258
"Betula alleghaniensis",44.153542,-72.650379
"Betula alleghaniensis",44.375582,-72.490088
"Betula alleghaniensis",43.89801,-73.053238
"Betula alleghaniensis",39.657432,-79.408532
"Betula alleghaniensis",45.376356,-84.797323
"Betula alleghaniensis",42.788208,-72.197594
"Betula alleghaniensis",47.911974,-91.836107
"Betula alleghaniensis",42.67886,-72.324131
"Betula alleghaniensis",43.613678,-72.50647
"Betula alleghaniensis",41.651231,-73.040725
"Betula alleghaniensis",47.23605,-68.591108
"Betula alleghaniensis",44.336681,-72.581002
"Betula alleghaniensis",42.97746,-72.029592
"Betula alleghaniensis",44.160703,-74.852562
"Betula alleghaniensis",43.503995,-73.610345
"Betula alleghaniensis",36.08899,-81.824182
"Betula alleghaniensis",44.742533,-72.590664
"Betula alleghaniensis",38.911667,-79.756762
"Betula alleghaniensis",42.536534,-76.606854
"Betula alleghaniensis",44.317744,-72.339429
"Betula alleghaniensis",35.90668,-82.544583
"Betula alleghaniensis",41.170175,-74.418226
"Betula alleghaniensis",43.676636,-72.254525
"Betula alleghaniensis",43.410341,-72.253152
"Betula alleghaniensis",44.449367,-72.70568
"Betula alleghaniensis",41.049262,-75.643611
"Betula alleghaniensis",44.318067,-72.521448
"Betula alleghaniensis",42.510162,-72.20765
"Betula alleghaniensis",42.583783,-71.907006
"Betula alleghaniensis",41.359809,-72.683977
"Betula alleghaniensis",43.650427,-72.843263
"Betula alleghaniensis",43.501033,-72.098993
"Betula alleghaniensis",42.343517,-71.273353
"Betula alleghaniensis",46.565102,-87.445114
"Betula alleghaniensis",46.51834,-87.434337
"Betula alleghaniensis",44.596787,-69.303073
"Betula alleghaniensis",44.328709,-72.688618
"Betula alleghaniensis",43.738862,-72.523637
"Betula alleghaniensis",44.692214,-72.374528
"Betula alleghaniensis",44.25051,-74.20741
"Betula alleghaniensis",42.259441,-72.830974
"Betula alleghaniensis",42.124386,-71.206413
"Betula alleghaniensis",43.852882,-73.04496
"Betula alleghaniensis",44.287141,-72.402425
"Betula alleghaniensis",43.753864,-74.713347
"Betula alleghaniensis",39.662103,-79.737045
"Betula alleghaniensis",41.951745,-78.744645
"Betula alleghaniensis",42.675594,-72.324718
"Betula alleghaniensis",43.36025,-89.983301
"Betula alleghaniensis",43.684769,-72.327096
"Betula alleghaniensis",43.538904,-72.121607
"Betula alleghaniensis",44.249633,-69.088238
"Betula alleghaniensis",42.431392,-78.897247
"Betula alleghaniensis",42.660692,-72.322773
"Betula alleghaniensis",43.191895,-74.527808
"Betula alleghaniensis",42.25126,-79.57356
"Betula alleghaniensis",42.677776,-72.326674
"Betula alleghaniensis",42.287117,-71.237974
"Betula alleghaniensis",44.419472,-74.314164
"Betula alleghaniensis",42.447355,-73.502491
"Betula alleghaniensis",46.383594,-87.073273
"Betula alleghaniensis",42.326079,-84.08171
"Betula alleghaniensis",46.383585,-86.945497
"Betula alleghaniensis",43.502416,-72.098349
"Betula alleghaniensis",44.478709,-72.621415
"Betula alleghaniensis",42.996185,-71.26399
"Betula alleghaniensis",44.596975,-69.334766
"Betula alleghaniensis",44.496917,-73.169319
"Betula alleghaniensis",43.449361,-71.005363
"Betula alleghaniensis",43.47892,-70.38963
"Betula alleghaniensis",43.156073,-77.528698
"Betula alleghaniensis",42.457682,-72.80076
"Betula alleghaniensis",46.149342,-68.82937
"Betula alleghaniensis",43.565098,-72.780663
"Betula alleghaniensis",42.464905,-72.7113
"Betula alleghaniensis",46.499795,-87.044916
"Betula alleghaniensis",42.68619,-73.23516
"Betula alleghaniensis",42.548305,-73.196807
"Betula alleghaniensis",42.672965,-72.324398
"Betula alleghaniensis",42.023792,-79.174325
"Betula alleghaniensis",42.679931,-72.335842
"Betula alleghaniensis",42.151114,-73.111156
"Betula alleghaniensis",43.505147,-72.098803
"Betula alleghaniensis",43.085133,-72.362162
"Betula alleghaniensis",43.55918,-72.112665
"Betula alleghaniensis",42.70276,-77.46244
"Betula alleghaniensis",41.252594,-73.793204
"Betula alleghaniensis",46.552605,-87.498923
"Betula alleghaniensis",43.700501,-74.682417
"Betula alleghaniensis",47.170569,-88.446633
"Betula alleghaniensis",43.697975,-72.332397
"Betula alleghaniensis",42.479692,-72.474652
"Betula alleghaniensis",42.441321,-78.857309
"Betula alleghaniensis",42.319164,-84.082797
"Betula alleghaniensis",43.146309,-77.053116
"Betula alleghaniensis",43.936012,-69.932452
"Betula alleghaniensis",46.427661,-87.055235
"Betula alleghaniensis",36.144358,-81.712258
"Betula alleghaniensis",44.496999,-73.152172
"Betula alleghaniensis",40.868877,-75.279845
"Betula alleghaniensis",43.511312,-72.095654
"Betula alleghaniensis",43.633833,-72.5445
"Betula alleghaniensis",44.307834,-72.648996
"Betula alleghaniensis",44.518133,-72.768789
"Betula alleghaniensis",41.973256,-72.694258
"Betula alleghaniensis",47.934315,-91.761727
"Betula alleghaniensis",42.27429,-79.32489
"Betula alleghaniensis",42.603837,-72.373422
"Betula alleghaniensis",41.433968,-72.279203
"Betula alleghaniensis",42.024064,-79.176504
"Betula alleghaniensis",42.681217,-72.330811
"Betula alleghaniensis",42.389319,-76.373047
"Betula alleghaniensis",41.794842,-72.197486
"Betula alleghaniensis",35.160339,-83.032136
"Betula alleghaniensis",47.59373,-91.06471
"Betula alleghaniensis",41.961447,-71.179561
"Betula alleghaniensis",39.619007,-79.145271
"Betula alleghaniensis",41.981057,-71.65119
"Betula alleghaniensis",42.666874,-72.323277
"Betula alleghaniensis",43.098442,-70.73439
"Betula alleghaniensis",43.464584,-73.190765
"Betula alleghaniensis",43.210186,-73.897621
"Betula alleghaniensis",42.0605,-71.158928
"Betula alleghaniensis",43.500105,-71.299522
"Betula alleghaniensis",42.321357,-72.209947
"Betula alleghaniensis",41.588055,-71.549843
"Betula alleghaniensis",44.224475,-69.88098
"Betula alleghaniensis",43.40675,-72.751145
"Betula alleghaniensis",36.113981,-82.008467
"Betula alleghaniensis",43.180747,-77.514397
"Betula alleghaniensis",45.91592,-88.463372
"Betula alleghaniensis",42.431008,-72.702492
"Betula alleghaniensis",42.669536,-72.322801
"Betula alleghaniensis",42.201249,-73.282409
"Betula alleghaniensis",43.689111,-88.03449
"Betula alleghaniensis",44.613503,-72.801308
"Betula alleghaniensis",43.594898,-72.908892
"Betula alleghaniensis",46.097325,-86.902353
"Betula alleghaniensis",43.246678,-77.46132
"Betula alleghaniensis",44.727114,-72.154125
"Betula alleghaniensis",42.51204,-72.281486
"Betula alleghaniensis",46.360167,-87.301413
"Betula alleghaniensis",42.545358,-72.372105
"Betula alleghaniensis",42.500162,-71.535361
"Betula alleghaniensis",42.479328,-72.493387
"Betula alleghaniensis",43.416605,-74.485755
"Betula alleghaniensis",47.391055,-91.205545
"Betula alleghaniensis",42.6781,-75.76043
"Betula alleghaniensis",42.979465,-75.226769
"Betula alleghaniensis",42.292223,-72.64826
"Betula alleghaniensis",46.361983,-87.143568
"Betula alleghaniensis",43.466547,-72.987006
"Betula alleghaniensis",45.354393,-84.829196
"Betula alleghaniensis",42.440468,-71.118817
"Betula alleghaniensis",43.118156,-72.00033
"Betula alleghaniensis",42.642915,-72.325488
"Betula alleghaniensis",43.233325,-71.611528
"Betula alleghaniensis",46.383701,-87.08466
"Betula alleghaniensis",44.379008,-72.912103
"Betula alleghaniensis",46.102317,-84.799617
"Betula alleghaniensis",43.046167,-72.951333
"Betula alleghaniensis",43.506868,-72.11062
"Betula alleghaniensis",44.755494,-84.639069
"Betula alleghaniensis",46.392095,-87.138117
"Betula alleghaniensis",44.387795,-72.519463
"Betula alleghaniensis",47.37655,-91.205323
"Betula alleghaniensis",42.680962,-72.321363
"Betula alleghaniensis",41.956451,-79.694286
"Betula alleghaniensis",42.71557,-78.753555
"Betula alleghaniensis",44.479084,-72.724827
"Betula alleghaniensis",43.63856,-72.855835
"Betula alleghaniensis",46.574958,-85.253367
"Betula alleghaniensis",43.391961,-72.201258
"Betula alleghaniensis",43.506766,-72.096283
"Betula alleghaniensis",42.448503,-71.082925
"Betula alleghaniensis",43.509957,-72.10391
"Betula alleghaniensis",39.112706,-79.482887
"Betula alleghaniensis",42.22476,-71.636867
"Betula alleghaniensis",44.703623,-72.70503
"Betula alleghaniensis",43.503501,-72.098809
"Betula alleghaniensis",46.496589,-87.047622
"Betula alleghaniensis",40.952583,-74.407314
"Betula alleghaniensis",44.20136,-72.611759
"Betula alleghaniensis",43.512234,-72.104091
"Betula alleghaniensis",42.083202,-79.587238
"Betula alleghaniensis",42.087413,-72.668233
"Betula alleghaniensis",44.560056,-68.10696
"Betula alleghaniensis",46.464017,-87.196787
"Betula alleghaniensis",44.751279,-72.535935
"Betula alleghaniensis",44.263457,-73.591501
"Betula alleghaniensis",42.756262,-75.4286
"Betula alleghaniensis",44.991058,-68.785614
"Betula alleghaniensis",43.606972,-72.512663
"Betula alleghaniensis",42.390168,-72.397987
"Betula alleghaniensis",44.160358,-74.79692
"Betula alleghaniensis",35.598758,-83.42478
"Betula alleghaniensis",44.281038,-72.413806
"Betula alleghaniensis",46.594011,-88.102336
"Betula alleghaniensis",43.835585,-72.334153
"Betula alleghaniensis",42.658137,-72.626475
"Betula alleghaniensis",42.967637,-76.345763
"Betula alleghaniensis",41.040311,-74.121147
"Betula alleghaniensis",41.61246,-71.718996
"Betula alleghaniensis",42.180561,-71.487375
"Betula alleghaniensis",43.717534,-92.307904
"Betula alleghaniensis",42.557167,-76.246887
"Betula alleghaniensis",43.235115,-77.559472
"Betula alleghaniensis",43.506306,-72.109081
"Betula alleghaniensis",47.381653,-91.195953
"Betula alleghaniensis",40.890858,-78.042567
"Betula alleghaniensis",44.403719,-68.251216
"Betula alleghaniensis",42.410847,-76.515494
"Betula alleghaniensis",44.534751,-72.788083
"Betula alleghaniensis",43.50301,-72.098512
"Betula alleghaniensis",41.633902,-72.139493
"Betula alleghaniensis",44.310007,-72.28207
"Betula alleghaniensis",44.250852,-72.58754
"Betula alleghaniensis",42.397793,-72.393778
"Betula alleghaniensis",42.12953,-71.20116
"Betula alleghaniensis",43.676255,-70.289303
"Betula alleghaniensis",39.033277,-79.328945
"Betula alleghaniensis",42.453825,-72.879583
"Betula alleghaniensis",43.697242,-72.258643
"Betula alleghaniensis",43.436277,-76.11513
"Betula alleghaniensis",44.355672,-73.015572
"Betula alleghaniensis",42.088213,-71.740549
"Betula alleghaniensis",41.733897,-74.23625
"Betula alleghaniensis",41.967826,-71.556542
"Betula alleghaniensis",39.993948,-77.382436
"Betula alleghaniensis",42.224723,-71.636689
"Betula alleghaniensis",43.142657,-75.88069
"Betula alleghaniensis",41.447131,-73.804772
"Betula alleghaniensis",46.453853,-86.950807
"Betula alleghaniensis",41.339805,-76.280846
"Betula alleghaniensis",42.280383,-83.722244
"Betula alleghaniensis",44.34777,-73.879617
"Betula alleghaniensis",42.476436,-72.347467
"Betula alleghaniensis",41.923583,-71.756302
"Betula alleghaniensis",35.047811,-83.265512
"Betula alleghaniensis",43.517378,-72.106019
"Betula alleghaniensis",44.446328,-72.70153
"Betula alleghaniensis",44.825725,-67.222787
"Betula alleghaniensis",42.712475,-72.124882
"Betula alleghaniensis",44.50432,-72.974363
"Betula alleghaniensis",43.515913,-72.100372
"Betula alleghaniensis",42.624407,-71.555695
"Betula alleghaniensis",43.430878,-72.762305
"Betula alleghaniensis",46.460951,-86.948049
"Betula alleghaniensis",43.554647,-72.110442
"Betula alleghaniensis",41.498595,-81.715582
"Betula alleghaniensis",44.240842,-90.998962
"Betula alleghaniensis",43.424467,-72.0105
"Betula alleghaniensis",41.730586,-74.249374
"Betula alleghaniensis",43.628333,-72.518667
"Betula alleghaniensis",42.683815,-72.173463
"Betula alleghaniensis",43.519351,-72.105615
"Betula alleghaniensis",44.083569,-74.096613
"Betula alleghaniensis",44.369758,-72.90345
"Betula alleghaniensis",43.500133,-72.098826
"Betula alleghaniensis",42.130414,-73.012646
"Betula alleghaniensis",42.442162,-72.180292
"Betula alleghaniensis",41.468207,-75.326237
"Betula alleghaniensis",46.913425,-90.787012
"Betula alleghaniensis",41.09493,-75.894034
"Betula alleghaniensis",44.224773,-72.560728
"Betula alleghaniensis",42.432254,-76.293231
"Betula alleghaniensis",44.271152,-72.509845
"Betula alleghaniensis",45.58402,-91.54016
"Betula alleghaniensis",44.353967,-73.004783
"Betula alleghaniensis",44.516955,-72.93843
"Betula alleghaniensis",43.506564,-72.109394
"Betula alleghaniensis",36.400685,-81.46116
"Betula alleghaniensis",44.342979,-72.462477
"Betula alleghaniensis",39.905704,-79.467979
"Betula alleghaniensis",42.690303,-72.225288
"Betula alleghaniensis",42.01827,-74.076941
"Betula alleghaniensis",40.351383,-78.784546
"Betula alleghaniensis",42.745381,-73.187033
"Betula alleghaniensis",40.781167,-74.539977
"Betula alleghaniensis",42.256674,-70.813857
"Betula alleghaniensis",44.330013,-72.470782
"Betula alleghaniensis",41.35955,-79.07013
"Betula alleghaniensis",42.974511,-72.031983
"Betula alleghaniensis",46.496773,-87.097943
"Betula alleghaniensis",42.677716,-72.330748
"Betula alleghaniensis",43.614912,-71.395466
"Betula alleghaniensis",43.083252,-72.135734
"Betula alleghaniensis",41.788945,-73.453265
"Betula alleghaniensis",42.38179,-73.342248
"Betula alleghaniensis",46.553571,-87.489935
"Betula alleghaniensis",41.765281,-73.939031
"Betula alleghaniensis",41.005753,-74.588378
"Betula alleghaniensis",44.267565,-72.531422
"Betula alleghaniensis",42.674538,-78.368278
"Betula alleghaniensis",43.468747,-74.24672
"Betula alleghaniensis",42.662221,-72.314319
"Betula alleghaniensis",46.490337,-84.237817
"Betula alleghaniensis",42.3182,-84.082678
"Betula alleghaniensis",46.361083,-69.058429
"Betula alleghaniensis",43.118084,-83.238606
"Betula alleghaniensis",44.214596,-70.945272
"Betula alleghaniensis",43.620813,-72.991325
"Betula alleghaniensis",43.498511,-72.099712
"Betula alleghaniensis",42.061488,-78.935208
"Betula alleghaniensis",41.50052,-72.051943
"Betula alleghaniensis",42.990076,-71.324531
"Betula alleghaniensis",42.681046,-72.323267
"Betula alleghaniensis",43.767138,-72.2434
"Betula alleghaniensis",43.509738,-72.106997
"Betula alleghaniensis",42.669161,-72.315471
"Betula alleghaniensis",44.007661,-73.077162
"Betula alleghaniensis",43.869873,-72.69264
"Betula alleghaniensis",42.701254,-77.462162
"Betula alleghaniensis",42.492814,-71.891399
"Betula alleghaniensis",42.005567,-78.82328
"Betula alleghaniensis",44.15144,-72.598083
"Betula alleghaniensis",43.63652,-89.806603
"Betula alleghaniensis",42.666858,-72.322669
"Betula alleghaniensis",42.624445,-73.190536
"Betula alleghaniensis",44.684833,-74.881613
"Betula alleghaniensis",43.083094,-72.369047
"Betula alleghaniensis",42.482415,-70.918142
"Betula alleghaniensis",42.956628,-73.768945
"Betula alleghaniensis",37.510764,-79.525208
"Betula alleghaniensis",44.359703,-74.302987
"Betula alleghaniensis",43.516322,-72.108489
"Betula alleghaniensis",44.265505,-72.460715
"Betula alleghaniensis",43.488216,-73.034724
"Betula alleghaniensis",41.470491,-73.259357
"Betula alleghaniensis",43.081475,-72.129914
"Betula alleghaniensis",47.424192,-88.096353
"Betula alleghaniensis",38.554198,-78.395444
"Betula alleghaniensis",43.135566,-70.943395
"Betula alleghaniensis",46.186355,-89.262205
"Betula alleghaniensis",47.385433,-91.193467
"Betula alleghaniensis",43.590847,-72.364237
"Betula alleghaniensis",43.507409,-72.093378
"Betula alleghaniensis",41.081694,-73.755899
"Betula alleghaniensis",41.168575,-74.16658
"Betula alleghaniensis",38.20578,-80.202683
"Betula alleghaniensis",42.082626,-72.661301
"Betula alleghaniensis",41.961123,-72.765178
"Betula alleghaniensis",43.346648,-87.883141
"Betula alleghaniensis",42.850338,-71.882761
"Betula alleghaniensis",42.145177,-73.404632
"Betula alleghaniensis",43.505837,-72.110326
"Betula alleghaniensis",42.686926,-72.392053
"Betula alleghaniensis",44.3116,-72.344153
"Betula alleghaniensis",41.731708,-71.313142
"Betula alleghaniensis",44.101186,-72.935403
"Betula alleghaniensis",44.281862,-71.756834
"Betula alleghaniensis",44.094826,-69.955703
"Betula alleghaniensis",43.503285,-72.098581
"Betula alleghaniensis",42.561053,-72.734736
"Betula alleghaniensis",41.597888,-73.59337
"Betula alleghaniensis",46.530735,-87.432568
"Betula alleghaniensis",43.596811,-72.488343
"Betula alleghaniensis",42.486605,-71.345152
"Betula alleghaniensis",42.599105,-72.404905
"Betula alleghaniensis",43.153962,-77.521243
"Betula alleghaniensis",35.768369,-82.195177
"Betula alleghaniensis",42.064551,-71.089371
