"species","decimalLatitude","decimalLongitude"
"Betula populifolia",40.0952,-74.321587
"Betula populifolia",44.277545,-72.576285
"Betula populifolia",42.274696,-70.951149
"Betula populifolia",41.519646,-71.778824
"Betula populifolia",43.814817,-70.245833
"Betula populifolia",43.53144,-71.263349
"Betula populifolia",42.745886,-70.798838
"Betula populifolia",40.761008,-73.753547
"Betula populifolia",40.589483,-74.142893
"Betula populifolia",41.032992,-74.125334
"Betula populifolia",42.649055,-70.925301
"Betula populifolia",44.392167,-73.25972
"Betula populifolia",41.136381,-75.333119
"Betula populifolia",42.141006,-72.683642
"Betula populifolia",41.881461,-71.091225
"Betula populifolia",43.599183,-73.184775
"Betula populifolia",40.3163,-74.751412
"Betula populifolia",42.461022,-71.157444
"Betula populifolia",42.829644,-71.943442
"Betula populifolia",40.389836,-74.433826
"Betula populifolia",42.91007,-72.214263
"Betula populifolia",42.280542,-71.672723
"Betula populifolia",42.601612,-71.348572
"Betula populifolia",42.147632,-71.514245
"Betula populifolia",44.86328,-68.740365
"Betula populifolia",41.207912,-74.231558
"Betula populifolia",39.976729,-74.856302
"Betula populifolia",41.472759,-71.661901
"Betula populifolia",42.429047,-71.189329
"Betula populifolia",44.278572,-72.272909
"Betula populifolia",43.497518,-72.100984
"Betula populifolia",44.464271,-73.100342
"Betula populifolia",42.723469,-72.46056
"Betula populifolia",44.464037,-67.936847
"Betula populifolia",40.739675,-74.290428
"Betula populifolia",42.557958,-71.373277
"Betula populifolia",42.266687,-72.422072
"Betula populifolia",44.262875,-72.580422
"Betula populifolia",44.232414,-69.143661
"Betula populifolia",41.184108,-74.812531
"Betula populifolia",41.496496,-71.531357
"Betula populifolia",42.745097,-70.798195
"Betula populifolia",44.041752,-70.360988
"Betula populifolia",42.621586,-72.184658
"Betula populifolia",40.4,-74
"Betula populifolia",42.455411,-71.123561
"Betula populifolia",41.441528,-75.542045
"Betula populifolia",45.064811,-69.946681
"Betula populifolia",42.4809,-76.449495
"Betula populifolia",41.724949,-74.255647
"Betula populifolia",41.039661,-74.123009
"Betula populifolia",40.906052,-72.673093
"Betula populifolia",40.782726,-75.603218
"Betula populifolia",43.157658,-71.55227
"Betula populifolia",44.377549,-68.25225
"Betula populifolia",44.545083,-73.283767
"Betula populifolia",40.512814,-76.344005
"Betula populifolia",42.39774,-71.152681
"Betula populifolia",44.24663,-70.431492
"Betula populifolia",44.394611,-73.097051
"Betula populifolia",44.571672,-69.917779
"Betula populifolia",40.92335,-73.94272
"Betula populifolia",44.153668,-72.468059
"Betula populifolia",41.127877,-75.869245
"Betula populifolia",41.16365,-73.404947
"Betula populifolia",42.43014,-71.190443
"Betula populifolia",41.671163,-73.337708
"Betula populifolia",42.137383,-74.087406
"Betula populifolia",44.026631,-71.49616
"Betula populifolia",39.959195,-74.516059
"Betula populifolia",39.709803,-74.666928
"Betula populifolia",42.364804,-71.244834
"Betula populifolia",42.193092,-71.048211
"Betula populifolia",42.191373,-72.2841
"Betula populifolia",42.522308,-72.280357
"Betula populifolia",44.523384,-69.889455
"Betula populifolia",40.678908,-73.515472
"Betula populifolia",41.372464,-73.7264
"Betula populifolia",43.081124,-71.575195
"Betula populifolia",44.315408,-68.584261
"Betula populifolia",39.959062,-74.50933
"Betula populifolia",44.21914,-74.432538
"Betula populifolia",40.924419,-73.941333
"Betula populifolia",41.229438,-75.240333
"Betula populifolia",43.632917,-73.735145
"Betula populifolia",43.815532,-72.392901
"Betula populifolia",43.521393,-72.096372
"Betula populifolia",39.8453,-74.903618
"Betula populifolia",42.602514,-72.188062
"Betula populifolia",41.128016,-81.353351
"Betula populifolia",44.194139,-72.556403
"Betula populifolia",44.067551,-70.949659
"Betula populifolia",42.194742,-72.934947
"Betula populifolia",44.058828,-69.778167
"Betula populifolia",42.744444,-71.706808
"Betula populifolia",44.438247,-73.733975
"Betula populifolia",43.503884,-72.12242
"Betula populifolia",40.82425,-75.977737
"Betula populifolia",42.418005,-71.474762
"Betula populifolia",42.49988,-72.808245
"Betula populifolia",44.620321,-73.044543
"Betula populifolia",43.899172,-71.977099
"Betula populifolia",42.621975,-71.656928
"Betula populifolia",38.515697,-78.435127
"Betula populifolia",40.759986,-73.751224
"Betula populifolia",36.26558,-81.783417
"Betula populifolia",42.806124,-71.900888
"Betula populifolia",41.433933,-71.675613
"Betula populifolia",42.778506,-70.952155
"Betula populifolia",42.020364,-70.861337
"Betula populifolia",42.03693,-74.131984
"Betula populifolia",44.279318,-72.570177
"Betula populifolia",43.59922,-72.966085
"Betula populifolia",43.740146,-72.906051
"Betula populifolia",40.842383,-75.918312
"Betula populifolia",44.532266,-72.023605
"Betula populifolia",42.092926,-71.621786
"Betula populifolia",42.529625,-71.317383
"Betula populifolia",41.69845,-70.483908
"Betula populifolia",44.477393,-73.126475
"Betula populifolia",40.745761,-75.105161
"Betula populifolia",44.331417,-68.283684
"Betula populifolia",42.455017,-71.123797
"Betula populifolia",44.565513,-69.655635
"Betula populifolia",42.068521,-71.594164
"Betula populifolia",41.353467,-72.966861
"Betula populifolia",44.952484,-73.207374
"Betula populifolia",41.391451,-70.661294
"Betula populifolia",43.546593,-70.46883
"Betula populifolia",41.990333,-71.374046
"Betula populifolia",44.474027,-73.176587
"Betula populifolia",41.884347,-73.405617
"Betula populifolia",43.204003,-77.954097
"Betula populifolia",40.588439,-74.130494
"Betula populifolia",42.853479,-71.963902
"Betula populifolia",40.010247,-75.516933
"Betula populifolia",41.695666,-73.955711
"Betula populifolia",42.767942,-70.992247
"Betula populifolia",42.38755,-71.146081
"Betula populifolia",39.359621,-74.653105
"Betula populifolia",42.26047,-72.040297
"Betula populifolia",42.518528,-71.743019
"Betula populifolia",42.012011,-73.465639
"Betula populifolia",44.368314,-71.526314
"Betula populifolia",41.723688,-72.443978
"Betula populifolia",41.397697,-71.646569
"Betula populifolia",43.413092,-71.696344
"Betula populifolia",43.108172,-71.66052
"Betula populifolia",42.605602,-72.084925
"Betula populifolia",42.298215,-71.828821
"Betula populifolia",44.041084,-71.523621
"Betula populifolia",42.269141,-70.919842
"Betula populifolia",44.360043,-68.266014
"Betula populifolia",40.923283,-73.942658
"Betula populifolia",43.043554,-72.550304
"Betula populifolia",40.891122,-78.084015
"Betula populifolia",42.455088,-71.123739
"Betula populifolia",42.317467,-72.679992
"Betula populifolia",42.417494,-71.124834
"Betula populifolia",44.451994,-69.60617
"Betula populifolia",44.306714,-69.367753
"Betula populifolia",41.39735,-72.309022
"Betula populifolia",42.745047,-70.798042
"Betula populifolia",39.955905,-74.663491
"Betula populifolia",42.07474,-70.159862
"Betula populifolia",41.069665,-74.854018
"Betula populifolia",42.3657,-72.019788
"Betula populifolia",42.599105,-72.309802
"Betula populifolia",41.434254,-71.674884
"Betula populifolia",42.369819,-73.601631
"Betula populifolia",40.77212,-73.158307
"Betula populifolia",40.619344,-74.487197
"Betula populifolia",42.76655,-70.868848
"Betula populifolia",41.022167,-74.58973
"Betula populifolia",43.866653,-72.589645
"Betula populifolia",42.244992,-71.46766
"Betula populifolia",43.507559,-72.092242
"Betula populifolia",43.936012,-69.932452
"Betula populifolia",41.887106,-71.434553
"Betula populifolia",41.731728,-72.44548
"Betula populifolia",40.661564,-74.372549
"Betula populifolia",40.923804,-73.942645
"Betula populifolia",44.342712,-68.254845
"Betula populifolia",42.455049,-71.123641
"Betula populifolia",41.691563,-73.964063
"Betula populifolia",41.857876,-70.664009
"Betula populifolia",42.76277,-71.527409
"Betula populifolia",41.850584,-73.452844
"Betula populifolia",42.352109,-71.398984
"Betula populifolia",42.767572,-70.925657
"Betula populifolia",41.84499,-73.452513
"Betula populifolia",42.965934,-71.978392
"Betula populifolia",40.84904,-81.455704
"Betula populifolia",42.356407,-71.251132
"Betula populifolia",42.71442,-71.652039
"Betula populifolia",39.111326,-74.877494
"Betula populifolia",42.3367,-72.402429
"Betula populifolia",42.62091,-72.085447
"Betula populifolia",42.928006,-71.793898
"Betula populifolia",40.804272,-74.686538
"Betula populifolia",39.738937,-75.098741
"Betula populifolia",42.387467,-71.146028
"Betula populifolia",42.252157,-72.33689
"Betula populifolia",42.422182,-71.209211
"Betula populifolia",41.128267,-81.352342
"Betula populifolia",43.140501,-70.923022
"Betula populifolia",42.546395,-72.249795
"Betula populifolia",42.216797,-70.790045
"Betula populifolia",41.99879,-72.124315
"Betula populifolia",40.756668,-73.743331
"Betula populifolia",41.097713,-75.931267
"Betula populifolia",40.677692,-73.515217
"Betula populifolia",40.068914,-75.225913
"Betula populifolia",42.218919,-71.094689
"Betula populifolia",44.312528,-69.81215
"Betula populifolia",44.63462,-72.423575
"Betula populifolia",44.367854,-68.211367
"Betula populifolia",41.578443,-70.55864
"Betula populifolia",42.365648,-72.020937
"Betula populifolia",41.352138,-71.797834
"Betula populifolia",43.424953,-72.0086
"Betula populifolia",42.572637,-72.516009
"Betula populifolia",43.082578,-73.736598
"Betula populifolia",42.614913,-72.528248
"Betula populifolia",40.923173,-73.942573
"Betula populifolia",39.794299,-74.490281
"Betula populifolia",42.309616,-71.431403
"Betula populifolia",41.069667,-81.611833
"Betula populifolia",40.779472,-73.437667
"Betula populifolia",44.6356,-68.417678
"Betula populifolia",41.350933,-76.294975
"Betula populifolia",40.995419,-72.290658
"Betula populifolia",42.098408,-76.049367
"Betula populifolia",40.959691,-73.921807
"Betula populifolia",40.642048,-74.441201
"Betula populifolia",40.862244,-73.875306
"Betula populifolia",40.838344,-73.432697
"Betula populifolia",44.62905,-67.93435
"Betula populifolia",42.53691,-72.17265
"Betula populifolia",43.934042,-69.918914
"Betula populifolia",44.625264,-72.479667
"Betula populifolia",43.331593,-71.116508
"Betula populifolia",43.499317,-72.098136
"Betula populifolia",43.649836,-72.312694
"Betula populifolia",42.318888,-72.522558
"Betula populifolia",44.289731,-72.593632
"Betula populifolia",40.711733,-74.489971
"Betula populifolia",42.673177,-72.312795
"Betula populifolia",41.887406,-71.434734
"Betula populifolia",44.345458,-75.266481
"Betula populifolia",40.711553,-74.493387
"Betula populifolia",40.890556,-73.891113
"Betula populifolia",41.915558,-70.566903
"Betula populifolia",38.514739,-78.435103
"Betula populifolia",40.618526,-74.599839
"Betula populifolia",42.472857,-72.262747
"Betula populifolia",42.432904,-71.197865
"Betula populifolia",42.817841,-73.88469
"Betula populifolia",44.243605,-72.523774
"Betula populifolia",39.747419,-75.150432
"Betula populifolia",42.198603,-71.221616
"Betula populifolia",41.685513,-74.331755
"Betula populifolia",41.389343,-81.698977
"Betula populifolia",40.637714,-74.483505
"Betula populifolia",41.855725,-70.532188
"Betula populifolia",40.294728,-74.2304
"Betula populifolia",41.937836,-71.456798
"Betula populifolia",40.851993,-75.753562
"Betula populifolia",44.666669,-72.783842
"Betula populifolia",43.616283,-71.608055
"Betula populifolia",42.216202,-72.554321
"Betula populifolia",40.888826,-73.361759
"Betula populifolia",39.76926,-74.691336
"Betula populifolia",41.37247,-75.68161
"Betula populifolia",41.1774,-73.6175
"Betula populifolia",41.5,-73.55
"Betula populifolia",40.292098,-74.05183
"Betula populifolia",41.933144,-74.913496
"Betula populifolia",40.677828,-73.647218
"Betula populifolia",40.856767,-73.875413
"Betula populifolia",43.491665,-72.389195
"Betula populifolia",44.248947,-72.847804
"Betula populifolia",43.730259,-72.93531
"Betula populifolia",39.845914,-74.899292
"Betula populifolia",44.440531,-69.020983
"Betula populifolia",42.334964,-73.677422
"Betula populifolia",44.339557,-68.252393
"Betula populifolia",43.476333,-70.395715
"Betula populifolia",42.570794,-71.541312
"Betula populifolia",40.19444,-74.039787
"Betula populifolia",44.141018,-72.660343
"Betula populifolia",44.351987,-68.222962
"Betula populifolia",42.371829,-72.228911
"Betula populifolia",42.456875,-71.125992
