"species","decimalLatitude","decimalLongitude"
"Carya illinoinensis",32.845246,-97.726764
"Carya illinoinensis",31.592612,-97.169605
"Carya illinoinensis",32.710704,-97.356804
"Carya illinoinensis",32.794433,-97.117387
"Carya illinoinensis",32.661418,-97.146891
"Carya illinoinensis",30.603581,-92.155715
"Carya illinoinensis",33.259766,-97.064189
"Carya illinoinensis",32.856666,-96.731868
"Carya illinoinensis",32.746642,-97.27057
"Carya illinoinensis",31.254006,-100.661972
"Carya illinoinensis",33.043542,-96.757188
"Carya illinoinensis",32.712044,-96.860006
"Carya illinoinensis",31.121847,-97.545792
"Carya illinoinensis",30.247655,-97.72473
"Carya illinoinensis",32.715695,-97.664422
"Carya illinoinensis",36.703631,-97.110436
"Carya illinoinensis",32.784208,-97.117183
"Carya illinoinensis",30.425884,-97.777022
"Carya illinoinensis",30.264428,-97.770094
"Carya illinoinensis",33.179446,-96.667496
"Carya illinoinensis",32.667033,-95.487732
"Carya illinoinensis",32.69185,-97.451253
"Carya illinoinensis",29.816298,-99.57679
"Carya illinoinensis",32.26586,-97.55722
"Carya illinoinensis",32.919614,-96.82076
"Carya illinoinensis",30.032183,-98.834862
"Carya illinoinensis",32.724902,-97.102333
"Carya illinoinensis",30.684983,-97.644099
"Carya illinoinensis",33.020283,-97.052353
"Carya illinoinensis",30.362091,-97.736035
"Carya illinoinensis",33.375339,-97.604061
"Carya illinoinensis",30.068103,-99.115953
"Carya illinoinensis",32.792949,-97.334554
"Carya illinoinensis",30.2534,-97.738372
"Carya illinoinensis",29.642687,-99.192292
"Carya illinoinensis",32.253402,-97.809604
"Carya illinoinensis",30.5197,-97.737586
"Carya illinoinensis",33.054335,-97.705112
"Carya illinoinensis",35.339054,-91.691404
"Carya illinoinensis",32.916675,-96.891061
"Carya illinoinensis",32.827084,-96.921912
"Carya illinoinensis",29.713603,-98.135888
"Carya illinoinensis",29.846618,-95.421641
"Carya illinoinensis",30.64735,-96.361628
"Carya illinoinensis",30.239416,-97.710371
"Carya illinoinensis",30.938024,-97.594102
"Carya illinoinensis",35.230617,-97.301262
"Carya illinoinensis",29.689456,-95.423361
"Carya illinoinensis",29.931772,-95.941304
"Carya illinoinensis",33.111447,-96.692795
"Carya illinoinensis",34.5566,-92.612228
"Carya illinoinensis",30.456252,-97.763964
"Carya illinoinensis",32.811861,-96.801145
"Carya illinoinensis",32.884303,-96.932755
"Carya illinoinensis",29.249561,-98.558045
"Carya illinoinensis",30.446047,-97.7452
"Carya illinoinensis",32.624752,-97.487297
"Carya illinoinensis",32.142729,-95.843771
"Carya illinoinensis",29.460073,-98.473301
"Carya illinoinensis",32.751833,-97.160947
"Carya illinoinensis",30.694444,-97.816347
"Carya illinoinensis",30.310062,-97.704278
"Carya illinoinensis",29.655304,-97.60067
"Carya illinoinensis",29.624021,-95.55668
"Carya illinoinensis",30.243292,-98.606247
"Carya illinoinensis",36.972778,-95.049167
"Carya illinoinensis",36.89894,-94.94629
"Carya illinoinensis",37.61889,-94.74111
"Carya illinoinensis",36.873767,-94.92765
"Carya illinoinensis",36.9226,-94.91515
"Carya illinoinensis",36.90042,-94.89644
"Carya illinoinensis",37.202459,-94.052533
"Carya illinoinensis",36.89963,-94.94892
"Carya illinoinensis",37.208938,-94.978038
"Carya illinoinensis",37.32018,-94.67812
"Carya illinoinensis",37.04519,-94.02331
"Carya illinoinensis",37.562694,-95.242425
"Carya illinoinensis",37.61954,-94.74139
"Carya illinoinensis",32.53464,-98.55787
"Carya illinoinensis",32.740346,-97.363602
"Carya illinoinensis",32.215017,-98.10245
"Carya illinoinensis",31.25725,-98.60069
"Carya illinoinensis",32.40659,-97.335376
"Carya illinoinensis",32.133705,-98.148644
"Carya illinoinensis",32.225635,-98.23928
"Carya illinoinensis",31.502997,-96.722411
"Carya illinoinensis",31.677138,-98.560786
"Carya illinoinensis",32.845698,-98.386951
"Carya illinoinensis",32.556311,-97.731808
"Carya illinoinensis",32.233788,-98.23294
"Carya illinoinensis",32.22387,-98.20012
"Carya illinoinensis",32.210457,-98.093927
"Carya illinoinensis",32.215722,-98.219883
"Carya illinoinensis",32.24815,-98.210033
"Carya illinoinensis",32.586766,-97.091113
"Carya illinoinensis",30.088537,-97.173273
"Carya illinoinensis",33.266701,-96.93345
"Carya illinoinensis",33.259103,-97.059875
"Carya illinoinensis",33.399587,-97.567
"Carya illinoinensis",32.534111,-98.561125
"Carya illinoinensis",32.747723,-97.459472
"Carya illinoinensis",36.155017,-97.077018
"Carya illinoinensis",36.119667,-97.057035
"Carya illinoinensis",29.370962,-95.631921
"Carya illinoinensis",30.133583,-95.495117
"Carya illinoinensis",35.63699,-97.361497
"Carya illinoinensis",30.26415,-97.773241
"Carya illinoinensis",32.587673,-97.095724
"Carya illinoinensis",30.341727,-97.889349
"Carya illinoinensis",29.87415,-95.48662
"Carya illinoinensis",32.71742,-97.125096
"Carya illinoinensis",30.291959,-97.711715
"Carya illinoinensis",33.383443,-97.022453
"Carya illinoinensis",32.787201,-96.978298
"Carya illinoinensis",29.964876,-95.621994
"Carya illinoinensis",29.756651,-95.575228
"Carya illinoinensis",29.628642,-95.6643
"Carya illinoinensis",30.3051,-97.649933
"Carya illinoinensis",30.268925,-97.804246
"Carya illinoinensis",30.265795,-97.758683
"Carya illinoinensis",30.428289,-97.709183
"Carya illinoinensis",32.527867,-94.959664
"Carya illinoinensis",30.659106,-96.381031
"Carya illinoinensis",33.325087,-97.665358
"Carya illinoinensis",33.078261,-96.720283
"Carya illinoinensis",32.588491,-97.098332
"Carya illinoinensis",29.422223,-98.42305
"Carya illinoinensis",32.815746,-97.251828
"Carya illinoinensis",32.58703,-97.102074
"Carya illinoinensis",35.336067,-90.063432
"Carya illinoinensis",32.784202,-97.117132
"Carya illinoinensis",32.454361,-97.008113
"Carya illinoinensis",33.228317,-97.129494
"Carya illinoinensis",30.386111,-95.675556
"Carya illinoinensis",33.213573,-97.136644
"Carya illinoinensis",30.509498,-97.679665
"Carya illinoinensis",29.332603,-98.453762
"Carya illinoinensis",30.405154,-97.696932
"Carya illinoinensis",32.863696,-96.870939
"Carya illinoinensis",32.621877,-96.979459
"Carya illinoinensis",32.7035,-97.397445
"Carya illinoinensis",32.271529,-96.601798
"Carya illinoinensis",32.877787,-97.172067
"Carya illinoinensis",37.613505,-89.243378
"Carya illinoinensis",33.983091,-96.629477
"Carya illinoinensis",33.214798,-97.155658
"Carya illinoinensis",31.548892,-97.120439
"Carya illinoinensis",30.177084,-97.800559
"Carya illinoinensis",33.261278,-97.065086
"Carya illinoinensis",29.755575,-95.574603
"Carya illinoinensis",33.074167,-97.120556
"Carya illinoinensis",37.52586,-88.081955
"Carya illinoinensis",30.684856,-97.647532
"Carya illinoinensis",35.827552,-90.727506
"Carya illinoinensis",31.938525,-98.727531
"Carya illinoinensis",31.895053,-97.706812
"Carya illinoinensis",30.42203,-90.426737
"Carya illinoinensis",29.892406,-89.945045
"Carya illinoinensis",30.542376,-97.83395
"Carya illinoinensis",38.368653,-91.247826
"Carya illinoinensis",32.852365,-96.863946
"Carya illinoinensis",32.812524,-96.751206
"Carya illinoinensis",32.781111,-97.126722
"Carya illinoinensis",29.660192,-95.113953
"Carya illinoinensis",30.489395,-97.760595
"Carya illinoinensis",32.750952,-97.399053
"Carya illinoinensis",33.261642,-97.053108
"Carya illinoinensis",32.784537,-97.03166
"Carya illinoinensis",32.703643,-96.705379
"Carya illinoinensis",32.687516,-97.376059
"Carya illinoinensis",29.56027,-94.389153
"Carya illinoinensis",29.53623,-98.729828
"Carya illinoinensis",32.840897,-97.50177
"Carya illinoinensis",32.826988,-96.733579
"Carya illinoinensis",33.047467,-96.848503
"Carya illinoinensis",28.823132,-97.855804
"Carya illinoinensis",29.169288,-95.63459
"Carya illinoinensis",32.387797,-97.23262
"Carya illinoinensis",30.621891,-97.747402
"Carya illinoinensis",33.034714,-96.745143
"Carya illinoinensis",30.098253,-95.607012
"Carya illinoinensis",30.263666,-97.766511
"Carya illinoinensis",29.886811,-97.947467
"Carya illinoinensis",32.587205,-97.101288
"Carya illinoinensis",29.879676,-97.950827
"Carya illinoinensis",30.508883,-97.6688
"Carya illinoinensis",30.513471,-97.755128
"Carya illinoinensis",32.877945,-96.745522
"Carya illinoinensis",29.375834,-95.583296
"Carya illinoinensis",33.258578,-96.652244
"Carya illinoinensis",31.554129,-97.118083
"Carya illinoinensis",32.897979,-97.092002
"Carya illinoinensis",29.462479,-98.469801
"Carya illinoinensis",29.426025,-98.486094
"Carya illinoinensis",29.550018,-98.231494
"Carya illinoinensis",33.229333,-97.129036
"Carya illinoinensis",30.214292,-97.780857
"Carya illinoinensis",35.305605,-93.145608
"Carya illinoinensis",31.554823,-97.356605
"Carya illinoinensis",29.770547,-95.63417
"Carya illinoinensis",36.02708,-95.910639
