"species","decimalLatitude","decimalLongitude"
"Castanea dentata",42.671318,-72.328035
"Castanea dentata",42.450428,-72.504143
"Castanea dentata",42.828283,-71.944222
"Castanea dentata",40.549537,-76.111968
"Castanea dentata",42.137576,-74.087445
"Castanea dentata",39.780842,-77.482047
"Castanea dentata",35.389599,-84.092371
"Castanea dentata",42.438028,-71.337295
"Castanea dentata",43.164742,-77.528267
"Castanea dentata",35.948565,-81.923599
"Castanea dentata",42.600687,-72.536946
"Castanea dentata",42.075971,-71.437327
"Castanea dentata",42.193361,-71.085045
"Castanea dentata",40.552723,-76.115662
"Castanea dentata",42.176041,-73.167743
"Castanea dentata",35.412108,-83.043817
"Castanea dentata",39.505532,-77.497462
"Castanea dentata",42.669526,-72.327335
"Castanea dentata",42.341271,-72.44318
"Castanea dentata",38.635483,-78.30583
"Castanea dentata",42.693282,-77.583159
"Castanea dentata",42.702586,-71.611104
"Castanea dentata",35.413987,-82.749031
"Castanea dentata",42.851133,-70.962486
"Castanea dentata",40.047482,-75.20065
"Castanea dentata",36.607036,-83.682297
"Castanea dentata",41.455035,-72.529711
"Castanea dentata",41.348705,-73.05201
"Castanea dentata",40.040208,-75.877261
"Castanea dentata",42.670535,-72.327711
"Castanea dentata",37.078197,-83.478757
"Castanea dentata",41.491314,-71.529281
"Castanea dentata",41.490486,-71.524589
"Castanea dentata",42.443117,-72.425761
"Castanea dentata",42.647945,-71.207108
"Castanea dentata",39.194169,-78.385164
"Castanea dentata",41.442958,-75.206803
"Castanea dentata",38.838236,-79.365762
"Castanea dentata",42.133819,-72.450628
"Castanea dentata",42.487624,-71.403318
"Castanea dentata",41.594282,-73.654744
"Castanea dentata",41.379164,-73.027442
"Castanea dentata",43.347405,-76.684237
"Castanea dentata",39.274563,-77.25266
"Castanea dentata",40.877693,-75.561443
"Castanea dentata",42.429598,-71.297726
"Castanea dentata",43.113889,-71.605278
"Castanea dentata",41.936415,-74.295734
"Castanea dentata",42.660495,-71.382347
"Castanea dentata",42.462588,-71.33062
"Castanea dentata",42.309805,-71.268953
"Castanea dentata",40.901786,-73.123999
"Castanea dentata",38.554353,-78.39785
"Castanea dentata",38.641226,-75.611038
"Castanea dentata",42.355197,-72.229435
"Castanea dentata",42.197407,-72.261511
"Castanea dentata",42.347093,-79.428175
"Castanea dentata",41.211145,-74.735253
"Castanea dentata",43.026737,-77.571825
"Castanea dentata",41.962992,-71.554648
"Castanea dentata",35.665527,-85.30658
"Castanea dentata",38.83855,-79.36393
"Castanea dentata",42.64895,-71.209297
"Castanea dentata",35.326142,-82.847778
"Castanea dentata",41.557323,-72.42308
"Castanea dentata",42.670591,-72.32768
"Castanea dentata",42.855474,-72.550054
"Castanea dentata",43.885931,-69.954292
"Castanea dentata",42.286114,-73.167735
"Castanea dentata",42.858897,-72.525188
"Castanea dentata",31.6149,-85.2111
"Castanea dentata",38.22017,-78.740495
"Castanea dentata",38.533994,-78.413682
"Castanea dentata",37.944808,-78.91785
"Castanea dentata",39.731069,-75.147347
"Castanea dentata",35.05515,-83.45678
"Castanea dentata",41.710628,-71.070678
"Castanea dentata",39.829527,-79.43941
"Castanea dentata",42.232487,-71.772688
"Castanea dentata",36.051692,-81.859694
"Castanea dentata",37.995791,-78.598345
"Castanea dentata",41.490981,-71.524869
"Castanea dentata",41.870198,-72.858343
"Castanea dentata",42.550175,-72.213863
"Castanea dentata",36.908629,-81.059795
"Castanea dentata",35.110772,-85.857153
"Castanea dentata",41.743652,-72.958973
"Castanea dentata",41.0803,-74.198867
"Castanea dentata",36.549036,-84.802989
"Castanea dentata",35.178036,-85.671418
"Castanea dentata",38.267151,-78.674988
"Castanea dentata",41.175897,-74.1482
"Castanea dentata",38.057101,-81.056409
"Castanea dentata",37.906346,-79.052515
"Castanea dentata",42.459487,-72.22437
"Castanea dentata",41.860638,-72.779347
"Castanea dentata",41.325429,-79.639431
"Castanea dentata",42.466988,-72.602788
"Castanea dentata",41.726712,-74.219269
"Castanea dentata",39.364808,-79.226608
"Castanea dentata",41.926514,-71.766151
"Castanea dentata",34.820787,-83.421128
"Castanea dentata",42.229358,-71.205672
"Castanea dentata",39.214661,-77.085036
"Castanea dentata",37.374162,-80.755317
"Castanea dentata",42.271335,-72.342366
"Castanea dentata",41.827203,-74.089583
"Castanea dentata",42.809019,-72.408064
"Castanea dentata",42.546953,-72.154083
"Castanea dentata",42.505246,-78.044029
"Castanea dentata",39.783567,-75.66215
"Castanea dentata",41.85826,-78.862537
"Castanea dentata",41.712608,-74.31118
"Castanea dentata",42.199005,-71.097244
"Castanea dentata",42.450337,-76.3639
"Castanea dentata",41.915765,-71.26028
"Castanea dentata",42.455139,-71.124378
"Castanea dentata",42.648509,-71.927591
"Castanea dentata",40.13584,-75.072875
"Castanea dentata",41.95233,-71.77153
"Castanea dentata",41.840406,-73.388097
"Castanea dentata",42.715381,-71.541502
"Castanea dentata",38.640642,-78.320503
"Castanea dentata",38.933662,-78.031105
"Castanea dentata",41.209225,-81.456538
"Castanea dentata",39.913475,-75.796836
"Castanea dentata",42.43462,-71.328033
"Castanea dentata",42.470287,-72.261527
"Castanea dentata",38.21861,-78.741825
"Castanea dentata",34.735288,-83.968888
"Castanea dentata",41.248549,-80.751234
"Castanea dentata",42.122281,-71.211175
"Castanea dentata",38.910805,-77.358453
"Castanea dentata",40.706475,-73.849627
"Castanea dentata",42.478599,-71.324225
"Castanea dentata",39.228748,-77.78483
"Castanea dentata",38.683533,-78.569275
"Castanea dentata",42.730188,-73.878341
"Castanea dentata",40.815771,-74.587707
"Castanea dentata",42.463752,-71.475528
"Castanea dentata",36.113164,-85.191271
"Castanea dentata",41.76264,-73.446539
"Castanea dentata",41.657523,-77.538071
"Castanea dentata",35.393363,-82.774637
"Castanea dentata",42.454102,-72.539173
"Castanea dentata",43.16464,-77.528348
"Castanea dentata",42.35749,-72.419664
"Castanea dentata",35.410867,-86.175803
"Castanea dentata",40.475932,-74.420017
"Castanea dentata",35.608567,-83.668174
"Castanea dentata",42.535227,-72.310318
"Castanea dentata",42.44484,-78.84941
"Castanea dentata",35.66412,-82.891992
"Castanea dentata",38.929367,-79.680458
"Castanea dentata",42.58047,-71.533555
"Castanea dentata",36.113333,-85.191115
"Castanea dentata",42.51453,-72.280337
"Castanea dentata",42.44733,-71.089378
"Castanea dentata",42.437079,-78.89299
"Castanea dentata",42.308475,-76.514892
"Castanea dentata",37.825891,-83.678142
"Castanea dentata",42.672129,-72.326093
"Castanea dentata",35.482795,-82.340498
"Castanea dentata",41.521758,-74.834892
"Castanea dentata",38.870487,-77.126664
"Castanea dentata",43.081774,-72.369523
"Castanea dentata",41.896281,-72.283264
"Castanea dentata",40.474601,-75.623742
"Castanea dentata",35.263067,-82.459938
"Castanea dentata",41.898809,-71.434658
"Castanea dentata",42.537495,-72.18656
"Castanea dentata",41.692911,-73.163817
"Castanea dentata",36.671846,-83.529512
"Castanea dentata",38.49024,-78.678613
"Castanea dentata",34.925247,-85.378442
"Castanea dentata",42.670522,-72.327886
"Castanea dentata",41.922638,-70.036011
"Castanea dentata",42.415316,-76.519951
"Castanea dentata",37.91912,-78.954238
"Castanea dentata",42.52274,-76.797813
"Castanea dentata",42.113879,-77.079387
"Castanea dentata",40.086228,-76.872383
"Castanea dentata",42.395117,-79.312283
"Castanea dentata",38.80803,-78.254913
"Castanea dentata",41.140228,-75.153778
"Castanea dentata",41.634352,-73.658956
"Castanea dentata",42.670155,-72.327181
"Castanea dentata",41.455106,-72.941779
"Castanea dentata",41.846449,-78.981984
"Castanea dentata",35.579513,-83.395802
"Castanea dentata",41.397314,-72.487845
"Castanea dentata",42.442055,-78.850503
"Castanea dentata",42.684443,-72.382334
"Castanea dentata",42.217226,-71.113694
"Castanea dentata",37.020211,-81.430406
"Castanea dentata",39.641608,-76.7537
"Castanea dentata",35.358017,-83.924933
"Castanea dentata",42.365969,-71.264631
"Castanea dentata",42.679151,-72.269439
"Castanea dentata",35.578688,-83.609688
"Castanea dentata",42.85783,-72.524162
"Castanea dentata",41.324528,-74.662575
"Castanea dentata",42.478123,-71.791029
"Castanea dentata",44.454502,-72.992307
"Castanea dentata",38.218349,-78.741093
"Castanea dentata",41.940594,-72.802101
"Castanea dentata",43.629783,-72.523134
"Castanea dentata",38.395984,-78.703154
"Castanea dentata",42.113505,-77.079164
"Castanea dentata",37.946187,-79.8003
"Castanea dentata",42.465775,-71.547828
"Castanea dentata",42.378752,-71.723068
"Castanea dentata",42.355825,-72.255943
"Castanea dentata",37.43341,-79.605032
"Castanea dentata",40.842147,-73.527922
"Castanea dentata",41.727955,-72.993493
"Castanea dentata",39.552284,-79.46589
"Castanea dentata",37.979401,-78.993019
"Castanea dentata",35.495894,-82.597486
"Castanea dentata",41.900333,-72.828553
"Castanea dentata",39.659005,-77.488105
"Castanea dentata",42.532548,-72.305682
"Castanea dentata",41.9069,-71.562094
"Castanea dentata",42.677709,-72.328913
"Castanea dentata",41.594157,-73.654456
"Castanea dentata",42.829555,-74.048758
"Castanea dentata",42.473604,-72.33558
"Castanea dentata",42.668982,-72.326778
"Castanea dentata",42.306278,-72.225144
"Castanea dentata",44.447767,-73.002114
"Castanea dentata",40.736138,-76.443735
"Castanea dentata",39.784157,-79.176616
"Castanea dentata",41.011668,-74.570777
"Castanea dentata",42.44217,-71.334405
"Castanea dentata",42.448338,-72.186097
"Castanea dentata",42.455086,-71.12445
"Castanea dentata",35.580272,-83.10575
"Castanea dentata",38.947313,-77.043841
"Castanea dentata",42.557957,-75.151363
"Castanea dentata",41.345493,-79.53367
"Castanea dentata",42.958642,-73.768387
"Castanea dentata",33.459188,-85.982533
"Castanea dentata",42.661043,-71.791405
"Castanea dentata",38.222328,-78.734987
"Castanea dentata",38.83943,-79.364388
"Castanea dentata",42.961673,-72.003872
"Castanea dentata",38.551253,-78.316125
"Castanea dentata",38.909336,-76.96471
"Castanea dentata",38.763074,-78.231384
"Castanea dentata",42.632425,-77.990367
"Castanea dentata",35.066641,-88.726127
"Castanea dentata",36.550956,-84.794245
"Castanea dentata",40.136764,-75.076872
"Castanea dentata",40.962993,-74.456736
"Castanea dentata",41.123688,-78.611549
"Castanea dentata",35.022929,-83.509628
"Castanea dentata",38.91921,-77.121499
"Castanea dentata",42.34769,-79.42855
"Castanea dentata",42.0552,-78.92809
"Castanea dentata",41.346457,-78.850527
"Castanea dentata",40.74773,-73.742225
"Castanea dentata",41.554206,-81.417807
"Castanea dentata",38.936213,-77.050583
"Castanea dentata",40.787462,-74.776467
"Castanea dentata",42.30302,-71.280536
"Castanea dentata",41.85865,-78.857925
"Castanea dentata",42.670085,-72.32688
"Castanea dentata",40.778992,-73.434805
"Castanea dentata",41.297517,-74.675903
"Castanea dentata",35.240647,-84.263017
"Castanea dentata",39.712528,-78.645508
"Castanea dentata",41.428988,-72.901154
"Castanea dentata",42.648005,-71.206712
"Castanea dentata",42.364989,-71.258663
"Castanea dentata",42.296802,-71.142347
"Castanea dentata",39.664889,-78.970779
"Castanea dentata",38.602833,-78.368003
"Castanea dentata",35.445885,-85.566248
"Castanea dentata",42.671491,-72.327913
"Castanea dentata",41.351601,-72.137352
"Castanea dentata",38.63068,-78.299897
"Castanea dentata",38.220358,-78.737958
"Castanea dentata",42.499434,-72.326898
"Castanea dentata",41.136612,-77.936315
"Castanea dentata",41.826582,-72.419118
"Castanea dentata",35.368503,-82.836913
"Castanea dentata",38.622033,-78.322188
"Castanea dentata",42.537342,-72.183825
"Castanea dentata",42.36625,-71.264245
"Castanea dentata",41.278755,-82.075705
"Castanea dentata",42.530071,-72.185645
"Castanea dentata",38.615519,-78.353811
"Castanea dentata",35.631223,-82.28688
"Castanea dentata",42.286261,-71.312336
"Castanea dentata",35.252243,-83.810193
"Castanea dentata",35.923492,-81.913895
"Castanea dentata",42.582113,-72.52225
"Castanea dentata",43.030868,-76.13781
"Castanea dentata",40.894853,-72.803513
"Castanea dentata",40.639514,-75.992553
"Castanea dentata",39.611255,-77.99822
"Castanea dentata",42.325491,-71.604788
"Castanea dentata",42.511438,-71.356524
"Castanea dentata",41.613773,-79.655884
"Castanea dentata",42.4008,-79.26875
"Castanea dentata",40.7916,-75.599206
"Castanea dentata",42.537898,-72.184138
"Castanea dentata",42.440303,-71.121689
"Castanea dentata",40.877225,-73.499528
"Castanea dentata",40.912682,-78.060767
"Castanea dentata",35.079019,-83.142075
"Castanea dentata",36.453506,-84.030433
"Castanea dentata",36.295945,-82.124719
"Castanea dentata",42.345305,-72.276347
"Castanea dentata",42.187474,-71.089552
"Castanea dentata",39.497829,-79.302368
"Castanea dentata",41.173512,-75.056248
"Castanea dentata",37.428245,-80.283753
"Castanea dentata",42.571354,-71.324776
"Castanea dentata",36.08865,-81.822083
"Castanea dentata",35.101422,-82.944092
"Castanea dentata",42.076773,-72.888733
"Castanea dentata",42.615339,-72.498751
"Castanea dentata",42.42573,-76.40625
"Castanea dentata",41.64457,-71.563263
"Castanea dentata",42.296544,-72.768044
"Castanea dentata",43.350217,-78.662583
"Castanea dentata",42.44258,-78.88534
"Castanea dentata",42.089476,-79.391972
"Castanea dentata",36.113221,-85.191022
"Castanea dentata",35.513849,-83.186341
"Castanea dentata",38.52,-78.448333
"Castanea dentata",42.266822,-72.339628
"Castanea dentata",35.405556,-82.757222
"Castanea dentata",40.754716,-77.766235
"Castanea dentata",44.856414,-69.651172
"Castanea dentata",42.671093,-72.327232
"Castanea dentata",35.625,-81.596107
"Castanea dentata",42.45075,-76.364737
"Castanea dentata",42.204106,-72.779489
"Castanea dentata",38.861914,-77.117829
"Castanea dentata",42.487088,-72.278833
"Castanea dentata",36.113132,-85.191196
"Castanea dentata",42.566507,-70.991468
"Castanea dentata",41.405548,-71.667437
"Castanea dentata",41.795461,-72.902503
"Castanea dentata",40.129265,-77.092143
"Castanea dentata",41.920608,-71.762222
"Castanea dentata",41.848082,-71.53675
"Castanea dentata",41.671089,-75.272625
"Castanea dentata",42.671765,-72.328185
"Castanea dentata",35.667856,-83.569334
"Castanea dentata",41.388888,-81.690025
"Castanea dentata",42.518288,-72.280983
"Castanea dentata",41.480066,-72.055414
"Castanea dentata",40.848003,-73.486153
"Castanea dentata",42.081072,-76.919416
"Castanea dentata",35.045833,-83.186311
"Castanea dentata",40.63368,-75.979893
"Castanea dentata",42.330272,-71.472094
"Castanea dentata",37.915955,-79.810707
"Castanea dentata",42.791621,-71.622094
"Castanea dentata",42.532482,-72.30568
"Castanea dentata",41.181283,-76.999337
"Castanea dentata",41.832683,-74.08763
"Castanea dentata",40.827687,-73.538155
"Castanea dentata",37.869938,-79.15708
"Castanea dentata",43.275978,-73.706766
"Castanea dentata",40.907402,-73.089832
"Castanea dentata",34.871559,-83.81089
"Castanea dentata",40.758911,-73.464188
"Castanea dentata",41.838582,-71.535484
"Castanea dentata",42.307392,-76.50222
"Castanea dentata",43.849487,-72.217817
"Castanea dentata",36.551889,-84.79938
"Castanea dentata",38.818384,-78.176022
"Castanea dentata",37.075956,-82.771967
"Castanea dentata",42.240984,-72.334885
"Castanea dentata",35.69528,-83.638497
"Castanea dentata",42.499175,-72.327613
"Castanea dentata",42.702148,-78.751955
"Castanea dentata",42.671499,-72.328112
"Castanea dentata",42.209806,-72.30707
"Castanea dentata",38.705783,-78.332025
"Castanea dentata",40.306238,-77.0067
"Castanea dentata",41.928453,-80.656442
"Castanea dentata",36.098692,-81.800312
"Castanea dentata",42.199052,-71.097588
"Castanea dentata",42.009175,-78.9338
"Castanea dentata",38.405535,-78.49024
"Castanea dentata",41.763679,-74.138913
"Castanea dentata",42.605213,-72.165183
"Castanea dentata",42.530237,-71.474517
"Castanea dentata",38.945401,-77.046478
"Castanea dentata",40.923017,-74.760863
"Castanea dentata",41.27772,-72.475324
"Castanea dentata",41.473098,-71.528491
"Castanea dentata",42.994112,-71.263775
"Castanea dentata",38.872177,-77.143445
"Castanea dentata",38.437036,-78.478428
"Castanea dentata",40.96585,-76.680344
"Castanea dentata",42.616417,-71.731758
"Castanea dentata",40.549155,-76.110143
"Castanea dentata",40.91993,-74.765145
"Castanea dentata",39.65005,-79.82055
"Castanea dentata",42.113958,-77.079317
"Castanea dentata",41.383636,-71.925217
"Castanea dentata",37.914663,-78.955108
"Castanea dentata",40.4902,-75.213647
"Castanea dentata",34.904392,-83.384955
"Castanea dentata",42.4714,-72.262147
"Castanea dentata",40.829425,-73.539138
"Castanea dentata",38.421257,-78.749951
"Castanea dentata",39.514654,-75.140606
"Castanea dentata",42.926095,-71.699334
"Castanea dentata",42.615176,-72.498793
"Castanea dentata",42.695038,-76.399462
"Castanea dentata",41.724292,-74.237822
"Castanea dentata",40.806525,-74.615472
"Castanea dentata",36.192478,-81.805288
"Castanea dentata",40.905728,-73.366792
"Castanea dentata",41.123931,-81.358163
"Castanea dentata",43.235888,-73.711821
"Castanea dentata",42.514776,-77.692548
"Castanea dentata",41.518795,-74.464972
"Castanea dentata",39.497475,-79.454522
"Castanea dentata",38.055906,-81.062247
"Castanea dentata",34.394847,-85.625044
"Castanea dentata",35.625269,-82.491216
"Castanea dentata",43.629922,-72.52378
"Castanea dentata",42.625095,-71.151208
"Castanea dentata",41.438116,-71.769426
"Castanea dentata",42.5227,-71.418329
"Castanea dentata",39.544626,-79.087742
"Castanea dentata",38.553349,-78.393988
"Castanea dentata",40.68337,-77.968147
"Castanea dentata",40.815437,-74.5951
"Castanea dentata",41.244425,-75.0983
"Castanea dentata",36.908883,-81.056794
"Castanea dentata",42.469333,-72.319581
"Castanea dentata",43.237778,-77.568611
"Castanea dentata",41.46955,-74.358197
"Castanea dentata",42.4047,-71.304047
"Castanea dentata",43.204329,-71.563949
"Castanea dentata",36.078128,-82.577805
"Castanea dentata",41.80386,-73.487587
"Castanea dentata",42.546205,-72.153887
"Castanea dentata",41.813256,-72.443725
"Castanea dentata",42.363186,-71.726173
"Castanea dentata",42.539863,-72.284372
"Castanea dentata",42.705028,-73.150873
"Castanea dentata",37.348205,-80.111336
"Castanea dentata",40.049462,-75.199518
"Castanea dentata",40.874097,-77.963587
"Castanea dentata",42.216557,-71.114601
"Castanea dentata",42.290353,-73.188098
"Castanea dentata",42.85647,-72.546897
"Castanea dentata",41.848087,-71.537012
"Castanea dentata",42.081867,-71.273537
"Castanea dentata",42.419347,-71.322192
