"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Celtis laevigata",29.740408,-95.712624,7.502,12.466,52.74,34.794,1.5918,0.286,"Other",27.00190735
"Celtis laevigata",32.734351,-97.305167,8.2,37.55,32,30.45,1.3475,0.1,"Clay Loam",167.7656403
"Celtis laevigata",32.965538,-96.656535,8.2,44,7.45,48.55,1.3585,1,"Silty Clay",155.1234589
"Celtis laevigata",31.743917,-97.557102,8.2,29.05,30.95,40,1.4365,0.77,"Clay Loam",201.1466064
"Celtis laevigata",26.500899,-81.130809,6.25105882352941,4.51529411764706,91.1435294117647,4.34117647058823,1.63014117647059,1,"Loamy Sand",8.273718834
"Celtis laevigata",32.614006,-93.733471,7.1965,36.58375,7.21175,56.2045,1.426975,0.14775,"Silty Clay",51.95039368
"Celtis laevigata",34.364072,-92.807487,4.87,31.0075,39.338,29.6545,1.417,0,"Clay Loam",96.75382996
"Celtis laevigata",33.046931,-96.852169,8.2,50,22,28,1.2806,0.768,"Clay",174.9133759
"Celtis laevigata",31.134195,-97.385253,7.9,50,22,28,1.3568,1,"Clay",193.7168579
"Celtis laevigata",29.766261,-95.453836,4.865,38.983,47.12,13.897,1.4878,0.164,"Sandy Clay",11.42930794
"Celtis laevigata",30.285641,-97.78223,7.9,14.08,63.22,22.7,1.45,1,"Sandy Loam",139.0793457
"Celtis laevigata",32.971807,-96.549653,7.9,70,9,21,1.3615,1,"Clay",141.6142578
"Celtis laevigata",30.504023,-97.783055,8.2,30.8,18.02,51.18,1.401,0.5,"Silty Clay Loam",247.3928986
"Celtis laevigata",30.205132,-97.777145,8.2,42.5905511811024,13.8614173228346,43.548031496063,1.4,0.283464566929134,"Silty Clay",197.7061005
"Celtis laevigata",34.634513,-92.889272,5.07709251101322,36.0396475770925,18.542731277533,45.4176211453744,1.42872246696035,0.822314049586777,"Silty Clay",158.7908783
"Celtis laevigata",28.626845,-96.101783,7.8,50,22.1,27.9,1.2,8,"Clay",1.046737313
"Celtis laevigata",29.353964,-98.874255,8.2,18,43,39,1.4293,1,"Loam",221.7806244
"Celtis laevigata",26.127215,-97.95844,8.2,37.62,30.128,32.252,1.3424,2,"Clay Loam",21.32255745
"Celtis laevigata",32.792835,-97.412946,8.2,41.36,12.2,46.44,1.36,0.1,"Silty Clay",167.4208221
"Celtis laevigata",32.706347,-96.873542,8.088,41.36,12.76,45.88,1.4328,0.512,"Silty Clay",164.3484039
"Celtis laevigata",30.743153,-98.36808,6.091,25.875,56.805,17.32,1.4781,0.4,"Sandy Loam",273.5926819
"Celtis laevigata",36.064747,-97.230637,7.42240802675585,28.5896321070234,23.6782608695652,47.7321070234114,1.49899665551839,0.261204013377926,"Clay Loam",322.2362061
"Celtis laevigata",29.453812,-98.560873,7.9,54,20,26,1.3544,1,"Clay",231.8914032
"Celtis laevigata",35.979135,-79.00085,5.56,24.675,50.75,24.575,1.4175,0,"Other",80.44454956
"Celtis laevigata",33.123075,-96.861372,8.2,50,22,28,1.2775,0.768,"Clay",170.3952332
"Celtis laevigata",32.559597,-96.989342,8.2,34.9765625,31.35625,33.6671875,1.36796875,0.765625,"Clay Loam",226.4253693
"Celtis laevigata",33.140751,-96.770849,7.9,54,20,26,1.264,1,"Clay",225.3950653
"Celtis laevigata",33.063925,-96.960469,8.2,47.5,23.3,29.2,1.45,1,"Clay",140.7335358
"Celtis laevigata",29.54675,-98.69278,8.2,24.65,39.02,36.33,1.47,0,"Loam",293.9519348
"Celtis laevigata",32.89445,-97.351132,8.038,50,22,28,1.238,1,"Clay",206.5723267
"Celtis laevigata",33.155237,-96.727525,8.2,45,7,48,1.39378378378378,0.727,"Silty Clay",203.8293915
"Celtis laevigata",34.896724,-86.565756,5.3,47.31,17.62,35.07,1.4289,0.1,"Clay",239.2734222
"Celtis laevigata",33.197802,-96.863046,8.2,50,22,28,1.2775,0.768,"Clay",186.530365
"Celtis laevigata",37.40943,-78.944959,5.62727272727273,35.7386363636364,24.3818181818182,39.8795454545455,1.44602272727273,0,"Clay Loam",224.6221619
"Celtis laevigata",33.057572,-96.670638,7.9,54,20,26,1.264,1,"Clay",167.2695923
"Celtis laevigata",32.393938,-96.867555,8.2,44,7.45,48.55,1.3585,1,"Silty Clay",165.3511353
"Celtis laevigata",32.765642,-96.839397,8.088,41.36,12.76,45.88,1.4328,0.512,"Silty Clay",133.026947
"Celtis laevigata",32.49728,-96.961275,8.2,30,33.5,36.5,1.4,0,"Clay Loam",238.2572021
"Celtis laevigata",29.708575,-95.484856,7.14,44.075,25.417,30.508,1.3398,0,"Clay",17.68896294
"Celtis laevigata",30.001999,-82.767089,5.175,1.877,94.3295,3.7935,1.528425,0.1,"Loamy Sand",13.59024334
"Celtis laevigata",33.738022,-96.752781,7.412,70,8.9,21.1,1.5032,1,"Clay",191.555954
"Celtis laevigata",32.857091,-96.685779,8.2,30.9285714285714,35,34.0714285714286,1.42,0.5,"Clay Loam",171.9652252
"Celtis laevigata",30.461818,-91.077485,4.852,23.395,8.525,68.08,1.5,0,"Silt Loam",15.33747959
"Celtis laevigata",32.703962,-96.85093,8.2,33.6609195402299,32.7505747126437,33.5885057471264,1.3764367816092,0.563218390804598,"Clay Loam",168.8247681
"Celtis laevigata",32.539818,-99.711862,7.375,34.5,52.25,13.25,1.5375,0.425,"Sandy Clay Loam",501.7407532
"Celtis laevigata",32.525678,-96.887089,8.2,45,7,48,1.39378378378378,0.727,"Silty Clay",185.5442657
"Celtis laevigata",30.460657,-97.613346,7.9,50,22,28,1.3568,1,"Clay",214.9663086
"Celtis laevigata",32.810268,-97.494211,8.2,41.36,12.2,46.44,1.36,0.1,"Silty Clay",182.5260315
"Celtis laevigata",29.575047,-94.391091,5.8,36.635,24.407,38.958,1.3582,1,"Clay Loam",2.395030975
"Celtis laevigata",33.385205,-94.221001,4.8,30.95,10.946,58.104,1.42935,7.075,"Silty Clay Loam",94.88818359
"Celtis laevigata",32.93898,-96.541363,7.669,48.775,22.688,28.537,1.3637,1.87,"Clay",145.3283081
"Celtis laevigata",33.198791,-96.662322,8.2,39,30.3,30.7,1.35,0,"Clay Loam",171.5948029
"Celtis laevigata",35.898823,-79.069597,5.45,34.175,37.863,27.962,1.3824,0,"Clay Loam",104.2195206
"Celtis laevigata",33.020927,-96.872163,7.8,51.14,15.24,33.62,1.3138,1.69,"Clay",163.9728546
"Celtis laevigata",29.257663,-95.739213,7.327,42.149,25.7055,32.1455,1.3901,1.187,"Clay",17.22039986
"Celtis laevigata",32.641105,-97.225083,6.283,12.925,75.009,12.066,1.531,1,"Sandy Loam",182.83992
"Celtis laevigata",32.906996,-97.285893,8.038,50,22,28,1.238,1,"Clay",209.2764587
"Celtis laevigata",32.761754,-97.129846,6.1,22.25,60.15,17.6,1.5125,1,"Sandy Loam",170.8695679
"Celtis laevigata",32.749265,-97.274562,8.2,27.5,34.7,37.8,1.35,1,"Clay Loam",183.1615295
"Celtis laevigata",30.245262,-97.738747,7.9,30,32.3260869565217,37.6739130434783,1.42021739130435,1,"Clay Loam",150.0968018
"Celtis laevigata",33.14473,-98.97937,7.8715,50.3255,14.853,34.8215,1.5925,3.274,"Clay",367.141449
"Celtis laevigata",31.992708,-96.060024,7.9,70,9,21,1.3615,1,"Clay",78.56015015
"Celtis laevigata",30.63175,-96.380597,6.449,24.71,60.05,15.24,1.531,1,"Sandy Loam",100.2153015
"Celtis laevigata",29.932269,-95.076505,4.693,56.35,5.667,37.983,1.3645,1,"Clay",14.47172356
"Celtis laevigata",30.40655,-97.698004,8.2,45,7,48,1.39378378378378,0.727,"Silty Clay",201.898941
"Celtis laevigata",30.05742,-91.610755,7.10333333333333,52.28,11.4744186046512,46.2162790697674,1.13833333333333,0.333333333333333,"Silty Clay",1.089366674
"Celtis laevigata",29.637957,-95.495917,7.327,42.149,25.7055,32.1455,1.3901,1.187,"Clay",19.47492599
"Celtis laevigata",33.21022,-96.874526,8.2,50,22,28,1.2806,0.768,"Clay",175.9455109
"Celtis laevigata",33.063848,-96.979769,7.876,42.36,32.557,25.083,1.35,0,"Clay",141.8045502
"Celtis laevigata",33.120361,-96.852404,8.2,51.25,20.15,28.6,1.4395,1,"Clay",180.3417664
"Celtis laevigata",29.720641,-95.436657,7.14,44.075,25.417,30.508,1.3398,0,"Clay",15.8810482
"Celtis laevigata",29.954041,-94.029347,7.23,37.135,18.97,43.895,1.4425,1,"Silty Clay",3.983017206
"Celtis laevigata",30.694796,-97.819271,8.2,30,17.4,52.6,1.454,0,"Silty Clay Loam",247.1561279
"Celtis laevigata",32.350433,-97.396935,6.935,40.68,28.893,30.427,1.5261,1,"Clay",242.4442749
"Celtis laevigata",30.815783,-96.425383,6.76,38.85,32.16,28.99,1.4304,1,"Clay Loam",113.796875
"Celtis laevigata",29.271428,-98.68672,7.34,33.56,56.08,10.36,1.522,1.18,"Sandy Clay Loam",188.0153198
"Celtis laevigata",30.116142,-97.340014,7.377,23.04,53.394,23.566,1.4328,0,"Sandy Loam",111.696106
"Celtis laevigata",33.062717,-96.990329,5.09651162790698,38.6046511627907,38.7674418604651,22.6279069767442,1.34197674418605,1,"Clay Loam",154.4449615
"Celtis laevigata",32.670107,-97.431057,8.2,41.36,12.2,46.44,1.36,0.1,"Silty Clay",190.6175232
"Celtis laevigata",33.215764,-96.261962,7.08,40.35,28.982,30.668,1.5353,1.9,"Clay",206.7265167
"Celtis laevigata",32.968526,-96.892882,7.9,70,9,21,1.3615,1,"Clay",142.2668152
"Celtis laevigata",29.392477,-98.496423,8.2,29.44,34.13,36.43,1.464,0,"Clay Loam",181.6020813
"Celtis laevigata",29.903087,-97.967963,8.2,45.0879120879121,8.41758241758242,46.4945054945055,1.35032967032967,1,"Silty Clay",217.7849426
"Celtis laevigata",35.692796,-78.76545,5.34,35.03,44.08,20.89,1.5207,0,"Clay Loam",134.9433441
"Celtis laevigata",25.66593,-80.2797,7.63809523809524,11.7559523809524,35.7023809523809,52.5416666666667,1.3847619047619,3.58333333333333,"Silt Loam",2.421339035
"Celtis laevigata",29.961217,-95.769398,5.388,16.412,62.56,21.028,1.6052,0.554,"Sandy Loam",46.68221664
"Celtis laevigata",32.87628,-97.166436,7.075,12.875,70.6,16.525,1.4075,0,"Sandy Loam",178.9599609
"Celtis laevigata",32.905288,-97.460762,8.2,30,33.5,36.5,1.462,0,"Clay Loam",226.7164917
"Celtis laevigata",30.898059,-91.34221,5.424,22.545,1.855,75.6,1.4432,0.3,"Silt Loam",77.47875977
"Celtis laevigata",26.266852,-97.562684,7.9315,26.7525,50.6005,22.647,1.53,9.205,"Other",7.824679852
"Celtis laevigata",29.566249,-95.124177,7.558,53.521,11.015,35.464,1.2445,0.895,"Clay",6.965788364
"Celtis laevigata",26.216792,-97.676012,8.2,40.37,29.078,30.552,1.3428,2,"Clay",11.51180172
"Celtis laevigata",32.593409,-97.45313,8.03939393939394,30,35.1666666666667,34.8333333333333,1.39204545454545,0.693181818181818,"Clay Loam",217.1786957
"Celtis laevigata",33.096047,-96.791428,7.9,54,20,26,1.264,1,"Clay",210.974411
"Celtis laevigata",30.335534,-97.710489,8.2,42.5905511811024,13.8614173228346,43.548031496063,1.4,0.283464566929134,"Silty Clay",221.9997253
"Celtis laevigata",32.66445,-97.444708,8.2,41.36,12.2,46.44,1.36,0.1,"Silty Clay",192.691864
"Celtis laevigata",32.680462,-96.793823,8.088,41.36,12.76,45.88,1.4328,0.512,"Silty Clay",135.1457062
"Celtis laevigata",32.863723,-97.0714,7,26.625,35.64,37.735,1.3725,1,"Loam",154.3924255
"Celtis laevigata",36.885311,-95.976511,6.507,39.941,11.3985,48.6605,1.478875,1.97,"Silty Clay",214.7219849
"Celtis laevigata",37.37436,-94.78231,6.955,35,8.85,56.15,1.476,1.85,"Silty Clay",286.7674866
"Celtis laevigata",37.429725,-94.973442,6.3884,40.614,10.2982,49.0878,1.38688,1.936,"Silty Clay",279.3739319
"Celtis laevigata",37.6468,-94.8116,5.78525,30.7525,7.45675,61.79075,1.43525,0,"Silty Clay Loam",274.230072
"Celtis laevigata",36.92517,-94.91378,6.1426,26.356,17.7328,55.9112,1.47584,0.8,"Silt Loam",236.0322266
"Celtis laevigata",37.41127,-94.76104,6.955,35,8.85,56.15,1.476,1.85,"Silty Clay",276.1444702
"Celtis laevigata",36.922517,-94.915317,6.1426,26.356,17.7328,55.9112,1.47584,0.8,"Silt Loam",233.0491943
"Celtis laevigata",37.206202,-95.049355,6.955,35,8.85,56.15,1.476,1.85,"Silty Clay",257.4226685
"Celtis laevigata",36.92066,-94.91496,6.13984375,36.328125,19.1177083333333,44.5541666666667,1.42638020833333,2.01041666666667,"Silty Clay",238.5256348
"Celtis laevigata",37.253163,-94.932885,5.604,36.115,7.09,56.795,1.38325,1.35,"Silty Clay",272.8799744
"Celtis laevigata",37.257626,-94.973023,5.604,36.115,7.09,56.795,1.38325,1.35,"Silty Clay",268.2359924
"Celtis laevigata",37.265905,-94.920292,5.604,36.115,7.09,56.795,1.38325,1.35,"Silty Clay",267.8407898
"Celtis laevigata",37.236644,-94.978273,6.955,35,8.85,56.15,1.476,1.85,"Silty Clay",267.0324097
"Celtis laevigata",37.35553,-95.62799,6.21836734693878,33.469387755102,25.2426303854875,41.2879818594104,1.43598712446352,0.869614512471655,"Clay Loam",278.8355103
"Celtis laevigata",37.562694,-95.242425,6.3884,40.614,10.2982,49.0878,1.38688,1.936,"Silty Clay",271.5576782
"Celtis laevigata",37.333333,-95.083333,6.4095,34.8075,9.21,55.9825,1.446975,1,"Silty Clay Loam",254.8522491
"Celtis laevigata",37.42944,-94.79305,6.36853146853147,39.027972027972,15.1153846153846,45.8566433566434,1.41912587412587,1.67832167832168,"Silty Clay",294.4881592
"Celtis laevigata",37.61954,-94.74139,6.77485380116959,44.6695906432749,6.07309941520468,49.2573099415205,1.28304093567251,1,"Silty Clay",280.9204102
"Celtis laevigata",37.6194,-94.73807,6.48951310861423,40.7640449438202,7.46441947565543,51.7715355805243,1.31715355805243,1,"Silty Clay",283.6055908
"Celtis laevigata",37.3344,-95.7766,6.60797413793103,39.4073275862069,8.52370689655172,52.0689655172414,1.40952586206897,1.17241379310345,"Silty Clay",252.6913147
"Celtis laevigata",32.22387,-98.20012,6.925,23.375,59.25,17.375,1.425,1,"Sandy Loam",380.3395386
"Celtis laevigata",31.969722,-98.476944,7.5,47.5,23.3,29.2,1.45,1,"Clay",345.1640625
"Celtis laevigata",32.2301,-98.105751,6.25866666666667,3.99333333333333,91.72,4.28666666666667,1.58973333333333,0.11,"Loamy Sand",389.6927795
"Celtis laevigata",31.426633,-98.855667,8.2,24.52,9.828,65.652,1.5192,0,"Silt Loam",366.5284119
"Celtis laevigata",32.829197,-97.62274,7.825,27.92,18.93,53.15,1.4168,1,"Silty Clay Loam",263.793396
"Celtis laevigata",32.612595,-96.50225,8.2,37.215,8.466,54.319,1.3213,0,"Silty Clay",107.0959625
"Celtis laevigata",29.584652,-95.004769,6.479,28.216,39.296,32.488,1.4326,0.504,"Clay Loam",2.588985682
