"species","decimalLatitude","decimalLongitude"
"Cornus florida",36.018364,-78.880988
"Cornus florida",36.062563,-86.753704
"Cornus florida",34.095189,-84.484283
"Cornus florida",32.085028,-82.128822
"Cornus florida",39.322922,-86.348955
"Cornus florida",38.871583,-77.342933
"Cornus florida",31.631162,-95.600196
"Cornus florida",39.167812,-86.542946
"Cornus florida",35.961166,-83.701731
"Cornus florida",34.375029,-93.878383
"Cornus florida",38.589846,-92.232682
"Cornus florida",38.1142,-78.534775
"Cornus florida",40.621455,-79.152535
"Cornus florida",35.306701,-94.420702
"Cornus florida",39.111858,-76.86367
"Cornus florida",36.195074,-84.071397
"Cornus florida",35.283253,-82.7275
"Cornus florida",40.886897,-74.007069
"Cornus florida",38.939422,-76.508888
"Cornus florida",32.945213,-94.466203
"Cornus florida",35.605787,-82.559167
"Cornus florida",38.802608,-76.695708
"Cornus florida",37.7115,-89.222401
"Cornus florida",39.309001,-77.086316
"Cornus florida",39.564501,-75.730213
"Cornus florida",38.998197,-77.248616
"Cornus florida",36.708672,-81.620458
"Cornus florida",32.69777,-85.898833
"Cornus florida",32.493529,-85.605146
"Cornus florida",35.862088,-80.347091
"Cornus florida",35.987997,-80.358582
"Cornus florida",35.983692,-78.840012
"Cornus florida",35.167554,-79.376316
"Cornus florida",43.027803,-77.573895
"Cornus florida",35.401471,-93.114341
"Cornus florida",37.729461,-85.869777
"Cornus florida",40.653534,-73.958328
"Cornus florida",38.893677,-76.778644
"Cornus florida",30.588047,-84.591058
"Cornus florida",36.179695,-86.210015
"Cornus florida",35.118331,-81.548705
"Cornus florida",38.86339,-77.120117
"Cornus florida",39.812602,-76.317052
"Cornus florida",35.821138,-81.174664
"Cornus florida",38.589338,-90.718155
"Cornus florida",34.517933,-96.628574
"Cornus florida",39.146233,-76.985337
"Cornus florida",42.528677,-85.338557
"Cornus florida",35.43962,-79.621943
"Cornus florida",38.576551,-90.420936
"Cornus florida",36.497713,-87.090346
"Cornus florida",31.98056,-81.164868
"Cornus florida",38.815446,-77.674025
"Cornus florida",42.048178,-76.739222
"Cornus florida",39.675146,-75.810116
"Cornus florida",40.071033,-75.124833
"Cornus florida",34.741886,-83.393463
"Cornus florida",32.312491,-95.253252
"Cornus florida",40.893025,-74.007544
"Cornus florida",38.564402,-82.622176
"Cornus florida",41.105485,-73.815663
"Cornus florida",40.639472,-74.449677
"Cornus florida",33.687527,-82.162521
"Cornus florida",38.588295,-92.235955
"Cornus florida",35.614614,-81.171922
"Cornus florida",35.758008,-79.172762
"Cornus florida",38.420653,-90.798906
"Cornus florida",37.651919,-84.098622
"Cornus florida",33.791048,-89.800137
"Cornus florida",39.866733,-86.299227
"Cornus florida",43.214595,-77.618095
"Cornus florida",31.608817,-87.81488
"Cornus florida",39.313594,-76.87181
"Cornus florida",38.59728,-82.635683
"Cornus florida",40.448595,-74.437086
"Cornus florida",39.305097,-78.438513
"Cornus florida",42.107026,-80.052455
"Cornus florida",38.751259,-76.701103
"Cornus florida",38.348947,-76.590582
"Cornus florida",38.906836,-77.430606
"Cornus florida",39.027264,-79.220397
"Cornus florida",38.55536,-77.3495
"Cornus florida",40.786087,-74.56969
"Cornus florida",40.367567,-78.143733
"Cornus florida",36.501396,-87.269449
"Cornus florida",40.498558,-80.415283
"Cornus florida",36.556951,-90.531356
"Cornus florida",38.986024,-77.963319
"Cornus florida",40.199767,-75.639893
"Cornus florida",37.7525,-90.436111
"Cornus florida",39.500453,-84.726931
"Cornus florida",41.018608,-80.00825
"Cornus florida",35.001853,-85.362113
"Cornus florida",33.785574,-84.374616
"Cornus florida",37.330005,-78.144119
"Cornus florida",40.68108,-79.488678
"Cornus florida",41.259411,-73.986992
"Cornus florida",42.4352,-71.221848
"Cornus florida",33.576834,-84.063039
"Cornus florida",40.113678,-74.863258
"Cornus florida",35.634945,-82.568803
"Cornus florida",41.712158,-83.708267
"Cornus florida",30.88303,-94.32461
"Cornus florida",36.114236,-86.844141
"Cornus florida",35.218266,-89.502251
"Cornus florida",38.645543,-77.237517
"Cornus florida",39.323683,-82.116487
"Cornus florida",39.668333,-79.968417
"Cornus florida",42.320744,-83.699538
"Cornus florida",39.135807,-84.415208
"Cornus florida",34.132975,-94.688609
"Cornus florida",35.853787,-78.686025
"Cornus florida",34.732057,-89.345
"Cornus florida",40.758611,-73.757127
"Cornus florida",35.694408,-83.629928
"Cornus florida",34.318111,-77.756571
"Cornus florida",38.350455,-77.325956
"Cornus florida",38.581528,-90.41712
"Cornus florida",35.865097,-78.235794
"Cornus florida",37.714387,-84.294805
"Cornus florida",38.946847,-76.699614
"Cornus florida",40.016078,-78.430138
"Cornus florida",37.242773,-79.955171
"Cornus florida",43.072183,-77.376259
"Cornus florida",35.949274,-79.423328
"Cornus florida",36.309129,-84.219331
"Cornus florida",35.523085,-93.355541
"Cornus florida",39.493876,-76.691308
"Cornus florida",38.866264,-77.078547
"Cornus florida",38.429101,-78.863711
"Cornus florida",38.785094,-77.804642
"Cornus florida",34.169547,-93.752083
"Cornus florida",37.319703,-76.799069
"Cornus florida",39.335963,-76.697752
"Cornus florida",35.7804,-78.6391
"Cornus florida",39.310528,-76.690729
"Cornus florida",38.203808,-78.404243
"Cornus florida",38.862613,-77.120085
"Cornus florida",36.784367,-84.391297
"Cornus florida",38.853798,-77.266814
"Cornus florida",39.352105,-82.041593
"Cornus florida",43.183339,-85.558918
"Cornus florida",39.251069,-76.810825
"Cornus florida",35.870508,-78.762358
"Cornus florida",37.010305,-88.767818
"Cornus florida",38.523012,-90.530813
"Cornus florida",39.989568,-82.411868
"Cornus florida",39.240285,-82.183267
"Cornus florida",36.536718,-82.434447
"Cornus florida",40.623855,-79.216591
"Cornus florida",32.419485,-92.897482
"Cornus florida",42.402175,-84.037729
"Cornus florida",36.137047,-78.797901
"Cornus florida",34.828647,-80.592551
"Cornus florida",40.160267,-87.736297
"Cornus florida",38.982649,-76.897548
"Cornus florida",39.429034,-76.775845
"Cornus florida",37.832272,-77.73809
"Cornus florida",31.791437,-95.632538
"Cornus florida",39.321093,-77.766071
"Cornus florida",39.372234,-82.125816
"Cornus florida",34.403167,-81.683683
"Cornus florida",42.38595,-71.108716
"Cornus florida",37.03957,-94.65488
"Cornus florida",37.04324,-94.64152
"Cornus florida",37.05,-94.633333
"Cornus florida",37.05,-94.75
"Cornus florida",36.598337,-93.821262
"Cornus florida",37.44688,-94.71202
"Cornus florida",37.027103,-94.518542
"Cornus florida",37.5,-94.533333
"Cornus florida",37.394625,-94.710806
"Cornus florida",38.6,-90.25
"Cornus florida",38.125,-90.675
"Cornus florida",37.445,-91.69166
"Cornus florida",38.29388,-91.56416
"Cornus florida",37.18361,-93.05917
"Cornus florida",37.10444,-89.91055
"Cornus florida",37.3381,-89.5033
"Cornus florida",38.932889,-76.984142
"Cornus florida",39.053442,-77.031922
"Cornus florida",39.055042,-77.034669
"Cornus florida",38.921827,-77.019573
"Cornus florida",38.972888,-77.14859
"Cornus florida",38.96968,-77.609838
"Cornus florida",34.934958,-83.837743
"Cornus florida",38.093329,-78.493823
"Cornus florida",39.029214,-77.516265
"Cornus florida",35.693465,-78.765331
"Cornus florida",39.120788,-77.131741
"Cornus florida",35.779525,-78.822965
"Cornus florida",38.891617,-77.061294
"Cornus florida",39.493032,-76.690777
"Cornus florida",31.884976,-86.03036
"Cornus florida",39.211069,-77.068634
"Cornus florida",41.852711,-71.385463
"Cornus florida",35.429855,-84.329482
"Cornus florida",35.749323,-78.924439
"Cornus florida",39.574123,-74.937587
"Cornus florida",40.117486,-79.567528
"Cornus florida",40.058141,-75.079664
"Cornus florida",39.087283,-77.127067
"Cornus florida",32.053729,-84.217039
"Cornus florida",38.644378,-77.235863
"Cornus florida",42.86628,-85.491317
"Cornus florida",38.91402,-77.357576
"Cornus florida",34.993008,-81.862983
"Cornus florida",33.26279,-83.515016
"Cornus florida",35.457131,-82.172526
"Cornus florida",37.335083,-79.981705
"Cornus florida",36.069592,-79.807992
"Cornus florida",39.168556,-86.520081
"Cornus florida",36.405019,-78.951875
"Cornus florida",35.781081,-78.820575
"Cornus florida",35.098561,-85.1931
"Cornus florida",35.664861,-93.503192
"Cornus florida",36.206794,-84.109251
"Cornus florida",39.308588,-77.02848
"Cornus florida",38.664289,-80.708417
"Cornus florida",40.633645,-74.458068
"Cornus florida",42.60849,-86.00473
"Cornus florida",38.77144,-83.425852
"Cornus florida",36.161175,-85.543097
"Cornus florida",38.937838,-76.98531
"Cornus florida",40.703615,-73.848063
"Cornus florida",36.208353,-81.65613
