"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Fraxinus albicans",32.5363,-98.56071,8.158,30.86,35.134,34.006,1.3,0,"Clay Loam",324.629791259766
"Fraxinus albicans",32.43295,-98.3029,7.148,38.996,40.376,20.628,1.6212,0.292,"Clay Loam",363.456573486328
"Fraxinus albicans",32.841279,-98.372024,8.15384615384615,41.9923076923077,22.7,35.3076923076923,1.38153846153846,0.930769230769231,"Clay",285.57177734375
"Fraxinus albicans",32.235722,-98.022261,8.2,33.36,24.59,42.05,1.509,0.795,"Clay Loam",302.533142089844
"Fraxinus albicans",31.37,-97.5,8.05051546391753,27.4742268041237,36.020618556701,36.5051546391753,1.41010309278351,0.576288659793814,"Clay Loam",234.219299316406
"Fraxinus albicans",31.581154,-97.157285,8.2,30,33.5,36.5,1.4,0,"Clay Loam",151.026092529297
"Fraxinus albicans",31.511433,-97.233873,8.2,42.5,7.7,49.8,1.3295,0,"Silty Clay",168.168655395508
"Fraxinus albicans",31.564028,-97.191895,8.2,30,33.5,36.5,1.4,0,"Clay Loam",141.640853881836
"Fraxinus albicans",30.290647,-97.787104,8.2,7.04,83.47,9.49,1.3653,0.5,"Sandy Loam",133.887008666992
"Fraxinus albicans",31.202222,-97.637222,8.2,31,35.4,33.6,1.3,0,"Clay Loam",185.141616821289
"Fraxinus albicans",30.284833,-97.780083,6.014,29.85,57.206,12.944,1.5122,1,"Sandy Clay Loam",153.050933837891
"Fraxinus albicans",32.60461,-98.304972,5.98461538461538,33.6025641025641,42.8888888888889,23.508547008547,1.72545,0.1,"Clay Loam",334.768188476562
"Fraxinus albicans",32.6046,-98.305,5.98461538461538,33.6025641025641,42.8888888888889,23.508547008547,1.72545,0.1,"Clay Loam",334.768188476562
"Fraxinus albicans",31.457367,-97.681046,7.2,45,7.2,47.8,1.35,0,"Silty Clay",309.141448974609
"Fraxinus albicans",31.583609,-97.156096,8.2,30,33.5,36.5,1.4,0,"Clay Loam",149.975204467773
"Fraxinus albicans",30.381903,-97.770885,8.2,39.08,14.12,46.8,1.352,1,"Silty Clay",179.794021606445
"Fraxinus albicans",31.662956,-97.471291,8.2,33.75,33.25,33,1.4225,1,"Clay Loam",174.547958374023
"Fraxinus albicans",31.583061,-97.156397,8.2,30,33.5,36.5,1.4,0,"Clay Loam",151.056945800781
"Fraxinus albicans",31.761648,-97.218372,6.773,39.8,29.428,30.772,1.482,1,"Clay Loam",150.616119384766
"Fraxinus albicans",31.521222,-97.277876,8.2,41.36,12.2,46.44,1.36,0.1,"Silty Clay",145.554489135742
"Fraxinus albicans",31.583499,-97.156397,8.2,30,33.5,36.5,1.4,0,"Clay Loam",150.448745727539
"Fraxinus albicans",31.327982,-97.468626,8.05051546391753,27.4742268041237,36.020618556701,36.5051546391753,1.41010309278351,0.576288659793814,"Clay Loam",217.871429443359
"Fraxinus albicans",31.455725,-97.066942,6.675,38.4,34.25,27.35,1.5027,1,"Clay Loam",121.094108581543
