"species","decimalLatitude","decimalLongitude"
"Fraxinus americana",44.335847,-72.46887
"Fraxinus americana",42.017937,-71.449373
"Fraxinus americana",43.652849,-73.741586
"Fraxinus americana",35.111964,-85.173538
"Fraxinus americana",43.636228,-72.57823
"Fraxinus americana",35.883945,-79.125503
"Fraxinus americana",42.76932,-73.452825
"Fraxinus americana",39.975304,-86.169947
"Fraxinus americana",36.61404,-87.269443
"Fraxinus americana",44.229112,-72.487719
"Fraxinus americana",42.875894,-72.305953
"Fraxinus americana",44.758042,-74.446556
"Fraxinus americana",42.288405,-72.338188
"Fraxinus americana",44.384903,-72.912762
"Fraxinus americana",40.610499,-74.588327
"Fraxinus americana",44.074477,-71.166809
"Fraxinus americana",35.8872,-79.0183
"Fraxinus americana",36.396392,-84.649942
"Fraxinus americana",44.05447,-72.655911
"Fraxinus americana",42.944904,-76.199194
"Fraxinus americana",42.976211,-72.041459
"Fraxinus americana",43.946067,-71.716942
"Fraxinus americana",36.070302,-78.854338
"Fraxinus americana",43.679969,-72.252389
"Fraxinus americana",39.647494,-79.153244
"Fraxinus americana",30.241533,-95.963586
"Fraxinus americana",40.420936,-76.597131
"Fraxinus americana",35.01013,-85.364585
"Fraxinus americana",40.65637,-73.96736
"Fraxinus americana",42.651828,-72.955315
"Fraxinus americana",44.81333,-68.45863
"Fraxinus americana",44.838113,-70.406303
"Fraxinus americana",44.265178,-72.553358
"Fraxinus americana",40.371213,-74.6191
"Fraxinus americana",41.949787,-87.727773
"Fraxinus americana",39.454712,-82.130762
"Fraxinus americana",42.294609,-71.831801
"Fraxinus americana",44.271881,-74.196267
"Fraxinus americana",35.913111,-79.044523
"Fraxinus americana",41.321123,-88.993162
"Fraxinus americana",42.35452,-83.26622
"Fraxinus americana",42.876147,-71.862865
"Fraxinus americana",43.417095,-72.542533
"Fraxinus americana",42.936155,-72.263587
"Fraxinus americana",43.855888,-70.220537
"Fraxinus americana",41.543616,-74.476085
"Fraxinus americana",29.798508,-82.916775
"Fraxinus americana",43.513939,-72.100153
"Fraxinus americana",37.31972,-95.63162
"Fraxinus americana",37.2481,-95.7716
"Fraxinus americana",37.2456,-95.7765
"Fraxinus americana",37.2506,-95.7746
"Fraxinus americana",37.475625,-94.696575
"Fraxinus americana",37.333333,-95.083333
"Fraxinus americana",37.166667,-94.633333
"Fraxinus americana",41.3458,-74.6807
"Fraxinus americana",40.32027,-92.88444
"Fraxinus americana",39.15888,-94.50305
"Fraxinus americana",37.014167,-81.252778
"Fraxinus americana",40.26222,-93.15083
"Fraxinus americana",39.053442,-77.031922
"Fraxinus americana",43.422666,-72.899451
"Fraxinus americana",41.996628,-74.173066
"Fraxinus americana",44.144689,-72.473217
"Fraxinus americana",42.124226,-72.957561
"Fraxinus americana",44.171251,-72.823711
"Fraxinus americana",36.441719,-94.228071
"Fraxinus americana",42.278008,-76.599937
"Fraxinus americana",44.279212,-73.20763
"Fraxinus americana",37.23557,-76.646928
"Fraxinus americana",42.146872,-88.292847
"Fraxinus americana",30.788913,-96.951112
"Fraxinus americana",40.969613,-81.550407
"Fraxinus americana",42.65405,-77.605
"Fraxinus americana",43.214753,-73.040603
"Fraxinus americana",41.19177,-81.551008
"Fraxinus americana",43.81153,-72.366609
"Fraxinus americana",44.77323,-69.571558
"Fraxinus americana",44.466562,-73.217524
"Fraxinus americana",43.318694,-73.666998
"Fraxinus americana",44.480528,-72.727069
"Fraxinus americana",43.632538,-72.519301
"Fraxinus americana",43.230824,-72.898916
"Fraxinus americana",43.424512,-72.504197
"Fraxinus americana",40.666478,-73.968444
"Fraxinus americana",41.409466,-74.014011
"Fraxinus americana",42.615866,-71.392547
"Fraxinus americana",44.507813,-73.239485
"Fraxinus americana",42.670588,-72.323929
"Fraxinus americana",43.57999,-72.912613
"Fraxinus americana",41.998694,-71.420462
"Fraxinus americana",38.899509,-76.965367
"Fraxinus americana",41.824378,-88.008431
"Fraxinus americana",36.479373,-92.442378
"Fraxinus americana",40.656014,-75.482619
"Fraxinus americana",44.25356,-72.575965
"Fraxinus americana",37.712537,-89.198053
"Fraxinus americana",40.864128,-73.872279
"Fraxinus americana",42.156586,-70.742889
"Fraxinus americana",35.497845,-94.425675
"Fraxinus americana",40.668067,-73.967561
"Fraxinus americana",44.260107,-72.566317
"Fraxinus americana",42.116105,-77.082655
"Fraxinus americana",43.195742,-72.557188
"Fraxinus americana",44.37751,-68.252765
"Fraxinus americana",38.219613,-85.712913
"Fraxinus americana",37.557528,-84.23933
"Fraxinus americana",41.326873,-72.910188
"Fraxinus americana",39.638889,-79.815833
"Fraxinus americana",43.968805,-70.708071
"Fraxinus americana",43.523995,-71.402595
"Fraxinus americana",42.477337,-72.347371
"Fraxinus americana",44.363676,-68.209536
"Fraxinus americana",43.805082,-72.151765
"Fraxinus americana",40.816545,-73.698762
"Fraxinus americana",42.098743,-74.391649
"Fraxinus americana",44.394864,-71.636255
"Fraxinus americana",43.122102,-72.78885
"Fraxinus americana",42.667194,-72.323904
"Fraxinus americana",44.913469,-85.220744
"Fraxinus americana",42.862212,-71.877785
"Fraxinus americana",42.089919,-74.830174
"Fraxinus americana",42.9933,-71.265661
"Fraxinus americana",34.718689,-86.641492
"Fraxinus americana",42.665182,-72.323638
"Fraxinus americana",36.097266,-95.949674
"Fraxinus americana",42.647153,-72.324858
"Fraxinus americana",40.732028,-73.767819
"Fraxinus americana",42.012938,-78.845472
"Fraxinus americana",40.316538,-78.941058
"Fraxinus americana",41.070664,-74.853394
"Fraxinus americana",43.681844,-72.827476
