"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Fraxinus profunda",36.73514,-90.103725,5.47475,28.1965,8.62125,63.18225,1.4881,1.36,"Silty Clay Loam",98.01714325
"Fraxinus profunda",38.370405,-77.332204,6.8,5,30,65,0.468,0,"Silt Loam",3.139822483
"Fraxinus profunda",30.001887,-84.550242,4.7,4.855,92.345,2.8,0.8572,0.1,"Loamy Sand",0.497434497
"Fraxinus profunda",34.591398,-91.095229,6.248,24.85,9.50933333333333,65.6406666666667,1.47183333333333,0,"Silt Loam",53.31601334
"Fraxinus profunda",37.296998,-89.05612,5.3785,24.11,15.85,60.04,1.5122,0,"Silt Loam",102.5405197
"Fraxinus profunda",33.46608,-90.92355,7.144,67.75,6.696,25.554,1.384,0,"Clay",36.20442963
"Fraxinus profunda",35.46076,-88.5157,5.039,23.83,37.356,38.814,1.4,0,"Loam",138.2381134
"Fraxinus profunda",34.42117,-78.47218,5,11.95,53.008,35.042,1.403,0,"Other",19.00042534
"Fraxinus profunda",37.22484,-89.279358,5.277,24.6,24.2,51.2,1.554,0,"Silt Loam",102.9703445
"Fraxinus profunda",33.986219,-78.250267,6.512,15.55,52.711,31.739,1.3995,0,"Other",0.21087414
"Fraxinus profunda",37.576349,-89.439258,6.5,13.69,9.65,76.66,1.4187,0,"Silt Loam",106.9394989
"Fraxinus profunda",36.8764,-76.86,4.7,23.7833333333333,47.436,28.7806666666667,1.469,0,"Loam",11.83686352
"Fraxinus profunda",38.818374,-77.08617,4.8,24.96,44.8173333333333,30.2226666666667,1.56,0,"Loam",54.46566391
"Fraxinus profunda",35.44828,-88.6061,5.039,23.83,37.356,38.814,1.4,0,"Loam",118.8024979
"Fraxinus profunda",36.737293,-90.100935,5.47475,28.1965,8.62125,63.18225,1.4881,1.36,"Silty Clay Loam",97.64547729
"Fraxinus profunda",33.379227,-90.928762,7.144,67.75,6.696,25.554,1.384,0,"Clay",35.04751205
"Fraxinus profunda",33.786111,-88.849444,5.1,13,52.6576666666667,34.3423333333333,1.4596,0,"Other",71.78953552
"Fraxinus profunda",33.466276,-90.910926,6.61966666666667,41.2383333333333,13.0393333333333,45.7223333333333,1.4384,0,"Silty Clay",35.94060516
"Fraxinus profunda",33.148536,-90.923699,6.74233333333333,60.7666666666667,7.66833333333333,31.565,1.32183333333333,0.823333333333333,"Clay",32.15105438
"Fraxinus profunda",36.382839,-90.190654,5.045,12,20.7,67.3,1.4444,0,"Silt Loam",91.39035797
"Fraxinus profunda",38.61083,-90.25861,6.578,28.535,8.164,63.301,1.3112,0,"Silty Clay Loam",161.9044037
"Fraxinus profunda",36.643955,-89.287555,6.7385,45.9435,14.2965,39.76,1.3402,1,"Clay",89.40903473
"Fraxinus profunda",29.193733,-82.019633,6.0082,25.3094,68.8072,5.8834,1.4405,0.48,"Sandy Loam",14.12347794
"Fraxinus profunda",29.841792,-90.123097,6.62466666666667,72.715,1.73333333333333,25.5516666666667,1.01693333333333,0.333333333333333,"Clay",0.331738204
"Fraxinus profunda",33.555416,-79.128269,4.6,6,92.1,1.9,1.534,0,"Loamy Sand",2.696958303
"Fraxinus profunda",37.574653,-89.439628,6.5,13.69,9.65,76.66,1.4187,0,"Silt Loam",107.2199402
"Fraxinus profunda",35.922473,-79.062708,5.56,24.675,50.75,24.575,1.4175,0,"Other",106.3001785
"Fraxinus profunda",37.687117,-76.727387,5.442,25.2358333333333,36.112,38.6521666666667,1.17883333333333,1.66666666666667,"Loam",13.07407856
