"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Gordonia lasianthus",34.047857,-77.913352,4.6,4.41,94.223,1.367,1.4549,1,"Loamy Sand",1.732631087
"Gordonia lasianthus",29.140742,-81.034179,5.10944444444444,2.30633333333333,96.5412222222222,1.15244444444444,1.47471111111111,0.1,"Loamy Sand",9.057610512
"Gordonia lasianthus",30.242942,-82.39363,4.566,6.67,86.8033333333333,6.52666666666667,1.44583333333333,0.1,"Loamy Sand",50.72314453
"Gordonia lasianthus",29.721464,-81.67807,5.0736,2.5236,95.9602,1.5162,1.558,0.64,"Loamy Sand",8.920126915
"Gordonia lasianthus",27.395254,-82.494237,6.90037807183365,11.1905482041588,83.6820415879017,5.12741020793951,1.38051666666667,0.1,"Sandy Loam",7.430436611
"Gordonia lasianthus",34.767979,-76.873238,5.1,3.47,95.426,1.104,1.4185,0,"Loamy Sand",7.414628029
"Gordonia lasianthus",30.055394,-81.397491,4.82633333333333,3.03333333333333,93.8806666666667,3.086,1.4411,0.1,"Loamy Sand",8.124866486
"Gordonia lasianthus",29.224878,-81.909366,5.214,2.747,95.9548,1.2982,1.55622,1,"Loamy Sand",13.69629765
"Gordonia lasianthus",29.745438,-81.287978,5.19983333333333,1.33666666666667,97.854,0.809333333333333,1.56771666666667,1,"Loamy Sand",7.925532341
"Gordonia lasianthus",29.596375,-82.235881,4.86933333333333,4.65833333333333,92.1636666666667,3.178,1.62336666666667,0.1,"Loamy Sand",21.98415184
"Gordonia lasianthus",28.129076,-82.657501,5.27,1.94166666666667,97.2753333333333,0.783,1.50923333333333,0.1,"Loamy Sand",7.744754314
"Gordonia lasianthus",27.36064,-82.546681,5.39516666666667,1.93,97.2638333333333,0.806166666666667,1.56541666666667,1,"Loamy Sand",2.939639091
"Gordonia lasianthus",28.528307,-81.093577,5.036,3.548,94.713,1.739,1.5127,0.1,"Loamy Sand",18.37697983
"Gordonia lasianthus",29.145253,-81.176344,4.921875,3.20125,95.433375,1.365375,1.4966125,0.1,"Loamy Sand",11.24850273
"Gordonia lasianthus",34.047833,-77.913413,4.6,4.41,94.223,1.367,1.4549,1,"Loamy Sand",1.732631087
"Gordonia lasianthus",29.185548,-82.582881,6.02944162436548,3.4261421319797,94.9634517766497,1.61040609137056,1.57972081218274,0.314720812182741,"Loamy Sand",15.35168076
"Gordonia lasianthus",29.713767,-81.334167,4.88871428571429,3.84785714285714,92.0061135371179,4.07321688500728,1.4596,0.1,"Loamy Sand",11.38762856
"Gordonia lasianthus",28.590035,-81.154861,5.3736,1.751,97.3578,0.8912,1.56688,1,"Loamy Sand",14.87560558
"Gordonia lasianthus",28.63608,-80.875718,5.51875,1.9975,95.75625,2.24625,1.527325,0.1,"Loamy Sand",4.765316963
"Gordonia lasianthus",34.226903,-77.872724,4.5,5,94.4,0.6,1.65,0,"Loamy Sand",10.9602232
"Gordonia lasianthus",28.218723,-82.546848,6.00980861244019,11.1275154004107,79.7406698564593,7.29497607655502,1.16571666666667,0.1,"Sandy Loam",14.60285282
"Gordonia lasianthus",27.583962,-82.232903,5.1106,2.458,96.279,1.263,1.49738,0.1,"Loamy Sand",37.81767654
"Gordonia lasianthus",30.155952,-81.613899,5.48649706457926,12.4416666666667,75.2542074363992,10.4,1.32795,0.1,"Sandy Loam",5.125619411
"Gordonia lasianthus",28.421523,-82.657228,5.09466666666667,1.21166666666667,97.7356666666667,1.05266666666667,1.598,0.1,"Loamy Sand",3.08607316
"Gordonia lasianthus",27.348181,-81.402466,5.22916666666667,1.80333333333333,97.339,0.857666666666667,1.47185,0.1,"Loamy Sand",21.89866447
"Gordonia lasianthus",29.501847,-82.313117,4.8632,4.786,91.952,3.262,1.52718,0.1,"Loamy Sand",33.47626114
"Gordonia lasianthus",28.93125,-81.475906,5.3126,1.0372,97.7364,1.2264,1.61804,1,"Loamy Sand",13.83692551
"Gordonia lasianthus",34.548901,-77.448637,4.8,4.42,94.6585,0.9215,1.49775,0,"Loamy Sand",12.51195049
"Gordonia lasianthus",29.706821,-82.224272,5.4384,2.3236,95.6296,2.0468,1.50016,0.1,"Loamy Sand",23.70691299
"Gordonia lasianthus",30.340613,-82.576172,4.79516666666667,4.763,90.2418333333333,4.99516666666667,1.51551666666667,0.1,"Loamy Sand",39.27106094
"Gordonia lasianthus",33.922503,-78.307934,4.8,4.42,94.6585,0.9215,1.49775,0,"Loamy Sand",8.72851944
"Gordonia lasianthus",34.260564,-78.478378,4.5,5,94.4,0.6,1.65,0,"Loamy Sand",13.499053
"Gordonia lasianthus",31.127856,-83.574988,4.8,8.3725,84.735,6.8925,1.47915,0,"Sandy Loam",60.86377335
"Gordonia lasianthus",34.047974,-77.913475,4.6,4.41,94.223,1.367,1.4549,1,"Loamy Sand",1.464525223
"Gordonia lasianthus",32.311752,-81.898605,5.86,19.16,71.228,9.612,1.6056,1,"Sandy Loam",62.87278748
"Gordonia lasianthus",34.020283,-78.064361,4.5,5,93.8,1.2,1.585,0,"Loamy Sand",15.36353493
"Gordonia lasianthus",28.716721,-81.308433,5.2724,2.0778,97.1032,0.819,1.49846,0.1,"Loamy Sand",5.674487591
"Gordonia lasianthus",28.444775,-81.537209,5.036,3.548,94.713,1.739,1.5127,0.1,"Loamy Sand",30.94628906
"Gordonia lasianthus",28.750504,-81.017453,5.5734,3.449,95.6954,0.8556,1.48792,0.1,"Loamy Sand",4.688172817
"Gordonia lasianthus",28.677915,-81.120243,5.609,2.3425,96.761,0.8965,1.49905,0.1,"Loamy Sand",7.483090878
"Gordonia lasianthus",31.126531,-83.572692,4.8,8.3725,84.735,6.8925,1.47915,0,"Sandy Loam",59.82391739
"Gordonia lasianthus",28.700272,-81.158463,6.6465,7.915,90.72125,1.36375,1.509125,0.1,"Loamy Sand",6.79436779
"Gordonia lasianthus",27.665072,-82.376128,5.22866666666667,2.43166666666667,96.3738333333333,1.1945,1.55626666666667,1,"Loamy Sand",6.019975662
"Gordonia lasianthus",29.641944,-82.269133,4.9018,4.591,91.6458,3.7632,1.50068,0.1,"Loamy Sand",35.15421677
"Gordonia lasianthus",29.754503,-81.335437,4.88871428571429,3.84785714285714,92.0061135371179,4.07321688500728,1.4596,0.1,"Loamy Sand",8.940438271
"Gordonia lasianthus",28.064708,-81.403887,5.16642857142857,2.275,96.6941428571429,1.03085714285714,1.48958571428571,0.1,"Loamy Sand",20.14048576
"Gordonia lasianthus",29.717072,-82.382084,4.98725,5.82625,89.89125,4.2825,1.5360625,0.1,"Loamy Sand",55.00550079
"Gordonia lasianthus",27.510567,-82.162317,5.1106,2.458,96.279,1.263,1.49738,0.1,"Loamy Sand",29.2793541
"Gordonia lasianthus",28.618592,-81.057055,5.44166666666667,2.41125,95.923717948718,0.984935897435897,1.22455,0.1,"Loamy Sand",14.9413681
"Gordonia lasianthus",33.030828,-79.720275,4.6,6,84.858,9.142,1.498,0,"Sandy Loam",12.80853844
"Gordonia lasianthus",33.550679,-81.489473,5.3,4.5,95,0.5,1.4,0,"Loamy Sand",79.3322525
"Gordonia lasianthus",34.146519,-79.195918,4.6,4.175,94.392,1.433,1.48,0,"Loamy Sand",12.92860222
"Gordonia lasianthus",28.144764,-82.667416,5.37,1.66166666666667,97.4983333333333,0.84,1.5028,0.1,"Loamy Sand",7.373361588
"Gordonia lasianthus",29.16765,-81.160653,5.275,1.2775,98.0225,0.7,1.5,0.1,"Loamy Sand",13.38938904
"Gordonia lasianthus",28.067987,-81.405694,5.2212,2.0208,97.0228,0.9564,1.48822,0.1,"Loamy Sand",19.8612709
"Gordonia lasianthus",34.046941,-77.913662,5.1,3.46,95.574,0.966,1.478,0,"Loamy Sand",1.519451261
"Gordonia lasianthus",30.117583,-81.899047,4.65,3.7725,93.1256666666667,2.86933333333333,1.48673333333333,0.1,"Loamy Sand",9.628344536
"Gordonia lasianthus",28.137192,-81.551424,5.88542056074766,4.63476635514019,92.7543925233645,2.61084112149533,1.22918571428571,1,"Loamy Sand",21.63294792
"Gordonia lasianthus",30.079763,-81.562619,5.036,3.548,94.713,1.739,1.5127,0.1,"Loamy Sand",7.455249786
"Gordonia lasianthus",27.296299,-82.439176,5.39516666666667,1.93,97.2638333333333,0.806166666666667,1.56541666666667,1,"Loamy Sand",8.226222992
"Gordonia lasianthus",34.047867,-77.91333,4.6,4.41,94.223,1.367,1.4549,1,"Loamy Sand",1.732631087
"Gordonia lasianthus",27.815583,-80.505417,4.9,1.34571428571429,97.7775714285714,0.876714285714286,1.59162857142857,1,"Loamy Sand",2.124000788
"Gordonia lasianthus",28.617387,-82.55231,5.355,1.44957142857143,97.4585714285714,1.09185714285714,1.57632857142857,1,"Loamy Sand",6.411248684
"Gordonia lasianthus",28.617561,-82.586682,5.3132,1.4856,96.8516,1.6628,1.5293,0.1,"Loamy Sand",3.549162865
"Gordonia lasianthus",34.548804,-77.448515,4.8,4.42,94.6585,0.9215,1.49775,0,"Loamy Sand",11.73940849
"Gordonia lasianthus",34.892707,-78.899025,4.53333333333333,9.13666666666667,76.3866666666667,14.4766666666667,1.4767,0.333333333333333,"Sandy Loam",51.18417358
"Gordonia lasianthus",32.291054,-80.913956,5,20.9,65.264,13.836,1.5505,0,"Sandy Loam",6.861686707
"Gordonia lasianthus",28.592778,-81.1875,5.036,3.548,94.713,1.739,1.5127,0.1,"Loamy Sand",17.86231232
"Gordonia lasianthus",27.252998,-80.333566,5.2925,0.58925,98.27425,1.1365,1.5273,0.1,"Loamy Sand",2.847706556
"Gordonia lasianthus",34.739101,-76.984427,4.8,2.74,95.729,1.531,1.4403,0,"Loamy Sand",11.1021471
