"species","decimalLatitude","decimalLongitude"
"Ilex opaca",39.821458,-74.906683
"Ilex opaca",38.983525,-75.535287
"Ilex opaca",39.305442,-76.694786
"Ilex opaca",39.642843,-76.769378
"Ilex opaca",40.866683,-73.8751
"Ilex opaca",41.831841,-71.323871
"Ilex opaca",36.111306,-79.501384
"Ilex opaca",39.414979,-74.603345
"Ilex opaca",36.916278,-76.045272
"Ilex opaca",35.837908,-78.792855
"Ilex opaca",35.835331,-78.530161
"Ilex opaca",35.960748,-78.583216
"Ilex opaca",42.241572,-71.111847
"Ilex opaca",39.992606,-75.186267
"Ilex opaca",41.371468,-72.084973
"Ilex opaca",38.973667,-77.369
"Ilex opaca",31.01098,-87.272158
"Ilex opaca",35.528203,-82.475669
"Ilex opaca",34.182589,-78.033314
"Ilex opaca",38.751655,-77.151528
"Ilex opaca",40.7673,-73.975272
"Ilex opaca",39.057636,-76.769928
"Ilex opaca",38.987302,-76.646022
"Ilex opaca",40.773748,-74.593125
"Ilex opaca",40.69493,-74.242955
"Ilex opaca",34.226578,-87.35669
"Ilex opaca",37.525667,-77.508075
"Ilex opaca",39.833613,-74.988067
"Ilex opaca",35.884313,-78.536725
"Ilex opaca",33.152925,-79.385291
"Ilex opaca",38.602278,-82.639986
"Ilex opaca",37.163454,-76.469709
"Ilex opaca",35.146283,-82.826306
"Ilex opaca",39.920247,-76.711528
"Ilex opaca",38.930368,-79.952549
"Ilex opaca",38.932656,-77.05861
"Ilex opaca",38.963468,-77.154037
"Ilex opaca",40.603955,-73.927847
"Ilex opaca",37.659737,-77.346883
"Ilex opaca",35.19373,-82.617797
"Ilex opaca",38.817245,-77.00795
"Ilex opaca",39.583953,-76.507222
"Ilex opaca",35.119237,-80.748295
"Ilex opaca",33.829666,-80.824398
"Ilex opaca",38.235478,-81.655113
"Ilex opaca",36.437139,-79.951875
"Ilex opaca",40.47327,-74.425506
"Ilex opaca",30.23937,-81.700608
"Ilex opaca",38.864426,-77.172141
"Ilex opaca",37.538403,-77.407167
"Ilex opaca",40.361565,-75.257187
"Ilex opaca",39.001465,-76.937134
"Ilex opaca",42.026878,-70.881325
"Ilex opaca",35.625884,-79.344087
"Ilex opaca",34.700054,-83.955908
"Ilex opaca",33.852611,-82.407068
"Ilex opaca",35.971981,-78.527161
"Ilex opaca",38.931031,-77.058399
"Ilex opaca",33.68888,-92.987878
"Ilex opaca",37.238281,-80.430069
"Ilex opaca",34.864753,-84.32733
"Ilex opaca",39.831803,-74.178093
"Ilex opaca",37.266906,-77.578575
"Ilex opaca",39.555408,-74.244193
"Ilex opaca",30.171462,-84.204615
"Ilex opaca",35.065271,-82.371123
"Ilex opaca",30.40392,-84.646908
"Ilex opaca",33.690924,-90.044021
"Ilex opaca",38.819864,-77.080536
"Ilex opaca",40.674661,-74.512048
"Ilex opaca",30.224145,-84.357691
"Ilex opaca",34.870485,-84.302976
"Ilex opaca",36.14332,-79.432619
"Ilex opaca",31.142319,-82.216446
"Ilex opaca",32.617858,-85.516778
"Ilex opaca",40.068703,-75.22605
"Ilex opaca",35.311687,-83.190544
"Ilex opaca",39.832406,-74.988884
"Ilex opaca",35.406648,-85.593677
"Ilex opaca",38.40845,-75.789872
"Ilex opaca",36.89965,-82.418892
"Ilex opaca",38.833286,-77.107459
"Ilex opaca",33.137223,-79.611413
"Ilex opaca",40.29258,-74.724725
"Ilex opaca",32.872725,-80.086764
"Ilex opaca",38.757212,-77.098625
"Ilex opaca",40.008031,-76.90133
"Ilex opaca",30.625297,-95.52488
"Ilex opaca",34.985326,-80.427394
"Ilex opaca",30.890797,-93.856495
"Ilex opaca",41.006131,-73.808093
"Ilex opaca",38.772155,-76.709547
"Ilex opaca",33.829769,-80.823212
"Ilex opaca",39.042519,-76.724469
"Ilex opaca",40.230501,-75.810624
"Ilex opaca",39.744487,-75.097719
"Ilex opaca",40.510401,-74.469366
"Ilex opaca",35.960567,-78.974251
"Ilex opaca",39.398396,-74.742856
"Ilex opaca",42.321861,-71.237625
"Ilex opaca",38.578813,-75.792258
"Ilex opaca",37.651522,-83.67595
"Ilex opaca",38.111681,-77.831024
"Ilex opaca",38.907183,-77.321542
"Ilex opaca",40.064396,-75.221422
"Ilex opaca",30.711616,-85.936424
"Ilex opaca",30.004722,-84.560278
"Ilex opaca",35.511363,-82.355323
"Ilex opaca",32.258542,-81.313309
"Ilex opaca",37.67075,-77.855356
"Ilex opaca",38.377292,-75.286906
"Ilex opaca",29.673953,-82.030564
"Ilex opaca",38.888738,-77.328192
"Ilex opaca",38.887906,-77.172438
"Ilex opaca",37.314868,-78.387825
"Ilex opaca",34.516901,-93.046175
"Ilex opaca",36.432495,-76.690002
"Ilex opaca",38.572097,-75.571856
"Ilex opaca",37.224614,-80.429205
"Ilex opaca",42.440289,-71.333817
"Ilex opaca",35.614116,-82.445227
"Ilex opaca",38.756059,-75.130748
