"species","decimalLatitude","decimalLongitude"
"Maclura pomifera",33.25752,-96.651333
"Maclura pomifera",33.132271,-96.814095
"Maclura pomifera",32.968467,-97.100797
"Maclura pomifera",30.409453,-97.601233
"Maclura pomifera",30.096236,-98.421447
"Maclura pomifera",33.213722,-97.151689
"Maclura pomifera",32.790551,-97.107349
"Maclura pomifera",33.165792,-96.857995
"Maclura pomifera",32.82906,-96.716545
"Maclura pomifera",33.199362,-96.662063
"Maclura pomifera",33.196903,-96.864655
"Maclura pomifera",33.054272,-97.02448
"Maclura pomifera",30.574722,-95.763333
"Maclura pomifera",32.587862,-97.102264
"Maclura pomifera",32.810355,-96.801413
"Maclura pomifera",30.088852,-97.173378
"Maclura pomifera",32.588315,-97.100924
"Maclura pomifera",32.683564,-96.79762
"Maclura pomifera",32.931801,-96.448513
"Maclura pomifera",32.973425,-96.674988
"Maclura pomifera",32.638353,-96.958952
"Maclura pomifera",33.038345,-97.150169
"Maclura pomifera",33.267603,-97.058726
"Maclura pomifera",33.215263,-96.885925
"Maclura pomifera",29.608936,-98.553818
"Maclura pomifera",32.883138,-97.280337
"Maclura pomifera",32.602889,-96.995204
"Maclura pomifera",33.003297,-94.875087
"Maclura pomifera",30.451124,-95.688696
"Maclura pomifera",30.215884,-97.844388
"Maclura pomifera",30.452805,-97.631172
"Maclura pomifera",30.403667,-97.704231
"Maclura pomifera",32.782608,-95.986778
"Maclura pomifera",30.452328,-97.679611
"Maclura pomifera",33.038613,-96.804532
"Maclura pomifera",33.130303,-96.846542
"Maclura pomifera",33.09585,-96.789914
"Maclura pomifera",32.251255,-97.393007
"Maclura pomifera",32.785515,-97.120009
"Maclura pomifera",32.396139,-96.868183
"Maclura pomifera",32.787279,-97.117065
"Maclura pomifera",32.607721,-97.063044
"Maclura pomifera",33.719807,-96.775477
"Maclura pomifera",33.259277,-96.654366
"Maclura pomifera",30.242472,-96.21862
"Maclura pomifera",33.261805,-97.064457
"Maclura pomifera",33.130878,-96.858113
"Maclura pomifera",32.703403,-96.704168
"Maclura pomifera",29.45891,-98.45845
"Maclura pomifera",29.756111,-95.040833
"Maclura pomifera",32.390632,-97.219872
"Maclura pomifera",33.227328,-96.683575
"Maclura pomifera",33.863444,-95.051678
"Maclura pomifera",30.516883,-97.748812
"Maclura pomifera",32.610312,-97.404954
"Maclura pomifera",32.740346,-97.363602
"Maclura pomifera",32.877663,-97.171653
"Maclura pomifera",32.867031,-96.92155
"Maclura pomifera",32.634432,-96.920988
"Maclura pomifera",33.267029,-97.055443
"Maclura pomifera",30.277313,-95.17889
"Maclura pomifera",32.765529,-96.648501
"Maclura pomifera",32.823586,-96.760344
"Maclura pomifera",33.881054,-96.799312
"Maclura pomifera",30.239538,-98.631565
"Maclura pomifera",31.242675,-97.574622
"Maclura pomifera",30.215263,-97.650383
"Maclura pomifera",32.74144,-97.169323
"Maclura pomifera",32.804717,-96.81232
"Maclura pomifera",33.046445,-96.666262
"Maclura pomifera",33.13859,-96.844811
"Maclura pomifera",33.257888,-97.058985
"Maclura pomifera",32.684041,-96.763077
"Maclura pomifera",32.533927,-97.322255
"Maclura pomifera",32.883092,-97.280202
"Maclura pomifera",33.277745,-97.18872
"Maclura pomifera",30.252614,-97.607324
"Maclura pomifera",30.221507,-97.737079
"Maclura pomifera",31.178787,-97.418128
"Maclura pomifera",29.41228,-98.496078
"Maclura pomifera",33.198538,-96.862672
"Maclura pomifera",32.93898,-96.541363
"Maclura pomifera",30.088333,-97.497222
"Maclura pomifera",33.132989,-96.841745
"Maclura pomifera",31.036806,-97.460217
"Maclura pomifera",30.460551,-97.613304
"Maclura pomifera",32.609168,-96.998012
"Maclura pomifera",33.131764,-96.813028
"Maclura pomifera",30.503105,-97.793127
"Maclura pomifera",30.406124,-97.700418
"Maclura pomifera",33.159077,-96.813613
"Maclura pomifera",33.001861,-96.741958
"Maclura pomifera",33.044419,-97.205367
"Maclura pomifera",29.766641,-94.935024
"Maclura pomifera",32.741493,-97.169394
"Maclura pomifera",29.766539,-95.454522
"Maclura pomifera",32.641133,-97.225058
"Maclura pomifera",32.732158,-96.75232
"Maclura pomifera",32.657478,-96.901314
"Maclura pomifera",30.1857,-97.873542
"Maclura pomifera",33.131487,-96.812842
"Maclura pomifera",32.682668,-96.798446
"Maclura pomifera",32.682779,-96.79986
"Maclura pomifera",33.810522,-96.599781
"Maclura pomifera",33.185066,-96.789879
"Maclura pomifera",30.624519,-97.874247
"Maclura pomifera",32.987998,-96.718004
"Maclura pomifera",29.750162,-95.040778
"Maclura pomifera",30.280303,-97.777733
"Maclura pomifera",30.461296,-97.614096
"Maclura pomifera",33.076245,-96.799637
"Maclura pomifera",33.047494,-96.851042
"Maclura pomifera",33.168878,-96.850883
"Maclura pomifera",30.293842,-97.747978
"Maclura pomifera",32.888809,-96.752551
"Maclura pomifera",32.741331,-97.164854
"Maclura pomifera",33.092289,-96.687676
"Maclura pomifera",32.905487,-96.847197
"Maclura pomifera",29.856772,-97.967797
"Maclura pomifera",32.926445,-97.238426
"Maclura pomifera",33.258038,-96.653412
"Maclura pomifera",33.047419,-96.84868
"Maclura pomifera",32.5773,-96.7454
"Maclura pomifera",30.557714,-95.766224
"Maclura pomifera",33.262397,-97.055305
"Maclura pomifera",33.055128,-96.676641
"Maclura pomifera",32.923129,-96.593446
"Maclura pomifera",30.586995,-97.849456
"Maclura pomifera",32.965525,-96.550672
"Maclura pomifera",30.684061,-97.639893
"Maclura pomifera",33.754486,-96.761014
"Maclura pomifera",29.793757,-94.954348
"Maclura pomifera",32.910156,-97.13308
"Maclura pomifera",33.149654,-96.757698
"Maclura pomifera",32.785841,-96.584337
"Maclura pomifera",33.038319,-97.150169
"Maclura pomifera",32.852062,-95.994117
"Maclura pomifera",33.080453,-96.788592
"Maclura pomifera",30.328789,-97.641991
"Maclura pomifera",29.768552,-95.459422
"Maclura pomifera",33.24812,-97.067069
"Maclura pomifera",33.272628,-96.301353
"Maclura pomifera",32.965523,-96.656453
"Maclura pomifera",32.967436,-97.080693
"Maclura pomifera",32.851693,-95.993011
"Maclura pomifera",30.714529,-97.730542
"Maclura pomifera",29.635618,-95.663574
"Maclura pomifera",33.181093,-96.78997
"Maclura pomifera",33.257505,-96.654213
"Maclura pomifera",33.0532,-96.728683
"Maclura pomifera",29.874537,-97.962969
"Maclura pomifera",33.15933,-96.81337
"Maclura pomifera",29.589718,-97.584178
"Maclura pomifera",30.32691,-97.651239
"Maclura pomifera",32.87663,-97.170573
"Maclura pomifera",32.785928,-97.114869
"Maclura pomifera",32.73829,-96.45994
"Maclura pomifera",32.658872,-96.774795
"Maclura pomifera",33.118603,-97.078461
"Maclura pomifera",32.610112,-97.362835
"Maclura pomifera",33.063656,-96.932501
"Maclura pomifera",32.749488,-94.990254
"Maclura pomifera",33.136745,-96.745102
"Maclura pomifera",32.920834,-96.594093
"Maclura pomifera",33.259763,-97.057972
"Maclura pomifera",30.560552,-97.620315
"Maclura pomifera",33.104047,-97.187513
"Maclura pomifera",33.158753,-96.813072
"Maclura pomifera",33.276368,-96.300659
"Maclura pomifera",33.733305,-94.642097
"Maclura pomifera",32.795542,-96.581869
"Maclura pomifera",33.159881,-96.813278
"Maclura pomifera",33.164703,-96.859292
"Maclura pomifera",30.452766,-97.680135
"Maclura pomifera",29.861878,-98.628472
"Maclura pomifera",32.963436,-96.939183
"Maclura pomifera",33.002857,-96.845393
"Maclura pomifera",33.170278,-96.81675
"Maclura pomifera",33.257403,-96.654261
"Maclura pomifera",32.588605,-97.094238
