"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Nyssa aquatica",36.775576,-76.159344,5.462,20.7130281690141,35.4255281690141,43.8614436619718,1.082425,45.6914285714286,"Loam",2.199434042
"Nyssa aquatica",34.89557,-86.58673,5.3,23.265,26.599,50.136,1.4155,0,"Silt Loam",226.8933716
"Nyssa aquatica",35.861975,-77.045101,4.7,45.45,8.524,46.026,1.4,0,"Silty Clay",2.101560831
"Nyssa aquatica",30.30823,-84.350333,5.41466666666667,7.26433333333333,86.2863333333333,6.44933333333333,1.51376666666667,0.1,"Loamy Sand",2.782369852
"Nyssa aquatica",36.772265,-76.155677,5.462,20.7130281690141,35.4255281690141,43.8614436619718,1.082425,45.6914285714286,"Loam",1.474564433
"Nyssa aquatica",37.359793,-88.920763,5.216,32,3,65,1.47,0,"Silty Clay Loam",105.2140274
"Nyssa aquatica",32.442732,-86.591264,5,20.76,60.751,18.489,1.45,0,"Sandy Loam",47.25033569
"Nyssa aquatica",37.047222,-89.904167,5.1305,20.80825,5.75575,73.436,1.464325,1,"Silt Loam",108.3050613
"Nyssa aquatica",33.167726,-86.811609,5.2,36.15,15.747,48.103,1.52005,0,"Silty Clay",145.6818542
"Nyssa aquatica",33.543667,-80.503582,4.90716666666667,6.50116666666667,87.5083333333333,5.9905,1.62756666666667,0,"Loamy Sand",21.15624619
"Nyssa aquatica",33.521978,-80.939481,5,13.7883333333333,72.2283333333333,13.9833333333333,1.54793333333333,0,"Sandy Loam",51.5626564
"Nyssa aquatica",36.995028,-90.140996,5.61166666666667,32.487,7.34366666666667,60.1693333333333,1.46606666666667,1.48,"Silty Clay Loam",102.556282
"Nyssa aquatica",33.804088,-80.776356,5.5,40.71,18.662,40.628,1.39,0,"Silty Clay",27.80540276
"Nyssa aquatica",33.781033,-80.672975,5.5,40.71,18.662,40.628,1.39,0,"Silty Clay",25.02203941
"Nyssa aquatica",35.810021,-78.718733,5.5355,25.915,33.485,40.6,1.4483,0,"Loam",113.0062103
"Nyssa aquatica",33.810545,-80.771163,5.14,41.305,15.113,43.582,1.3785,0,"Silty Clay",27.72620964
"Nyssa aquatica",33.927978,-80.981181,5.33466666666667,32.8533333333333,25.834,41.3126666666667,1.37116666666667,0,"Clay Loam",37.8822403
"Nyssa aquatica",33.228508,-89.445533,5.0345,18.45625,50.4755,31.06825,1.514875,1,"Loam",135.7532043
"Nyssa aquatica",37.293942,-89.046136,5.667,48.6,4,47.4,1.421,0,"Silty Clay",100.0540085
"Nyssa aquatica",30.397888,-90.425635,6.697,77.0625,1.6,21.175,0.44155,1.5,"Clay",0.456056505
"Nyssa aquatica",30.397347,-90.426733,6.697,77.0625,1.6,21.175,0.44155,1.5,"Clay",0.42287761
"Nyssa aquatica",37.303581,-89.020164,6.76,31,10.6,58.4,1.38,0,"Silty Clay Loam",99.93367767
"Nyssa aquatica",37.294412,-89.072564,5.667,48.6,4,47.4,1.421,0,"Silty Clay",99.90145111
"Nyssa aquatica",30.364915,-94.220834,4.444,14.4233333333333,55.6833333333333,29.8933333333333,1.39533333333333,0.1,"Sandy Loam",11.7049408
"Nyssa aquatica",30.371733,-91.105558,7.14725,54.44225,7.24425,38.3135,1.342625,1.00225,"Clay",4.075359821
"Nyssa aquatica",32.086186,-81.214547,5,27.7,59.454,12.846,1.591,0,"Sandy Clay Loam",2.426522493
"Nyssa aquatica",33.7924,-89.79956,4.975,16.83,15.455,67.715,1.4767,0,"Silt Loam",53.43445969
"Nyssa aquatica",33.139261,-90.35975,6.309,28.2875,14.9095,56.803,1.467,0,"Silty Clay Loam",32.07227707
