"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Nyssa biflora",30.393717,-88.306258,4.799,12.005,63.57,24.425,1.6066,1,"Sandy Loam",1.319883823
"Nyssa biflora",35.002759,-79.538061,5,11.95,53.008,35.042,1.403,0,"Other",98.77416992
"Nyssa biflora",32.599858,-85.505615,5.85,27.9975,54.5915,17.411,1.36325,0,"Sandy Clay Loam",198.7790833
"Nyssa biflora",28.091295,-80.657822,5.27196819085487,5.78213399503722,90.6724565756824,3.5454094292804,0.8808875,1,"Loamy Sand",6.901299477
"Nyssa biflora",34.583363,-92.244378,5.024,18.745,11.546,69.709,1.45,0.1,"Silt Loam",69.98026276
"Nyssa biflora",33.137949,-79.474483,4.62857142857143,5.14821428571429,89.495,5.35678571428571,1.52167857142857,0,"Loamy Sand",10.77809238
"Nyssa biflora",28.581613,-81.008688,6.31833333333333,5.53166666666667,90.8893333333333,3.579,1.53833333333333,0.1,"Loamy Sand",5.763714314
"Nyssa biflora",30.5675,-86.54666,4.97366666666667,2.63433333333333,90.63,6.73566666666667,1.66801666666667,0.1,"Loamy Sand",31.85456276
"Nyssa biflora",31.209303,-81.947319,4.61766666666667,2.958,93.178,3.864,1.4769,0.0823333333333333,"Loamy Sand",17.50462532
"Nyssa biflora",36.05067,-85.502572,5.253,31.725,14.03,54.245,1.4255,0,"Silty Clay Loam",299.5429382
"Nyssa biflora",28.333045,-81.200424,5.41232638888889,2.52777777777778,96.1789930555556,1.29322916666667,1.56734375,1,"Loamy Sand",21.98521042
"Nyssa biflora",30.90514,-87.977369,5.6,23.0297397769517,8.18959107806691,31.6059479553903,0.59672,2.707,"Silty Clay",0.769118309
"Nyssa biflora",30.781988,-88.076587,4.64625,5.18975,29.0335,13.27675,0.82175,0.325,"Sandy Loam",0.506465495
"Nyssa biflora",37.408355,-76.723124,5,17.19,43.7005,39.1095,1.43575,0,"Loam",1.717437863
"Nyssa biflora",30.36783,-87.409169,4.58823529411765,37.4963235294118,35.2992647058824,27.2044117647059,0.9387,0.1,"Clay Loam",0.759474635
"Nyssa biflora",28.481958,-81.119227,6.004,4.05675,93.0335,2.90975,1.5835,1,"Loamy Sand",13.05724716
"Nyssa biflora",35.033661,-85.025057,5,26.3380281690141,36.2816901408451,37.3802816901408,1.53732394366197,0,"Loam",261.4138184
"Nyssa biflora",30.588056,-88.646667,5,13.4,47.605,38.995,1.585,0,"Loam",29.56471634
"Nyssa biflora",29.632744,-82.254861,4.60707395498392,6.06591639871383,88.6504823151125,5.28360128617363,1.1934,0.1,"Loamy Sand",20.25426483
"Nyssa biflora",28.581849,-81.009031,6.31833333333333,5.53166666666667,90.8893333333333,3.579,1.53833333333333,0.1,"Loamy Sand",5.136697769
"Nyssa biflora",28.086705,-81.400108,5.41232638888889,2.52777777777778,96.1789930555556,1.29322916666667,1.56734375,1,"Loamy Sand",20.01211929
"Nyssa biflora",30.336758,-82.174867,4.7608,4.866,90.0882,5.0458,1.50944,0.3898,"Loamy Sand",40.56997681
"Nyssa biflora",27.51147,-82.445075,6.82057761732852,10.5490974729242,80.2776173285199,9.17328519855596,1.47061666666667,1,"Sandy Loam",1.752897859
"Nyssa biflora",29.689282,-81.993431,5.355,1.44957142857143,97.4585714285714,1.09185714285714,1.57632857142857,1,"Loamy Sand",46.14808655
"Nyssa biflora",38.520596,-75.456856,4.535,2.80666666666667,12.8333333333333,16.0266666666667,0.579433333333333,1,"Silt Loam",9.819952011
"Nyssa biflora",30.520108,-88.154336,4.64625,5.18975,29.0335,13.27675,0.82175,0.325,"Sandy Loam",9.195174217
"Nyssa biflora",30.388614,-89.22355,4.7875,11.23175,60.68075,28.0875,1.589,1,"Sandy Loam",5.528484344
"Nyssa biflora",28.086722,-81.400043,5.41232638888889,2.52777777777778,96.1789930555556,1.29322916666667,1.56734375,1,"Loamy Sand",20.00801659
"Nyssa biflora",28.151124,-82.461483,5.3736,1.751,97.3578,0.8912,1.56688,1,"Loamy Sand",21.67227745
"Nyssa biflora",35.407428,-85.003328,5.69484536082474,47.0618556701031,21.6680412371134,31.2701030927835,1.46030927835052,0,"Clay",209.197525
"Nyssa biflora",30.506843,-89.96636,4.68733333333333,17.7633333333333,54.1483333333333,28.0883333333333,1.54836666666667,0.864666666666667,"Sandy Loam",12.07188606
"Nyssa biflora",28.640347,-81.298694,5.44166666666667,2.41125,95.923717948718,0.984935897435897,1.22455,0.1,"Loamy Sand",17.62342834
"Nyssa biflora",30.56555,-86.53666,4.77875,10.53625,73.3935,16.07025,1.2877,0.1,"Sandy Loam",6.720830441
"Nyssa biflora",38.472222,-90.824722,6.99766666666667,15.031,14.9843333333333,69.9846666666667,1.4378,1,"Silt Loam",172.9487
"Nyssa biflora",30.56138,-86.53722,4.77875,10.53625,73.3935,16.07025,1.2877,0.1,"Sandy Loam",6.199581623
"Nyssa biflora",34.80741,-78.76634,4.5,1.8,83.5,9,0.73,0,"Loamy Sand",26.8131237
"Nyssa biflora",34.58928,-78.44781,4.53333333333333,9.13666666666667,76.3866666666667,14.4766666666667,1.4767,0.333333333333333,"Sandy Loam",18.63692093
"Nyssa biflora",34.587694,-77.671111,4.8,4.42,94.6585,0.9215,1.49775,0,"Loamy Sand",8.215895653
"Nyssa biflora",32.99996,-87.686045,4.93333333333333,37.7366666666667,20.9566666666667,41.3066666666667,1.42366666666667,0.5,"Silty Clay",32.82260513
"Nyssa biflora",30.062886,-81.62777,5.16514285714286,2.85928571428571,93.9802857142857,3.16042857142857,1.47631428571429,0.1,"Loamy Sand",9.188256264
"Nyssa biflora",30.509944,-88.494597,4.6,12.65,47.33,40.02,1.45,0,"Loam",5.080286503
"Nyssa biflora",27.340572,-81.397941,5.22916666666667,1.80333333333333,97.339,0.857666666666667,1.47185,0.1,"Loamy Sand",21.6230793
"Nyssa biflora",32.546917,-82.6692,6.5945,18.5625,69.441,11.9965,1.4165,0,"Sandy Loam",103.6641617
"Nyssa biflora",30.898,-86.6209,5.0362,11.8948,77.3346,10.7706,1.529,0.1,"Sandy Loam",49.40522003
"Nyssa biflora",30.455785,-84.511297,5.275,2.177,92.987,4.836,1.6425,0.1,"Loamy Sand",20.50732231
"Nyssa biflora",29.788975,-81.944501,4.71428571428571,2.05828571428571,94.5,2.30685714285714,1.50182857142857,0.1,"Loamy Sand",28.07722282
"Nyssa biflora",36.813823,-76.854975,5.041,11.99625,71.5925,16.41125,1.453625,0,"Sandy Loam",10.74814034
"Nyssa biflora",30.140224,-81.650576,4.9,3.9025,94.5,0.80425,1.474075,0.1,"Loamy Sand",6.131708622
"Nyssa biflora",30.54472,-82.71139,4.589,5.01633333333333,90.3866666666667,4.597,1.57133333333333,0.1,"Loamy Sand",29.91835785
"Nyssa biflora",30.40805,-84.43666,5.33933333333333,4.04566666666667,87.074,8.88033333333333,1.61926666666667,0.1,"Loamy Sand",31.20584297
"Nyssa biflora",31.163889,-90.847222,5.293,15.65475,14.12275,70.2225,1.470725,0.25,"Silt Loam",83.74544525
"Nyssa biflora",31.02361,-86.00528,4.989,18.955,61.995,19.05,1.58135,0.1,"Sandy Loam",40.27342224
"Nyssa biflora",31.30296,-88.47599,4.863,28.5225,41.2665,30.211,1.487525,1.25,"Clay Loam",60.03377914
"Nyssa biflora",32.170761,-89.280479,5.526,63.725,11.246,25.029,1.179,0,"Clay",112.8598785
"Nyssa biflora",30.891607,-89.998905,4.8225,15.6895,62.26375,22.04675,1.6043,0.57,"Sandy Loam",76.66864777
"Nyssa biflora",30.98083,-89.944844,4.92266666666667,15.99,43.0006666666667,41.0093333333333,1.52666666666667,0,"Loam",54.50032043
"Nyssa biflora",37.244138,-82.09718,5.1675,23.4020618556701,24.4278350515464,52.1701030927835,1.39565,0,"Silt Loam",573.8266602
"Nyssa biflora",31.249574,-83.719112,4.742,14.534,75.429,10.037,1.59706666666667,0.666666666666667,"Sandy Loam",96.36682892
"Nyssa biflora",30.740642,-82.134515,4.88666666666667,4.38333333333333,89.1133333333333,6.50333333333333,1.4635,0.0333333333333333,"Loamy Sand",43.13618469
"Nyssa biflora",35.04155,-79.395506,5.05,13.38,74.424,12.196,1.658,0,"Sandy Loam",116.4279251
"Nyssa biflora",30.095843,-84.97908,4.6,6.73,85.335,7.935,1.59306666666667,0.1,"Loamy Sand",11.11986065
