"species","decimalLatitude","decimalLongitude"
"Ostrya virginiana",38.944307,-92.369381
"Ostrya virginiana",43.299822,-78.865713
"Ostrya virginiana",43.282222,-77.198889
"Ostrya virginiana",39.298142,-84.695137
"Ostrya virginiana",44.325455,-72.473081
"Ostrya virginiana",29.622859,-82.310913
"Ostrya virginiana",32.486478,-85.603487
"Ostrya virginiana",31.863765,-91.753295
"Ostrya virginiana",43.995578,-73.183307
"Ostrya virginiana",34.285378,-87.39904
"Ostrya virginiana",43.6347,-72.550225
"Ostrya virginiana",32.568272,-93.934748
"Ostrya virginiana",31.445095,-91.183992
"Ostrya virginiana",44.208534,-72.494453
"Ostrya virginiana",42.460242,-71.162865
"Ostrya virginiana",47.23226,-93.56991
"Ostrya virginiana",46.397685,-87.02601
"Ostrya virginiana",42.304087,-83.638947
"Ostrya virginiana",44.45919,-93.184829
"Ostrya virginiana",40.759349,-73.755903
"Ostrya virginiana",42.993402,-76.088356
"Ostrya virginiana",37.517368,-89.38109
"Ostrya virginiana",44.477647,-73.186128
"Ostrya virginiana",41.750309,-88.119864
"Ostrya virginiana",43.825005,-70.2593
"Ostrya virginiana",40.48458,-79.977858
"Ostrya virginiana",34.641888,-82.858444
"Ostrya virginiana",44.231768,-69.142717
"Ostrya virginiana",43.5997,-72.517067
"Ostrya virginiana",42.591028,-96.709657
"Ostrya virginiana",44.202555,-72.606522
"Ostrya virginiana",40.653392,-74.548159
"Ostrya virginiana",44.323398,-72.433753
"Ostrya virginiana",32.413142,-94.831446
"Ostrya virginiana",42.651637,-77.969284
"Ostrya virginiana",33.220272,-87.54823
"Ostrya virginiana",41.679273,-87.86281
"Ostrya virginiana",38.903859,-91.573513
"Ostrya virginiana",41.143244,-82.274691
"Ostrya virginiana",41.839062,-73.944443
"Ostrya virginiana",42.304088,-72.520183
"Ostrya virginiana",47.1757,-88.582266
"Ostrya virginiana",44.664997,-73.340705
"Ostrya virginiana",33.628148,-86.845528
"Ostrya virginiana",41.380028,-70.735817
"Ostrya virginiana",44.842908,-93.370747
"Ostrya virginiana",42.3422,-72.183598
"Ostrya virginiana",46.35715,-69.044542
"Ostrya virginiana",42.698768,-84.476367
"Ostrya virginiana",38.970225,-77.044562
"Ostrya virginiana",44.881285,-83.315993
"Ostrya virginiana",40.431967,-76.890867
"Ostrya virginiana",42.400447,-76.573472
"Ostrya virginiana",44.658895,-75.006539
"Ostrya virginiana",35.338837,-83.587395
"Ostrya virginiana",43.697706,-72.277051
"Ostrya virginiana",42.57987,-72.589233
"Ostrya virginiana",40.189788,-92.644077
"Ostrya virginiana",42.077653,-75.969777
"Ostrya virginiana",39.351565,-82.058601
"Ostrya virginiana",40.499633,-75.048103
"Ostrya virginiana",45.56678,-84.69447
"Ostrya virginiana",41.143233,-81.78208
"Ostrya virginiana",36.073859,-78.86722
"Ostrya virginiana",36.873034,-81.513672
"Ostrya virginiana",42.724975,-84.46935
"Ostrya virginiana",40.455277,-90.788889
"Ostrya virginiana",41.290706,-85.648083
"Ostrya virginiana",44.707692,-85.624894
"Ostrya virginiana",42.196818,-87.857459
"Ostrya virginiana",40.59499,-74.571483
"Ostrya virginiana",42.502124,-72.760648
"Ostrya virginiana",32.519433,-92.669934
"Ostrya virginiana",43.944581,-73.071848
"Ostrya virginiana",43.374533,-89.868866
"Ostrya virginiana",31.20336,-92.577756
"Ostrya virginiana",42.341257,-83.55339
"Ostrya virginiana",44.625314,-73.421661
"Ostrya virginiana",44.687538,-73.295383
"Ostrya virginiana",42.444611,-71.093544
"Ostrya virginiana",39.647288,-77.539195
"Ostrya virginiana",37.9,-92.925
"Ostrya virginiana",39.02555,-90.945
"Ostrya virginiana",39.4018,-88.1583
"Ostrya virginiana",38.073611,-92.561111
"Ostrya virginiana",40.33388,-92.95972
"Ostrya virginiana",38.81138,-91.14138
"Ostrya virginiana",39.245,-92.462778
"Ostrya virginiana",44.657863,-85.52894
"Ostrya virginiana",42.341734,-83.555382
"Ostrya virginiana",42.873001,-88.52412
"Ostrya virginiana",41.557426,-87.592303
"Ostrya virginiana",44.3194,-93.976112
"Ostrya virginiana",44.307733,-72.523238
"Ostrya virginiana",43.703022,-72.469122
"Ostrya virginiana",43.470387,-73.618845
"Ostrya virginiana",46.539944,-87.442993
"Ostrya virginiana",40.478426,-74.704332
"Ostrya virginiana",30.851047,-83.288685
"Ostrya virginiana",42.103454,-72.157162
"Ostrya virginiana",43.000114,-76.100403
"Ostrya virginiana",40.32008,-80.004695
"Ostrya virginiana",44.408231,-72.453853
"Ostrya virginiana",42.672532,-72.32369
"Ostrya virginiana",42.226342,-70.826912
"Ostrya virginiana",43.627012,-72.52658
"Ostrya virginiana",38.970208,-77.044562
"Ostrya virginiana",44.929367,-93.215228
"Ostrya virginiana",45.377029,-86.924174
"Ostrya virginiana",42.70409,-72.350698
"Ostrya virginiana",47.350162,-91.276725
"Ostrya virginiana",47.238961,-95.201814
"Ostrya virginiana",42.45515,-79.33925
"Ostrya virginiana",44.131898,-71.97685
"Ostrya virginiana",45.6351,-89.446244
"Ostrya virginiana",46.655883,-87.630705
"Ostrya virginiana",36.499336,-87.011506
"Ostrya virginiana",44.301143,-72.586811
"Ostrya virginiana",39.817921,-83.989576
"Ostrya virginiana",42.562441,-76.246865
"Ostrya virginiana",44.422939,-75.78511
"Ostrya virginiana",42.992328,-71.265128
"Ostrya virginiana",42.381245,-83.611008
"Ostrya virginiana",41.660653,-73.652496
"Ostrya virginiana",43.670933,-72.25045
"Ostrya virginiana",44.460939,-93.189525
"Ostrya virginiana",35.85428,-78.749237
"Ostrya virginiana",43.145026,-72.387689
"Ostrya virginiana",44.534792,-93.875399
"Ostrya virginiana",42.701282,-72.348611
"Ostrya virginiana",42.623661,-72.718856
"Ostrya virginiana",42.660879,-72.316721
"Ostrya virginiana",45.393856,-92.648909
"Ostrya virginiana",44.307781,-72.522705
"Ostrya virginiana",30.314642,-84.345663
"Ostrya virginiana",45.379195,-92.689662
"Ostrya virginiana",44.401566,-71.178017
"Ostrya virginiana",42.430912,-71.118804
"Ostrya virginiana",43.37698,-89.922317
"Ostrya virginiana",46.58474,-87.460241
"Ostrya virginiana",42.859458,-97.564056
"Ostrya virginiana",45.47512,-94.34839
"Ostrya virginiana",44.982162,-93.63523
"Ostrya virginiana",40.241847,-74.978889
"Ostrya virginiana",33.989954,-84.373636
"Ostrya virginiana",40.804298,-73.959325
"Ostrya virginiana",42.305519,-72.510178
"Ostrya virginiana",45.820807,-88.287183
"Ostrya virginiana",40.964394,-72.796388
"Ostrya virginiana",38.809955,-77.509933
"Ostrya virginiana",39.985475,-75.26569
"Ostrya virginiana",42.794466,-71.320709
"Ostrya virginiana",46.598291,-87.606256
"Ostrya virginiana",45.604905,-94.475647
"Ostrya virginiana",42.35661,-84.836093
"Ostrya virginiana",44.22843,-72.487048
"Ostrya virginiana",45.420002,-84.891313
"Ostrya virginiana",29.735177,-82.450911
"Ostrya virginiana",42.635763,-71.136367
"Ostrya virginiana",42.971117,-72.295272
"Ostrya virginiana",35.969775,-78.640928
"Ostrya virginiana",40.373018,-78.081658
"Ostrya virginiana",45.948029,-89.818901
"Ostrya virginiana",46.6431,-87.508448
"Ostrya virginiana",35.928516,-78.966276
"Ostrya virginiana",36.145814,-86.57312
"Ostrya virginiana",42.886541,-73.832961
"Ostrya virginiana",46.395556,-87.023152
"Ostrya virginiana",41.992196,-93.880282
"Ostrya virginiana",42.70402,-72.350216
"Ostrya virginiana",36.061964,-78.965623
"Ostrya virginiana",47.231739,-93.564769
