"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Oxydendrum arboreum",35.894852,-78.579037,4.76,33.85,45.45,20.7,1.5498,0,"Sandy Clay Loam",92.03353882
"Oxydendrum arboreum",35.405378,-85.136697,4.82727272727273,23.4744318181818,31.1789772727273,45.3465909090909,1.40511363636364,0,"Loam",424.8838501
"Oxydendrum arboreum",35.085011,-79.89743,4.94430379746836,45.4177215189873,16.6962025316456,37.8860759493671,1.33316455696203,0,"Clay",77.26079559
"Oxydendrum arboreum",35.100681,-80.073464,5.64,25.88,22.74,51.38,1.3,0,"Silt Loam",71.88697052
"Oxydendrum arboreum",33.392418,-84.607615,5.8,41.72,34.476,23.804,1.4,0,"Clay",245.5644836
"Oxydendrum arboreum",35.722662,-83.378986,4.8,19.9518072289157,55.8367469879518,24.2114457831325,1.46409638554217,0,"Sandy Loam",664.4666138
"Oxydendrum arboreum",35.514988,-78.952133,5.09,45.3,43.102,11.598,1.4,0,"Clay",94.54307556
"Oxydendrum arboreum",30.498587,-84.679962,5.0688,20.9576,70.8278,8.2146,1.5152,0.1,"Sandy Loam",67.58246613
"Oxydendrum arboreum",35.831025,-82.114799,4.8,12.5366666666667,67.76,19.7033333333333,1.5108,0,"Sandy Loam",1031.746338
"Oxydendrum arboreum",35.834425,-78.75545,5.24,44.8,43.2,12,1.516,0,"Clay",124.8292236
"Oxydendrum arboreum",35.739624,-79.947884,4.7860824742268,41.6365979381443,15.9252577319588,42.4381443298969,1.42164948453608,0,"Silty Clay",172.4229736
"Oxydendrum arboreum",35.523138,-78.991563,5.5105,25.12,39.813,35.067,1.41825,0,"Loam",53.91408539
"Oxydendrum arboreum",36.521452,-80.630377,6.2,30,55.5,14.5,1.65,0,"Sandy Clay Loam",363.5088196
"Oxydendrum arboreum",37.065741,-76.431421,4.8,33.86,30.92,35.22,1.382,0,"Clay Loam",5.717576504
"Oxydendrum arboreum",35.954063,-79.035121,4.5,16,29.7,54.3,1.5,0,"Silt Loam",110.4287567
"Oxydendrum arboreum",38.053585,-81.059578,4.4,17.1073446327684,41.638418079096,39.4067796610169,1.34531073446328,0,"Loam",569.1901245
"Oxydendrum arboreum",39.627361,-79.868322,5.0105,25.2113402061856,16.9092783505155,57.879381443299,1.4553,0,"Silt Loam",401.104126
"Oxydendrum arboreum",37.837288,-83.620294,4.75081967213115,14.4754098360656,65.4229508196721,20.1016393442623,1.29295081967213,0,"Sandy Loam",345.3571472
"Oxydendrum arboreum",36.5079,-82.61143,5.3,14,44.8,41.2,1.48,0,"Loam",534.9284058
"Oxydendrum arboreum",35.719155,-78.690147,5.34,35.03,44.08,20.89,1.5207,0,"Clay Loam",91.01251221
"Oxydendrum arboreum",35.529918,-83.065673,5.339,19.87,44.7,35.43,1.4993,0,"Loam",1126.038208
"Oxydendrum arboreum",33.984333,-84.174837,5.147,34.175,38.695,27.13,1.325,0,"Clay Loam",326.0716553
"Oxydendrum arboreum",35.192755,-82.612727,5.9115,22.1875,47.106,30.7065,1.34475,0,"Loam",768.9768066
"Oxydendrum arboreum",31.61177,-87.812837,4.93025,17.8445,59.82275,22.33275,1.516575,0,"Sandy Loam",103.9055405
"Oxydendrum arboreum",36.605145,-83.667142,4.8,14.7727272727273,44.3530303030303,40.8742424242424,1.48,0,"Loam",716.4994507
"Oxydendrum arboreum",37.838253,-83.638367,4.75081967213115,14.4754098360656,65.4229508196721,20.1016393442623,1.29295081967213,0,"Sandy Loam",371.8729858
"Oxydendrum arboreum",37.91299,-81.13515,4.981,18.43,34.92,43.65,1.3588,0,"Loam",542.661377
"Oxydendrum arboreum",36.043648,-86.979256,5.85297872340426,38.5553191489362,13.4636170212766,47.9810638297872,1.39104255319149,0.1,"Silty Clay",223.4514618
"Oxydendrum arboreum",34.853347,-86.051575,5.18292682926829,15.8048780487805,67.3658536585366,16.8292682926829,1.58780487804878,0.1,"Sandy Loam",519.56427
"Oxydendrum arboreum",37.014558,-83.980369,4.6,23.8223684210526,48.0907894736842,28.0868421052632,1.3,0,"Loam",361.7526855
"Oxydendrum arboreum",36.081636,-79.160142,5.545,32.35,17.78,49.87,1.4947,0,"Silty Clay Loam",195.4197845
"Oxydendrum arboreum",31.066367,-91.518742,5.31675,19.768,22.79675,57.43525,1.463775,0,"Silt Loam",55.38022614
"Oxydendrum arboreum",36.807248,-88.019102,5,23.92,35.326,40.754,1.4746,0,"Loam",131.0321045
"Oxydendrum arboreum",37.381192,-80.183792,5.644,47.9,22.2,29.9,1.3365,0,"Clay",576.4992676
"Oxydendrum arboreum",35.939636,-78.803626,5.12,47.725,25.858,26.417,1.2845,0,"Clay",124.4253998
"Oxydendrum arboreum",39.345531,-82.074358,5,13.2872340425532,61.5478723404255,25.1648936170213,1.27553191489362,0,"Sandy Loam",248.6023712
"Oxydendrum arboreum",33.73511,-84.346481,5.326,35.52,41.345,23.135,1.3635,0,"Clay Loam",291.6853943
"Oxydendrum arboreum",36.205208,-81.358222,5.07624309392265,13.5110497237569,60.0381215469613,26.4508287292818,1.49104972375691,0,"Sandy Loam",616.9700317
"Oxydendrum arboreum",35.215261,-81.29442,5.09,35.9,13.58,50.52,1.3976,0,"Silty Clay",270.5614014
"Oxydendrum arboreum",35.148639,-79.369097,4.89333333333333,11.2533333333333,64.8856666666667,23.861,1.54146666666667,0,"Sandy Loam",133.642807
"Oxydendrum arboreum",37.316177,-76.708184,5,17.19,43.7005,39.1095,1.43575,0,"Loam",16.43778229
"Oxydendrum arboreum",39.426125,-82.543817,4.732,22.3054755043228,27.9951008645533,49.6994236311239,1.47374285714286,0,"Loam",280.7441406
"Oxydendrum arboreum",36.50562,-78.018987,5.34,35.22,46.371,18.409,1.357,0,"Sandy Clay",70.66336823
"Oxydendrum arboreum",35.096429,-83.725058,4.75714285714286,20.3365384615385,54.125,25.5384615384615,1.40946428571429,0,"Sandy Loam",722.8939209
"Oxydendrum arboreum",34.80423,-84.438933,4.8,17.90625,47.2916666666667,34.8020833333333,1.45,0,"Loam",650.2382813
"Oxydendrum arboreum",34.118135,-83.796097,5.1,44.5,50.3,5.2,1.48,0,"Sandy Clay",284.2239075
"Oxydendrum arboreum",30.361038,-86.115953,5.0102,2.5444,93.456,3.9996,1.48632,0.1,"Loamy Sand",4.475675106
"Oxydendrum arboreum",35.605873,-78.765251,4.76,33.85,45.45,20.7,1.5498,0,"Sandy Clay Loam",103.0736389
"Oxydendrum arboreum",35.817116,-78.726364,5.34,35.03,44.08,20.89,1.5207,0,"Clay Loam",115.0033798
"Oxydendrum arboreum",33.308739,-86.771644,5.22058823529412,26.1176470588235,33.5882352941176,40.2941176470588,1.51875,0.1,"Loam",207.5479126
"Oxydendrum arboreum",35.896633,-83.944053,5.33384615384615,35.3125,30.8475,32.2974358974359,1.40794871794872,0,"Clay Loam",265.2422791
"Oxydendrum arboreum",39.387271,-80.063767,5.0105,25.2113402061856,16.9092783505155,57.879381443299,1.4553,0,"Silt Loam",325.9642334
"Oxydendrum arboreum",34.286086,-87.398162,5,19.1927710843373,50.421686746988,30.3855421686747,1.52397590361446,0.1,"Loam",186.7074738
"Oxydendrum arboreum",32.920285,-85.736928,4.691,33.79,51.794,14.416,1.399,0,"Sandy Clay Loam",228.0857239
"Oxydendrum arboreum",30.393539,-88.778114,4.77,11.8525,54.9185,33.229,1.52135,0,"Other",5.870660305
"Oxydendrum arboreum",37.23097,-80.087411,5.3,13.09,67.239,19.671,1.5,0,"Sandy Loam",687.1693726
"Oxydendrum arboreum",35.388103,-88.769508,4.84866666666667,29.365,29.9536666666667,40.6813333333333,1.49386666666667,0.755666666666667,"Clay Loam",154.9425049
"Oxydendrum arboreum",35.239722,-83.24785,5.09761904761905,24.9583333333333,45.6904761904762,29.3511904761905,1.51678571428571,0,"Loam",1148.312988
"Oxydendrum arboreum",33.227476,-89.091069,5.064,20.1416666666667,37.824,42.0343333333333,1.4932,0.5,"Loam",124.398262
"Oxydendrum arboreum",35.200462,-82.876883,5.08735632183908,14.6954022988506,69.4367816091954,15.867816091954,1.55781609195402,0,"Sandy Loam",873.5893555
"Oxydendrum arboreum",33.923297,-85.786438,4.6,21.32,27.892,50.788,1.4912,0,"Silt Loam",204.7214508
"Oxydendrum arboreum",35.889447,-82.819558,4.6,12.5,67.9,19.6,1.52048780487805,0,"Sandy Loam",489.5140991
"Oxydendrum arboreum",36.275192,-82.351333,4.65730659025788,14.8538681948424,50.8481375358166,34.297994269341,1.49134670487106,0,"Loam",780.7422485
"Oxydendrum arboreum",37.148122,-76.481012,4.6,43.025,8.911,48.064,1.34175,0,"Silty Clay",11.9207325
"Oxydendrum arboreum",35.274194,-82.449821,4.826,36.675,32.71,30.615,1.3088,0,"Clay Loam",673.1671143
"Oxydendrum arboreum",33.194107,-86.998985,5.22058823529412,26.1176470588235,33.5882352941176,40.2941176470588,1.51875,0.1,"Loam",134.6277618
"Oxydendrum arboreum",33.873389,-84.314056,5.206,28.925,44.936,26.139,1.3445,0,"Clay Loam",295.6663513
"Oxydendrum arboreum",37.244033,-84.50149,4.6,24.88,7.558,67.562,1.5226,0,"Silt Loam",329.1330261
"Oxydendrum arboreum",35.851917,-78.664413,5.5355,25.915,33.485,40.6,1.4483,0,"Loam",70.87633514
"Oxydendrum arboreum",35.498801,-80.062747,4.80110497237569,43.439226519337,18.6685082872928,37.8922651933702,1.42872928176796,0,"Clay",169.6341705
"Oxydendrum arboreum",35.793817,-82.95713,5.29585798816568,16,43.8,40.2,1.4714201183432,0,"Loam",1355.772827
"Oxydendrum arboreum",34.740614,-83.478602,5.596,15.27,55.207,29.523,1.4305,0,"Sandy Loam",595.4162598
"Oxydendrum arboreum",35.907365,-78.961286,5.12,47.725,25.858,26.417,1.2845,0,"Clay",75.86930084
"Oxydendrum arboreum",34.955076,-85.378232,5,21.2857142857143,45.4285714285714,33.2857142857143,1.53232142857143,0.1,"Loam",563.1430664
"Oxydendrum arboreum",34.740101,-83.391324,4.6,24.9444444444444,57.1121212121212,17.9434343434343,1.3,0,"Sandy Loam",467.8463135
"Oxydendrum arboreum",34.242936,-84.143374,5.5,23.515,58.284,18.201,1.4,0,"Sandy Loam",415.6092529
"Oxydendrum arboreum",35.153133,-79.363862,4.6,10,66.9,23.1,1.53,0,"Sandy Loam",112.8243027
"Oxydendrum arboreum",35.1945,-79.336538,4.89333333333333,11.2533333333333,65.9306666666667,22.816,1.54146666666667,0,"Sandy Loam",105.831543
"Oxydendrum arboreum",38.73742,-80.518543,4.64430379746835,29.0540540540541,25.3040540540541,45.6418918918919,1.25158227848101,0,"Clay Loam",421.7599182
"Oxydendrum arboreum",35.494327,-82.605854,5.85,16.41,49.447,34.143,1.507,0,"Loam",625.5043945
"Oxydendrum arboreum",33.852386,-84.51634,5.2315,35.76,38.1885,26.0515,1.365,0,"Clay Loam",280.9824524
"Oxydendrum arboreum",35.763226,-78.683968,5.34,35.03,44.08,20.89,1.5207,0,"Clay Loam",84.99249268
"Oxydendrum arboreum",32.995442,-87.137169,4.73333333333333,17.93,37.9796666666667,44.0903333333333,1.51466666666667,0,"Loam",87.07485962
"Oxydendrum arboreum",35.499202,-82.610218,5.5,39.7,34.18,26.12,1.416,0,"Clay Loam",662.8428955
"Oxydendrum arboreum",35.404461,-82.662298,5.33266666666667,12.845,75.297,11.858,1.27326666666667,0,"Sandy Loam",730.836792
"Oxydendrum arboreum",38.74202,-83.209017,4.808,18.5225,26.281,55.1965,1.4122,0,"Silt Loam",277.0211792
"Oxydendrum arboreum",35.756239,-78.714183,5.34,35.03,44.08,20.89,1.5207,0,"Clay Loam",117.0438843
"Oxydendrum arboreum",37.489848,-84.437748,5.01105527638191,32.9321608040201,3.8608040201005,63.2070351758794,1.42005025125628,0,"Silty Clay Loam",310.7362061
"Oxydendrum arboreum",38.116164,-83.543097,5.724,20.78,14.688,64.532,1.4072,0,"Silt Loam",204.3821259
"Oxydendrum arboreum",35.19977,-82.869837,5.08735632183908,14.6954022988506,69.4367816091954,15.867816091954,1.55781609195402,0,"Sandy Loam",887.7295532
"Oxydendrum arboreum",38.924681,-79.951906,5.0105,25.2113402061856,16.9092783505155,57.879381443299,1.4553,0,"Silt Loam",655.8327637
"Oxydendrum arboreum",35.83052,-83.592828,5.59173553719008,45.1487603305785,22.7851239669421,32.0661157024793,1.47264462809917,0,"Clay",308.8765869
"Oxydendrum arboreum",35.683746,-78.468964,5.45,34.175,37.863,27.962,1.3824,0,"Clay Loam",72.69864655
"Oxydendrum arboreum",34.619247,-87.802529,4.95366666666667,39.67,29.8766666666667,30.4533333333333,1.42693333333333,0.1,"Clay Loam",216.0819092
"Oxydendrum arboreum",31.966463,-89.648586,4.7475,20.747,56.0105,23.2425,1.573875,0.78775,"Sandy Loam",115.977829
"Oxydendrum arboreum",35.681703,-78.468261,5.5,17.1,64.01,18.89,1.4385,0,"Sandy Loam",77.47878265
"Oxydendrum arboreum",34.819183,-77.185005,4.9,12.39625,62.13275,25.471,1.469,0,"Sandy Loam",4.705151558
"Oxydendrum arboreum",36.162066,-78.971442,6.556,35.215,37.6655,27.1195,1.3845,0,"Clay Loam",173.3889618
"Oxydendrum arboreum",34.05262,-84.205903,5.315,35.245,40.843,21.112,1.3925,0,"Clay Loam",307.2922668
"Oxydendrum arboreum",38.914731,-79.953977,5.0105,25.2113402061856,16.9092783505155,57.879381443299,1.4553,0,"Silt Loam",664.6036377
"Oxydendrum arboreum",36.104712,-79.147831,5,35.1,23.5,41.4,1.45,0,"Silty Clay",180.6832733
"Oxydendrum arboreum",39.344768,-82.07396,6.2,25.51,23.888,50.602,1.473,0,"Silt Loam",242.4060822
"Oxydendrum arboreum",35.731259,-78.435203,5.495,18.18,63.48,18.34,1.61025,0,"Sandy Loam",76.48266602
"Oxydendrum arboreum",35.533666,-82.797259,5.3,23.625,53.27,23.105,1.4184,0,"Sandy Loam",822.7606812
"Oxydendrum arboreum",36.06052,-79.11992,5,35.1,23.5,41.4,1.45,0,"Silty Clay",214.8536835
"Oxydendrum arboreum",35.916338,-78.919472,5.12,47.725,25.858,26.417,1.2845,0,"Clay",104.2114944
"Oxydendrum arboreum",34.746696,-77.410728,4.5625,12.77375,67.64275,19.5835,1.50325,0,"Sandy Loam",5.653666973
"Oxydendrum arboreum",35.24818,-85.239158,4.82727272727273,23.4744318181818,31.1789772727273,45.3465909090909,1.40511363636364,0,"Loam",257.5116577
"Oxydendrum arboreum",35.679055,-78.355681,5.45,34.175,37.863,27.962,1.3824,0,"Clay Loam",89.3075943
"Oxydendrum arboreum",31.349912,-89.417618,4.8,11.15,63.8825,24.9675,1.54475,0,"Sandy Loam",84.88017273
"Oxydendrum arboreum",35.527994,-85.022808,5.01185031185031,22.7609147609148,41.8322245322245,35.4068607068607,1.5075051975052,0,"Loam",260.0946655
"Oxydendrum arboreum",35.933114,-78.973436,4.5,41.11,31.454,27.436,1.4504,0,"Clay",76.74520874
"Oxydendrum arboreum",35.19124,-79.339819,4.89333333333333,11.2533333333333,65.9306666666667,22.816,1.54146666666667,0,"Sandy Loam",92.79631042
