"species","decimalLatitude","decimalLongitude"
"Persea borbonia",30.283097,-85.981928
"Persea borbonia",28.011126,-80.532998
"Persea borbonia",29.90276,-95.143258
"Persea borbonia",30.029655,-95.274028
"Persea borbonia",29.62167,-82.3329
"Persea borbonia",30.446157,-84.42686
"Persea borbonia",27.319023,-82.503875
"Persea borbonia",26.410205,-80.093665
"Persea borbonia",30.254405,-94.170537
"Persea borbonia",30.329547,-81.779572
"Persea borbonia",29.444441,-83.026471
"Persea borbonia",29.881186,-81.288246
"Persea borbonia",29.853141,-81.279412
"Persea borbonia",30.59606,-81.450043
"Persea borbonia",28.939305,-81.336948
"Persea borbonia",30.317222,-94.835278
"Persea borbonia",30.356642,-91.095277
"Persea borbonia",26.973911,-81.890031
"Persea borbonia",30.324317,-86.152436
"Persea borbonia",32.841452,-79.851799
"Persea borbonia",30.150539,-84.277349
"Persea borbonia",29.802314,-81.501961
"Persea borbonia",30.342777,-95.483091
"Persea borbonia",29.700016,-95.452018
"Persea borbonia",30.569467,-81.444751
"Persea borbonia",29.715377,-82.460654
"Persea borbonia",26.489682,-81.526135
"Persea borbonia",29.74772,-85.391092
"Persea borbonia",27.421878,-82.466675
"Persea borbonia",30.1535,-95.568764
"Persea borbonia",29.668008,-81.252297
"Persea borbonia",27.613977,-82.245967
"Persea borbonia",30.210975,-95.2648
"Persea borbonia",25.692862,-80.671281
"Persea borbonia",29.760994,-81.279022
"Persea borbonia",30.726545,-94.140442
"Persea borbonia",30.459826,-94.441429
"Persea borbonia",31.174283,-81.376717
"Persea borbonia",29.868005,-81.276353
"Persea borbonia",29.898081,-81.331159
"Persea borbonia",27.318218,-82.50473
"Persea borbonia",29.38994,-81.088178
"Persea borbonia",30.30075,-95.69284
"Persea borbonia",30.502762,-81.450447
"Persea borbonia",30.580109,-94.378137
"Persea borbonia",29.747717,-85.391175
"Persea borbonia",29.246383,-81.642023
"Persea borbonia",29.763284,-95.363272
"Persea borbonia",30.99507,-94.422144
"Persea borbonia",30.083667,-81.338172
"Persea borbonia",30.356264,-91.095346
"Persea borbonia",30.470164,-88.104844
"Persea borbonia",28.002894,-97.094003
"Persea borbonia",28.288949,-96.814256
"Persea borbonia",28.801912,-81.382858
"Persea borbonia",30.291444,-86.046815
"Persea borbonia",34.643676,-78.499943
"Persea borbonia",35.574311,-75.92598
"Persea borbonia",31.807458,-81.457871
"Persea borbonia",31.21271,-81.49645
"Persea borbonia",29.890487,-81.40004
"Persea borbonia",29.271854,-82.831233
"Persea borbonia",30.456005,-88.625101
"Persea borbonia",29.552675,-83.236232
"Persea borbonia",36.779525,-76.029142
"Persea borbonia",34.784437,-77.661832
"Persea borbonia",32.5911,-82.299763
"Persea borbonia",35.794421,-78.698658
"Persea borbonia",34.637018,-80.159227
"Persea borbonia",34.028535,-79.710233
"Persea borbonia",25.785705,-80.231768
"Persea borbonia",30.253809,-95.456051
"Persea borbonia",29.198228,-81.109694
"Persea borbonia",25.42061,-80.604551
"Persea borbonia",27.57957,-82.574287
"Persea borbonia",29.352505,-81.089067
"Persea borbonia",26.568881,-80.072988
"Persea borbonia",30.234896,-95.493236
"Persea borbonia",28.812811,-82.495011
"Persea borbonia",30.397825,-88.790876
"Persea borbonia",30.343427,-95.483568
"Persea borbonia",30.254483,-94.17022
"Persea borbonia",28.307325,-96.804247
"Persea borbonia",33.441833,-79.113859
"Persea borbonia",29.046805,-80.901321
"Persea borbonia",28.291128,-96.810417
"Persea borbonia",28.041885,-82.401321
"Persea borbonia",29.904092,-81.292769
"Persea borbonia",29.350065,-81.088967
"Persea borbonia",28.398648,-96.941692
"Persea borbonia",30.46166,-94.35166
"Persea borbonia",30.60869,-88.64697
"Persea borbonia",30.583833,-83.054444
"Persea borbonia",26.6602,-82.1487
"Persea borbonia",29.200917,-82.038933
"Persea borbonia",30.746333,-81.737333
"Persea borbonia",27.80819,-81.50125
"Persea borbonia",29.645167,-82.344333
"Persea borbonia",27.956572,-80.505253
"Persea borbonia",30.743523,-81.516434
"Persea borbonia",30.02498,-95.26103
"Persea borbonia",29.41273,-82.561795
"Persea borbonia",34.095258,-78.300094
"Persea borbonia",35.166667,-79.375
"Persea borbonia",30.555741,-94.809794
"Persea borbonia",30.387833,-81.497167
"Persea borbonia",30.0433,-81.3287
"Persea borbonia",30.036611,-95.437278
"Persea borbonia",29.041697,-81.453898
"Persea borbonia",31.861235,-82.055828
"Persea borbonia",28.930162,-80.82615
"Persea borbonia",30.237378,-81.705338
"Persea borbonia",27.317997,-82.503784
"Persea borbonia",30.089706,-95.37973
"Persea borbonia",29.765906,-95.440886
"Persea borbonia",29.299398,-81.105186
