"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Pinus echinata",36.911014,-76.043582,5.768,19.7,43.7833333333333,36.5166666666667,0.844666666666667,59.64,"Loam",1.041063428
"Pinus echinata",36.074836,-79.012153,4.58,42,16.8,41.2,1.415,0,"Silty Clay",136.6408386
"Pinus echinata",32.262609,-86.83659,5.3,19.545,63.969,16.486,1.4757,0,"Sandy Loam",116.6264801
"Pinus echinata",33.516809,-80.48078,5.31,8.26,87.378,4.362,1.5046,0,"Loamy Sand",24.72488403
"Pinus echinata",32.546607,-92.164,5.3,21.57,9.592,68.838,1.45,0,"Silt Loam",31.37000847
"Pinus echinata",36.068325,-78.85297,5.138,34.83,55.233,9.937,1.4265,0,"Sandy Clay Loam",98.28614807
"Pinus echinata",36.382151,-93.734022,5.35706806282723,32.1957671957672,19.484126984127,48.3201058201058,1.36698952879581,0.198952879581152,"Silty Clay Loam",444.3630371
"Pinus echinata",38.906096,-77.686798,5,25.66,33.352,40.988,1.3175,0,"Loam",240.0366821
"Pinus echinata",35.726653,-79.105239,4.85911602209945,36.5828729281768,19.3530386740332,44.0640883977901,1.40828729281768,0,"Silty Clay",97.30287933
"Pinus echinata",39.085703,-78.50018,4.91590909090909,16.8608,29.384,53.7552,1.37818181818182,0,"Silt Loam",538.0078125
"Pinus echinata",35.899503,-79.033067,5,42.405,23.23,34.365,1.277,0,"Clay",88.80006409
"Pinus echinata",36.118722,-95.130991,4.841,25.09,21.2805,53.6295,1.43895,0.15,"Silt Loam",264.2073669
"Pinus echinata",33.226351,-79.478206,5.3,4.5,94.913,0.587,1.4631,0,"Loamy Sand",4.987409592
"Pinus echinata",36.107885,-92.255422,5.72217741935484,25.1229838709677,45.6883064516129,29.1887096774194,1.44383064516129,0.153629032258065,"Loam",201.8264465
"Pinus echinata",36.061172,-79.123367,4.5,16,29.7,54.3,1.5,0,"Silt Loam",224.6813507
