"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Pinus palustris",34.04706,-77.91439,4.846,5.996,88.5486,5.4554,1.54342,0.2,"Loamy Sand",1.793501258
"Pinus palustris",29.557182,-82.612038,5.47242857142857,4.95614285714286,91.6931428571429,3.35071428571429,1.57968571428571,0.1,"Loamy Sand",18.14146423
"Pinus palustris",34.324978,-85.248872,5.03,24.17,32.139,43.691,1.44,0,"Loam",258.7502441
"Pinus palustris",34.093252,-78.297473,4.93,11.505,70.7445,17.7505,1.425,0,"Sandy Loam",19.99695396
"Pinus palustris",28.601267,-81.192506,5.036,3.548,94.713,1.739,1.5127,0.1,"Loamy Sand",18.65275574
"Pinus palustris",30.583225,-94.381378,4.581,21.65,48.53,29.82,1.5275,0.351,"Loam",36.68129349
"Pinus palustris",34.218542,-80.992064,5.5,4,94.6,1.4,1.45,0,"Loamy Sand",153.750061
"Pinus palustris",31.320678,-89.338172,4.996,28.1116666666667,31.7116666666667,40.1766666666667,1.48666666666667,0,"Clay Loam",62.85227585
"Pinus palustris",36.814315,-76.854056,5.041,11.99625,71.5925,16.41125,1.453625,0,"Sandy Loam",11.85404396
"Pinus palustris",28.482739,-81.110048,5.036,3.548,94.713,1.739,1.5127,0.1,"Loamy Sand",19.10127258
"Pinus palustris",30.473256,-84.617823,5.3808,4.5828,90.669,4.7482,1.5368,0.1,"Loamy Sand",57.6102066
"Pinus palustris",33.836022,-80.827888,5.5,42.67,29.692,27.638,1.32425,0,"Clay",37.28936768
"Pinus palustris",27.840218,-82.301028,5.48775,1.52825,96.126,2.34575,1.463675,0.0775,"Loamy Sand",21.85351181
"Pinus palustris",31.027992,-89.129092,4.9,13.76375,55.15575,31.0805,1.53615,0,"Other",87.34963226
"Pinus palustris",30.996181,-93.005693,5.069,23.665,50.091,26.244,1.4885,0,"Other",78.66555023
"Pinus palustris",35.170963,-78.902138,4.722,14.6033333333333,59.9573333333333,25.4393333333333,1.51066666666667,0,"Sandy Loam",61.06340027
"Pinus palustris",30.110823,-81.432991,4.5174,3.82,92.1724,4.0076,1.49268,0.1,"Loamy Sand",12.53164673
"Pinus palustris",33.023518,-79.732518,5.27666666666667,3.83166666666667,95.0053333333333,1.163,1.4878,0,"Loamy Sand",13.85096645
"Pinus palustris",35.148019,-79.370777,4.666,7.225,79.38,13.395,1.587,0,"Sandy Loam",146.8421173
"Pinus palustris",32.480402,-85.561605,5,11.235,78.009,10.756,1.5,0,"Sandy Loam",166.3903198
"Pinus palustris",30.449755,-95.110846,4.785,17.865,63.557,18.578,1.548,1,"Sandy Loam",69.82949829
"Pinus palustris",30.36677,-83.24955,4.9275,2.2745,93.4085,4.317,1.479525,0.1,"Loamy Sand",25.63997269
"Pinus palustris",36.904101,-76.106994,5.6975,3.75,94.7225,1.5275,1.64025,0,"Loamy Sand",1.578259945
"Pinus palustris",32.74601,-80.104729,4.88666666666667,4.39666666666667,89.6073333333333,5.996,1.55426666666667,0.1,"Loamy Sand",8.243920326
"Pinus palustris",30.582159,-94.379006,4.5015,10.8685,45.8985,43.233,1.5119,0.209,"Loam",33.29691315
"Pinus palustris",31.147769,-94.898882,5.732,13.3,64.198,22.502,1.6152,1,"Sandy Loam",66.84185791
"Pinus palustris",28.72062,-82.493205,5.23475,1.72275,97.18675,1.0905,1.5415,0.1,"Loamy Sand",23.22120285
"Pinus palustris",30.842878,-90.414839,5.06,24.48,58.414,17.106,1.5132,0,"Sandy Loam",80.67829895
"Pinus palustris",33.833222,-80.803625,5.5,42.65,28.101,29.249,1.317,0,"Clay",35.75010681
"Pinus palustris",29.68629,-81.983532,5.355,1.44957142857143,97.4585714285714,1.09185714285714,1.57632857142857,1,"Loamy Sand",36.18620682
"Pinus palustris",31.54492,-94.320983,5.455,19.52,63.1,17.38,1.4897,0,"Sandy Loam",74.41082764
"Pinus palustris",30.487356,-81.56653,4.83305084745763,3.884,94.5,0.764618644067797,1.41906,0.1,"Loamy Sand",5.894397259
"Pinus palustris",34.407188,-80.292189,4.864,8.08,78.56,13.36,1.5398,0,"Sandy Loam",93.58827972
"Pinus palustris",32.586852,-84.50281,5.3,5.36,91.836,2.804,1.5,0,"Loamy Sand",195.5453949
"Pinus palustris",30.704015,-88.158921,5.03,3,85.95,11.05,1.643,2,"Loamy Sand",33.23610306
"Pinus palustris",28.457835,-81.372896,5.06266666666667,1.77,97.4096666666667,0.820333333333333,1.56813333333333,1,"Loamy Sand",30.24226952
"Pinus palustris",31.066999,-94.271038,5.394,14.0075,75.0415,10.951,1.52275,1,"Sandy Loam",77.34534454
"Pinus palustris",33.323066,-86.770662,5.04237288135593,27.6433333333333,15.175,49.6851694915254,1.44847457627119,0,"Silty Clay Loam",198.0690308
"Pinus palustris",30.452103,-88.652222,5.255,27.895,37.934,34.171,1.4626,0,"Clay Loam",4.470024109
"Pinus palustris",27.059181,-82.007819,5.096,2.06375,97.01825,0.918,1.5807,1,"Loamy Sand",3.239664316
"Pinus palustris",29.655533,-82.276,5.5414,1.858,96.292,1.85,1.51892,0.1,"Loamy Sand",39.42961884
"Pinus palustris",34.722538,-76.976862,4.8,2.74,95.729,1.531,1.4403,0,"Loamy Sand",9.825230598
