"species","decimalLatitude","decimalLongitude"
"Pinus virginiana",38.485097,-75.783155
"Pinus virginiana",35.152431,-85.30745
"Pinus virginiana",38.332285,-75.510347
"Pinus virginiana",39.212173,-76.91313
"Pinus virginiana",37.77365,-83.680962
"Pinus virginiana",39.454082,-76.540941
"Pinus virginiana",37.595704,-77.4725
"Pinus virginiana",38.93473,-83.358087
"Pinus virginiana",38.827633,-77.706612
"Pinus virginiana",39.237938,-76.706009
"Pinus virginiana",38.828273,-77.132198
"Pinus virginiana",35.489738,-86.077011
"Pinus virginiana",34.592694,-82.098847
"Pinus virginiana",37.017702,-84.045843
"Pinus virginiana",38.946447,-76.700262
"Pinus virginiana",39.033431,-77.182771
"Pinus virginiana",38.355275,-79.705353
"Pinus virginiana",39.114358,-76.519161
"Pinus virginiana",38.828067,-77.706208
"Pinus virginiana",37.248741,-80.40251
"Pinus virginiana",39.090979,-77.51323
"Pinus virginiana",39.414867,-76.835986
"Pinus virginiana",38.619783,-77.397592
"Pinus virginiana",38.167297,-77.189338
"Pinus virginiana",34.836254,-85.479358
"Pinus virginiana",38.980188,-77.236947
"Pinus virginiana",39.086311,-76.74585
"Pinus virginiana",34.217914,-81.715387
"Pinus virginiana",35.413687,-80.08898
"Pinus virginiana",36.575411,-79.371634
"Pinus virginiana",37.607635,-84.254427
"Pinus virginiana",35.668034,-82.442545
"Pinus virginiana",39.055042,-77.034669
"Pinus virginiana",39.633731,-77.451099
"Pinus virginiana",39.053442,-77.031922
"Pinus virginiana",39.665495,-78.462939
"Pinus virginiana",35.11303,-84.71912
"Pinus virginiana",35.113492,-85.178514
"Pinus virginiana",36.092778,-79.451005
"Pinus virginiana",38.339747,-81.723375
"Pinus virginiana",38.827553,-77.70662
"Pinus virginiana",38.389228,-81.568733
"Pinus virginiana",35.810998,-80.083623
"Pinus virginiana",39.780165,-75.13993
"Pinus virginiana",37.828584,-83.672685
"Pinus virginiana",34.229971,-87.352295
"Pinus virginiana",35.489288,-86.075911
"Pinus virginiana",34.047072,-86.031641
"Pinus virginiana",35.4966,-82.611406
"Pinus virginiana",38.529223,-75.477256
"Pinus virginiana",39.242667,-78.361933
"Pinus virginiana",37.915061,-85.669074
"Pinus virginiana",37.557133,-84.223862
"Pinus virginiana",40.925502,-76.886945
"Pinus virginiana",38.912835,-77.394308
"Pinus virginiana",38.071117,-81.076546
"Pinus virginiana",39.073458,-76.789795
"Pinus virginiana",38.685833,-77.208889
"Pinus virginiana",35.497478,-80.84285
"Pinus virginiana",38.80793,-77.558962
"Pinus virginiana",38.739966,-75.740598
"Pinus virginiana",36.702355,-88.029066
"Pinus virginiana",39.086482,-76.781078
"Pinus virginiana",39.322509,-74.596263
"Pinus virginiana",37.003452,-84.598659
"Pinus virginiana",35.986379,-79.059764
"Pinus virginiana",36.294203,-82.495636
"Pinus virginiana",35.779008,-81.321953
"Pinus virginiana",39.674994,-75.741934
"Pinus virginiana",38.987392,-77.335608
"Pinus virginiana",34.736973,-83.390174
"Pinus virginiana",39.167211,-77.324984
"Pinus virginiana",38.105106,-81.250809
"Pinus virginiana",34.549031,-85.590122
"Pinus virginiana",35.894291,-79.03274
"Pinus virginiana",35.928612,-79.067505
"Pinus virginiana",34.382707,-85.628889
"Pinus virginiana",36.918796,-76.052637
"Pinus virginiana",33.384383,-86.841477
"Pinus virginiana",35.884452,-79.125337
"Pinus virginiana",35.836251,-79.247209
"Pinus virginiana",40.657398,-80.275004
"Pinus virginiana",40.095553,-74.320375
"Pinus virginiana",38.426135,-85.621424
"Pinus virginiana",38.92642,-77.287987
"Pinus virginiana",36.49746,-82.479357
"Pinus virginiana",34.618753,-82.788772
"Pinus virginiana",38.824975,-77.710787
"Pinus virginiana",36.569278,-80.853521
"Pinus virginiana",36.871269,-81.97821
"Pinus virginiana",39.411513,-76.836808
"Pinus virginiana",36.81433,-88.040664
"Pinus virginiana",38.159331,-85.787642
"Pinus virginiana",38.78099,-77.798407
"Pinus virginiana",37.093829,-78.405675
"Pinus virginiana",35.762358,-83.556458
"Pinus virginiana",37.822485,-83.678393
"Pinus virginiana",38.070039,-81.078392
"Pinus virginiana",39.775638,-75.141997
"Pinus virginiana",39.409098,-76.839639
"Pinus virginiana",36.389986,-81.046282
"Pinus virginiana",38.839572,-77.115958
"Pinus virginiana",37.721677,-83.636727
"Pinus virginiana",38.729295,-77.387467
"Pinus virginiana",36.290722,-79.371127
"Pinus virginiana",36.674103,-84.537034
"Pinus virginiana",38.937313,-77.544297
"Pinus virginiana",35.149731,-82.731298
"Pinus virginiana",38.606305,-75.814737
"Pinus virginiana",39.055544,-76.726124
"Pinus virginiana",38.221596,-80.90961
"Pinus virginiana",33.26098,-86.993676
"Pinus virginiana",33.346619,-86.701335
"Pinus virginiana",34.390105,-85.621719
"Pinus virginiana",40.7413,-74.178467
"Pinus virginiana",38.87117,-77.505112
"Pinus virginiana",35.001367,-85.355178
"Pinus virginiana",37.991547,-80.956337
"Pinus virginiana",34.779836,-82.357247
"Pinus virginiana",36.072292,-79.519419
"Pinus virginiana",38.861206,-77.118428
"Pinus virginiana",35.684665,-79.608996
"Pinus virginiana",33.79222,-84.324208
"Pinus virginiana",39.442542,-76.5792
"Pinus virginiana",39.184197,-76.774122
"Pinus virginiana",39.669472,-76.76925
"Pinus virginiana",35.755708,-83.75808
"Pinus virginiana",35.119656,-85.367067
"Pinus virginiana",35.998497,-85.043105
"Pinus virginiana",33.478152,-86.629862
"Pinus virginiana",34.670265,-85.861159
"Pinus virginiana",39.41412,-76.843557
"Pinus virginiana",37.89373,-78.3312
"Pinus virginiana",37.766972,-78.872411
"Pinus virginiana",38.996048,-77.253288
"Pinus virginiana",38.973186,-76.921646
"Pinus virginiana",34.180096,-85.816858
"Pinus virginiana",38.874385,-78.30064
"Pinus virginiana",37.00143,-84.804062
"Pinus virginiana",34.622855,-82.827547
"Pinus virginiana",33.341675,-86.704887
"Pinus virginiana",37.616263,-78.815619
"Pinus virginiana",39.068092,-76.78302
"Pinus virginiana",35.316574,-80.767273
"Pinus virginiana",37.5159,-77.613495
"Pinus virginiana",36.409239,-79.155677
"Pinus virginiana",39.0559,-76.725603
"Pinus virginiana",39.074592,-76.774939
"Pinus virginiana",34.113674,-84.098708
"Pinus virginiana",38.992558,-77.246597
"Pinus virginiana",38.832338,-77.303316
"Pinus virginiana",39.509589,-75.147962
"Pinus virginiana",35.058289,-85.332444
"Pinus virginiana",39.290137,-76.415889
"Pinus virginiana",39.311986,-78.677525
"Pinus virginiana",39.0204,-76.753145
"Pinus virginiana",38.809178,-77.609305
"Pinus virginiana",37.773525,-83.68605
"Pinus virginiana",34.080411,-87.214373
"Pinus virginiana",39.739727,-75.946242
"Pinus virginiana",34.293068,-83.903791
"Pinus virginiana",37.020564,-83.899672
"Pinus virginiana",34.398688,-85.604653
"Pinus virginiana",33.640369,-86.40888
"Pinus virginiana",34.719395,-83.856513
"Pinus virginiana",35.433012,-85.663938
"Pinus virginiana",39.622567,-76.709472
"Pinus virginiana",39.099078,-76.589413
"Pinus virginiana",38.755602,-77.10292
"Pinus virginiana",38.077386,-81.074539
"Pinus virginiana",36.817833,-79.839058
"Pinus virginiana",37.923427,-78.588286
"Pinus virginiana",40.504534,-78.023974
"Pinus virginiana",39.032589,-76.769076
"Pinus virginiana",35.176303,-81.359663
"Pinus virginiana",38.221387,-77.436723
"Pinus virginiana",39.083066,-76.748148
"Pinus virginiana",38.756986,-77.098219
"Pinus virginiana",35.467406,-80.902951
"Pinus virginiana",36.301811,-87.148604
"Pinus virginiana",40.986153,-76.585511
"Pinus virginiana",35.06563,-85.093492
"Pinus virginiana",38.861554,-77.117898
"Pinus virginiana",39.452498,-82.571454
"Pinus virginiana",35.617868,-82.491415
"Pinus virginiana",39.336071,-76.890082
"Pinus virginiana",35.053082,-82.699432
"Pinus virginiana",35.136761,-85.252113
"Pinus virginiana",38.757272,-77.099311
"Pinus virginiana",38.119608,-77.837639
"Pinus virginiana",36.268342,-82.376053
"Pinus virginiana",34.5508,-87.044242
"Pinus virginiana",39.298966,-77.129197
"Pinus virginiana",36.087468,-79.004848
"Pinus virginiana",39.052289,-76.723855
"Pinus virginiana",35.9132,-79.055844
"Pinus virginiana",39.385155,-82.174965
"Pinus virginiana",39.775718,-75.142412
"Pinus virginiana",36.043386,-79.228436
"Pinus virginiana",39.0051,-77.100297
"Pinus virginiana",35.01148,-80.921427
"Pinus virginiana",38.392795,-81.579639
"Pinus virginiana",38.813697,-77.675483
"Pinus virginiana",38.746301,-77.274733
"Pinus virginiana",39.084076,-76.802918
"Pinus virginiana",37.244943,-80.460117
"Pinus virginiana",39.645511,-76.746638
"Pinus virginiana",35.888142,-78.659592
"Pinus virginiana",39.916817,-74.593559
"Pinus virginiana",35.884083,-80.469903
"Pinus virginiana",38.348008,-75.640778
"Pinus virginiana",38.761009,-77.597055
"Pinus virginiana",40.477164,-74.438233
"Pinus virginiana",39.885964,-74.750396
"Pinus virginiana",37.416752,-84.000206
"Pinus virginiana",35.673805,-81.096093
"Pinus virginiana",34.834991,-85.480502
"Pinus virginiana",33.944994,-87.109211
"Pinus virginiana",39.838787,-74.928865
"Pinus virginiana",39.622363,-76.708603
"Pinus virginiana",36.54236,-84.73576
"Pinus virginiana",36.077649,-80.059713
"Pinus virginiana",39.95627,-74.66372
"Pinus virginiana",36.263074,-78.624231
"Pinus virginiana",40.457221,-77.171731
"Pinus virginiana",39.894786,-74.22224
"Pinus virginiana",35.502137,-80.837595
"Pinus virginiana",38.824869,-77.711105
"Pinus virginiana",33.941498,-86.071971
"Pinus virginiana",34.17685,-84.744953
"Pinus virginiana",35.778717,-78.855766
"Pinus virginiana",38.509308,-77.311867
"Pinus virginiana",40.140048,-75.361277
"Pinus virginiana",34.719612,-82.840095
"Pinus virginiana",39.991412,-74.83826
"Pinus virginiana",38.39564,-76.429346
"Pinus virginiana",35.603482,-85.441455
"Pinus virginiana",39.262641,-76.585147
"Pinus virginiana",36.975491,-76.633036
"Pinus virginiana",38.059722,-81.077417
"Pinus virginiana",34.730421,-83.937695
"Pinus virginiana",38.803054,-77.541432
"Pinus virginiana",39.740601,-75.942005
"Pinus virginiana",34.952772,-82.946793
"Pinus virginiana",39.648761,-78.725433
"Pinus virginiana",39.064898,-76.842358
"Pinus virginiana",40.278815,-77.416514
"Pinus virginiana",38.936599,-76.509054
"Pinus virginiana",39.470721,-76.995449
"Pinus virginiana",38.9953,-77.2494
"Pinus virginiana",38.790308,-77.558647
"Pinus virginiana",39.929541,-77.058314
"Pinus virginiana",39.7417,-76.1833
"Pinus virginiana",40.422316,-75.89326
"Pinus virginiana",40.541273,-74.217689
"Pinus virginiana",40.176769,-75.547688
"Pinus virginiana",35.964128,-84.282588
"Pinus virginiana",38.521771,-77.033357
"Pinus virginiana",38.87365,-77.697904
"Pinus virginiana",40.314666,-74.365619
"Pinus virginiana",38.877572,-77.489097
"Pinus virginiana",39.242839,-76.712114
"Pinus virginiana",34.006688,-80.750369
"Pinus virginiana",38.784504,-77.300644
"Pinus virginiana",38.997447,-76.865911
"Pinus virginiana",38.855988,-77.428017
"Pinus virginiana",38.473187,-77.155053
"Pinus virginiana",35.697137,-82.379745
"Pinus virginiana",36.395581,-80.255703
"Pinus virginiana",33.337262,-86.880487
"Pinus virginiana",34.119679,-87.326118
"Pinus virginiana",39.181667,-81.827778
"Pinus virginiana",33.702278,-86.696812
"Pinus virginiana",39.457119,-82.574729
"Pinus virginiana",38.937102,-76.5083
"Pinus virginiana",35.827094,-81.894817
"Pinus virginiana",38.376572,-76.438527
"Pinus virginiana",38.447577,-76.461726
"Pinus virginiana",39.206196,-76.945566
"Pinus virginiana",35.443711,-80.004529
"Pinus virginiana",35.996817,-83.891931
"Pinus virginiana",33.794407,-85.616804
"Pinus virginiana",35.108476,-81.042854
"Pinus virginiana",39.994542,-74.852408
