"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Planera aquatica",31.0243,-85.857502,5.05,17.415,58.36,24.225,1.49655,0.5,"Sandy Loam",23.6697464
"Planera aquatica",34.194619,-91.965527,5.932,69.65,9.758,20.592,1.303,0,"Clay",61.73210526
"Planera aquatica",30.029364,-95.301045,4.865,38.983,47.12,13.897,1.4878,0.164,"Sandy Clay",17.38567543
"Planera aquatica",32.698056,-94.111111,5.06,34.9,38.22,26.88,1.344,0.5,"Clay Loam",52.426651
"Planera aquatica",35.79896,-91.09028,6.618,22.46,11.7345,65.8055,1.4492,3.945,"Silt Loam",73.15348053
"Planera aquatica",36.929253,-89.056411,6.675,24.2103333333333,7.49033333333333,68.2993333333333,1.43073333333333,0,"Silt Loam",93.08999634
"Planera aquatica",30.027835,-95.286967,4.444,14.4233333333333,55.6833333333333,29.8933333333333,1.39533333333333,0.1,"Sandy Loam",12.72237015
"Planera aquatica",29.631414,-82.408262,4.86933333333333,4.65833333333333,92.1636666666667,3.178,1.62336666666667,0.1,"Loamy Sand",15.94440365
"Planera aquatica",36.600406,-89.156098,6.9375,40.4225,7.3685,52.209,1.4693,0,"Silty Clay",92
"Planera aquatica",36.143189,-89.437326,5,13.61,14.581,71.809,1.45385,0,"Silt Loam",79.2793045
"Planera aquatica",30.006533,-82.997161,6.15619834710744,14.3181818181818,75.4917355371901,10.1900826446281,0.8183,0.1,"Sandy Loam",7.321698189
"Planera aquatica",31.028254,-94.318883,5.15,7.875,84.25,7.875,1.5825,0,"Sandy Loam",33.63682938
"Planera aquatica",33.686859,-93.856741,6.62975,68.91575,4.14075,26.9435,1.31685,0.261,"Clay",78.30669403
"Planera aquatica",30.3172,-96.7083,5.65,47.125,23.72,29.155,1.3,1,"Clay",73.32659912
"Planera aquatica",33.107822,-87.640132,5.177,26.61,9.231,64.159,1.474,0,"Silt Loam",39.61257935
"Planera aquatica",30.319058,-96.711145,6.91,50,22.1,27.9,1.4746,0,"Clay",75.19858551
"Planera aquatica",36.93679,-90.20691,5.61166666666667,32.487,7.34366666666667,60.1693333333333,1.46606666666667,1.48,"Silty Clay Loam",104.1252747
"Planera aquatica",36.93972,-90.23176,5.58575,29.43075,10.85375,59.7155,1.46695,1,"Silty Clay Loam",103.4039459
"Planera aquatica",37.0012,-90.19925,4.7015,39.2175,3.5205,57.262,1.3962,1,"Silty Clay",103.3573837
"Planera aquatica",36.747745,-90.100499,5.1305,20.80825,5.75575,73.436,1.464325,1,"Silt Loam",98.3970108
"Planera aquatica",30.700024,-84.859901,5.252625,34.43975,49.554125,16.006125,1.44045,0.1,"Sandy Clay Loam",13.85215855
"Planera aquatica",33.000654,-80.182514,4.947,24.875,19.101,56.024,1.458,0,"Silt Loam",15.30507183
"Planera aquatica",30.0175,-91.407009,7.03933333333333,78.339649122807,0.456842105263158,21.2035087719298,1.07256666666667,1,"Clay",1.650555134
