"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Populus heterophylla",41.006089,-82.154128,6.323,34.05,17.475,48.475,1.537375,0,"Silty Clay Loam",347.2742004
"Populus heterophylla",37.83136,-87.994887,5.262,23.51,6.58,69.91,1.4942,0,"Silt Loam",110.7249908
"Populus heterophylla",39.347272,-75.744159,5.2714,11.982,70.194,15.25,1.59092,0,"Sandy Loam",23.32194901
"Populus heterophylla",37.047222,-89.904167,5.1305,20.80825,5.75575,73.436,1.464325,1,"Silt Loam",108.3050613
"Populus heterophylla",41.006234,-82.154087,6.323,34.05,17.475,48.475,1.537375,0,"Silty Clay Loam",347.2661743
"Populus heterophylla",34.219577,-80.192563,4.613,31.3586666666667,49.2256666666667,19.4156666666667,1.40516666666667,0,"Sandy Clay Loam",52.45306015
"Populus heterophylla",35.617363,-77.363642,4.8,8.475,60.2715,31.2535,1.4665,0,"Other",1.906610966
"Populus heterophylla",32.593228,-80.463103,4.765,19.7475,67.3465,12.906,1.4545,0,"Sandy Loam",0.783967197
"Populus heterophylla",39.279955,-86.575203,6.5,41.13,6.69,52.18,1.5,0,"Silty Clay",173.057251
"Populus heterophylla",36.60925,-76.493079,4.76666666666667,7.51833333333333,50.855,27.59,0.777,0,"Other",5.280479908
"Populus heterophylla",36.971797,-90.150772,4.7015,39.2175,3.5205,57.262,1.3962,1,"Silty Clay",102.6756516
"Populus heterophylla",37.127136,-88.46212,5.4665,22.805,7.155,70.04,1.467525,0,"Silt Loam",104.7904587
"Populus heterophylla",39.279822,-86.575517,6.5,41.13,6.69,52.18,1.5,0,"Silty Clay",173.1170044
"Populus heterophylla",41.215847,-85.148047,6.84066666666667,40.1233333333333,13.4866666666667,46.39,1.543,0,"Silty Clay",263.0159912
"Populus heterophylla",36.775517,-76.159733,5.462,20.7130281690141,35.4255281690141,43.8614436619718,1.082425,45.6914285714286,"Loam",0.935755908
"Populus heterophylla",35.453225,-76.212762,4.5,13.635,78.779,7.586,1.4498,0,"Sandy Loam",0.239094675
"Populus heterophylla",36.640595,-76.531648,4.7725,34.3875,39.8825,25.73,1.43125,0,"Clay Loam",6.735095024
"Populus heterophylla",39.276849,-86.578413,5.1145,19.66,10.5075,69.8325,1.421825,0,"Silt Loam",173.480957
"Populus heterophylla",33.810258,-80.769188,5.14,41.305,15.113,43.582,1.3785,0,"Silty Clay",28.32581711
"Populus heterophylla",39.279569,-86.57445,6.5,41.13,6.69,52.18,1.5,0,"Silty Clay",173.0988312
"Populus heterophylla",36.774958,-76.16016,4.628,20.6864406779661,33.1562711864407,46.1572881355932,1.34765,0,"Loam",0.928200006
"Populus heterophylla",34.778367,-90.757348,5.375,26.25,2.425,71.325,1.4,0,"Silt Loam",68.46245575
"Populus heterophylla",33.53157,-91.565317,5.354,23.67,8.44,67.89,1.4406,2,"Silt Loam",50.51815414
"Populus heterophylla",34.16019,-79.22292,5,11.005,69.755,19.24,1.4487,0,"Sandy Loam",14.1782093
"Populus heterophylla",33.638328,-80.482781,4.7,44.375,26.87,28.755,1.31875,0,"Clay",26.98089981
"Populus heterophylla",39.279986,-86.575228,6.5,41.13,6.69,52.18,1.5,0,"Silty Clay",173.057251
"Populus heterophylla",37.18111,-90.13777,4.81533333333333,22.1546666666667,17.1593333333333,60.686,1.49076666666667,0.2,"Silt Loam",167.6287231
"Populus heterophylla",35.601912,-77.356127,4.8,8.475,60.2715,31.2535,1.4665,0,"Other",4.55043602
"Populus heterophylla",35.184553,-89.894612,5.3,21.23,4.94,73.83,1.4588,0,"Silt Loam",75.60903168
"Populus heterophylla",33.436135,-80.802913,4.716,20.28,60.5985,19.1215,1.428,0,"Sandy Loam",54.87331009
"Populus heterophylla",31.980404,-81.085184,4.6,3.565,94.97,1.465,1.4707,0,"Loamy Sand",5.530482769
"Populus heterophylla",36.303596,-88.721194,5.3,22.53,3,74.47,1.5025,0,"Silt Loam",143.9770966
"Populus heterophylla",36.720068,-77.103813,4.62,30.18875,39.9895,29.82175,1.21718,0,"Clay Loam",11.98354816
"Populus heterophylla",32.800458,-79.94248,4.87987421383648,20.501572327044,62.225,16.3433333333333,1.43974842767296,0,"Sandy Loam",3.048905373
"Populus heterophylla",33.2077,-79.953655,4.844,37.28,36.779,25.941,1.3345,0,"Clay Loam",2.206317902
"Populus heterophylla",36.372174,-75.941224,4.04,6.5,91.6,1.9,0.7635,2.28,"Loamy Sand",0.454959244
"Populus heterophylla",37.111074,-90.453931,5.29483333333333,31.8746644295302,25.5691275167785,42.5562080536913,1.45538333333333,0.346333333333333,"Clay Loam",145.5675507
"Populus heterophylla",38.688381,-87.420358,6.653,25.405,7.265,67.33,1.3871,0,"Silt Loam",166.0261841
"Populus heterophylla",37.123811,-88.480287,5.16066666666667,25.6,8.57,65.83,1.48343333333333,0,"Silt Loam",105.0962296
"Populus heterophylla",34.903401,-91.151499,5.40533333333333,23.6416666666667,9.49766666666667,66.8606666666667,1.45686666666667,0.0333333333333333,"Silt Loam",57.33330917
"Populus heterophylla",39.278717,-86.576287,6.5,41.13,6.69,52.18,1.5,0,"Silty Clay",173.0078278
"Populus heterophylla",32.573076,-81.314154,5,46.775,19.5795,33.6455,1.349,0,"Clay",9.348314285
"Populus heterophylla",36.493333,-90.075,5.4675,23.78,11.129,65.091,1.4352,0.915,"Silt Loam",95.99819946
"Populus heterophylla",36.957222,-89.234722,6.98366666666667,37.5236666666667,16.1803333333333,46.296,1.38796666666667,1,"Silty Clay",96.94557953
"Populus heterophylla",41.73421,-86.505553,6.829,27.135,20.89,51.225,1.464025,0,"Clay Loam",240.7253571
"Populus heterophylla",41.05,-87.01,6.423,18.76,50.41,30.83,1.5255,0,"Loam",204.5180817
"Populus heterophylla",30.525465,-89.713213,4.7325,15.475,54.703,29.822,1.612775,1,"Sandy Loam",18.42144775
"Populus heterophylla",33.24633,-90.368761,5.6,14.5166666666667,35.3273333333333,50.156,1.4495,0,"Silt Loam",32.11014175
"Populus heterophylla",34.397941,-90.248198,6.095,70.95,1.8,27.25,1.3713,0,"Clay",49.81848907
"Populus heterophylla",35.602341,-77.354074,4.8,8.475,60.2715,31.2535,1.4665,0,"Other",1.96370995
"Populus heterophylla",35.26266,-77.58164,5.3,8.135,78.603,13.262,1.522,0,"Sandy Loam",12.88524723
"Populus heterophylla",33.26673,-79.629458,4.78,27.87,48.306,23.824,1.3925,0,"Sandy Clay Loam",6.37494421
