"species","decimalLatitude","decimalLongitude"
"Quercus alba",40.61571,-74.491051
"Quercus alba",42.48553,-72.36622
"Quercus alba",40.764767,-74.490186
"Quercus alba",43.635948,-89.806307
"Quercus alba",37.066139,-78.20065
"Quercus alba",42.441832,-71.333536
"Quercus alba",42.177594,-72.738492
"Quercus alba",42.40313,-71.206734
"Quercus alba",41.352899,-72.013072
"Quercus alba",38.755114,-77.296374
"Quercus alba",41.214822,-80.756291
"Quercus alba",35.497953,-84.998253
"Quercus alba",42.449085,-71.259213
"Quercus alba",34.751254,-92.368563
"Quercus alba",43.02852,-77.568725
"Quercus alba",42.932855,-76.826425
"Quercus alba",40.664103,-74.528911
"Quercus alba",38.326338,-77.221488
"Quercus alba",40.838867,-72.6147
"Quercus alba",37.465954,-77.653967
"Quercus alba",44.683958,-73.093749
"Quercus alba",42.097008,-72.742919
"Quercus alba",35.008294,-85.36273
"Quercus alba",35.996042,-80.391742
"Quercus alba",39.339,-82.127562
"Quercus alba",40.738945,-74.292397
"Quercus alba",43.114772,-71.542572
"Quercus alba",40.583877,-74.555755
"Quercus alba",41.282203,-72.818663
"Quercus alba",43.606039,-73.18419
"Quercus alba",42.400178,-72.402711
"Quercus alba",38.924472,-77.343103
"Quercus alba",40.594077,-74.569788
"Quercus alba",40.040894,-75.601553
"Quercus alba",40.616233,-74.112718
"Quercus alba",42.254642,-71.337636
"Quercus alba",40.51025,-80.355728
"Quercus alba",41.695707,-72.477487
"Quercus alba",37.538971,-77.479019
"Quercus alba",34.799571,-86.184831
"Quercus alba",41.277737,-70.003669
"Quercus alba",36.622643,-88.311489
"Quercus alba",42.070404,-71.595099
"Quercus alba",38.017601,-77.920854
"Quercus alba",42.376467,-88.595729
"Quercus alba",42.370001,-71.285052
"Quercus alba",40.032085,-75.483232
"Quercus alba",40.865407,-73.878543
"Quercus alba",40.440457,-74.560372
"Quercus alba",43.326268,-89.575481
"Quercus alba",38.986672,-77.047675
"Quercus alba",38.88937,-77.22799
"Quercus alba",37.375328,-80.521472
"Quercus alba",40.776193,-74.43212
"Quercus alba",40.924396,-73.941463
"Quercus alba",35.41138,-80.655517
"Quercus alba",42.285577,-71.231359
"Quercus alba",42.178987,-72.676181
"Quercus alba",39.09927,-77.237838
"Quercus alba",42.305033,-83.756872
"Quercus alba",42.53903,-76.606874
"Quercus alba",38.305329,-75.330706
"Quercus alba",42.751092,-71.498408
"Quercus alba",34.724372,-83.678222
"Quercus alba",39.206681,-84.42918
"Quercus alba",42.979305,-89.551208
"Quercus alba",43.24157,-77.463683
"Quercus alba",42.414953,-72.344532
"Quercus alba",42.081553,-71.054725
"Quercus alba",38.762692,-77.305436
"Quercus alba",38.935481,-77.039311
"Quercus alba",34.994871,-80.845074
"Quercus alba",40.435322,-79.94442
"Quercus alba",40.777635,-81.89682
"Quercus alba",43.699777,-72.302937
"Quercus alba",39.866928,-74.607994
"Quercus alba",41.608302,-70.550519
"Quercus alba",42.546985,-74.410174
"Quercus alba",41.581078,-70.525763
"Quercus alba",40.780026,-77.915747
"Quercus alba",42.157753,-88.001334
"Quercus alba",41.442408,-70.671312
"Quercus alba",44.497896,-73.170564
"Quercus alba",42.603966,-72.72097
"Quercus alba",35.235714,-77.89035
"Quercus alba",42.512342,-83.502997
"Quercus alba",35.761737,-78.707682
"Quercus alba",37.960995,-91.780393
"Quercus alba",32.660719,-85.487311
"Quercus alba",37.530805,-77.467592
"Quercus alba",35.805686,-78.70553
"Quercus alba",42.819002,-88.412717
"Quercus alba",42.898466,-88.160161
"Quercus alba",35.923482,-78.599214
"Quercus alba",34.676684,-82.843674
"Quercus alba",40.510581,-74.469945
"Quercus alba",43.702581,-90.579978
"Quercus alba",41.177452,-74.036049
"Quercus alba",35.90759,-79.04599
"Quercus alba",38.972275,-77.548042
"Quercus alba",34.70012,-82.194093
"Quercus alba",38.696422,-77.320148
"Quercus alba",39.041408,-76.724766
"Quercus alba",39.406708,-76.591568
"Quercus alba",33.846119,-84.269753
"Quercus alba",42.53113,-72.293987
"Quercus alba",40.988574,-74.012474
"Quercus alba",40.670233,-74.401418
"Quercus alba",41.494858,-71.257325
"Quercus alba",38.973143,-76.931012
"Quercus alba",35.587957,-83.834713
"Quercus alba",35.071789,-94.689672
"Quercus alba",32.558217,-85.463137
"Quercus alba",35.955758,-79.277472
"Quercus alba",43.192404,-77.513251
"Quercus alba",40.863867,-73.875804
"Quercus alba",38.785633,-77.066489
"Quercus alba",39.615995,-74.914849
"Quercus alba",42.435777,-71.106094
"Quercus alba",35.446695,-86.093033
"Quercus alba",34.719225,-79.909997
"Quercus alba",45.110447,-87.654525
"Quercus alba",38.362458,-77.334175
"Quercus alba",36.158642,-83.505438
"Quercus alba",40.684295,-73.512947
"Quercus alba",33.844028,-84.272804
"Quercus alba",39.344723,-82.075832
"Quercus alba",44.499489,-73.239793
"Quercus alba",42.515368,-72.307175
"Quercus alba",44.974467,-93.32259
"Quercus alba",45.121129,-85.631408
"Quercus alba",41.233219,-74.116973
"Quercus alba",39.325802,-82.118092
"Quercus alba",41.7014,-70.32783
"Quercus alba",45.043826,-93.152712
"Quercus alba",38.170296,-78.025493
"Quercus alba",40.582405,-74.550553
"Quercus alba",39.105248,-74.821189
"Quercus alba",41.87005,-70.605753
"Quercus alba",43.646458,-89.795351
"Quercus alba",37.554735,-84.240553
"Quercus alba",43.193408,-77.511522
"Quercus alba",38.589723,-92.233293
"Quercus alba",40.445848,-74.261463
"Quercus alba",40.595275,-74.577838
"Quercus alba",37.479499,-77.715228
"Quercus alba",40.180294,-75.733269
"Quercus alba",35.606331,-82.342307
"Quercus alba",40.522785,-74.226828
"Quercus alba",41.686433,-87.529107
"Quercus alba",36.112192,-79.500515
"Quercus alba",44.428286,-92.2466
"Quercus alba",43.210503,-71.239555
"Quercus alba",43.192266,-77.51334
"Quercus alba",44.837575,-93.37736
"Quercus alba",39.124364,-77.242875
"Quercus alba",38.861939,-76.974666
"Quercus alba",39.517079,-79.296956
"Quercus alba",40.590954,-82.270706
"Quercus alba",37.713475,-89.220306
"Quercus alba",35.696315,-94.03138
"Quercus alba",34.063979,-81.064348
"Quercus alba",42.529358,-71.476355
"Quercus alba",38.846783,-77.103986
"Quercus alba",32.951117,-80.204401
"Quercus alba",40.421764,-76.600053
"Quercus alba",42.380427,-71.630388
"Quercus alba",38.790088,-77.068183
"Quercus alba",42.227275,-72.559387
"Quercus alba",36.671376,-84.540027
"Quercus alba",38.632954,-90.475166
"Quercus alba",43.636251,-72.40858
"Quercus alba",40.890413,-74.007653
